Date,Close
2020-01-01,
2020-01-02,76.13
2020-01-03,76.99
2020-01-04,
2020-01-05,
2020-01-06,76.69
2020-01-07,76.19
2020-01-08,76.61
2020-01-09,76.62
2020-01-10,77.03
2020-01-11,
2020-01-12,
2020-01-13,79.06
2020-01-14,78.06
2020-01-15,79.42
2020-01-16,80.4
2020-01-17,81.19
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,82.31
2020-01-22,80.91
2020-01-23,82.42
2020-01-24,82.81
2020-01-25,
2020-01-26,
2020-01-27,81.81
2020-01-28,82.3
2020-01-29,83.11
2020-01-30,82.86
2020-01-31,79.99
2020-02-01,
2020-02-02,
2020-02-03,79.12
2020-02-04,80.46
2020-02-05,79.87
2020-02-06,80.19
2020-02-07,80.22
2020-02-08,
2020-02-09,
2020-02-10,81.53
2020-02-11,82.86
2020-02-12,83.36
2020-02-13,83.08
2020-02-14,84.02
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,84.7
2020-02-19,84.2
2020-02-20,85.22
2020-02-21,85.46
2020-02-22,
2020-02-23,
2020-02-24,82.66
2020-02-25,78.98
2020-02-26,78.6
2020-02-27,74.68
2020-02-28,72.59
2020-02-29,
2020-03-01,
2020-03-02,76.02
2020-03-03,76.99
2020-03-04,81.28
2020-03-05,77.26
2020-03-06,73.96
2020-03-07,
2020-03-08,
2020-03-09,66.98
2020-03-10,69.64
2020-03-11,63.47
2020-03-12,60.44
2020-03-13,67.58
2020-03-14,
2020-03-15,
2020-03-16,55.91
2020-03-17,61.39
2020-03-18,58.88
2020-03-19,55.5
2020-03-20,54.55
2020-03-21,
2020-03-22,
2020-03-23,55.03
2020-03-24,61.27
2020-03-25,62.69
2020-03-26,67.47
2020-03-27,68.75
2020-03-28,
2020-03-29,
2020-03-30,71.98
2020-03-31,69.8
2020-04-01,63.62
2020-04-02,65.58
2020-04-03,63.91
2020-04-04,
2020-04-05,
2020-04-06,69.67
2020-04-07,70.3
2020-04-08,74.84
2020-04-09,79.66
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,75.04
2020-04-14,77.42
2020-04-15,75.15
2020-04-16,76.6
2020-04-17,78.35
2020-04-18,
2020-04-19,
2020-04-20,76.86
2020-04-21,77.29
2020-04-22,76.31
2020-04-23,75.34
2020-04-24,77.32
2020-04-25,
2020-04-26,
2020-04-27,79.76
2020-04-28,77.8
2020-04-29,78.3
2020-04-30,77.49
2020-05-01,75.42
2020-05-02,
2020-05-03,
2020-05-04,75.67
2020-05-05,76.2
2020-05-06,75.5
2020-05-07,76.48
2020-05-08,78.13
2020-05-09,
2020-05-10,
2020-05-11,77.19
2020-05-12,73.14
2020-05-13,71.94
2020-05-14,73.02
2020-05-15,72.32
2020-05-16,
2020-05-17,
2020-05-18,75.41
2020-05-19,73.54
