Date,Close
2020-01-01,
2020-01-02,33.39
2020-01-03,33.19
2020-01-04,
2020-01-05,
2020-01-06,33.41
2020-01-07,33.41
2020-01-08,33.7
2020-01-09,33.97
2020-01-10,33.91
2020-01-11,
2020-01-12,
2020-01-13,34.22
2020-01-14,34.06
2020-01-15,34.22
2020-01-16,34.53
2020-01-17,34.77
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,34.75
2020-01-22,34.8
2020-01-23,34.83
2020-01-24,34.48
2020-01-25,
2020-01-26,
2020-01-27,33.89
2020-01-28,34.36
2020-01-29,34.46
2020-01-30,34.51
2020-01-31,33.93
2020-02-01,
2020-02-02,
2020-02-03,34.33
2020-02-04,34.97
2020-02-05,35.05
2020-02-06,35.2
2020-02-07,34.99
2020-02-08,
2020-02-09,
2020-02-10,35.43
2020-02-11,35.48
2020-02-12,35.79
2020-02-13,35.78
2020-02-14,35.88
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,35.87
2020-02-19,36.1
2020-02-20,35.91
2020-02-21,35.37
2020-02-22,
2020-02-23,
2020-02-24,34.09
2020-02-25,33.14
2020-02-26,33.14
2020-02-27,31.82
2020-02-28,31.8
2020-02-29,
2020-03-01,
2020-03-02,33.14
2020-03-03,32.22
2020-03-04,33.5
2020-03-05,32.48
2020-03-06,31.9
2020-03-07,
2020-03-08,
2020-03-09,29.7
2020-03-10,31.2
2020-03-11,29.7
2020-03-12,27.06
2020-03-13,29.22
2020-03-14,
2020-03-15,
2020-03-16,25.59
2020-03-17,26.81
2020-03-18,25.62
2020-03-19,26.2
2020-03-20,25.36
2020-03-21,
2020-03-22,
2020-03-23,25.09
2020-03-24,27.27
2020-03-25,27.54
2020-03-26,28.97
2020-03-27,27.9
2020-03-28,
2020-03-29,
2020-03-30,28.68
2020-03-31,28.37
2020-04-01,27.11
2020-04-02,27.43
2020-04-03,26.95
2020-04-04,
2020-04-05,
2020-04-06,28.94
2020-04-07,28.94
2020-04-08,29.94
2020-04-09,30.23
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,30.39
2020-04-14,31.46
2020-04-15,31.06
2020-04-16,31.46
2020-04-17,32.04
2020-04-18,
2020-04-19,
2020-04-20,31.71
2020-04-21,30.77
2020-04-22,31.65
2020-04-23,31.69
2020-04-24,32.08
2020-04-25,
2020-04-26,
2020-04-27,32.48
2020-04-28,32.02
2020-04-29,33.02
2020-04-30,32.86
2020-05-01,31.89
2020-05-02,
2020-05-03,
2020-05-04,32.23
2020-05-05,32.64
2020-05-06,32.76
2020-05-07,33.16
2020-05-08,33.59
2020-05-09,
2020-05-10,
2020-05-11,33.84
2020-05-12,33.15
2020-05-13,32.64
2020-05-14,33.06
2020-05-15,33.36
2020-05-16,
2020-05-17,
2020-05-18,34.1
2020-05-19,33.95
2020-05-20,34.51
2020-05-21,34.29
2020-05-22,34.37
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,34.54
2020-05-27,34.78
2020-05-28,34.77
2020-05-29,35.17
2020-05-30,
2020-05-31,
2020-06-01,35.45
2020-06-02,35.85
2020-06-03,36.12
2020-06-04,35.72
2020-06-05,36.55
2020-06-06,
2020-06-07,
2020-06-08,36.87
2020-06-09,36.92
2020-06-10,37.12
2020-06-11,35.29
2020-06-12,35.57
2020-06-13,
2020-06-14,
2020-06-15,36.0
2020-06-16,36.64
2020-06-17,36.74
2020-06-18,36.87
2020-06-19,36.82
2020-06-20,
2020-06-21,
2020-06-22,37.28
2020-06-23,37.51
2020-06-24,36.55
2020-06-25,37.02
2020-06-26,36.17
2020-06-27,
2020-06-28,
2020-06-29,36.48
2020-06-30,37.07
2020-07-01,37.69
2020-07-02,37.91
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,38.69
2020-07-07,38.38
2020-07-08,38.98
2020-07-09,39.11
2020-07-10,39.3
2020-07-11,
2020-07-12,
2020-07-13,38.57
2020-07-14,38.9
2020-07-15,39.15
2020-07-16,38.91
2020-07-17,39.03
2020-07-18,
2020-07-19,
2020-07-20,39.91
2020-07-21,39.65
2020-07-22,39.83
2020-07-23,39.12
2020-07-24,38.9
2020-07-25,
2020-07-26,
2020-07-27,39.35
2020-07-28,38.99
2020-07-29,39.72
2020-07-30,39.72
2020-07-31,40.17
2020-08-01,
2020-08-02,
2020-08-03,40.5
2020-08-04,40.74
2020-08-05,41.01
2020-08-06,41.43
2020-08-07,40.96
2020-08-08,
2020-08-09,
2020-08-10,40.75
2020-08-11,40.24
2020-08-12,40.88
2020-08-13,40.98
2020-08-14,40.9
2020-08-15,
2020-08-16,
2020-08-17,41.22
2020-08-18,41.5
2020-08-19,41.28
2020-08-20,41.51
2020-08-21,41.54
2020-08-22,
2020-08-23,
2020-08-24,41.73
2020-08-25,42.09
2020-08-26,42.69
2020-08-27,42.62
2020-08-28,42.96
2020-08-29,
2020-08-30,
2020-08-31,43.03
2020-09-01,43.6
2020-09-02,44.08
2020-09-03,42.29
2020-09-04,41.7
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,40.46
2020-09-09,41.37
2020-09-10,40.55
2020-09-11,40.34
2020-09-12,
2020-09-13,
2020-09-14,40.89
2020-09-15,41.29
2020-09-16,41.01
2020-09-17,40.62
2020-09-18,40.21
2020-09-19,
2020-09-20,
2020-09-21,39.94
2020-09-22,40.66
2020-09-23,39.67
2020-09-24,39.73
2020-09-25,40.43
2020-09-26,
2020-09-27,
2020-09-28,41.05
2020-09-29,40.97
2020-09-30,41.29
2020-10-01,41.9
2020-10-02,41.26
2020-10-03,
2020-10-04,
2020-10-05,42.09
2020-10-06,41.46
2020-10-07,42.25
2020-10-08,42.52
2020-10-09,43.12
2020-10-10,
2020-10-11,
2020-10-12,43.82
2020-10-13,43.76
2020-10-14,43.33
2020-10-15,43.19
2020-10-16,43.14
2020-10-17,
2020-10-18,
2020-10-19,42.5
2020-10-20,42.7
2020-10-21,42.84
2020-10-22,43.0
2020-10-23,43.39
2020-10-24,
2020-10-25,
2020-10-26,42.53
2020-10-27,42.61
2020-10-28,41.07
2020-10-29,41.41
2020-10-30,40.68
2020-10-31,
2020-11-01,
2020-11-02,41.02
2020-11-03,41.74
2020-11-04,43.43
2020-11-05,44.32
2020-11-06,44.52
2020-11-07,
2020-11-08,
2020-11-09,44.53
2020-11-10,44.02
2020-11-11,44.5
2020-11-12,44.23
2020-11-13,44.69
2020-11-14,
2020-11-15,
2020-11-16,44.97
2020-11-17,44.85
2020-11-18,44.47
2020-11-19,44.77
2020-11-20,44.66
2020-11-21,
2020-11-22,
2020-11-23,44.82
2020-11-24,45.37
2020-11-25,45.44
2020-11-26,
2020-11-27,45.79
2020-11-28,
2020-11-29,
2020-11-30,45.51
2020-12-01,45.92
2020-12-02,46.03
2020-12-03,45.92
2020-12-04,46.39
2020-12-05,
2020-12-06,
2020-12-07,46.4
2020-12-08,46.59
2020-12-09,46.04
2020-12-10,46.17
2020-12-11,46.04
2020-12-12,
2020-12-13,
2020-12-14,46.09
2020-12-15,46.53
2020-12-16,46.76
2020-12-17,47.2
2020-12-18,47.15
2020-12-19,
2020-12-20,
2020-12-21,47.07
2020-12-22,47.08
2020-12-23,47.11
2020-12-24,47.13
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,47.39
2020-12-29,47.41
2020-12-30,47.47
2020-12-31,47.7
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,46.97
2021-01-05,47.27
2021-01-06,47.33
2021-01-07,48.09
2021-01-08,48.47
2021-01-09,
2021-01-10,
2021-01-11,48.19
2021-01-12,48.1
2021-01-13,48.12
