Date,Close
2020-01-01,
2020-01-02,26.59
2020-01-03,26.43
2020-01-04,
2020-01-05,
2020-01-06,26.53
2020-01-07,26.47
2020-01-08,26.59
2020-01-09,26.77
2020-01-10,26.7
2020-01-11,
2020-01-12,
2020-01-13,26.9
2020-01-14,26.87
2020-01-15,26.93
2020-01-16,27.14
2020-01-17,27.25
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,27.14
2020-01-22,27.15
2020-01-23,27.17
2020-01-24,26.87
2020-01-25,
2020-01-26,
2020-01-27,26.44
2020-01-28,26.74
2020-01-29,26.76
2020-01-30,26.8
2020-01-31,26.29
2020-02-01,
2020-02-02,
2020-02-03,26.47
2020-02-04,26.89
2020-02-05,27.18
2020-02-06,27.27
2020-02-07,27.14
2020-02-08,
2020-02-09,
2020-02-10,27.38
2020-02-11,27.43
2020-02-12,27.61
2020-02-13,27.57
2020-02-14,27.65
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,27.59
2020-02-19,27.73
2020-02-20,27.67
2020-02-21,27.33
2020-02-22,
2020-02-23,
2020-02-24,26.36
2020-02-25,25.55
2020-02-26,25.45
2020-02-27,24.4
2020-02-28,24.27
2020-02-29,
2020-03-01,
2020-03-02,25.3
2020-03-03,24.66
2020-03-04,25.69
2020-03-05,24.85
2020-03-06,24.36
2020-03-07,
2020-03-08,
2020-03-09,22.48
2020-03-10,23.64
2020-03-11,22.44
2020-03-12,20.33
2020-03-13,22.14
2020-03-14,
2020-03-15,
2020-03-16,19.44
2020-03-17,20.41
2020-03-18,19.39
2020-03-19,19.56
2020-03-20,18.84
2020-03-21,
2020-03-22,
2020-03-23,18.48
2020-03-24,20.15
2020-03-25,20.48
2020-03-26,21.6
2020-03-27,20.9
2020-03-28,
2020-03-29,
2020-03-30,20.91
2020-03-31,21.34
2020-04-01,20.36
2020-04-02,20.79
2020-04-03,20.43
2020-04-04,
2020-04-05,
2020-04-06,21.8
2020-04-07,21.71
2020-04-08,22.42
2020-04-09,22.68
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,22.51
2020-04-14,23.19
2020-04-15,22.75
2020-04-16,22.99
2020-04-17,23.53
2020-04-18,
2020-04-19,
2020-04-20,23.13
2020-04-21,22.42
2020-04-22,22.92
2020-04-23,22.96
2020-04-24,23.3
2020-04-25,
2020-04-26,
2020-04-27,23.62
2020-04-28,23.49
2020-04-29,24.13
2020-04-30,23.91
2020-05-01,23.3
2020-05-02,
2020-05-03,
2020-05-04,23.44
2020-05-05,23.7
2020-05-06,23.62
2020-05-07,23.91
2020-05-08,24.27
2020-05-09,
2020-05-10,
2020-05-11,24.32
2020-05-12,23.85
2020-05-13,23.48
2020-05-14,23.7
2020-05-15,23.9
2020-05-16,
2020-05-17,
2020-05-18,24.6
2020-05-19,24.42
2020-05-20,24.8
2020-05-21,24.61
2020-05-22,24.66
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,24.9
2020-05-27,25.2
2020-05-28,25.11
2020-05-29,25.24
2020-05-30,
2020-05-31,
2020-06-01,25.38
2020-06-02,25.58
2020-06-03,25.91
2020-06-04,25.81
2020-06-05,26.42
2020-06-06,
2020-06-07,
2020-06-08,26.7
2020-06-09,26.51
2020-06-10,26.43
2020-06-11,24.97
2020-06-12,25.32
2020-06-13,
2020-06-14,
2020-06-15,25.53
2020-06-16,25.98
2020-06-17,25.99
2020-06-18,26.02
2020-06-19,25.92
2020-06-20,
2020-06-21,
2020-06-22,26.11
2020-06-23,26.24
2020-06-24,25.55
2020-06-25,25.83
2020-06-26,25.17
2020-06-27,
2020-06-28,
2020-06-29,25.54
2020-06-30,25.91
2020-07-01,26.11
2020-07-02,26.22
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,26.66
2020-07-07,26.38
2020-07-08,26.63
2020-07-09,26.52
2020-07-10,26.75
2020-07-11,
2020-07-12,
2020-07-13,26.45
2020-07-14,26.84
