Date,Close
2024-01-01,
2024-01-02,50.52
2024-01-03,49.93
2024-01-04,49.88
2024-01-05,49.93
2024-01-06,
2024-01-07,
2024-01-08,50.56
2024-01-09,50.39
2024-01-10,50.53
2024-01-11,50.51
2024-01-12,50.6
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,50.18
2024-01-17,49.8
2024-01-18,50.15
2024-01-19,50.72
2024-01-20,
2024-01-21,
2024-01-22,50.78
2024-01-23,50.71
2024-01-24,50.8
2024-01-25,50.99
2024-01-26,51.1
2024-01-27,
2024-01-28,
2024-01-29,51.38
2024-01-30,51.3
2024-01-31,50.61
2024-02-01,51.23
2024-02-02,51.13
2024-02-03,
2024-02-04,
2024-02-05,50.98
2024-02-06,51.25
2024-02-07,51.46
2024-02-08,51.55
2024-02-09,51.86
2024-02-10,
2024-02-11,
2024-02-12,51.94
2024-02-13,51.28
2024-02-14,51.72
2024-02-15,51.93
2024-02-16,51.94
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,51.84
2024-02-21,51.87
2024-02-22,52.65
2024-02-23,52.72
2024-02-24,
2024-02-25,
2024-02-26,52.56
2024-02-27,52.64
2024-02-28,52.51
2024-02-29,52.61
2024-03-01,52.93
2024-03-02,
2024-03-03,
2024-03-04,52.98
2024-03-05,52.67
2024-03-06,53.01
2024-03-07,53.63
2024-03-08,53.44
2024-03-09,
2024-03-10,
2024-03-11,53.33
2024-03-12,53.86
2024-03-13,53.88
2024-03-14,53.62
2024-03-15,53.17
2024-03-16,
2024-03-17,
2024-03-18,53.34
2024-03-19,53.48
2024-03-20,53.98
2024-03-21,54.02
2024-03-22,53.82
2024-03-23,
2024-03-24,
2024-03-25,53.68
2024-03-26,53.62
2024-03-27,53.97
2024-03-28,53.93
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,53.78
2024-04-02,53.36
2024-04-03,53.38
2024-04-04,52.85
2024-04-05,53.21
2024-04-06,
2024-04-07,
2024-04-08,53.34
2024-04-09,53.47
2024-04-10,52.86
2024-04-11,53.11
2024-04-12,53.11
2024-04-13,
2024-04-14,
2024-04-15,51.84
2024-04-16,51.59
2024-04-17,51.37
2024-04-18,51.2
2024-04-19,50.99
2024-04-20,
2024-04-21,
2024-04-22,51.55
2024-04-23,51.96
2024-04-24,51.95
2024-04-25,51.87
2024-04-26,52.48
2024-04-27,
2024-04-28,
2024-04-29,52.54
2024-04-30,51.77
2024-05-01,51.46
2024-05-02,51.97
