Date,Close
2024-01-01,
2024-01-02,13.8
2024-01-03,13.4
2024-01-04,13.28
2024-01-05,13.11
2024-01-06,
2024-01-07,
2024-01-08,13.14
2024-01-09,12.48
2024-01-10,12.31
2024-01-11,12.27
2024-01-12,12.31
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,12.21
2024-01-17,12.36
2024-01-18,12.34
2024-01-19,13.11
2024-01-20,
2024-01-21,
2024-01-22,13.86
2024-01-23,13.79
2024-01-24,13.87
2024-01-25,13.93
2024-01-26,13.6
2024-01-27,
2024-01-28,
2024-01-29,13.99
2024-01-30,13.75
2024-01-31,13.46
2024-02-01,13.29
2024-02-02,13.32
2024-02-03,
2024-02-04,
2024-02-05,13.07
2024-02-06,13.01
2024-02-07,12.78
2024-02-08,12.91
2024-02-09,13.08
2024-02-10,
2024-02-11,
2024-02-12,13.61
2024-02-13,12.94
2024-02-14,13.1
2024-02-15,13.55
2024-02-16,13.48
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,13.37
2024-02-21,13.17
2024-02-22,13.13
2024-02-23,13.37
2024-02-24,
2024-02-25,
2024-02-26,12.97
2024-02-27,13.05
2024-02-28,12.36
2024-02-29,12.33
2024-03-01,13.0
2024-03-02,
2024-03-03,
2024-03-04,12.59
2024-03-05,12.33
2024-03-06,12.62
2024-03-07,12.83
2024-03-08,12.54
2024-03-09,
2024-03-10,
2024-03-11,12.27
2024-03-12,11.91
2024-03-13,12.11
2024-03-14,11.99
2024-03-15,11.98
2024-03-16,
2024-03-17,
2024-03-18,11.86
2024-03-19,11.96
2024-03-20,12.43
2024-03-21,12.4
2024-03-22,12.25
2024-03-23,
2024-03-24,
2024-03-25,12.18
2024-03-26,12.11
2024-03-27,12.74
2024-03-28,12.86
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,12.76
2024-04-02,12.46
2024-04-03,12.56
2024-04-04,12.32
2024-04-05,12.4
2024-04-06,
2024-04-07,
2024-04-08,12.99
2024-04-09,13.49
2024-04-10,13.47
2024-04-11,13.94
2024-04-12,13.26
2024-04-13,
2024-04-14,
2024-04-15,13.01
2024-04-16,12.82
2024-04-17,12.87
2024-04-18,13.08
2024-04-19,13.39
2024-04-20,
2024-04-21,
2024-04-22,13.69
2024-04-23,13.74
2024-04-24,13.97
2024-04-25,13.65
2024-04-26,13.17
2024-04-27,
2024-04-28,
2024-04-29,13.39
2024-04-30,13.36
2024-05-01,13.38
2024-05-02,13.92
2024-05-03,13.83
2024-05-04,
2024-05-05,
2024-05-06,13.82
2024-05-07,15.16
2024-05-08,14.72
2024-05-09,14.7
2024-05-10,14.78
2024-05-11,
2024-05-12,
2024-05-13,14.5
2024-05-14,14.63
2024-05-15,14.77
2024-05-16,14.63
2024-05-17,14.83
2024-05-18,
2024-05-19,
2024-05-20,14.39
2024-05-21,14.53
2024-05-22,14.65
2024-05-23,14.57
2024-05-24,14.67
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,14.71
2024-05-29,14.36
2024-05-30,14.54
2024-05-31,14.37
2024-06-01,
2024-06-02,
2024-06-03,14.26
2024-06-04,13.96
2024-06-05,13.92
2024-06-06,13.75
2024-06-07,13.63
2024-06-08,
2024-06-09,
2024-06-10,13.43
2024-06-11,12.93
2024-06-12,12.92
2024-06-13,12.57
2024-06-14,12.48
2024-06-15,
2024-06-16,
2024-06-17,12.54
2024-06-18,12.61
2024-06-19,
2024-06-20,12.81
2024-06-21,12.53
2024-06-22,
2024-06-23,
2024-06-24,12.73
2024-06-25,12.52
2024-06-26,12.41
2024-06-27,12.47
2024-06-28,12.22
2024-06-29,
2024-06-30,
2024-07-01,12.2
2024-07-02,12.17
2024-07-03,12.11
2024-07-04,
2024-07-05,11.44
2024-07-06,
2024-07-07,
2024-07-08,11.32
2024-07-09,10.89
2024-07-10,11.1
2024-07-11,11.51
2024-07-12,11.35
2024-07-13,
2024-07-14,
2024-07-15,11.71
2024-07-16,11.86
2024-07-17,11.93
2024-07-18,11.58
2024-07-19,11.25
2024-07-20,
2024-07-21,
2024-07-22,11.37
2024-07-23,11.43
2024-07-24,11.3
2024-07-25,11.57
2024-07-26,11.76
2024-07-27,
2024-07-28,
2024-07-29,11.69
2024-07-30,13.16
2024-07-31,13.1
2024-08-01,12.62
2024-08-02,12.17
2024-08-03,
2024-08-04,
2024-08-05,11.83
2024-08-06,11.56
2024-08-07,11.36
2024-08-08,11.54
2024-08-09,13.42
2024-08-10,
2024-08-11,
2024-08-12,12.69
2024-08-13,13.12
2024-08-14,13.3
2024-08-15,13.53
2024-08-16,13.67
2024-08-17,
2024-08-18,
2024-08-19,13.68
2024-08-20,13.46
2024-08-21,13.51
2024-08-22,13.57
