Date,Close
2024-01-01,
2024-01-02,31.79
2024-01-03,31.45
2024-01-04,31.3
2024-01-05,31.32
2024-01-06,
2024-01-07,
2024-01-08,32.09
2024-01-09,32.17
2024-01-10,32.61
2024-01-11,32.75
2024-01-12,32.83
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,32.79
2024-01-17,32.55
2024-01-18,32.99
2024-01-19,33.54
2024-01-20,
2024-01-21,
2024-01-22,33.64
2024-01-23,33.63
2024-01-24,34.06
2024-01-25,34.14
2024-01-26,34.45
2024-01-27,
2024-01-28,
2024-01-29,34.86
2024-01-30,34.67
2024-01-31,34.15
2024-02-01,34.85
2024-02-02,35.32
2024-02-03,
2024-02-04,
2024-02-05,35.53
2024-02-06,35.29
2024-02-07,35.84
2024-02-08,36.07
2024-02-09,36.66
2024-02-10,
2024-02-11,
2024-02-12,36.4
2024-02-13,35.84
2024-02-14,36.49
2024-02-15,36.58
2024-02-16,36.58
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,36.02
2024-02-21,35.58
2024-02-22,36.96
2024-02-23,36.75
2024-02-24,
2024-02-25,
2024-02-26,36.96
2024-02-27,37.01
2024-02-28,36.84
2024-02-29,37.01
2024-03-01,37.64
2024-03-02,
2024-03-03,
2024-03-04,37.61
2024-03-05,36.87
2024-03-06,37.2
2024-03-07,37.93
2024-03-08,37.2
2024-03-09,
2024-03-10,
2024-03-11,36.9
2024-03-12,37.58
2024-03-13,37.47
2024-03-14,37.45
2024-03-15,36.83
2024-03-16,
2024-03-17,
2024-03-18,37.07
2024-03-19,37.23
2024-03-20,37.7
2024-03-21,37.85
2024-03-22,37.78
2024-03-23,
2024-03-24,
2024-03-25,37.77
2024-03-26,37.59
2024-03-27,37.43
2024-03-28,37.35
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,37.33
2024-04-02,36.98
2024-04-03,37.14
2024-04-04,36.6
2024-04-05,37.18
2024-04-06,
2024-04-07,
2024-04-08,37.13
2024-04-09,36.88
2024-04-10,36.66
2024-04-11,37.16
2024-04-12,37.16
2024-04-13,
2024-04-14,
2024-04-15,35.9
2024-04-16,36.01
2024-04-17,35.71
2024-04-18,35.5
2024-04-19,34.65
2024-04-20,
2024-04-21,
2024-04-22,34.97
2024-04-23,35.71
2024-04-24,35.52
2024-04-25,35.24
2024-04-26,35.89
2024-04-27,
2024-04-28,
2024-04-29,35.78
2024-04-30,35.21
2024-05-01,35.09
2024-05-02,35.49
2024-05-03,36.18
2024-05-04,
2024-05-05,
2024-05-06,36.74
2024-05-07,36.58
2024-05-08,36.62
2024-05-09,36.67
2024-05-10,36.73
2024-05-11,
2024-05-12,
2024-05-13,36.73
2024-05-14,36.93
2024-05-15,37.6
2024-05-16,37.35
2024-05-17,37.35
2024-05-18,
2024-05-19,
2024-05-20,37.6
2024-05-21,37.61
2024-05-22,37.4
2024-05-23,37.43
2024-05-24,37.75
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,37.96
2024-05-29,37.64
2024-05-30,37.3
2024-05-31,37.29
2024-06-01,
2024-06-02,
2024-06-03,37.43
2024-06-04,37.49
2024-06-05,38.35
2024-06-06,38.4
2024-06-07,38.21
2024-06-08,
2024-06-09,
2024-06-10,38.4
2024-06-11,38.44
2024-06-12,39.03
2024-06-13,39.14
2024-06-14,39.04
2024-06-15,
2024-06-16,
2024-06-17,39.45
2024-06-18,39.51
2024-06-19,
2024-06-20,39.27
2024-06-21,39.05
2024-06-22,
2024-06-23,
2024-06-24,38.68
2024-06-25,39.31
2024-06-26,39.34
2024-06-27,39.34
2024-06-28,39.03
2024-06-29,
2024-06-30,
2024-07-01,39.25
2024-07-02,39.36
2024-07-03,39.65
2024-07-04,
2024-07-05,40.08
2024-07-06,
2024-07-07,
2024-07-08,40.06
2024-07-09,40.1
2024-07-10,40.43
2024-07-11,39.78
2024-07-12,40.13
2024-07-13,
2024-07-14,
2024-07-15,39.99
2024-07-16,39.86
2024-07-17,38.47
2024-07-18,38.05
2024-07-19,37.93
2024-07-20,
2024-07-21,
2024-07-22,38.46
2024-07-23,38.44
2024-07-24,37.07
2024-07-25,36.65
2024-07-26,37.02
2024-07-27,
2024-07-28,
2024-07-29,36.81
2024-07-30,36.43
2024-07-31,37.39
2024-08-01,36.82
2024-08-02,36.13
2024-08-03,
2024-08-04,
2024-08-05,35.28
2024-08-06,35.87
2024-08-07,35.46
2024-08-08,36.52
2024-08-09,37.04
2024-08-10,
2024-08-11,
2024-08-12,36.99
2024-08-13,37.82
2024-08-14,38.2
2024-08-15,38.88
2024-08-16,38.96
2024-08-17,
2024-08-18,
2024-08-19,39.42
2024-08-20,39.47
2024-08-21,39.73
2024-08-22,39.27
2024-08-23,39.63
2024-08-24,
2024-08-25,
2024-08-26,39.31
2024-08-27,39.42
2024-08-28,38.98
2024-08-29,39.11
2024-08-30,39.58
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,38.45
2024-09-04,38.15
2024-09-05,37.94
2024-09-06,37.11
2024-09-07,
2024-09-08,
2024-09-09,37.58
2024-09-10,37.65
2024-09-11,38.45
2024-09-12,39.07
2024-09-13,39.13
2024-09-14,
2024-09-15,
2024-09-16,39.04
2024-09-17,38.99
2024-09-18,38.84
2024-09-19,39.86
2024-09-20,39.55
2024-09-21,
2024-09-22,
2024-09-23,39.62
2024-09-24,39.86
2024-09-25,39.83
2024-09-26,40.02
2024-09-27,39.67
2024-09-28,
2024-09-29,
2024-09-30,39.7
2024-10-01,39.15
2024-10-02,39.11
2024-10-03,39.01
2024-10-04,39.34
2024-10-05,
2024-10-06,
2024-10-07,39.07
2024-10-08,39.77
2024-10-09,40.06
2024-10-10,40.0
2024-10-11,40.34
2024-10-12,
2024-10-13,
2024-10-14,40.61
2024-10-15,39.85
2024-10-16,39.84
2024-10-17,40.0
2024-10-18,40.22
2024-10-19,
2024-10-20,
2024-10-21,40.28
2024-10-22,40.21
2024-10-23,39.77
2024-10-24,39.89
2024-10-25,40.01
2024-10-26,
2024-10-27,
2024-10-28,40.03
2024-10-29,40.36
2024-10-30,40.07
2024-10-31,39.19
2024-11-01,39.33
2024-11-02,
2024-11-03,
2024-11-04,39.23
2024-11-05,39.65
2024-11-06,40.08
2024-11-07,40.54
2024-11-08,40.44
2024-11-09,
2024-11-10,
2024-11-11,40.43
2024-11-12,40.3
2024-11-13,40.31
2024-11-14,40.15
2024-11-15,39.16
2024-11-16,
2024-11-17,
2024-11-18,39.15
2024-11-19,39.54
2024-11-20,39.64
2024-11-21,39.94
2024-11-22,40.06
2024-11-23,
2024-11-24,
2024-11-25,40.14
2024-11-26,40.34
2024-11-27,40.03
2024-11-28,
2024-11-29,40.24
2024-11-30,
2024-12-01,
2024-12-02,40.57
2024-12-03,40.95
2024-12-04,41.64
2024-12-05,41.54
2024-12-06,41.98
2024-12-07,
2024-12-08,
2024-12-09,41.35
2024-12-10,40.8
2024-12-11,41.36
2024-12-12,41.05
2024-12-13,41.11
2024-12-14,
2024-12-15,
2024-12-16,41.45
2024-12-17,41.13
2024-12-18,39.69
2024-12-19,39.66
2024-12-20,39.94
