Date,Close
2020-01-01,
2020-01-02,23.7
2020-01-03,23.61
2020-01-04,
2020-01-05,
2020-01-06,23.81
2020-01-07,23.86
2020-01-08,24.02
2020-01-09,24.25
2020-01-10,24.17
2020-01-11,
2020-01-12,
2020-01-13,24.53
2020-01-14,24.45
2020-01-15,24.53
2020-01-16,24.66
2020-01-17,24.73
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,24.63
2020-01-22,24.72
2020-01-23,24.59
2020-01-24,24.48
2020-01-25,
2020-01-26,
2020-01-27,23.98
2020-01-28,24.34
2020-01-29,24.44
2020-01-30,24.39
2020-01-31,24.1
2020-02-01,
2020-02-02,
2020-02-03,24.57
2020-02-04,25.27
2020-02-05,25.02
2020-02-06,25.09
2020-02-07,24.98
2020-02-08,
2020-02-09,
2020-02-10,25.21
2020-02-11,25.34
2020-02-12,25.69
2020-02-13,25.74
2020-02-14,25.84
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,26.01
2020-02-19,26.32
2020-02-20,26.11
2020-02-21,25.72
2020-02-22,
2020-02-23,
2020-02-24,24.63
2020-02-25,24.09
2020-02-26,24.09
2020-02-27,23.25
2020-02-28,23.3
2020-02-29,
2020-03-01,
2020-03-02,24.03
2020-03-03,23.62
2020-03-04,24.27
2020-03-05,23.73
2020-03-06,23.18
2020-03-07,
2020-03-08,
2020-03-09,21.55
2020-03-10,22.35
2020-03-11,21.33
2020-03-12,19.41
2020-03-13,20.28
2020-03-14,
2020-03-15,
2020-03-16,18.03
2020-03-17,18.8
2020-03-18,18.08
2020-03-19,18.62
2020-03-20,18.61
2020-03-21,
2020-03-22,
2020-03-23,18.66
2020-03-24,20.11
2020-03-25,20.46
2020-03-26,21.26
2020-03-27,20.63
2020-03-28,
2020-03-29,
2020-03-30,21.01
2020-03-31,20.77
2020-04-01,19.98
2020-04-02,20.17
2020-04-03,19.89
2020-04-04,
2020-04-05,
2020-04-06,21.03
2020-04-07,20.92
2020-04-08,21.37
2020-04-09,21.48
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,21.76
2020-04-14,22.61
2020-04-15,22.49
2020-04-16,22.86
2020-04-17,23.27
2020-04-18,
2020-04-19,
2020-04-20,23.39
2020-04-21,22.71
2020-04-22,23.22
2020-04-23,23.1
2020-04-24,23.28
2020-04-25,
2020-04-26,
2020-04-27,23.51
2020-04-28,23.21
2020-04-29,23.81
2020-04-30,23.79
2020-05-01,23.15
2020-05-02,
2020-05-03,
2020-05-04,23.48
2020-05-05,23.69
2020-05-06,24.08
2020-05-07,24.54
2020-05-08,24.91
2020-05-09,
2020-05-10,
2020-05-11,25.17
2020-05-12,24.83
2020-05-13,24.85
2020-05-14,24.92
2020-05-15,25.14
2020-05-16,
2020-05-17,
2020-05-18,25.61
2020-05-19,25.6
2020-05-20,26.08
2020-05-21,25.89
2020-05-22,25.85
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,25.85
2020-05-27,25.69
2020-05-28,25.91
2020-05-29,26.53
2020-05-30,
2020-05-31,
2020-06-01,26.87
2020-06-02,26.97
2020-06-03,27.29
2020-06-04,27.0
2020-06-05,27.2
2020-06-06,
2020-06-07,
2020-06-08,27.21
2020-06-09,27.43
2020-06-10,28.03
2020-06-11,26.85
2020-06-12,27.08
2020-06-13,
2020-06-14,
2020-06-15,27.62
2020-06-16,28.07
2020-06-17,28.26
2020-06-18,28.42
2020-06-19,28.47
2020-06-20,
2020-06-21,
2020-06-22,28.97
2020-06-23,29.23
2020-06-24,28.57
2020-06-25,28.89
2020-06-26,28.48
2020-06-27,
2020-06-28,
2020-06-29,28.6
2020-06-30,29.12
2020-07-01,29.65
2020-07-02,30.0
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,30.77
2020-07-07,30.58
2020-07-08,31.23
2020-07-09,31.55
2020-07-10,31.79
2020-07-11,
2020-07-12,
2020-07-13,30.88
2020-07-14,30.95
2020-07-15,31.13
2020-07-16,30.55
2020-07-17,30.74
2020-07-18,
2020-07-19,
2020-07-20,31.93
2020-07-21,31.73
2020-07-22,31.68
2020-07-23,31.11
2020-07-24,30.65
2020-07-25,
2020-07-26,
2020-07-27,31.38
2020-07-28,31.01
2020-07-29,31.69
2020-07-30,31.69
2020-07-31,31.83
2020-08-01,
2020-08-02,
2020-08-03,32.63
2020-08-04,32.74
2020-08-05,33.04
2020-08-06,33.05
2020-08-07,32.36
2020-08-08,
2020-08-09,
2020-08-10,31.8
2020-08-11,31.34
2020-08-12,32.11
2020-08-13,32.49
2020-08-14,32.35
2020-08-15,
2020-08-16,
2020-08-17,33.07
2020-08-18,33.55
2020-08-19,33.33
2020-08-20,33.79
2020-08-21,33.86
2020-08-22,
2020-08-23,
2020-08-24,34.03
2020-08-25,34.26
2020-08-26,35.25
2020-08-27,35.09
2020-08-28,35.14
2020-08-29,
2020-08-30,
2020-08-31,35.54
2020-09-01,36.29
2020-09-02,36.34
2020-09-03,34.29
2020-09-04,33.75
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,32.22
2020-09-09,33.04
2020-09-10,32.59
2020-09-11,32.51
2020-09-12,
2020-09-13,
2020-09-14,33.15
2020-09-15,33.64
2020-09-16,33.24
2020-09-17,32.87
2020-09-18,33.0
2020-09-19,
2020-09-20,
2020-09-21,33.26
2020-09-22,33.52
2020-09-23,32.65
2020-09-24,32.62
2020-09-25,33.32
2020-09-26,
2020-09-27,
2020-09-28,33.76
2020-09-29,33.95
2020-09-30,34.18
2020-10-01,34.97
2020-10-02,34.28
2020-10-03,
2020-10-04,
2020-10-05,34.96
2020-10-06,34.57
2020-10-07,35.43
2020-10-08,35.39
2020-10-09,36.04
2020-10-10,
2020-10-11,
2020-10-12,36.83
2020-10-13,37.06
2020-10-14,36.68
2020-10-15,36.37
2020-10-16,36.36
2020-10-17,
2020-10-18,
2020-10-19,36.02
2020-10-20,36.13
2020-10-21,35.89
2020-10-22,35.58
2020-10-23,35.78
2020-10-24,
2020-10-25,
2020-10-26,35.32
2020-10-27,35.75
2020-10-28,34.65
2020-10-29,34.9
2020-10-30,33.51
2020-10-31,
2020-11-01,
2020-11-02,33.68
2020-11-03,34.41
2020-11-04,35.89
2020-11-05,37.14
2020-11-06,37.27
2020-11-07,
2020-11-08,
2020-11-09,35.77
2020-11-10,34.89
2020-11-11,35.69
2020-11-12,35.66
2020-11-13,35.78
2020-11-14,
2020-11-15,
2020-11-16,35.89
2020-11-17,36.03
2020-11-18,36.11
2020-11-19,36.57
2020-11-20,36.78
2020-11-21,
2020-11-22,
2020-11-23,36.84
2020-11-24,36.84
2020-11-25,37.24
2020-11-26,
2020-11-27,37.78
2020-11-28,
2020-11-29,
2020-11-30,37.77
2020-12-01,38.0
2020-12-02,37.92
2020-12-03,38.34
2020-12-04,38.5
2020-12-05,
2020-12-06,
2020-12-07,38.84
2020-12-08,39.17
2020-12-09,38.09
2020-12-10,38.71
2020-12-11,38.83
2020-12-12,
2020-12-13,
2020-12-14,38.98
2020-12-15,39.41
2020-12-16,39.96
2020-12-17,40.63
2020-12-18,40.83
2020-12-19,
2020-12-20,
2020-12-21,40.76
2020-12-22,41.22
2020-12-23,40.76
2020-12-24,40.76
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,40.34
2020-12-29,40.54
2020-12-30,40.89
2020-12-31,40.63
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,40.23
2021-01-05,40.5
2021-01-06,39.58
2021-01-07,40.66
2021-01-08,41.39
2021-01-09,
2021-01-10,
2021-01-11,40.76
2021-01-12,41.2
2021-01-13,41.4
2021-01-14,41.2
2021-01-15,40.72
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,41.05
2021-01-20,42.34
2021-01-21,42.35
2021-01-22,42.57
2021-01-23,
2021-01-24,
2021-01-25,42.44
2021-01-26,41.78
2021-01-27,40.37
2021-01-28,41.04
2021-01-29,40.38
2021-01-30,
2021-01-31,
2021-02-01,41.69
2021-02-02,42.65
2021-02-03,42.36
2021-02-04,43.07
2021-02-05,43.59
2021-02-06,
2021-02-07,
2021-02-08,43.77
2021-02-09,44.21
2021-02-10,44.58
2021-02-11,44.92
2021-02-12,45.12
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,44.85
2021-02-17,44.19
2021-02-18,44.12
2021-02-19,44.38
2021-02-20,
2021-02-21,
2021-02-22,42.38
2021-02-23,41.97
2021-02-24,41.71
2021-02-25,39.98
2021-02-26,40.17
2021-02-27,
2021-02-28,
2021-03-01,41.52
2021-03-02,40.67
2021-03-03,39.03
2021-03-04,37.55
2021-03-05,37.52
2021-03-06,
2021-03-07,
2021-03-08,36.14
2021-03-09,38.26
2021-03-10,38.01
2021-03-11,39.86
2021-03-12,39.35
2021-03-13,
2021-03-14,
2021-03-15,39.67
2021-03-16,39.45
2021-03-17,39.75
2021-03-18,38.09
2021-03-19,38.26
2021-03-20,
2021-03-21,
2021-03-22,38.73
2021-03-23,38.22
2021-03-24,36.76
2021-03-25,36.65
2021-03-26,37.03
2021-03-27,
2021-03-28,
2021-03-29,36.49
2021-03-30,36.86
2021-03-31,37.74
2021-04-01,38.72
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,38.97
2021-04-06,39.34
2021-04-07,39.15
2021-04-08,40.08
2021-04-09,39.99
2021-04-10,
2021-04-11,
2021-04-12,40.04
2021-04-13,40.76
2021-04-14,40.22
2021-04-15,40.9
2021-04-16,40.8
2021-04-17,
2021-04-18,
2021-04-19,40.26
2021-04-20,39.7
2021-04-21,40.1
2021-04-22,40.05
2021-04-23,40.83
2021-04-24,
2021-04-25,
2021-04-26,41.32
2021-04-27,41.16
2021-04-28,41.41
2021-04-29,41.0
2021-04-30,40.5
2021-05-01,
2021-05-02,
2021-05-03,40.11
2021-05-04,38.88
2021-05-05,38.73
2021-05-06,38.13
2021-05-07,38.59
2021-05-08,
2021-05-09,
2021-05-10,37.2
2021-05-11,37.36
2021-05-12,36.19
2021-05-13,35.93
2021-05-14,36.85
2021-05-15,
2021-05-16,
2021-05-17,36.75
2021-05-18,36.88
2021-05-19,36.75
2021-05-20,37.79
2021-05-21,37.72
2021-05-22,
2021-05-23,
2021-05-24,38.45
2021-05-25,38.62
2021-05-26,38.87
2021-05-27,39.0
2021-05-28,39.01
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,39.25
2021-06-02,39.13
2021-06-03,38.27
2021-06-04,38.96
2021-06-05,
2021-06-06,
2021-06-07,39.18
2021-06-08,39.29
2021-06-09,39.26
2021-06-10,39.71
2021-06-11,40.04
2021-06-12,
2021-06-13,
2021-06-14,40.47
2021-06-15,40.08
2021-06-16,40.03
2021-06-17,40.86
2021-06-18,41.1
2021-06-19,
2021-06-20,
2021-06-21,41.27
2021-06-22,41.62
2021-06-23,41.74
2021-06-24,42.18
2021-06-25,42.12
2021-06-26,
2021-06-27,
2021-06-28,42.48
2021-06-29,42.58
2021-06-30,42.14
2021-07-01,42.06
2021-07-02,42.33
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,42.38
2021-07-07,42.37
2021-07-08,41.69
2021-07-09,42.54
2021-07-10,
2021-07-11,
2021-07-12,42.66
2021-07-13,42.47
2021-07-14,42.35
2021-07-15,41.84
2021-07-16,41.57
2021-07-17,
2021-07-18,
2021-07-19,41.29
2021-07-20,41.92
2021-07-21,42.44
2021-07-22,42.87
2021-07-23,43.59
2021-07-24,
2021-07-25,
2021-07-26,43.24
2021-07-27,42.54
2021-07-28,43.37
2021-07-29,43.5
2021-07-30,43.16
2021-07-31,
2021-08-01,
2021-08-02,43.62
2021-08-03,43.8
2021-08-04,44.35
2021-08-05,44.97
2021-08-06,44.38
2021-08-07,
2021-08-08,
2021-08-09,44.73
2021-08-10,44.39
2021-08-11,44.05
2021-08-12,44.41
2021-08-13,44.51
2021-08-14,
2021-08-15,
