Date,Close
2020-01-01,
2020-01-02,33.62
2020-01-03,33.42
2020-01-04,
2020-01-05,
2020-01-06,33.64
2020-01-07,33.64
2020-01-08,33.93
2020-01-09,34.2
2020-01-10,34.14
2020-01-11,
2020-01-12,
2020-01-13,34.46
2020-01-14,34.3
2020-01-15,34.46
2020-01-16,34.77
2020-01-17,35.01
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,34.99
2020-01-22,35.04
2020-01-23,35.07
2020-01-24,34.71
2020-01-25,
2020-01-26,
2020-01-27,34.12
2020-01-28,34.59
2020-01-29,34.69
2020-01-30,34.75
2020-01-31,34.16
2020-02-01,
2020-02-02,
2020-02-03,34.57
2020-02-04,35.2
2020-02-05,35.29
2020-02-06,35.44
2020-02-07,35.23
2020-02-08,
2020-02-09,
2020-02-10,35.67
2020-02-11,35.71
2020-02-12,36.02
2020-02-13,36.02
2020-02-14,36.12
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,36.11
2020-02-19,36.35
2020-02-20,36.15
2020-02-21,35.61
2020-02-22,
2020-02-23,
2020-02-24,34.31
2020-02-25,33.36
2020-02-26,33.36
2020-02-27,32.04
2020-02-28,32.01
2020-02-29,
2020-03-01,
2020-03-02,33.36
2020-03-03,32.44
2020-03-04,33.73
2020-03-05,32.7
2020-03-06,32.11
2020-03-07,
2020-03-08,
2020-03-09,29.89
2020-03-10,31.41
2020-03-11,29.89
2020-03-12,27.24
2020-03-13,29.42
2020-03-14,
2020-03-15,
2020-03-16,25.76
2020-03-17,26.98
2020-03-18,25.79
2020-03-19,26.37
2020-03-20,25.53
2020-03-21,
2020-03-22,
2020-03-23,25.26
2020-03-24,27.44
2020-03-25,27.72
2020-03-26,29.16
2020-03-27,28.09
2020-03-28,
2020-03-29,
2020-03-30,28.86
2020-03-31,28.56
2020-04-01,27.29
2020-04-02,27.61
2020-04-03,27.12
2020-04-04,
2020-04-05,
2020-04-06,29.13
2020-04-07,29.13
2020-04-08,30.14
2020-04-09,30.43
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,30.58
2020-04-14,31.67
2020-04-15,31.26
2020-04-16,31.67
2020-04-17,32.25
2020-04-18,
2020-04-19,
2020-04-20,31.91
2020-04-21,30.97
2020-04-22,31.86
2020-04-23,31.9
2020-04-24,32.29
2020-04-25,
2020-04-26,
2020-04-27,32.69
2020-04-28,32.23
2020-04-29,33.23
2020-04-30,33.07
2020-05-01,32.1
2020-05-02,
2020-05-03,
2020-05-04,32.44
2020-05-05,32.85
2020-05-06,32.97
2020-05-07,33.37
2020-05-08,33.8
2020-05-09,
2020-05-10,
2020-05-11,34.06
2020-05-12,33.37
2020-05-13,32.85
2020-05-14,33.28
2020-05-15,33.57
2020-05-16,
2020-05-17,
2020-05-18,34.32
2020-05-19,34.16
2020-05-20,34.74
2020-05-21,34.51
2020-05-22,34.58
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,34.76
2020-05-27,35.0
2020-05-28,34.99
2020-05-29,35.4
2020-05-30,
2020-05-31,
