Date,Close
2020-01-01,
2020-01-02,26.62
2020-01-03,26.46
2020-01-04,
2020-01-05,
2020-01-06,26.57
2020-01-07,26.5
2020-01-08,26.63
2020-01-09,26.81
2020-01-10,26.73
2020-01-11,
2020-01-12,
2020-01-13,26.94
2020-01-14,26.91
2020-01-15,26.97
2020-01-16,27.17
2020-01-17,27.28
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,27.17
2020-01-22,27.19
2020-01-23,27.21
2020-01-24,26.91
2020-01-25,
2020-01-26,
2020-01-27,26.48
2020-01-28,26.77
2020-01-29,26.8
2020-01-30,26.84
2020-01-31,26.32
2020-02-01,
2020-02-02,
2020-02-03,26.51
2020-02-04,26.94
2020-02-05,27.22
2020-02-06,27.31
2020-02-07,27.18
2020-02-08,
2020-02-09,
2020-02-10,27.42
2020-02-11,27.47
2020-02-12,27.65
2020-02-13,27.62
2020-02-14,27.69
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,27.63
2020-02-19,27.77
2020-02-20,27.72
2020-02-21,27.37
2020-02-22,
2020-02-23,
2020-02-24,26.41
2020-02-25,25.6
2020-02-26,25.49
2020-02-27,24.44
2020-02-28,24.31
2020-02-29,
2020-03-01,
2020-03-02,25.34
2020-03-03,24.7
2020-03-04,25.74
2020-03-05,24.89
2020-03-06,24.41
2020-03-07,
2020-03-08,
2020-03-09,22.52
2020-03-10,23.68
2020-03-11,22.48
2020-03-12,20.37
2020-03-13,22.18
2020-03-14,
2020-03-15,
2020-03-16,19.47
2020-03-17,20.45
2020-03-18,19.42
2020-03-19,19.59
2020-03-20,18.88
2020-03-21,
2020-03-22,
2020-03-23,18.51
2020-03-24,20.18
2020-03-25,20.52
2020-03-26,21.65
2020-03-27,20.94
2020-03-28,
2020-03-29,
2020-03-30,20.95
2020-03-31,21.38
2020-04-01,20.4
2020-04-02,20.83
2020-04-03,20.47
2020-04-04,
2020-04-05,
2020-04-06,21.84
2020-04-07,21.75
2020-04-08,22.47
2020-04-09,22.74
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,22.56
2020-04-14,23.24
2020-04-15,22.8
2020-04-16,23.03
2020-04-17,23.57
2020-04-18,
2020-04-19,
2020-04-20,23.17
2020-04-21,22.47
2020-04-22,22.97
2020-04-23,23.0
2020-04-24,23.34
2020-04-25,
2020-04-26,
2020-04-27,23.67
2020-04-28,23.53
2020-04-29,24.18
2020-04-30,23.95
2020-05-01,23.36
2020-05-02,
2020-05-03,
2020-05-04,23.49
2020-05-05,23.75
2020-05-06,23.67
2020-05-07,23.97
2020-05-08,24.32
2020-05-09,
2020-05-10,
2020-05-11,24.38
2020-05-12,23.9
2020-05-13,23.53
2020-05-14,23.75
2020-05-15,23.95
2020-05-16,
2020-05-17,
2020-05-18,24.66
2020-05-19,24.47
2020-05-20,24.86
2020-05-21,24.67
2020-05-22,24.71
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,24.95
2020-05-27,25.26
2020-05-28,25.17
2020-05-29,25.3
2020-05-30,
2020-05-31,
2020-06-01,25.44
2020-06-02,25.65
2020-06-03,25.97
2020-06-04,25.87
2020-06-05,26.48
2020-06-06,
2020-06-07,
2020-06-08,26.77
2020-06-09,26.58
2020-06-10,26.5
2020-06-11,25.02
2020-06-12,25.39
2020-06-13,
2020-06-14,
2020-06-15,25.59
2020-06-16,26.04
2020-06-17,26.05
2020-06-18,26.08
2020-06-19,25.99
2020-06-20,
2020-06-21,
2020-06-22,26.18
2020-06-23,26.31
2020-06-24,25.61
2020-06-25,25.89
2020-06-26,25.23
2020-06-27,
2020-06-28,
2020-06-29,25.6
2020-06-30,25.98
2020-07-01,26.17
2020-07-02,26.28
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,26.73
2020-07-07,26.45
2020-07-08,26.69
2020-07-09,26.59
2020-07-10,26.82
2020-07-11,
2020-07-12,
2020-07-13,26.51
2020-07-14,26.92
2020-07-15,27.18
2020-07-16,27.08
2020-07-17,27.19
2020-07-18,
2020-07-19,
2020-07-20,27.42
2020-07-21,27.41
2020-07-22,27.52
2020-07-23,27.14
2020-07-24,27.0
2020-07-25,
2020-07-26,
2020-07-27,27.22
2020-07-28,27.02
2020-07-29,27.39
2020-07-30,27.26
2020-07-31,27.39
2020-08-01,
2020-08-02,
2020-08-03,27.63
2020-08-04,27.74
2020-08-05,27.92
2020-08-06,28.13
2020-08-07,28.15
2020-08-08,
2020-08-09,
2020-08-10,28.21
2020-08-11,27.98
2020-08-12,28.41
2020-08-13,28.37
2020-08-14,28.34
2020-08-15,
2020-08-16,
2020-08-17,28.48
2020-08-18,28.52
2020-08-19,28.42
2020-08-20,28.47
2020-08-21,28.52
2020-08-22,
2020-08-23,
2020-08-24,28.79
2020-08-25,28.94
2020-08-26,29.25
2020-08-27,29.3
2020-08-28,29.5
2020-08-29,
2020-08-30,
2020-08-31,29.4
2020-09-01,29.65
2020-09-02,30.09
2020-09-03,29.04
2020-09-04,28.78
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,27.96
2020-09-09,28.57
2020-09-10,28.09
2020-09-11,28.06
2020-09-12,
2020-09-13,
2020-09-14,28.38
2020-09-15,28.58
2020-09-16,28.44
2020-09-17,28.2
2020-09-18,27.91
2020-09-19,
2020-09-20,
2020-09-21,27.58
2020-09-22,27.91
2020-09-23,27.28
2020-09-24,27.37
2020-09-25,27.8
2020-09-26,
2020-09-27,
2020-09-28,28.26
2020-09-29,28.11
2020-09-30,28.32
2020-10-01,28.52
2020-10-02,28.23
2020-10-03,
2020-10-04,
2020-10-05,28.72
2020-10-06,28.36
2020-10-07,28.81
2020-10-08,29.01
2020-10-09,29.31
2020-10-10,
2020-10-11,
2020-10-12,29.76
2020-10-13,29.6
2020-10-14,29.37
2020-10-15,29.31
2020-10-16,29.34
2020-10-17,
2020-10-18,
2020-10-19,28.87
2020-10-20,29.0
2020-10-21,28.95
2020-10-22,29.04
2020-10-23,29.19
2020-10-24,
2020-10-25,
2020-10-26,28.67
2020-10-27,28.54
2020-10-28,27.52
2020-10-29,27.79
2020-10-30,27.52
2020-10-31,
2020-11-01,
2020-11-02,27.82
2020-11-03,28.31
2020-11-04,29.12
2020-11-05,29.64
2020-11-06,29.61
2020-11-07,
2020-11-08,
2020-11-09,29.79
2020-11-10,29.71
2020-11-11,30.02
2020-11-12,29.74
2020-11-13,30.16
2020-11-14,
2020-11-15,
2020-11-16,30.44
2020-11-17,30.32
2020-11-18,30.02
2020-11-19,30.19
2020-11-20,30.05
2020-11-21,
2020-11-22,
2020-11-23,30.22
2020-11-24,30.62
2020-11-25,30.66
2020-11-26,
2020-11-27,30.75
2020-11-28,
2020-11-29,
2020-11-30,30.61
2020-12-01,30.92
2020-12-02,30.94
2020-12-03,30.88
2020-12-04,31.19
2020-12-05,
2020-12-06,
2020-12-07,31.15
2020-12-08,31.23
2020-12-09,30.96
2020-12-10,30.93
2020-12-11,30.8
2020-12-12,
2020-12-13,
2020-12-14,30.74
2020-12-15,31.14
2020-12-16,31.21
2020-12-17,31.4
2020-12-18,31.32
2020-12-19,
2020-12-20,
2020-12-21,31.21
2020-12-22,31.13
2020-12-23,31.19
2020-12-24,31.33
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,31.54
2020-12-29,31.49
2020-12-30,31.56
2020-12-31,31.75
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,31.32
2021-01-05,31.57
2021-01-06,31.75
2021-01-07,32.25
2021-01-08,32.5
2021-01-09,
2021-01-10,
2021-01-11,32.31
2021-01-12,32.3
2021-01-13,32.37
2021-01-14,32.27
2021-01-15,32.01
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,32.28
2021-01-20,32.67
2021-01-21,32.64
2021-01-22,32.56
2021-01-23,
2021-01-24,
2021-01-25,32.72
2021-01-26,32.61
2021-01-27,31.62
2021-01-28,32.07
2021-01-29,31.47
2021-01-30,
2021-01-31,
2021-02-01,32.01
2021-02-02,32.51
2021-02-03,32.55
2021-02-04,32.87
2021-02-05,33.09
2021-02-06,
2021-02-07,
2021-02-08,33.28
2021-02-09,33.25
2021-02-10,33.21
2021-02-11,33.27
2021-02-12,33.47
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,33.42
2021-02-17,33.39
2021-02-18,33.16
2021-02-19,33.11
2021-02-20,
2021-02-21,
2021-02-22,32.73
2021-02-23,32.81
2021-02-24,33.16
2021-02-25,32.41
2021-02-26,32.36
2021-02-27,
2021-02-28,
2021-03-01,33.15
2021-03-02,32.86
2021-03-03,32.42
2021-03-04,31.95
2021-03-05,32.58
2021-03-06,
2021-03-07,
2021-03-08,32.35
2021-03-09,32.89
2021-03-10,32.93
2021-03-11,33.42
2021-03-12,33.43
2021-03-13,
2021-03-14,
2021-03-15,33.64
2021-03-16,33.58
2021-03-17,33.56
2021-03-18,33.0
2021-03-19,33.03
2021-03-20,
2021-03-21,
2021-03-22,33.23
2021-03-23,33.0
2021-03-24,32.78
2021-03-25,32.95
2021-03-26,33.47
2021-03-27,
2021-03-28,
2021-03-29,33.38
2021-03-30,33.35
2021-03-31,33.5
2021-04-01,33.92
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,34.38
2021-04-06,34.37
2021-04-07,34.41
2021-04-08,34.57
2021-04-09,34.81
2021-04-10,
2021-04-11,
2021-04-12,34.87
2021-04-13,34.98
2021-04-14,34.9
2021-04-15,35.3
2021-04-16,35.37
2021-04-17,
2021-04-18,
2021-04-19,35.19
2021-04-20,34.86
2021-04-21,35.17
2021-04-22,34.88
2021-04-23,35.3
2021-04-24,
2021-04-25,
2021-04-26,35.44
2021-04-27,35.39
2021-04-28,35.41
2021-04-29,35.57
2021-04-30,35.26
2021-05-01,
2021-05-02,
2021-05-03,35.33
2021-05-04,35.01
2021-05-05,35.03
2021-05-06,35.32
2021-05-07,35.56
2021-05-08,
2021-05-09,
2021-05-10,35.09
2021-05-11,34.8
2021-05-12,34.04
2021-05-13,34.4
2021-05-14,34.96
2021-05-15,
2021-05-16,
2021-05-17,34.87
2021-05-18,34.63
2021-05-19,34.54
2021-05-20,34.92
2021-05-21,34.88
2021-05-22,
2021-05-23,
2021-05-24,35.25
2021-05-25,35.17
2021-05-26,35.25
2021-05-27,35.3
2021-05-28,35.32
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,35.32
2021-06-02,35.35
2021-06-03,35.23
2021-06-04,35.54
2021-06-05,
2021-06-06,
2021-06-07,35.57
2021-06-08,35.64
2021-06-09,35.61
2021-06-10,35.8
2021-06-11,35.88
2021-06-12,
2021-06-13,
2021-06-14,35.97
2021-06-15,35.86
2021-06-16,35.65
2021-06-17,35.7
2021-06-18,35.27
2021-06-19,
2021-06-20,
2021-06-21,35.7
2021-06-22,35.89
2021-06-23,35.86
2021-06-24,36.09
2021-06-25,36.19
2021-06-26,
2021-06-27,
2021-06-28,36.27
2021-06-29,36.26
2021-06-30,36.27
2021-07-01,36.44
2021-07-02,36.77
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,36.72
2021-07-07,36.83
2021-07-08,36.47
2021-07-09,36.84
2021-07-10,
2021-07-11,
2021-07-12,36.98
2021-07-13,36.87
2021-07-14,36.9
2021-07-15,36.75
2021-07-16,36.48
2021-07-17,
2021-07-18,
2021-07-19,35.89
2021-07-20,36.43
2021-07-21,36.8
2021-07-22,36.93
2021-07-23,37.31
2021-07-24,
2021-07-25,
2021-07-26,37.4
2021-07-27,37.19
2021-07-28,37.25
2021-07-29,37.37
2021-07-30,37.13
2021-07-31,
2021-08-01,
2021-08-02,37.04
2021-08-03,37.28
2021-08-04,37.17
2021-08-05,37.42
2021-08-06,37.53
2021-08-07,
2021-08-08,
2021-08-09,37.52
2021-08-10,37.56
2021-08-11,37.66
2021-08-12,37.77
2021-08-13,37.83
2021-08-14,
2021-08-15,
2021-08-16,37.86
2021-08-17,37.57
2021-08-18,37.22
2021-08-19,37.2
2021-08-20,37.53
2021-08-21,
2021-08-22,
2021-08-23,37.87
2021-08-24,38.0
2021-08-25,38.12
2021-08-26,37.9
2021-08-27,38.22
2021-08-28,
2021-08-29,
2021-08-30,38.38
2021-08-31,38.33
2021-09-01,38.37
2021-09-02,38.43
2021-09-03,38.44
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,38.32
2021-09-08,38.28
2021-09-09,38.05
2021-09-10,37.78
2021-09-11,
2021-09-12,
2021-09-13,37.83
2021-09-14,37.67
2021-09-15,38.0
2021-09-16,37.96
2021-09-17,37.59
2021-09-18,
2021-09-19,
2021-09-20,37.59
2021-09-21,36.91
2021-09-22,37.28
2021-09-23,37.72
2021-09-24,37.75
2021-09-25,
2021-09-26,
2021-09-27,37.64
2021-09-28,36.84
2021-09-29,36.88
2021-09-30,36.45
2021-10-01,36.84
2021-10-02,
2021-10-03,
2021-10-04,36.31
2021-10-05,36.76
2021-10-06,36.91
2021-10-07,37.24
2021-10-08,37.21
2021-10-09,
2021-10-10,
2021-10-11,36.92
2021-10-12,36.88
2021-10-13,37.06
2021-10-14,37.69
2021-10-15,38.02
2021-10-16,
2021-10-17,
2021-10-18,38.18
2021-10-19,38.46
2021-10-20,38.56
2021-10-21,38.69
2021-10-22,38.65
2021-10-23,
2021-10-24,
2021-10-25,38.83
2021-10-26,38.93
2021-10-27,38.77
2021-10-28,39.05
2021-10-29,39.16
2021-10-30,
2021-10-31,
2021-11-01,39.29
2021-11-02,39.38
2021-11-03,39.61
2021-11-04,39.78
2021-11-05,39.86
2021-11-06,
2021-11-07,
2021-11-08,39.97
2021-11-09,39.82
2021-11-10,39.45
2021-11-11,39.51
2021-11-12,39.84
2021-11-13,
2021-11-14,
2021-11-15,39.84
2021-11-16,40.0
2021-11-17,39.81
2021-11-18,40.0
2021-11-19,39.99
2021-11-20,
2021-11-21,
2021-11-22,39.68
2021-11-23,39.72
2021-11-24,39.85
2021-11-25,
2021-11-26,38.87
2021-11-27,
2021-11-28,
2021-11-29,39.31
2021-11-30,38.53
2021-12-01,37.98
2021-12-02,38.54
2021-12-03,38.09
2021-12-04,
2021-12-05,
2021-12-06,38.55
2021-12-07,39.35
2021-12-08,39.48
2021-12-09,39.13
2021-12-10,39.4
2021-12-11,
2021-12-12,
2021-12-13,38.99
2021-12-14,38.68
2021-12-15,39.29
2021-12-16,38.83
2021-12-17,38.4
2021-12-18,
2021-12-19,
2021-12-20,37.9
2021-12-21,38.68
2021-12-22,39.06
2021-12-23,39.31
2021-12-24,
2021-12-25,
2021-12-26,
2021-12-27,39.79
2021-12-28,39.74
2021-12-29,39.75
2021-12-30,39.68
2021-12-31,39.57
2022-01-01,
2022-01-02,
2022-01-03,39.81
2022-01-04,39.73
2022-01-05,38.9
2022-01-06,38.88
2022-01-07,38.71
2022-01-08,
2022-01-09,
2022-01-10,38.64
2022-01-11,39.07
2022-01-12,39.16
2022-01-13,38.59
2022-01-14,38.65
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,37.9
2022-01-19,37.62
2022-01-20,37.23
2022-01-21,36.55
2022-01-22,
2022-01-23,
2022-01-24,36.66
2022-01-25,36.18
2022-01-26,36.15
2022-01-27,36.03
2022-01-28,36.94
2022-01-29,
2022-01-30,
2022-01-31,37.64
2022-02-01,37.91
2022-02-02,38.2
2022-02-03,37.24
2022-02-04,37.57
