Date,Close
2020-01-01,
2020-01-02,21.13
2020-01-03,21.02
2020-01-04,
2020-01-05,
2020-01-06,21.01
2020-01-07,21.06
2020-01-08,21.16
2020-01-09,21.38
2020-01-10,21.36
2020-01-11,
2020-01-12,
2020-01-13,21.64
2020-01-14,21.62
2020-01-15,21.82
2020-01-16,21.9
2020-01-17,22.07
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,21.82
2020-01-22,21.94
2020-01-23,21.75
2020-01-24,21.75
2020-01-25,
2020-01-26,
2020-01-27,21.25
2020-01-28,21.47
2020-01-29,21.54
2020-01-30,21.34
2020-01-31,21.03
2020-02-01,
2020-02-02,
2020-02-03,21.26
2020-02-04,21.7
2020-02-05,21.79
2020-02-06,21.85
2020-02-07,21.63
2020-02-08,
2020-02-09,
2020-02-10,21.69
2020-02-11,21.86
2020-02-12,22.08
2020-02-13,22.03
2020-02-14,21.98
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,22.01
2020-02-19,22.32
2020-02-20,22.12
2020-02-21,21.97
2020-02-22,
2020-02-23,
2020-02-24,21.04
2020-02-25,20.63
2020-02-26,20.68
2020-02-27,20.13
2020-02-28,20.04
2020-02-29,
2020-03-01,
2020-03-02,20.56
2020-03-03,20.62
2020-03-04,21.14
2020-03-05,20.74
2020-03-06,20.4
2020-03-07,
2020-03-08,
2020-03-09,19.12
2020-03-10,19.62
2020-03-11,18.75
2020-03-12,17.07
2020-03-13,17.8
2020-03-14,
2020-03-15,
2020-03-16,16.29
2020-03-17,16.8
2020-03-18,16.19
2020-03-19,16.32
2020-03-20,16.42
2020-03-21,
2020-03-22,
2020-03-23,16.33
2020-03-24,17.49
2020-03-25,17.96
2020-03-26,18.64
2020-03-27,18.06
2020-03-28,
2020-03-29,
2020-03-30,18.46
2020-03-31,18.38
2020-04-01,17.83
2020-04-02,17.91
2020-04-03,17.51
2020-04-04,
2020-04-05,
2020-04-06,18.32
2020-04-07,18.23
2020-04-08,18.57
2020-04-09,18.71
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,18.75
2020-04-14,19.35
2020-04-15,19.17
2020-04-16,19.42
2020-04-17,19.88
2020-04-18,
2020-04-19,
2020-04-20,20.02
2020-04-21,19.7
2020-04-22,20.01
2020-04-23,19.84
2020-04-24,19.91
2020-04-25,
2020-04-26,
2020-04-27,20.13
2020-04-28,20.11
2020-04-29,20.34
2020-04-30,20.19
2020-05-01,19.87
2020-05-02,
2020-05-03,
2020-05-04,19.88
2020-05-05,20.11
2020-05-06,20.45
2020-05-07,20.78
2020-05-08,21.06
2020-05-09,
2020-05-10,
2020-05-11,21.15
