Date,Close
2024-01-01,
2024-01-02,0.82
2024-01-03,0.84
2024-01-04,0.88
2024-01-05,0.82
2024-01-06,
2024-01-07,
2024-01-08,0.88
2024-01-09,0.85
2024-01-10,0.85
2024-01-11,0.79
2024-01-12,0.76
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,0.72
2024-01-17,0.71
2024-01-18,0.71
2024-01-19,0.69
2024-01-20,
2024-01-21,
2024-01-22,0.78
2024-01-23,0.81
2024-01-24,0.75
2024-01-25,0.72
2024-01-26,0.82
2024-01-27,
2024-01-28,
2024-01-29,0.82
2024-01-30,0.88
2024-01-31,0.85
2024-02-01,0.92
2024-02-02,0.97
2024-02-03,
2024-02-04,
2024-02-05,0.88
2024-02-06,0.96
2024-02-07,0.96
2024-02-08,0.93
2024-02-09,1.09
2024-02-10,
2024-02-11,
2024-02-12,1.35
2024-02-13,1.44
2024-02-14,1.85
2024-02-15,1.98
2024-02-16,1.74
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,2.05
2024-02-21,1.82
2024-02-22,1.89
2024-02-23,1.79
2024-02-24,
2024-02-25,
2024-02-26,1.9
2024-02-27,1.88
2024-02-28,1.99
2024-02-29,1.85
2024-03-01,1.72
2024-03-02,
2024-03-03,
2024-03-04,1.43
2024-03-05,1.36
2024-03-06,1.6
2024-03-07,1.84
2024-03-08,1.87
2024-03-09,
2024-03-10,
2024-03-11,1.84
2024-03-12,2.21
2024-03-13,2.17
2024-03-14,2.06
2024-03-15,2.08
2024-03-16,
2024-03-17,
2024-03-18,2.35
2024-03-19,2.17
2024-03-20,2.05
2024-03-21,1.9
2024-03-22,1.94
2024-03-23,
2024-03-24,
2024-03-25,2.08
2024-03-26,1.95
2024-03-27,2.1
2024-03-28,2.04
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,1.99
2024-04-02,1.84
2024-04-03,1.97
2024-04-04,2.0
2024-04-05,1.88
2024-04-06,
2024-04-07,
2024-04-08,1.85
2024-04-09,1.87
2024-04-10,1.82
2024-04-11,1.71
2024-04-12,1.63
2024-04-13,
2024-04-14,
2024-04-15,1.58
2024-04-16,1.73
2024-04-17,1.67
2024-04-18,1.67
2024-04-19,1.59
2024-04-20,
2024-04-21,
2024-04-22,1.51
2024-04-23,1.55
2024-04-24,1.52
2024-04-25,1.48
2024-04-26,1.44
2024-04-27,
2024-04-28,
2024-04-29,1.44
2024-04-30,1.37
2024-05-01,1.41
2024-05-02,1.45
2024-05-03,1.4
2024-05-04,
2024-05-05,
2024-05-06,1.41
2024-05-07,1.38
2024-05-08,1.36
2024-05-09,1.31
2024-05-10,1.3
2024-05-11,
2024-05-12,
2024-05-13,1.37
2024-05-14,1.4
2024-05-15,1.33
2024-05-16,1.29
2024-05-17,1.3
2024-05-18,
2024-05-19,
2024-05-20,1.31
2024-05-21,1.24
2024-05-22,1.23
2024-05-23,1.17
2024-05-24,1.22
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,1.4
2024-05-29,1.42
2024-05-30,1.37
2024-05-31,1.35
2024-06-01,
2024-06-02,
2024-06-03,1.32
2024-06-04,1.29
2024-06-05,1.28
2024-06-06,1.2
2024-06-07,1.16
2024-06-08,
2024-06-09,
2024-06-10,1.2
2024-06-11,1.16
2024-06-12,1.16
2024-06-13,1.1
2024-06-14,1.14
2024-06-15,
2024-06-16,
2024-06-17,1.19
2024-06-18,1.16
2024-06-19,
2024-06-20,1.14
2024-06-21,1.16
2024-06-22,
2024-06-23,
2024-06-24,1.13
2024-06-25,1.09
2024-06-26,1.06
2024-06-27,1.15
2024-06-28,1.14
2024-06-29,
2024-06-30,
2024-07-01,1.08
2024-07-02,1.11
2024-07-03,1.1
2024-07-04,
2024-07-05,1.1
2024-07-06,
2024-07-07,
2024-07-08,1.24
2024-07-09,1.12
2024-07-10,1.22
2024-07-11,1.18
2024-07-12,1.21
2024-07-13,
2024-07-14,
2024-07-15,1.33
2024-07-16,1.27
2024-07-17,1.15
2024-07-18,1.07
2024-07-19,1.02
2024-07-20,
2024-07-21,
2024-07-22,1.01
2024-07-23,1.08
2024-07-24,0.98
2024-07-25,1.03
2024-07-26,0.99
2024-07-27,
2024-07-28,
2024-07-29,0.99
2024-07-30,0.95
2024-07-31,1.0
2024-08-01,0.97
2024-08-02,0.94
2024-08-03,
2024-08-04,
2024-08-05,0.86
2024-08-06,0.87
2024-08-07,0.81
2024-08-08,0.8
2024-08-09,0.84
2024-08-10,
2024-08-11,
2024-08-12,0.88
2024-08-13,0.95
2024-08-14,0.9
2024-08-15,0.94
2024-08-16,0.93
2024-08-17,
2024-08-18,
2024-08-19,0.93
2024-08-20,0.95
2024-08-21,1.07
2024-08-22,1.07
2024-08-23,1.07
2024-08-24,
2024-08-25,
2024-08-26,1.0
2024-08-27,0.99
2024-08-28,0.95
2024-08-29,1.0
2024-08-30,1.01
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,0.94
2024-09-04,0.93
2024-09-05,0.92
2024-09-06,0.88
2024-09-07,
2024-09-08,
2024-09-09,0.84
2024-09-10,0.94
2024-09-11,1.0
2024-09-12,1.0
2024-09-13,1.01
2024-09-14,
2024-09-15,
2024-09-16,0.98
2024-09-17,1.0
2024-09-18,0.97
2024-09-19,0.96
2024-09-20,0.93
2024-09-21,
2024-09-22,
2024-09-23,0.9
2024-09-24,0.94
2024-09-25,0.95
2024-09-26,0.98
2024-09-27,1.03
2024-09-28,
2024-09-29,
2024-09-30,0.98
2024-10-01,0.92
2024-10-02,0.92
2024-10-03,0.92
2024-10-04,1.0
2024-10-05,
2024-10-06,
2024-10-07,0.96
2024-10-08,0.92
2024-10-09,0.91
2024-10-10,0.89
2024-10-11,0.97
2024-10-12,
2024-10-13,
2024-10-14,1.01
2024-10-15,1.0
2024-10-16,1.04
2024-10-17,1.04
2024-10-18,1.17
2024-10-19,
2024-10-20,
2024-10-21,1.21
2024-10-22,1.2
2024-10-23,1.19
2024-10-24,1.14
2024-10-25,1.04
2024-10-26,
2024-10-27,
2024-10-28,1.2
2024-10-29,1.14
2024-10-30,1.13
2024-10-31,1.06
2024-11-01,1.04
2024-11-02,
2024-11-03,
2024-11-04,1.0
2024-11-05,1.09
2024-11-06,1.13
2024-11-07,1.46
2024-11-08,1.6
2024-11-09,
2024-11-10,
2024-11-11,1.63
2024-11-12,1.54
2024-11-13,1.78
2024-11-14,1.87
2024-11-15,1.64
2024-11-16,
2024-11-17,
2024-11-18,1.44
2024-11-19,1.49
2024-11-20,1.67
2024-11-21,1.97
2024-11-22,2.93
2024-11-23,
2024-11-24,
2024-11-25,2.89
2024-11-26,2.7
2024-11-27,2.74
2024-11-28,
2024-11-29,3.02
2024-11-30,
2024-12-01,
2024-12-02,2.76
2024-12-03,2.99
2024-12-04,2.97
2024-12-05,3.77
2024-12-06,5.06
2024-12-07,
2024-12-08,
2024-12-09,4.65
2024-12-10,4.68
2024-12-11,4.12
2024-12-12,3.91
2024-12-13,5.0
2024-12-14,
2024-12-15,
2024-12-16,7.23
2024-12-17,8.4
2024-12-18,8.96
2024-12-19,6.37
2024-12-20,6.44
2024-12-21,
2024-12-22,
2024-12-23,8.15
2024-12-24,7.95
2024-12-25,
2024-12-26,9.9
2024-12-27,9.91
2024-12-28,
2024-12-29,
2024-12-30,9.3
2024-12-31,8.4
2025-01-01,
2025-01-02,9.61
2025-01-03,9.14
2025-01-04,
2025-01-05,
2025-01-06,10.21
2025-01-07,9.55
2025-01-08,6.1
2025-01-09,
2025-01-10,5.77
2025-01-11,
2025-01-12,
2025-01-13,3.83
2025-01-14,4.73
2025-01-15,5.79
2025-01-16,5.81
2025-01-17,5.27
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,6.29
2025-01-22,6.25
2025-01-23,6.03
2025-01-24,6.09
2025-01-25,
2025-01-26,
2025-01-27,5.58
2025-01-28,5.74
2025-01-29,5.52
2025-01-30,5.64
2025-01-31,5.94
2025-02-01,
2025-02-02,
2025-02-03,5.76
2025-02-04,5.78
2025-02-05,6.26
2025-02-06,5.99
2025-02-07,5.81
2025-02-08,
2025-02-09,
2025-02-10,5.83
2025-02-11,5.33
2025-02-12,6.04
2025-02-13,6.5
2025-02-14,6.37
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,6.04
2025-02-19,6.54
2025-02-20,7.39
2025-02-21,7.25
2025-02-22,
2025-02-23,
2025-02-24,6.41
2025-02-25,5.92
2025-02-26,6.14
2025-02-27,5.56
2025-02-28,5.48
2025-03-01,
2025-03-02,
2025-03-03,4.9
2025-03-04,5.32
2025-03-05,5.6
2025-03-06,5.23
2025-03-07,5.18
2025-03-08,
2025-03-09,
2025-03-10,4.63
2025-03-11,5.38
2025-03-12,5.82
2025-03-13,6.91
2025-03-14,10.15
2025-03-15,
2025-03-16,
2025-03-17,11.18
2025-03-18,10.8
2025-03-19,10.6
2025-03-20,8.69
2025-03-21,8.36
2025-03-22,
2025-03-23,
2025-03-24,8.72
2025-03-25,8.78
2025-03-26,8.27
2025-03-27,8.06
2025-03-28,7.58
2025-03-29,
2025-03-30,
2025-03-31,7.6
2025-04-01,7.42
2025-04-02,7.34
2025-04-03,7.16
2025-04-04,6.34
2025-04-05,
2025-04-06,
2025-04-07,6.6
2025-04-08,6.22
2025-04-09,7.2
2025-04-10,7.2
2025-04-11,7.25
2025-04-12,
2025-04-13,
2025-04-14,7.02
2025-04-15,6.92
2025-04-16,6.44
2025-04-17,6.42
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,6.24
2025-04-22,6.25
2025-04-23,7.13
2025-04-24,7.35
2025-04-25,7.53
2025-04-26,
2025-04-27,
2025-04-28,7.37
2025-04-29,7.0
2025-04-30,6.91
2025-05-01,6.98
2025-05-02,7.91
2025-05-03,
2025-05-04,
2025-05-05,7.28
2025-05-06,7.23
2025-05-07,6.89
2025-05-08,10.42
2025-05-09,11.09
2025-05-10,
2025-05-11,
2025-05-12,10.72
2025-05-13,10.73
2025-05-14,11.08
2025-05-15,11.03
2025-05-16,12.25
2025-05-17,
2025-05-18,
2025-05-19,13.15
2025-05-20,16.56
2025-05-21,15.36
2025-05-22,19.04
2025-05-23,18.8
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,17.55
2025-05-28,17.55
2025-05-29,16.27
2025-05-30,16.33
2025-05-31,
2025-06-01,
2025-06-02,17.11
2025-06-03,17.68
2025-06-04,17.82
2025-06-05,16.47
2025-06-06,18.62
2025-06-07,
2025-06-08,
2025-06-09,17.95
2025-06-10,16.93
2025-06-11,16.53
2025-06-12,15.88
2025-06-13,15.17
2025-06-14,
2025-06-15,
2025-06-16,16.0
2025-06-17,15.55
2025-06-18,15.71
2025-06-19,
2025-06-20,15.65
2025-06-21,
2025-06-22,
2025-06-23,14.94
2025-06-24,14.97
2025-06-25,14.18
2025-06-26,14.06
2025-06-27,14.02
2025-06-28,
2025-06-29,
2025-06-30,14.64
2025-07-01,14.82
2025-07-02,15.98
2025-07-03,16.79
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,16.76
2025-07-08,15.99
2025-07-09,16.39
2025-07-10,16.01
2025-07-11,14.81
2025-07-12,
2025-07-13,
2025-07-14,15.83
2025-07-15,16.15
2025-07-16,16.91
2025-07-17,19.24
2025-07-18,18.89
2025-07-19,
2025-07-20,
2025-07-21,18.39
2025-07-22,17.59
2025-07-23,20.3
2025-07-24,19.76
2025-07-25,18.87
2025-07-26,
2025-07-27,
2025-07-28,18.35
2025-07-29,17.67
2025-07-30,17.06
2025-07-31,17.19
2025-08-01,16.38
2025-08-02,
2025-08-03,
2025-08-04,17.18
2025-08-05,18.3
2025-08-06,17.58
2025-08-07,17.17
2025-08-08,16.9
2025-08-09,
2025-08-10,
2025-08-11,17.37
2025-08-12,18.51
2025-08-13,18.65
2025-08-14,18.18
2025-08-15,17.01
2025-08-16,
2025-08-17,
