Date,Close
2020-01-01,
2020-01-02,78.49
2020-01-03,77.01
2020-01-04,
2020-01-05,
2020-01-06,76.56
2020-01-07,78.74
2020-01-08,78.5
2020-01-09,79.57
2020-01-10,79.88
2020-01-11,
2020-01-12,
2020-01-13,80.5
2020-01-14,80.14
2020-01-15,79.35
2020-01-16,81.23
2020-01-17,84.88
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,83.66
2020-01-22,82.27
2020-01-23,81.42
2020-01-24,79.34
2020-01-25,
2020-01-26,
2020-01-27,77.04
2020-01-28,78.89
2020-01-29,78.08
2020-01-30,77.68
2020-01-31,75.5
2020-02-01,
2020-02-02,
2020-02-03,76.53
2020-02-04,78.7
2020-02-05,80.45
2020-02-06,80.19
2020-02-07,77.36
2020-02-08,
2020-02-09,
2020-02-10,78.41
2020-02-11,79.65
2020-02-12,81.17
2020-02-13,79.67
2020-02-14,79.29
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,77.9
2020-02-19,80.14
2020-02-20,79.18
2020-02-21,77.02
2020-02-22,
2020-02-23,
2020-02-24,73.74
2020-02-25,70.99
2020-02-26,70.5
2020-02-27,67.2
2020-02-28,69.29
2020-02-29,
2020-03-01,
2020-03-02,71.29
2020-03-03,69.52
2020-03-04,72.97
2020-03-05,70.62
2020-03-06,69.1
2020-03-07,
2020-03-08,
2020-03-09,64.79
2020-03-10,70.37
2020-03-11,66.56
2020-03-12,59.78
2020-03-13,67.62
2020-03-14,
2020-03-15,
2020-03-16,57.52
2020-03-17,61.42
2020-03-18,54.58
2020-03-19,57.98
2020-03-20,54.33
2020-03-21,
2020-03-22,
2020-03-23,55.78
2020-03-24,58.39
2020-03-25,56.27
2020-03-26,61.53
2020-03-27,59.4
2020-03-28,
2020-03-29,
2020-03-30,61.57
2020-03-31,60.34
2020-04-01,58.78
2020-04-02,60.67
2020-04-03,58.19
2020-04-04,
2020-04-05,
2020-04-06,63.29
2020-04-07,64.88
2020-04-08,65.41
2020-04-09,63.85
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,65.38
2020-04-14,69.17
2020-04-15,67.78
2020-04-16,68.55
2020-04-17,67.94
2020-04-18,
2020-04-19,
2020-04-20,66.28
2020-04-21,64.08
2020-04-22,66.61
2020-04-23,65.84
2020-04-24,67.83
2020-04-25,
2020-04-26,
2020-04-27,67.77
2020-04-28,67.16
2020-04-29,70.44
2020-04-30,70.17
2020-05-01,67.47
2020-05-02,
2020-05-03,
2020-05-04,67.51
2020-05-05,69.25
2020-05-06,70.35
2020-05-07,70.32
2020-05-08,71.86
2020-05-09,
2020-05-10,
2020-05-11,71.79
2020-05-12,69.95
2020-05-13,69.58
2020-05-14,71.24
2020-05-15,67.59
2020-05-16,
2020-05-17,
2020-05-18,71.31
2020-05-19,69.66
2020-05-20,71.92
2020-05-21,69.58
2020-05-22,70.2
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,69.59
2020-05-27,70.73
2020-05-28,69.67
2020-05-29,72.15
2020-05-30,
2020-05-31,
2020-06-01,71.12
2020-06-02,75.49
2020-06-03,75.61
2020-06-04,77.34
2020-06-05,79.6
2020-06-06,
2020-06-07,
2020-06-08,82.13
2020-06-09,80.68
2020-06-10,81.81
2020-06-11,75.53
2020-06-12,76.62
2020-06-13,
2020-06-14,
2020-06-15,77.66
2020-06-16,80.47
2020-06-17,80.85
2020-06-18,80.83
2020-06-19,79.83
2020-06-20,
2020-06-21,
2020-06-22,80.12
2020-06-23,80.32
2020-06-24,80.13
2020-06-25,79.97
2020-06-26,79.12
2020-06-27,
2020-06-28,
2020-06-29,80.01
2020-06-30,81.99
2020-07-01,80.7
2020-07-02,82.58
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,83.53
2020-07-07,82.83
2020-07-08,84.07
2020-07-09,83.82
2020-07-10,83.16
2020-07-11,
2020-07-12,
2020-07-13,82.1
2020-07-14,83.04
2020-07-15,83.19
2020-07-16,81.98
2020-07-17,82.91
2020-07-18,
2020-07-19,
2020-07-20,83.75
2020-07-21,82.98
2020-07-22,83.24
2020-07-23,80.6
2020-07-24,79.9
2020-07-25,
2020-07-26,
2020-07-27,83.33
2020-07-28,82.2
2020-07-29,83.63
2020-07-30,96.35
2020-07-31,94.93
2020-08-01,
2020-08-02,
2020-08-03,98.51
2020-08-04,99.73
2020-08-05,100.13
2020-08-06,99.83
2020-08-07,97.31
2020-08-08,
2020-08-09,
2020-08-10,95.61
2020-08-11,97.83
2020-08-12,104.08
2020-08-13,101.94
2020-08-14,102.24
2020-08-15,
2020-08-16,
2020-08-17,100.84
2020-08-18,100.7
2020-08-19,99.81
2020-08-20,99.47
2020-08-21,101.58
2020-08-22,
2020-08-23,
2020-08-24,104.19
2020-08-25,104.23
2020-08-26,104.31
2020-08-27,104.29
2020-08-28,106.25
2020-08-29,
2020-08-30,
2020-08-31,107.06
2020-09-01,109.68
2020-09-02,111.32
2020-09-03,105.22
2020-09-04,104.8
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,99.2
2020-09-09,103.04
2020-09-10,101.61
2020-09-11,102.5
2020-09-12,
2020-09-13,
2020-09-14,102.54
2020-09-15,105.36
2020-09-16,103.53
2020-09-17,103.82
2020-09-18,100.03
2020-09-19,
2020-09-20,
2020-09-21,101.14
2020-09-22,102.86
2020-09-23,99.92
2020-09-24,101.39
2020-09-25,103.48
2020-09-26,
2020-09-27,
2020-09-28,107.06
2020-09-29,106.08
2020-09-30,106.35
2020-10-01,108.01
2020-10-02,104.35
2020-10-03,
2020-10-04,
2020-10-05,108.92
2020-10-06,108.03
2020-10-07,111.18
2020-10-08,110.56
2020-10-09,112.85
2020-10-10,
2020-10-11,
2020-10-12,114.49
2020-10-13,115.19
2020-10-14,117.38
2020-10-15,116.2
2020-10-16,116.61
2020-10-17,
2020-10-18,
2020-10-19,116.06
2020-10-20,115.95
2020-10-21,116.17
2020-10-22,116.02
2020-10-23,116.47
2020-10-24,
2020-10-25,
2020-10-26,114.05
2020-10-27,113.79
2020-10-28,109.87
2020-10-29,114.27
2020-10-30,111.48
2020-10-31,
2020-11-01,
2020-11-02,112.03
2020-11-03,113.37
2020-11-04,116.55
2020-11-05,131.41
2020-11-06,131.05
2020-11-07,
2020-11-08,
2020-11-09,128.88
2020-11-10,126.62
2020-11-11,133.47
2020-11-12,130.05
2020-11-13,130.37
2020-11-14,
2020-11-15,
2020-11-16,134.72
2020-11-17,134.42
