Date,Close
2020-01-01,
2020-01-02,21.62
2020-01-03,21.61
2020-01-04,
2020-01-05,
2020-01-06,21.41
2020-01-07,21.47
2020-01-08,21.46
2020-01-09,21.71
2020-01-10,21.85
2020-01-11,
2020-01-12,
2020-01-13,22.25
2020-01-14,22.36
2020-01-15,23.95
2020-01-16,24.22
2020-01-17,23.52
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,24.05
2020-01-22,24.49
2020-01-23,24.95
2020-01-24,25.0
2020-01-25,
2020-01-26,
2020-01-27,24.66
2020-01-28,24.92
2020-01-29,24.98
2020-01-30,24.35
2020-01-31,24.33
2020-02-01,
2020-02-02,
2020-02-03,24.58
2020-02-04,25.84
2020-02-05,25.4
2020-02-06,25.79
2020-02-07,25.1
2020-02-08,
2020-02-09,
2020-02-10,24.67
2020-02-11,25.11
2020-02-12,25.5
2020-02-13,30.11
2020-02-14,31.23
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,30.9
2020-02-19,31.39
2020-02-20,32.21
2020-02-21,32.43
2020-02-22,
2020-02-23,
2020-02-24,31.63
2020-02-25,29.75
2020-02-26,29.26
2020-02-27,27.69
2020-02-28,27.06
2020-02-29,
2020-03-01,
2020-03-02,28.62
2020-03-03,29.03
2020-03-04,29.7
2020-03-05,28.81
2020-03-06,26.4
2020-03-07,
2020-03-08,
2020-03-09,23.01
2020-03-10,23.74
2020-03-11,21.72
2020-03-12,17.3
2020-03-13,17.14
2020-03-14,
2020-03-15,
2020-03-16,13.74
2020-03-17,13.69
2020-03-18,10.33
2020-03-19,12.04
2020-03-20,11.6
2020-03-21,
2020-03-22,
2020-03-23,11.96
2020-03-24,16.2
2020-03-25,18.16
2020-03-26,18.79
2020-03-27,16.09
2020-03-28,
2020-03-29,
2020-03-30,15.96
2020-03-31,15.42
2020-04-01,13.5
2020-04-02,13.52
2020-04-03,13.36
2020-04-04,
2020-04-05,
2020-04-06,16.3
2020-04-07,16.55
2020-04-08,17.25
2020-04-09,18.52
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,17.9
2020-04-14,19.34
2020-04-15,18.46
2020-04-16,16.94
2020-04-17,18.36
2020-04-18,
2020-04-19,
2020-04-20,17.71
2020-04-21,17.35
2020-04-22,17.31
2020-04-23,18.66
2020-04-24,19.24
2020-04-25,
2020-04-26,
2020-04-27,20.36
2020-04-28,19.74
2020-04-29,21.43
2020-04-30,21.13
2020-05-01,19.29
2020-05-02,
2020-05-03,
2020-05-04,19.84
2020-05-05,20.19
2020-05-06,21.5
2020-05-07,22.65
2020-05-08,24.5
2020-05-09,
2020-05-10,
2020-05-11,24.83
2020-05-12,23.76
2020-05-13,23.19
2020-05-14,23.73
2020-05-15,24.24
2020-05-16,
2020-05-17,
2020-05-18,25.89
2020-05-19,26.2
2020-05-20,27.49
2020-05-21,27.5
2020-05-22,29.48
2020-05-23,
2020-05-24,
2020-05-25,
