Date,Close
2020-01-01,
2020-01-02,148.98
2020-01-03,148.2
2020-01-04,
2020-01-05,
2020-01-06,148.9
2020-01-07,148.06
2020-01-08,149.13
2020-01-09,150.38
2020-01-10,149.72
2020-01-11,
2020-01-12,
2020-01-13,151.04
2020-01-14,151.09
2020-01-15,151.47
2020-01-16,153.39
2020-01-17,153.24
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,154.54
2020-01-22,156.87
2020-01-23,154.02
2020-01-24,154.97
2020-01-25,
2020-01-26,
2020-01-27,153.28
2020-01-28,155.84
2020-01-29,158.27
2020-01-30,157.88
2020-01-31,151.71
2020-02-01,
2020-02-02,
2020-02-03,155.69
2020-02-04,159.23
2020-02-05,160.08
2020-02-06,162.72
2020-02-07,163.63
2020-02-08,
2020-02-09,
2020-02-10,165.28
2020-02-11,166.39
2020-02-12,165.24
2020-02-13,167.27
2020-02-14,168.91
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,167.19
2020-02-19,168.93
2020-02-20,168.34
2020-02-21,166.31
2020-02-22,
2020-02-23,
2020-02-24,162.44
2020-02-25,158.59
2020-02-26,158.7
2020-02-27,155.64
2020-02-28,152.04
2020-02-29,
2020-03-01,
2020-03-02,161.4
2020-03-03,158.05
2020-03-04,167.21
2020-03-05,163.32
2020-03-06,158.85
2020-03-07,
2020-03-08,
2020-03-09,147.77
2020-03-10,154.67
2020-03-11,146.92
2020-03-12,130.19
2020-03-13,143.21
2020-03-14,
2020-03-15,
2020-03-16,131.93
2020-03-17,154.4
2020-03-18,145.14
2020-03-19,130.18
2020-03-20,109.36
2020-03-21,
2020-03-22,
2020-03-23,116.08
2020-03-24,129.18
2020-03-25,129.8
2020-03-26,140.14
2020-03-27,135.77
2020-03-28,
2020-03-29,
2020-03-30,147.5
2020-03-31,140.88
2020-04-01,136.1
2020-04-02,143.59
2020-04-03,146.31
2020-04-04,
2020-04-05,
2020-04-06,151.41
2020-04-07,146.99
2020-04-08,148.41
2020-04-09,152.86
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,150.35
2020-04-14,156.55
2020-04-15,153.2
2020-04-16,154.3
2020-04-17,157.97
2020-04-18,
2020-04-19,
2020-04-20,157.13
