Date,Close
2020-01-01,
2020-01-02,50.75
2020-01-03,50.39
2020-01-04,
2020-01-05,
2020-01-06,50.13
2020-01-07,49.47
2020-01-08,49.75
2020-01-09,50.89
2020-01-10,51.27
2020-01-11,
2020-01-12,
2020-01-13,52.03
2020-01-14,52.74
2020-01-15,53.11
2020-01-16,53.66
2020-01-17,53.82
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,53.7
2020-01-22,55.06
2020-01-23,56.18
2020-01-24,54.73
2020-01-25,
2020-01-26,
2020-01-27,54.39
2020-01-28,56.18
2020-01-29,56.02
2020-01-30,55.77
2020-01-31,54.52
2020-02-01,
2020-02-02,
2020-02-03,54.18
2020-02-04,54.18
2020-02-05,54.55
2020-02-06,54.52
2020-02-07,55.33
2020-02-08,
2020-02-09,
2020-02-10,55.08
2020-02-11,55.25
2020-02-12,55.0
2020-02-13,55.21
2020-02-14,55.37
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,55.0
2020-02-19,55.03
2020-02-20,55.5
2020-02-21,55.34
2020-02-22,
2020-02-23,
2020-02-24,52.66
2020-02-25,51.59
2020-02-26,50.95
2020-02-27,48.71
2020-02-28,50.67
2020-02-29,
2020-03-01,
2020-03-02,52.31
2020-03-03,51.94
2020-03-04,54.43
2020-03-05,53.33
2020-03-06,51.71
2020-03-07,
2020-03-08,
2020-03-09,49.6
2020-03-10,49.2
2020-03-11,46.82
2020-03-12,41.28
2020-03-13,40.85
2020-03-14,
2020-03-15,
2020-03-16,38.76
2020-03-17,37.37
2020-03-18,31.45
2020-03-19,39.39
2020-03-20,36.54
2020-03-21,
2020-03-22,
2020-03-23,36.83
2020-03-24,40.03
2020-03-25,39.2
2020-03-26,42.97
2020-03-27,42.87
2020-03-28,
2020-03-29,
2020-03-30,42.36
2020-03-31,42.92
2020-04-01,39.35
2020-04-02,39.78
2020-04-03,38.32
2020-04-04,
2020-04-05,
2020-04-06,41.53
2020-04-07,40.55
2020-04-08,42.19
2020-04-09,44.94
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,43.25
2020-04-14,44.24
2020-04-15,42.29
2020-04-16,42.12
2020-04-17,44.59
2020-04-18,
2020-04-19,
2020-04-20,43.54
2020-04-21,42.8
2020-04-22,43.18
2020-04-23,44.0
2020-04-24,43.95
2020-04-25,
2020-04-26,
2020-04-27,46.35
2020-04-28,47.82
2020-04-29,49.18
2020-04-30,46.3
2020-05-01,45.49
2020-05-02,
