Date,Close
2020-01-01,
2020-01-02,86.37
2020-01-03,84.97
2020-01-04,
2020-01-05,
2020-01-06,85.37
2020-01-07,84.64
2020-01-08,85.59
2020-01-09,86.86
2020-01-10,86.03
2020-01-11,
2020-01-12,
2020-01-13,86.51
2020-01-14,86.69
2020-01-15,87.23
2020-01-16,88.82
2020-01-17,89.11
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,88.19
2020-01-22,88.12
2020-01-23,87.97
2020-01-24,86.91
2020-01-25,
2020-01-26,
2020-01-27,84.17
2020-01-28,85.27
2020-01-29,85.32
2020-01-30,86.06
2020-01-31,82.4
2020-02-01,
2020-02-02,
2020-02-03,83.25
2020-02-04,85.63
2020-02-05,88.49
2020-02-06,89.02
2020-02-07,87.41
2020-02-08,
2020-02-09,
2020-02-10,88.48
2020-02-11,88.47
2020-02-12,90.12
2020-02-13,89.51
2020-02-14,89.36
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,88.36
2020-02-19,89.07
2020-02-20,88.28
2020-02-21,86.87
2020-02-22,
2020-02-23,
2020-02-24,80.71
2020-02-25,75.62
2020-02-26,74.92
2020-02-27,68.28
2020-02-28,66.49
2020-02-29,
2020-03-01,
2020-03-02,73.21
2020-03-03,68.9
2020-03-04,75.13
2020-03-05,69.74
2020-03-06,68.37
2020-03-07,
2020-03-08,
2020-03-09,57.71
2020-03-10,63.37
2020-03-11,55.99
2020-03-12,44.76
2020-03-13,53.26
2020-03-14,
2020-03-15,
2020-03-16,39.55
2020-03-17,43.76
2020-03-18,38.19
2020-03-19,38.87
2020-03-20,35.33
2020-03-21,
2020-03-22,
2020-03-23,33.17
2020-03-24,40.67
2020-03-25,42.62
2020-03-26,48.04
2020-03-27,44.13
2020-03-28,
2020-03-29,
2020-03-30,46.97
2020-03-31,45.24
2020-04-01,41.21
2020-04-02,43.08
2020-04-03,41.64
2020-04-04,
2020-04-05,
2020-04-06,48.06
2020-04-07,47.94
2020-04-08,51.23
2020-04-09,52.49
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,51.04
2020-04-14,53.46
2020-04-15,51.47
2020-04-16,51.6
2020-04-17,54.7
2020-04-18,
2020-04-19,
2020-04-20,52.04
2020-04-21,49.26
2020-04-22,51.2
2020-04-23,51.39
2020-04-24,52.52
2020-04-25,
2020-04-26,
2020-04-27,54.08
2020-04-28,53.94
2020-04-29,56.32
2020-04-30,54.99
2020-05-01,52.17
2020-05-02,
2020-05-03,
2020-05-04,52.28
2020-05-05,52.86
2020-05-06,51.9
2020-05-07,52.91
2020-05-08,54.93
2020-05-09,
2020-05-10,
2020-05-11,54.43
2020-05-12,52.39
2020-05-13,50.12
2020-05-14,51.75
2020-05-15,52.0
2020-05-16,
2020-05-17,
2020-05-18,56.03
2020-05-19,54.26
2020-05-20,55.92
2020-05-21,55.51
2020-05-22,55.47
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,57.87
2020-05-27,60.42
2020-05-28,59.74
2020-05-29,59.71
2020-05-30,
2020-05-31,
2020-06-01,60.15
2020-06-02,61.4
2020-06-03,63.96
2020-06-04,64.01
2020-06-05,68.03
2020-06-06,
2020-06-07,
2020-06-08,70.36
2020-06-09,68.86
2020-06-10,67.43
2020-06-11,58.12
2020-06-12,60.34
2020-06-13,
2020-06-14,
2020-06-15,61.08
2020-06-16,63.58
2020-06-17,62.75
2020-06-18,62.55
2020-06-19,61.57
2020-06-20,
2020-06-21,
2020-06-22,62.3
2020-06-23,62.92
2020-06-24,59.5
2020-06-25,60.89
2020-06-26,57.43
2020-06-27,
2020-06-28,
2020-06-29,60.08
2020-06-30,61.08
2020-07-01,60.73
2020-07-02,61.17
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,63.34
2020-07-07,61.43
2020-07-08,62.26
2020-07-09,60.55
2020-07-10,62.28
2020-07-11,
2020-07-12,
2020-07-13,62.32
2020-07-14,64.97
2020-07-15,66.08
2020-07-16,65.41
2020-07-17,65.12
2020-07-18,
2020-07-19,
2020-07-20,65.15
2020-07-21,65.92
2020-07-22,66.73
2020-07-23,65.0
2020-07-24,64.09
2020-07-25,
2020-07-26,
2020-07-27,64.64
2020-07-28,63.65
2020-07-29,64.4
2020-07-30,63.32
2020-07-31,63.85
2020-08-01,
2020-08-02,
2020-08-03,64.98
2020-08-04,65.78
2020-08-05,67.6
2020-08-06,68.53
2020-08-07,68.83
2020-08-08,
2020-08-09,
2020-08-10,70.61
2020-08-11,70.08
2020-08-12,71.57
2020-08-13,71.2
2020-08-14,71.36
2020-08-15,
2020-08-16,
2020-08-17,70.92
2020-08-18,70.62
2020-08-19,70.2
2020-08-20,70.44
2020-08-21,71.43
2020-08-22,
2020-08-23,
2020-08-24,73.4
2020-08-25,73.08
2020-08-26,73.5
2020-08-27,74.33
2020-08-28,75.2
2020-08-29,
2020-08-30,
2020-08-31,74.08
2020-09-01,75.21
2020-09-02,77.63
2020-09-03,73.32
2020-09-04,72.47
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,69.22
2020-09-09,71.44
2020-09-10,69.36
2020-09-11,70.04
2020-09-12,
2020-09-13,
2020-09-14,71.73
2020-09-15,71.73
2020-09-16,71.92
2020-09-17,71.25
2020-09-18,69.97
2020-09-19,
2020-09-20,
2020-09-21,67.38
2020-09-22,68.08
2020-09-23,65.44
2020-09-24,65.69
2020-09-25,67.44
2020-09-26,
2020-09-27,
2020-09-28,69.48
2020-09-29,68.81
2020-09-30,70.45
2020-10-01,70.64
2020-10-02,69.95
2020-10-03,
2020-10-04,
2020-10-05,72.31
2020-10-06,70.37
2020-10-07,73.05
2020-10-08,73.72
2020-10-09,74.54
2020-10-10,
2020-10-11,
2020-10-12,75.84
2020-10-13,75.0
2020-10-14,74.13
2020-10-15,74.01
2020-10-16,74.57
2020-10-17,
2020-10-18,
2020-10-19,72.75
2020-10-20,73.32
2020-10-21,72.8
2020-10-22,73.61
2020-10-23,73.48
2020-10-24,
2020-10-25,
2020-10-26,70.11
2020-10-27,68.98
2020-10-28,64.23
2020-10-29,64.89
2020-10-30,64.11
2020-10-31,
2020-11-01,
2020-11-02,66.17
2020-11-03,68.89
2020-11-04,70.73
2020-11-05,73.48
2020-11-06,73.12
2020-11-07,
2020-11-08,
2020-11-09,77.48
2020-11-10,78.87
2020-11-11,78.74
2020-11-12,77.07
2020-11-13,79.23
2020-11-14,
