Date,Close
2024-01-01,
2024-01-02,57.38
2024-01-03,56.77
2024-01-04,56.47
2024-01-05,56.54
2024-01-06,
2024-01-07,
2024-01-08,57.74
2024-01-09,57.84
2024-01-10,58.23
2024-01-11,58.33
2024-01-12,58.36
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,58.35
2024-01-17,58.02
2024-01-18,58.87
2024-01-19,60.02
2024-01-20,
2024-01-21,
2024-01-22,60.06
2024-01-23,60.32
2024-01-24,60.65
2024-01-25,60.71
2024-01-26,60.37
2024-01-27,
2024-01-28,
2024-01-29,60.97
2024-01-30,60.56
2024-01-31,59.39
2024-02-01,60.11
2024-02-02,61.13
2024-02-03,
2024-02-04,
2024-02-05,61.03
2024-02-06,60.89
2024-02-07,61.52
2024-02-08,61.61
2024-02-09,62.23
2024-02-10,
2024-02-11,
2024-02-12,61.96
2024-02-13,60.98
2024-02-14,61.7
2024-02-15,61.84
2024-02-16,61.28
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,60.8
2024-02-21,60.56
2024-02-22,62.38
2024-02-23,62.15
2024-02-24,
2024-02-25,
2024-02-26,62.13
2024-02-27,62.25
2024-02-28,61.93
2024-02-29,62.52
2024-03-01,63.42
2024-03-02,
2024-03-03,
2024-03-04,63.16
2024-03-05,62.02
2024-03-06,62.43
2024-03-07,63.4
2024-03-08,62.43
2024-03-09,
2024-03-10,
2024-03-11,62.19
2024-03-12,63.12
2024-03-13,62.59
2024-03-14,62.41
2024-03-15,61.69
2024-03-16,
2024-03-17,
2024-03-18,62.3
2024-03-19,62.45
2024-03-20,63.19
2024-03-21,63.46
2024-03-22,63.53
2024-03-23,
2024-03-24,
2024-03-25,63.31
2024-03-26,63.08
2024-03-27,63.32
2024-03-28,63.22
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,63.35
2024-04-02,62.76
2024-04-03,62.9
2024-04-04,61.93
2024-04-05,62.7
2024-04-06,
2024-04-07,
2024-04-08,62.68
2024-04-09,62.92
2024-04-10,62.36
2024-04-11,63.39
2024-04-12,62.33
2024-04-13,
2024-04-14,
2024-04-15,61.3
2024-04-16,61.32
2024-04-17,60.56
2024-04-18,60.21
2024-04-19,58.97
2024-04-20,
2024-04-21,
2024-04-22,59.56
2024-04-23,60.46
2024-04-24,60.66
2024-04-25,60.32
2024-04-26,61.31
2024-04-27,
2024-04-28,
2024-04-29,61.53
2024-04-30,60.34
2024-05-01,59.93
2024-05-02,60.69
2024-05-03,61.9
2024-05-04,
2024-05-05,
2024-05-06,62.59
2024-05-07,62.59
2024-05-08,62.57
2024-05-09,62.67
2024-05-10,62.83
2024-05-11,
2024-05-12,
2024-05-13,62.96
2024-05-14,63.39
2024-05-15,64.35
2024-05-16,64.22
2024-05-17,64.18
2024-05-18,
2024-05-19,
2024-05-20,64.62
2024-05-21,64.75
2024-05-22,64.72
2024-05-23,64.44
2024-05-24,65.07
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,65.27
2024-05-29,64.82
2024-05-30,64.13
2024-05-31,64.12
2024-06-01,
2024-06-02,
2024-06-03,64.34
2024-06-04,64.53
2024-06-05,65.85
2024-06-06,65.8
2024-06-07,65.72
2024-06-08,
2024-06-09,
2024-06-10,65.98
2024-06-11,66.46
2024-06-12,67.34
2024-06-13,67.72
2024-06-14,68.01
2024-06-15,
2024-06-16,
2024-06-17,68.85
2024-06-18,68.87
2024-06-19,
2024-06-20,68.32
2024-06-21,68.13
2024-06-22,
2024-06-23,
2024-06-24,67.36
2024-06-25,68.14
2024-06-26,68.31
2024-06-27,68.44
2024-06-28,68.07
2024-06-29,
2024-06-30,
2024-07-01,68.51
2024-07-02,69.2
2024-07-03,69.8
2024-07-04,
2024-07-05,70.51
2024-07-06,
2024-07-07,
2024-07-08,70.67
2024-07-09,70.72
2024-07-10,71.49
2024-07-11,69.88
2024-07-12,70.29
2024-07-13,
2024-07-14,
2024-07-15,70.48
2024-07-16,70.51
2024-07-17,68.44
2024-07-18,68.12
2024-07-19,67.48
2024-07-20,
2024-07-21,
2024-07-22,68.5
2024-07-23,68.26
2024-07-24,65.77
2024-07-25,65.07
2024-07-26,65.73
2024-07-27,
2024-07-28,
2024-07-29,65.85
2024-07-30,64.95
2024-07-31,66.9
2024-08-01,65.27
2024-08-02,63.71
2024-08-03,
2024-08-04,
2024-08-05,61.82
2024-08-06,62.45
2024-08-07,61.72
2024-08-08,63.61
2024-08-09,63.95
2024-08-10,
2024-08-11,
2024-08-12,64.06
2024-08-13,65.66
2024-08-14,65.71
2024-08-15,67.34
2024-08-16,67.4
2024-08-17,
2024-08-18,
2024-08-19,68.29
2024-08-20,68.13
2024-08-21,68.5
2024-08-22,67.34
2024-08-23,68.12
2024-08-24,
2024-08-25,
2024-08-26,67.41
2024-08-27,67.63
2024-08-28,66.84
2024-08-29,66.74
2024-08-30,67.61
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,65.47
2024-09-04,65.34
2024-09-05,65.38
2024-09-06,63.62
2024-09-07,
2024-09-08,
2024-09-09,64.46
2024-09-10,65.03
2024-09-11,66.44
2024-09-12,67.08
2024-09-13,67.4
2024-09-14,
2024-09-15,
2024-09-16,67.08
2024-09-17,67.11
2024-09-18,66.81
2024-09-19,68.52
2024-09-20,68.35
2024-09-21,
2024-09-22,
2024-09-23,68.56
2024-09-24,68.87
2024-09-25,68.97
2024-09-26,69.46
2024-09-27,69.08
2024-09-28,
2024-09-29,
2024-09-30,69.26
2024-10-01,68.26
2024-10-02,68.37
2024-10-03,68.34
2024-10-04,69.16
2024-10-05,
2024-10-06,
2024-10-07,68.36
2024-10-08,69.41
2024-10-09,69.97
2024-10-10,69.87
2024-10-11,69.97
2024-10-12,
2024-10-13,
2024-10-14,70.54
2024-10-15,69.58
2024-10-16,69.63
2024-10-17,69.67
2024-10-18,70.13
2024-10-19,
2024-10-20,
2024-10-21,70.26
2024-10-22,70.33
2024-10-23,69.23
2024-10-24,69.8
2024-10-25,69.8
2024-10-26,
2024-10-27,
2024-10-28,70.2
2024-10-29,70.89
2024-10-30,70.32
2024-10-31,68.61
2024-11-01,68.61
2024-11-02,
2024-11-03,
2024-11-04,68.86
2024-11-05,69.76
2024-11-06,71.66
2024-11-07,72.78
2024-11-08,72.83
2024-11-09,
2024-11-10,
2024-11-11,72.78
2024-11-12,72.66
2024-11-13,72.54
2024-11-14,72.05
2024-11-15,70.32
2024-11-16,
2024-11-17,
2024-11-18,70.83
2024-11-19,71.33
2024-11-20,71.27
2024-11-21,71.52
2024-11-22,71.65
2024-11-23,
2024-11-24,
2024-11-25,71.74
2024-11-26,72.15
2024-11-27,71.53
2024-11-28,
2024-11-29,71.53
2024-11-30,
2024-12-01,
2024-12-02,72.97
2024-12-03,73.19
2024-12-04,74.1
2024-12-05,73.87
2024-12-06,74.55
2024-12-07,
2024-12-08,
2024-12-09,73.92
2024-12-10,73.67
2024-12-11,75.04
2024-12-12,74.48
2024-12-13,75.05
2024-12-14,
2024-12-15,
2024-12-16,76.14
2024-12-17,75.81
2024-12-18,73.08
2024-12-19,72.73
2024-12-20,73.34
2024-12-21,
2024-12-22,
2024-12-23,74.09
2024-12-24,75.09
2024-12-25,
2024-12-26,74.99
2024-12-27,73.96
2024-12-28,
2024-12-29,
2024-12-30,73.01
2024-12-31,72.37
2025-01-01,
2025-01-02,72.24
2025-01-03,73.45
2025-01-04,
2025-01-05,
2025-01-06,74.25
2025-01-07,72.92
2025-01-08,72.94
2025-01-09,
2025-01-10,71.79
2025-01-11,
2025-01-12,
2025-01-13,71.57
2025-01-14,71.47
2025-01-15,73.12
2025-01-16,72.61
2025-01-17,73.81
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,74.24
2025-01-22,75.22
2025-01-23,75.38
2025-01-24,74.94
2025-01-25,
2025-01-26,
2025-01-27,72.71
2025-01-28,73.86
2025-01-29,73.68
2025-01-30,74.01
2025-01-31,73.9
2025-02-01,
2025-02-02,
2025-02-03,73.28
2025-02-04,74.2
2025-02-05,74.51
2025-02-06,74.91
2025-02-07,73.93
2025-02-08,
2025-02-09,
2025-02-10,74.85
2025-02-11,74.63
2025-02-12,74.72
2025-02-13,75.79
2025-02-14,76.07
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,76.24
2025-02-19,76.28
2025-02-20,75.92
2025-02-21,74.35
2025-02-22,
2025-02-23,
2025-02-24,73.45
2025-02-25,72.54
2025-02-26,72.69
2025-02-27,70.69
2025-02-28,71.83
2025-03-01,
2025-03-02,
2025-03-03,70.25
2025-03-04,69.99
2025-03-05,70.94
2025-03-06,68.96
2025-03-07,69.48
2025-03-08,
2025-03-09,
2025-03-10,66.83
2025-03-11,66.64
2025-03-12,67.39
2025-03-13,66.12
2025-03-14,67.77
2025-03-15,
2025-03-16,
2025-03-17,68.13
2025-03-18,67.0
2025-03-19,67.87
2025-03-20,67.67
2025-03-21,67.93
2025-03-22,
2025-03-23,
2025-03-24,69.39
2025-03-25,69.76
2025-03-26,68.48
2025-03-27,68.07
2025-03-28,66.28
2025-03-29,
2025-03-30,
2025-03-31,66.27
2025-04-01,66.81
2025-04-02,67.32
2025-04-03,63.67
2025-04-04,59.8
2025-04-05,
2025-04-06,
2025-04-07,59.9
2025-04-08,58.73
2025-04-09,65.79
2025-04-10,63.03
2025-04-11,64.21
2025-04-12,
2025-04-13,
2025-04-14,64.57
2025-04-15,64.69
2025-04-16,62.72
2025-04-17,62.71
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,61.16
2025-04-22,62.77
2025-04-23,64.2
2025-04-24,65.99
2025-04-25,66.73
2025-04-26,
2025-04-27,
2025-04-28,66.71
2025-04-29,67.11
2025-04-30,67.21
2025-05-01,67.94
2025-05-02,69.02
2025-05-03,
2025-05-04,
2025-05-05,68.56
2025-05-06,67.95
2025-05-07,67.95
2025-05-08,68.88
2025-05-09,68.86
2025-05-10,
2025-05-11,
2025-05-12,71.64
2025-05-13,72.77
2025-05-14,73.19
2025-05-15,73.25
2025-05-16,73.58
2025-05-17,
2025-05-18,
2025-05-19,73.64
2025-05-20,73.36
2025-05-21,72.37
2025-05-22,72.49
2025-05-23,71.8
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,73.51
2025-05-28,73.18
2025-05-29,73.33
2025-05-30,73.25
2025-05-31,
2025-06-01,
2025-06-02,73.77
2025-06-03,74.35
2025-06-04,74.56
2025-06-05,73.97
2025-06-06,74.7
2025-06-07,
2025-06-08,
2025-06-09,74.83
2025-06-10,75.32
2025-06-11,75.04
2025-06-12,75.22
2025-06-13,74.25
2025-06-14,
2025-06-15,
2025-06-16,75.3
2025-06-17,74.55
2025-06-18,74.54
2025-06-19,
2025-06-20,74.22
2025-06-21,
2025-06-22,
2025-06-23,74.22
2025-06-24,75.01
2025-06-25,76.31
2025-06-26,77.03
2025-06-27,77.32
2025-06-28,
2025-06-29,
2025-06-30,77.82
2025-07-01,77.12
2025-07-02,77.69
2025-07-03,78.46
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,77.83
2025-07-08,77.88
2025-07-09,78.44
2025-07-10,78.31
2025-07-11,78.14
2025-07-12,
2025-07-13,
2025-07-14,78.39
2025-07-15,78.49
2025-07-16,78.56
2025-07-17,79.15
2025-07-18,79.09
2025-07-19,
2025-07-20,
2025-07-21,79.48
2025-07-22,79.08
2025-07-23,79.41
2025-07-24,79.61
2025-07-25,79.78
2025-07-26,
2025-07-27,
2025-07-28,80.06
2025-07-29,79.9
2025-07-30,80.02
2025-07-31,79.59
2025-08-01,78.02
2025-08-02,
2025-08-03,
2025-08-04,79.48
2025-08-05,78.89
2025-08-06,79.91
2025-08-07,80.16
2025-08-08,80.91
2025-08-09,
2025-08-10,
2025-08-11,80.63
2025-08-12,81.69
2025-08-13,81.73
2025-08-14,81.67
2025-08-15,81.25
2025-08-16,
2025-08-17,
