Date,Close
2024-01-01,
2024-01-02,139.72
2024-01-03,137.59
2024-01-04,137.72
2024-01-05,137.81
2024-01-06,
2024-01-07,
2024-01-08,139.38
2024-01-09,138.2
2024-01-10,139.43
2024-01-11,139.49
2024-01-12,138.52
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,136.78
2024-01-17,136.06
2024-01-18,137.52
2024-01-19,140.41
2024-01-20,
2024-01-21,
2024-01-22,141.43
2024-01-23,140.67
2024-01-24,139.91
2024-01-25,141.66
2024-01-26,142.03
2024-01-27,
2024-01-28,
2024-01-29,143.67
2024-01-30,144.61
2024-01-31,142.19
2024-02-01,144.9
2024-02-02,145.82
2024-02-03,
2024-02-04,
2024-02-05,143.69
2024-02-06,144.75
2024-02-07,145.9
2024-02-08,146.34
2024-02-09,145.84
2024-02-10,
2024-02-11,
2024-02-12,146.78
2024-02-13,142.76
2024-02-14,143.88
2024-02-15,146.73
2024-02-16,145.59
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,145.09
2024-02-21,145.4
2024-02-22,148.8
2024-02-23,149.2
2024-02-24,
2024-02-25,
2024-02-26,148.7
2024-02-27,147.93
2024-02-28,147.88
2024-02-29,148.28
2024-03-01,148.97
2024-03-02,
2024-03-03,
2024-03-04,148.19
2024-03-05,145.08
2024-03-06,145.74
2024-03-07,146.72
2024-03-08,146.22
2024-03-09,
2024-03-10,
2024-03-11,146.54
2024-03-12,148.29
2024-03-13,148.57
2024-03-14,147.56
2024-03-15,146.02
2024-03-16,
2024-03-17,
2024-03-18,146.02
2024-03-19,148.94
2024-03-20,151.97
2024-03-21,154.0
2024-03-22,154.0
2024-03-23,
2024-03-24,
2024-03-25,150.25
2024-03-26,149.99
2024-03-27,153.61
2024-03-28,153.84
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,151.94
2024-04-02,148.86
2024-04-03,148.52
2024-04-04,144.55
2024-04-05,146.75
2024-04-06,
2024-04-07,
2024-04-08,146.65
2024-04-09,146.57
2024-04-10,143.36
2024-04-11,143.31
2024-04-12,139.68
2024-04-13,
2024-04-14,
2024-04-15,137.81
2024-04-16,138.25
2024-04-17,137.87
2024-04-18,138.06
2024-04-19,139.57
2024-04-20,
2024-04-21,
2024-04-22,141.41
2024-04-23,143.34
2024-04-24,142.97
2024-04-25,140.15
2024-04-26,141.19
2024-04-27,
2024-04-28,
2024-04-29,142.23
2024-04-30,137.98
2024-05-01,138.57
2024-05-02,140.91
2024-05-03,144.13
2024-05-04,
2024-05-05,
2024-05-06,145.42
2024-05-07,145.63
2024-05-08,146.89
2024-05-09,149.46
2024-05-10,149.46
