Date,Close
2024-01-01,
2024-01-02,303.67
2024-01-03,296.47
2024-01-04,293.56
2024-01-05,294.77
2024-01-06,
2024-01-07,
2024-01-08,304.08
2024-01-09,304.17
2024-01-10,303.34
2024-01-11,303.92
2024-01-12,302.06
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,304.99
2024-01-17,301.68
2024-01-18,310.75
2024-01-19,321.97
2024-01-20,
2024-01-21,
2024-01-22,324.64
2024-01-23,326.99
2024-01-24,330.13
2024-01-25,329.1
2024-01-26,320.25
2024-01-27,
2024-01-28,
2024-01-29,324.35
2024-01-30,319.66
2024-01-31,314.47
2024-02-01,316.27
2024-02-02,319.73
2024-02-03,
2024-02-04,
2024-02-05,323.74
2024-02-06,320.09
2024-02-07,326.65
2024-02-08,331.1
2024-02-09,339.0
2024-02-10,
2024-02-11,
2024-02-12,339.33
2024-02-13,331.46
2024-02-14,339.58
2024-02-15,339.62
2024-02-16,337.39
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,331.32
2024-02-21,329.48
2024-02-22,345.98
2024-02-23,341.92
2024-02-24,
2024-02-25,
2024-02-26,345.24
2024-02-27,344.51
2024-02-28,340.67
2024-02-29,348.91
2024-03-01,362.92
2024-03-02,
2024-03-03,
2024-03-04,365.86
2024-03-05,359.63
2024-03-06,368.28
2024-03-07,381.1
2024-03-08,366.58
2024-03-09,
2024-03-10,
2024-03-11,362.52
2024-03-12,369.37
2024-03-13,360.55
2024-03-14,353.54
2024-03-15,351.16
2024-03-16,
2024-03-17,
2024-03-18,351.53
2024-03-19,349.31
2024-03-20,355.81
2024-03-21,363.61
2024-03-22,364.34
2024-03-23,
2024-03-24,
2024-03-25,363.08
2024-03-26,359.72
2024-03-27,364.57
2024-03-28,365.28
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,368.16
2024-04-02,362.1
2024-04-03,363.68
2024-04-04,354.26
2024-04-05,357.78
2024-04-06,
2024-04-07,
2024-04-08,358.56
2024-04-09,362.71
2024-04-10,356.74
2024-04-11,365.26
2024-04-12,353.28
2024-04-13,
2024-04-14,
2024-04-15,347.77
2024-04-16,350.03
2024-04-17,339.9
2024-04-18,334.62
2024-04-19,320.75
2024-04-20,
2024-04-21,
2024-04-22,326.57
2024-04-23,333.61
2024-04-24,336.31
2024-04-25,342.47
2024-04-26,350.96
2024-04-27,
2024-04-28,
2024-04-29,354.15
2024-04-30,346.84
2024-05-01,335.44
2024-05-02,342.66
2024-05-03,351.32
2024-05-04,
2024-05-05,
2024-05-06,358.69
2024-05-07,356.32
2024-05-08,356.62
2024-05-09,354.34
2024-05-10,356.48
2024-05-11,
2024-05-12,
2024-05-13,357.54
2024-05-14,363.71
2024-05-15,373.22
2024-05-16,371.25
2024-05-17,368.58
2024-05-18,
2024-05-19,
2024-05-20,376.03
2024-05-21,375.54
2024-05-22,381.09
2024-05-23,381.09
2024-05-24,389.08
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,397.13
2024-05-29,390.49
2024-05-30,387.68
2024-05-31,384.94
2024-06-01,
2024-06-02,
2024-06-03,386.84
2024-06-04,384.39
2024-06-05,400.92
2024-06-06,397.45
2024-06-07,394.7
2024-06-08,
2024-06-09,
2024-06-10,400.81
2024-06-11,401.41
2024-06-12,412.66
2024-06-13,417.9
2024-06-14,416.09
2024-06-15,
2024-06-16,
2024-06-17,421.07
2024-06-18,426.3
2024-06-19,
2024-06-20,414.57
2024-06-21,409.66
2024-06-22,
2024-06-23,
2024-06-24,397.89
2024-06-25,404.4
2024-06-26,403.33
2024-06-27,401.25
2024-06-28,403.66
2024-06-29,
2024-06-30,
2024-07-01,403.02
2024-07-02,407.26
2024-07-03,415.53
2024-07-04,
2024-07-05,415.45
2024-07-06,
2024-07-07,
2024-07-08,423.88
2024-07-09,424.54
2024-07-10,434.46
2024-07-11,421.56
2024-07-12,427.11
2024-07-13,
2024-07-14,
2024-07-15,425.93
2024-07-16,429.17
2024-07-17,401.39
2024-07-18,402.3
2024-07-19,390.78
2024-07-20,
2024-07-21,
2024-07-22,405.8
2024-07-23,400.99
2024-07-24,381.02
2024-07-25,373.28
2024-07-26,380.41
2024-07-27,
2024-07-28,
2024-07-29,378.0
2024-07-30,362.6
2024-07-31,387.08
2024-08-01,359.89
2024-08-02,340.93
2024-08-03,
2024-08-04,
2024-08-05,332.95
2024-08-06,336.45
2024-08-07,326.03
2024-08-08,347.14
2024-08-09,345.53
2024-08-10,
2024-08-11,
2024-08-12,348.52
2024-08-13,363.58
2024-08-14,362.84
2024-08-15,379.83
2024-08-16,379.44
2024-08-17,
2024-08-18,
2024-08-19,386.87
2024-08-20,381.32
2024-08-21,387.26
2024-08-22,373.96
2024-08-23,386.0
2024-08-24,
2024-08-25,
2024-08-26,376.79
2024-08-27,380.36
2024-08-28,373.82
2024-08-29,371.43
2024-08-30,379.46
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,350.19
2024-09-04,350.77
2024-09-05,348.85
2024-09-06,334.27
2024-09-07,
2024-09-08,
2024-09-09,340.6
2024-09-10,344.12
2024-09-11,361.53
2024-09-12,360.09
2024-09-13,366.13
2024-09-14,
2024-09-15,
2024-09-16,361.65
2024-09-17,362.97
2024-09-18,359.29
2024-09-19,372.92
2024-09-20,367.49
2024-09-21,
2024-09-22,
2024-09-23,369.66
2024-09-24,374.71
2024-09-25,376.24
2024-09-26,389.58
2024-09-27,384.57
2024-09-28,
2024-09-29,
2024-09-30,381.41
2024-10-01,369.81
2024-10-02,374.31
2024-10-03,375.15
2024-10-04,380.81
2024-10-05,
2024-10-06,
2024-10-07,380.94
2024-10-08,384.46
2024-10-09,388.27
2024-10-10,385.77
2024-10-11,389.73
2024-10-12,
2024-10-13,
2024-10-14,396.67
2024-10-15,376.99
2024-10-16,379.05
2024-10-17,381.32
2024-10-18,381.27
2024-10-19,
2024-10-20,
2024-10-21,382.26
2024-10-22,381.28
2024-10-23,374.91
2024-10-24,377.01
2024-10-25,381.66
2024-10-26,
