Date,Close
2024-01-01,
2024-01-02,24.72
2024-01-03,24.63
2024-01-04,24.54
2024-01-05,24.55
2024-01-06,
2024-01-07,
2024-01-08,24.75
2024-01-09,24.73
2024-01-10,24.83
2024-01-11,24.87
2024-01-12,24.9
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,24.73
2024-01-17,24.64
2024-01-18,24.79
2024-01-19,24.95
2024-01-20,
2024-01-21,
2024-01-22,25.02
2024-01-23,25.05
2024-01-24,25.04
2024-01-25,25.17
2024-01-26,25.17
2024-01-27,
2024-01-28,
2024-01-29,25.32
2024-01-30,25.3
2024-01-31,25.1
2024-02-01,25.29
2024-02-02,25.44
2024-02-03,
2024-02-04,
2024-02-05,25.27
2024-02-06,25.38
2024-02-07,25.49
2024-02-08,25.43
2024-02-09,25.5
2024-02-10,
2024-02-11,
2024-02-12,25.49
2024-02-13,25.17
2024-02-14,25.33
2024-02-15,25.46
2024-02-16,25.34
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,25.3
2024-02-21,25.31
2024-02-22,25.54
2024-02-23,25.57
2024-02-24,
2024-02-25,
2024-02-26,25.43
2024-02-27,25.45
2024-02-28,25.44
2024-02-29,25.56
2024-03-01,25.66
2024-03-02,
2024-03-03,
2024-03-04,25.54
2024-03-05,25.41
2024-03-06,25.49
2024-03-07,25.63
2024-03-08,25.63
2024-03-09,
2024-03-10,
2024-03-11,25.62
2024-03-12,25.73
2024-03-13,25.71
2024-03-14,25.7
2024-03-15,25.56
2024-03-16,
2024-03-17,
2024-03-18,25.66
2024-03-19,25.78
2024-03-20,25.94
2024-03-21,25.97
2024-03-22,26.0
2024-03-23,
2024-03-24,
2024-03-25,25.91
2024-03-26,25.89
2024-03-27,26.04
2024-03-28,26.03
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,25.95
2024-04-02,25.84
2024-04-03,25.89
2024-04-04,25.76
2024-04-05,25.9
2024-04-06,
2024-04-07,
2024-04-08,25.84
2024-04-09,25.93
2024-04-10,25.65
2024-04-11,25.73
2024-04-12,25.73
2024-04-13,
2024-04-14,
2024-04-15,25.3
2024-04-16,25.26
2024-04-17,25.27
2024-04-18,25.2
2024-04-19,25.12
2024-04-20,
2024-04-21,
2024-04-22,25.24
2024-04-23,25.43
2024-04-24,25.4
2024-04-25,25.08
2024-04-26,25.27
2024-04-27,
2024-04-28,
2024-04-29,25.29
2024-04-30,24.99
2024-05-01,25.1
2024-05-02,25.29
2024-05-03,25.52
2024-05-04,
2024-05-05,
2024-05-06,25.68
2024-05-07,25.73
2024-05-08,25.73
2024-05-09,25.86
2024-05-10,25.87
2024-05-11,
2024-05-12,
2024-05-13,25.86
2024-05-14,25.96
2024-05-15,26.16
2024-05-16,26.12
2024-05-17,26.14
2024-05-18,
2024-05-19,
2024-05-20,26.14
2024-05-21,26.17
2024-05-22,26.11
2024-05-23,25.89
2024-05-24,25.95
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,25.89
2024-05-29,25.75
2024-05-30,25.62
2024-05-31,25.8
2024-06-01,
2024-06-02,
2024-06-03,25.92
2024-06-04,25.97
2024-06-05,26.16
2024-06-06,26.19
2024-06-07,26.11
2024-06-08,
2024-06-09,
2024-06-10,26.13
2024-06-11,26.22
2024-06-12,26.43
2024-06-13,26.37
2024-06-14,26.34
2024-06-15,
2024-06-16,
2024-06-17,26.42
2024-06-18,26.44
2024-06-19,
2024-06-20,26.44
2024-06-21,26.46
2024-06-22,
2024-06-23,
2024-06-24,26.47
2024-06-25,26.52
2024-06-26,26.54
2024-06-27,26.61
2024-06-28,26.47
2024-06-29,
2024-06-30,
2024-07-01,26.46
2024-07-02,26.61
2024-07-03,26.7
2024-07-04,
2024-07-05,26.88
2024-07-06,
2024-07-07,
2024-07-08,26.85
2024-07-09,26.8
2024-07-10,26.97
2024-07-11,26.87
2024-07-12,26.96
2024-07-13,
2024-07-14,
2024-07-15,26.97
2024-07-16,27.12
2024-07-17,26.96
2024-07-18,26.79
2024-07-19,26.67
2024-07-20,
2024-07-21,
2024-07-22,26.8
2024-07-23,26.85
2024-07-24,26.48
2024-07-25,26.48
2024-07-26,26.75
2024-07-27,
2024-07-28,
2024-07-29,26.77
2024-07-30,26.79
2024-07-31,26.98
2024-08-01,26.86
2024-08-02,26.67
2024-08-03,
2024-08-04,
2024-08-05,26.12
2024-08-06,26.23
2024-08-07,26.1
2024-08-08,26.38
2024-08-09,26.5
2024-08-10,
2024-08-11,
2024-08-12,26.52
2024-08-13,26.85
2024-08-14,26.9
2024-08-15,27.1
2024-08-16,27.14
2024-08-17,
2024-08-18,
2024-08-19,27.27
2024-08-20,27.25
2024-08-21,27.34
2024-08-22,27.16
2024-08-23,27.4
2024-08-24,
2024-08-25,
2024-08-26,27.38
2024-08-27,27.38
2024-08-28,27.29
2024-08-29,27.34
2024-08-30,27.46
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,27.18
2024-09-04,27.18
2024-09-05,27.17
2024-09-06,26.92
2024-09-07,
2024-09-08,
2024-09-09,27.09
2024-09-10,27.19
2024-09-11,27.33
2024-09-12,27.44
2024-09-13,27.54
2024-09-14,
2024-09-15,
2024-09-16,27.58
2024-09-17,27.6
2024-09-18,27.57
2024-09-19,27.85
2024-09-20,27.79
2024-09-21,
2024-09-22,
2024-09-23,27.81
2024-09-24,27.86
2024-09-25,27.79
2024-09-26,27.87
2024-09-27,27.9
2024-09-28,
2024-09-29,
2024-09-30,27.93
2024-10-01,27.84
2024-10-02,27.82
2024-10-03,27.74
2024-10-04,27.86
2024-10-05,
2024-10-06,
2024-10-07,27.61
2024-10-08,27.73
2024-10-09,27.82
2024-10-10,27.78
2024-10-11,27.92
2024-10-12,
2024-10-13,
2024-10-14,28.01
2024-10-15,27.97
2024-10-16,28.05
2024-10-17,28.01
2024-10-18,28.1
2024-10-19,
2024-10-20,
2024-10-21,28.0
2024-10-22,28.06
2024-10-23,27.88
2024-10-24,27.9
2024-10-25,27.83
2024-10-26,
2024-10-27,
2024-10-28,27.84
2024-10-29,27.91
2024-10-30,27.91
2024-10-31,27.55
2024-11-01,27.59
2024-11-02,
2024-11-03,
2024-11-04,27.56
2024-11-05,27.77
2024-11-06,28.07
2024-11-07,28.29
2024-11-08,28.31
2024-11-09,
2024-11-10,
2024-11-11,28.36
2024-11-12,28.26
2024-11-13,28.25
2024-11-14,28.19
2024-11-15,27.9
2024-11-16,
2024-11-17,
2024-11-18,27.99
2024-11-19,28.03
2024-11-20,28.03
2024-11-21,28.04
2024-11-22,28.08
2024-11-23,
2024-11-24,
2024-11-25,28.26
2024-11-26,28.35
2024-11-27,28.3
2024-11-28,
2024-11-29,28.41
2024-11-30,
2024-12-01,
2024-12-02,28.49
2024-12-03,28.5
2024-12-04,28.69
2024-12-05,28.62
2024-12-06,28.69
2024-12-07,
2024-12-08,
2024-12-09,28.61
2024-12-10,28.57
2024-12-11,28.68
2024-12-12,28.59
2024-12-13,28.45
2024-12-14,
2024-12-15,
2024-12-16,28.48
2024-12-17,28.42
2024-12-18,27.88
2024-12-19,27.85
2024-12-20,28.06
2024-12-21,
2024-12-22,
2024-12-23,28.11
2024-12-24,28.27
2024-12-25,
2024-12-26,28.26
2024-12-27,28.08
2024-12-28,
2024-12-29,
2024-12-30,27.94
2024-12-31,27.87
2025-01-01,
2025-01-02,27.84
2025-01-03,27.98
2025-01-04,
2025-01-05,
2025-01-06,28.13
2025-01-07,27.92
2025-01-08,27.92
2025-01-09,
2025-01-10,27.92
2025-01-11,
2025-01-12,
2025-01-13,27.56
2025-01-14,27.58
2025-01-15,27.98
2025-01-16,27.94
2025-01-17,28.11
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,28.32
2025-01-22,28.46
2025-01-23,28.58
2025-01-24,28.55
2025-01-25,
2025-01-26,
2025-01-27,28.51
2025-01-28,28.71
2025-01-29,28.64
2025-01-30,28.7
2025-01-31,28.61
2025-02-01,
2025-02-02,
2025-02-03,28.47
2025-02-04,28.64
2025-02-05,28.71
2025-02-06,28.79
2025-02-07,28.59
2025-02-08,
2025-02-09,
2025-02-10,28.67
2025-02-11,28.69
2025-02-12,28.58
2025-02-13,28.81
2025-02-14,28.87
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,28.81
2025-02-19,28.85
2025-02-20,28.81
2025-02-21,28.56
2025-02-22,
2025-02-23,
2025-02-24,28.53
2025-02-25,28.51
2025-02-26,28.53
2025-02-27,28.24
2025-02-28,28.52
2025-03-01,
2025-03-02,
2025-03-03,28.26
2025-03-04,28.03
2025-03-05,28.24
2025-03-06,27.92
2025-03-07,27.95
2025-03-08,
2025-03-09,
2025-03-10,27.54
2025-03-11,27.39
2025-03-12,27.46
2025-03-13,27.21
2025-03-14,27.54
2025-03-15,
2025-03-16,
2025-03-17,27.67
2025-03-18,27.51
2025-03-19,27.71
2025-03-20,27.72
2025-03-21,27.74
2025-03-22,
2025-03-23,
2025-03-24,27.97
2025-03-25,28.05
2025-03-26,27.81
2025-03-27,27.73
2025-03-28,27.4
2025-03-29,
2025-03-30,
2025-03-31,27.47
2025-04-01,27.56
2025-04-02,27.63
2025-04-03,26.85
2025-04-04,25.92
2025-04-05,
2025-04-06,
2025-04-07,25.78
2025-04-08,25.49
2025-04-09,26.85
2025-04-10,26.26
2025-04-11,26.44
2025-04-12,
2025-04-13,
2025-04-14,26.62
2025-04-15,26.57
2025-04-16,26.24
2025-04-17,26.12
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,25.7
2025-04-22,26.08
2025-04-23,26.43
2025-04-24,26.86
2025-04-25,26.98
2025-04-26,
2025-04-27,
2025-04-28,27.02
2025-04-29,27.12
2025-04-30,27.11
2025-05-01,27.23
2025-05-02,27.45
2025-05-03,
2025-05-04,
2025-05-05,27.32
2025-05-06,27.23
2025-05-07,27.23
2025-05-08,27.35
2025-05-09,27.35
2025-05-10,
2025-05-11,
2025-05-12,27.96
2025-05-13,28.04
2025-05-14,28.06
2025-05-15,28.1
2025-05-16,28.2
2025-05-17,
2025-05-18,
2025-05-19,28.2
2025-05-20,28.14
2025-05-21,27.82
2025-05-22,27.83
2025-05-23,27.66
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,28.07
2025-05-28,27.97
2025-05-29,28.06
2025-05-30,28.08
2025-05-31,
2025-06-01,
2025-06-02,28.13
2025-06-03,28.21
2025-06-04,28.33
2025-06-05,28.32
2025-06-06,28.5
2025-06-07,
2025-06-08,
2025-06-09,28.58
2025-06-10,28.67
2025-06-11,28.66
