Date,Close
2020-01-01,
2020-01-02,29.24
2020-01-03,29.07
2020-01-04,
2020-01-05,
2020-01-06,29.28
2020-01-07,29.23
2020-01-08,29.45
2020-01-09,29.71
2020-01-10,29.63
2020-01-11,
2020-01-12,
2020-01-13,29.94
2020-01-14,29.9
2020-01-15,30.06
2020-01-16,30.31
2020-01-17,30.49
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,30.5
2020-01-22,30.48
2020-01-23,30.62
2020-01-24,30.4
2020-01-25,
2020-01-26,
2020-01-27,30.01
2020-01-28,30.43
2020-01-29,30.64
2020-01-30,30.88
2020-01-31,30.35
2020-02-01,
2020-02-02,
2020-02-03,30.63
2020-02-04,31.12
2020-02-05,31.16
2020-02-06,31.19
2020-02-07,31.1
2020-02-08,
2020-02-09,
2020-02-10,31.57
2020-02-11,31.59
2020-02-12,31.8
2020-02-13,31.83
2020-02-14,32.07
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,32.07
2020-02-19,32.2
2020-02-20,32.06
2020-02-21,31.69
2020-02-22,
2020-02-23,
2020-02-24,30.65
2020-02-25,29.8
2020-02-26,29.76
2020-02-27,28.55
2020-02-28,28.35
2020-02-29,
2020-03-01,
2020-03-02,29.74
2020-03-03,28.92
2020-03-04,30.15
2020-03-05,29.19
2020-03-06,28.67
2020-03-07,
2020-03-08,
2020-03-09,26.68
2020-03-10,28.11
2020-03-11,26.78
2020-03-12,24.54
2020-03-13,26.53
2020-03-14,
2020-03-15,
2020-03-16,23.34
2020-03-17,24.67
2020-03-18,23.58
2020-03-19,23.8
2020-03-20,23.01
2020-03-21,
2020-03-22,
2020-03-23,22.5
2020-03-24,24.39
2020-03-25,24.56
2020-03-26,25.87
2020-03-27,25.12
2020-03-28,
2020-03-29,
2020-03-30,25.98
2020-03-31,25.69
2020-04-01,24.68
2020-04-02,25.18
2020-04-03,24.81
2020-04-04,
2020-04-05,
2020-04-06,26.51
2020-04-07,26.31
2020-04-08,27.03
2020-04-09,27.3
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,27.23
2020-04-14,28.26
2020-04-15,27.93
2020-04-16,28.35
2020-04-17,28.81
2020-04-18,
2020-04-19,
2020-04-20,28.48
2020-04-21,27.63
2020-04-22,28.33
2020-04-23,28.2
2020-04-24,28.58
2020-04-25,
2020-04-26,
2020-04-27,28.92
2020-04-28,28.5
2020-04-29,29.36
2020-04-30,29.31
2020-05-01,28.65
2020-05-02,
2020-05-03,
2020-05-04,29.01
2020-05-05,29.43
2020-05-06,29.52
2020-05-07,30.01
2020-05-08,30.25
2020-05-09,
2020-05-10,
2020-05-11,30.5
2020-05-12,29.9
2020-05-13,29.6
2020-05-14,29.8
2020-05-15,30.19
2020-05-16,
2020-05-17,
2020-05-18,30.71
2020-05-19,30.55
2020-05-20,30.85
2020-05-21,30.52
2020-05-22,30.66
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,30.52
2020-05-27,30.73
2020-05-28,30.86
2020-05-29,31.25
2020-05-30,
2020-05-31,
2020-06-01,31.36
2020-06-02,31.49
2020-06-03,31.59
2020-06-04,31.16
2020-06-05,31.74
