Date,Close
2024-01-01,
2024-01-02,59.24
2024-01-03,58.39
2024-01-04,57.94
2024-01-05,57.94
2024-01-06,
2024-01-07,
2024-01-08,59.35
2024-01-09,59.21
2024-01-10,59.54
2024-01-11,59.7
2024-01-12,59.69
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,59.68
2024-01-17,59.18
2024-01-18,60.33
2024-01-19,61.87
2024-01-20,
2024-01-21,
2024-01-22,62.45
2024-01-23,62.63
2024-01-24,62.87
2024-01-25,63.01
2024-01-26,62.33
2024-01-27,
2024-01-28,
2024-01-29,62.88
2024-01-30,62.45
2024-01-31,61.03
2024-02-01,61.68
2024-02-02,61.92
2024-02-03,
2024-02-04,
2024-02-05,62.09
2024-02-06,61.86
2024-02-07,62.54
2024-02-08,63.0
2024-02-09,64.11
2024-02-10,
2024-02-11,
2024-02-12,64.06
2024-02-13,62.49
2024-02-14,63.41
2024-02-15,63.39
2024-02-16,62.3
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,61.46
2024-02-21,61.14
2024-02-22,62.88
2024-02-23,62.81
2024-02-24,
2024-02-25,
2024-02-26,62.86
2024-02-27,62.94
2024-02-28,62.56
2024-02-29,63.29
2024-03-01,65.09
2024-03-02,
2024-03-03,
2024-03-04,64.9
2024-03-05,63.83
2024-03-06,64.44
2024-03-07,65.68
2024-03-08,64.52
2024-03-09,
2024-03-10,
2024-03-11,64.19
2024-03-12,65.02
2024-03-13,64.38
2024-03-14,63.85
2024-03-15,63.29
2024-03-16,
2024-03-17,
2024-03-18,63.83
2024-03-19,64.07
2024-03-20,64.93
2024-03-21,65.76
2024-03-22,65.65
2024-03-23,
2024-03-24,
2024-03-25,65.35
2024-03-26,65.36
2024-03-27,65.72
2024-03-28,65.8
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,66.12
2024-04-02,65.54
2024-04-03,65.94
2024-04-04,64.83
2024-04-05,65.63
2024-04-06,
2024-04-07,
2024-04-08,65.68
2024-04-09,66.11
2024-04-10,65.13
2024-04-11,66.07
2024-04-12,64.58
2024-04-13,
2024-04-14,
2024-04-15,63.44
2024-04-16,63.49
2024-04-17,62.43
2024-04-18,61.84
2024-04-19,60.6
2024-04-20,
2024-04-21,
2024-04-22,61.09
2024-04-23,62.21
2024-04-24,62.55
2024-04-25,62.66
2024-04-26,64.24
2024-04-27,
2024-04-28,
2024-04-29,64.44
2024-04-30,63.13
2024-05-01,62.56
2024-05-02,63.25
2024-05-03,64.32
2024-05-04,
2024-05-05,
2024-05-06,65.2
2024-05-07,65.04
2024-05-08,65.14
2024-05-09,65.15
2024-05-10,65.51
2024-05-11,
2024-05-12,
2024-05-13,65.69
2024-05-14,66.49
2024-05-15,67.94
2024-05-16,67.5
2024-05-17,67.27
2024-05-18,
2024-05-19,
2024-05-20,67.96
2024-05-21,68.27
2024-05-22,68.54
2024-05-23,68.06
2024-05-24,68.86
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,69.19
2024-05-29,68.48
2024-05-30,67.94
2024-05-31,67.86
2024-06-01,
2024-06-02,
2024-06-03,67.88
2024-06-04,67.55
2024-06-05,69.31
2024-06-06,69.03
2024-06-07,68.62
2024-06-08,
2024-06-09,
2024-06-10,69.33
2024-06-11,69.51
2024-06-12,70.74
2024-06-13,71.01
2024-06-14,70.8
2024-06-15,
2024-06-16,
2024-06-17,71.41
2024-06-18,71.51
2024-06-19,
2024-06-20,70.83
2024-06-21,70.58
2024-06-22,
2024-06-23,
2024-06-24,69.73
2024-06-25,70.41
2024-06-26,70.33
2024-06-27,70.67
2024-06-28,70.7
2024-06-29,
2024-06-30,
2024-07-01,70.84
2024-07-02,71.37
2024-07-03,72.04
2024-07-04,
2024-07-05,72.44
2024-07-06,
2024-07-07,
2024-07-08,72.82
2024-07-09,72.62
2024-07-10,73.46
2024-07-11,72.54
2024-07-12,73.16
2024-07-13,
2024-07-14,
2024-07-15,73.51
2024-07-16,74.06
2024-07-17,71.54
2024-07-18,70.88
2024-07-19,70.09
2024-07-20,
2024-07-21,
2024-07-22,71.57
2024-07-23,71.49
2024-07-24,68.88
2024-07-25,67.81
2024-07-26,68.76
2024-07-27,
2024-07-28,
2024-07-29,68.79
2024-07-30,67.84
2024-07-31,70.27
2024-08-01,67.54
2024-08-02,65.74
2024-08-03,
2024-08-04,
2024-08-05,63.87
2024-08-06,64.41
2024-08-07,63.42
2024-08-08,65.8
2024-08-09,66.19
2024-08-10,
2024-08-11,
2024-08-12,66.11
2024-08-13,67.8
2024-08-14,67.78
2024-08-15,69.82
2024-08-16,69.77
2024-08-17,
2024-08-18,
2024-08-19,70.69
2024-08-20,70.28
2024-08-21,70.83
2024-08-22,69.53
2024-08-23,70.72
2024-08-24,
2024-08-25,
2024-08-26,70.01
2024-08-27,70.24
2024-08-28,69.39
2024-08-29,69.62
2024-08-30,70.56
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,67.6
2024-09-04,67.39
2024-09-05,67.2
2024-09-06,65.15
2024-09-07,
2024-09-08,
2024-09-09,65.76
2024-09-10,66.4
2024-09-11,67.98
2024-09-12,68.44
2024-09-13,69.2
2024-09-14,
2024-09-15,
2024-09-16,69.07
2024-09-17,69.32
2024-09-18,68.93
2024-09-19,70.72
2024-09-20,70.49
2024-09-21,
2024-09-22,
2024-09-23,70.6
2024-09-24,70.76
2024-09-25,70.53
2024-09-26,71.64
2024-09-27,71.23
2024-09-28,
2024-09-29,
2024-09-30,71.42
2024-10-01,70.21
2024-10-02,70.63
2024-10-03,70.63
2024-10-04,71.45
2024-10-05,
2024-10-06,
2024-10-07,70.81
2024-10-08,71.65
2024-10-09,72.2
2024-10-10,72.02
2024-10-11,72.54
2024-10-12,
2024-10-13,
2024-10-14,73.36
2024-10-15,72.05
2024-10-16,72.21
2024-10-17,72.21
2024-10-18,72.25
2024-10-19,
2024-10-20,
2024-10-21,72.13
2024-10-22,72.01
2024-10-23,71.08
2024-10-24,71.27
2024-10-25,71.68
2024-10-26,
2024-10-27,
2024-10-28,71.84
2024-10-29,72.89
2024-10-30,72.5
2024-10-31,70.64
2024-11-01,71.14
2024-11-02,
2024-11-03,
2024-11-04,71.11
2024-11-05,72.15
2024-11-06,74.29
2024-11-07,75.29
2024-11-08,75.19
2024-11-09,
2024-11-10,
2024-11-11,75.19
2024-11-12,75.16
2024-11-13,74.66
2024-11-14,74.46
2024-11-15,73.42
2024-11-16,
2024-11-17,
2024-11-18,73.93
2024-11-19,74.53
2024-11-20,74.68
2024-11-21,75.33
2024-11-22,75.73
2024-11-23,
2024-11-24,
2024-11-25,76.46
2024-11-26,76.87
2024-11-27,76.08
2024-11-28,
2024-11-29,76.71
2024-11-30,
2024-12-01,
2024-12-02,77.72
2024-12-03,77.84
2024-12-04,79.2
2024-12-05,78.2
2024-12-06,79.24
2024-12-07,
2024-12-08,
2024-12-09,78.73
2024-12-10,77.25
2024-12-11,78.75
2024-12-12,78.26
2024-12-13,79.11
2024-12-14,
2024-12-15,
2024-12-16,80.58
2024-12-17,79.65
2024-12-18,76.77
2024-12-19,76.5
2024-12-20,77.55
2024-12-21,
2024-12-22,
2024-12-23,78.39
2024-12-24,79.17
2024-12-25,
2024-12-26,79.26
2024-12-27,78.09
2024-12-28,
2024-12-29,
2024-12-30,77.04
2024-12-31,76.58
2025-01-01,
2025-01-02,77.03
2025-01-03,78.31
2025-01-04,
2025-01-05,
2025-01-06,79.77
2025-01-07,78.42
2025-01-08,78.34
2025-01-09,
2025-01-10,76.54
2025-01-11,
2025-01-12,
2025-01-13,76.18
2025-01-14,76.29
2025-01-15,77.88
2025-01-16,78.05
2025-01-17,79.19
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,80.27
2025-01-22,81.2
2025-01-23,81.62
2025-01-24,81.59
2025-01-25,
2025-01-26,
2025-01-27,76.99
2025-01-28,78.05
2025-01-29,78.18
2025-01-30,79.16
2025-01-31,79.09
2025-02-01,
2025-02-02,
2025-02-03,78.17
2025-02-04,78.48
2025-02-05,79.3
2025-02-06,79.66
2025-02-07,78.93
2025-02-08,
2025-02-09,
2025-02-10,79.63
2025-02-11,79.09
2025-02-12,78.66
2025-02-13,79.69
2025-02-14,79.61
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,80.35
2025-02-19,80.67
2025-02-20,80.39
2025-02-21,77.92
2025-02-22,
2025-02-23,
2025-02-24,76.7
2025-02-25,75.61
2025-02-26,76.28
2025-02-27,73.63
2025-02-28,74.41
2025-03-01,
2025-03-02,
2025-03-03,72.25
2025-03-04,71.92
2025-03-05,73.26
2025-03-06,70.92
2025-03-07,72.21
2025-03-08,
2025-03-09,
2025-03-10,69.28
2025-03-11,69.01
2025-03-12,69.81
2025-03-13,68.38
2025-03-14,70.4
2025-03-15,
2025-03-16,
2025-03-17,70.96
2025-03-18,69.95
2025-03-19,70.98
2025-03-20,70.67
2025-03-21,70.36
2025-03-22,
2025-03-23,
2025-03-24,71.63
2025-03-25,71.71
2025-03-26,70.12
2025-03-27,69.24
2025-03-28,67.12
2025-03-29,
2025-03-30,
2025-03-31,66.85
2025-04-01,67.64
2025-04-02,68.25
2025-04-03,63.09
2025-04-04,58.72
2025-04-05,
2025-04-06,
2025-04-07,59.25
2025-04-08,58.06
2025-04-09,65.51
2025-04-10,62.04
2025-04-11,63.33
2025-04-12,
2025-04-13,
2025-04-14,63.56
2025-04-15,63.8
2025-04-16,62.03
2025-04-17,61.41
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,59.79
2025-04-22,61.29
2025-04-23,62.95
2025-04-24,65.29
2025-04-25,66.21
2025-04-26,
2025-04-27,
2025-04-28,66.16
2025-04-29,66.32
2025-04-30,66.32
2025-05-01,67.02
2025-05-02,68.04
2025-05-03,
2025-05-04,
2025-05-05,67.85
2025-05-06,67.39
2025-05-07,67.39
2025-05-08,68.45
2025-05-09,68.81
2025-05-10,
2025-05-11,
2025-05-12,72.27
2025-05-13,73.57
2025-05-14,73.98
2025-05-15,73.7
2025-05-16,73.69
2025-05-17,
2025-05-18,
2025-05-19,73.37
2025-05-20,73.19
2025-05-21,71.81
2025-05-22,71.98
2025-05-23,71.33
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,73.04
2025-05-28,72.66
2025-05-29,72.52
2025-05-30,72.15
2025-05-31,
2025-06-01,
2025-06-02,72.67
