Date,Close
2024-01-01,
2024-01-02,27.73
2024-01-03,26.97
2024-01-04,26.4
2024-01-05,26.14
2024-01-06,
2024-01-07,
2024-01-08,26.36
2024-01-09,26.1
2024-01-10,25.9
2024-01-11,26.41
2024-01-12,25.91
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,25.61
2024-01-17,25.21
2024-01-18,25.45
2024-01-19,25.8
2024-01-20,
2024-01-21,
2024-01-22,25.87
2024-01-23,26.86
2024-01-24,27.7
2024-01-25,27.39
2024-01-26,27.76
2024-01-27,
2024-01-28,
2024-01-29,28.26
2024-01-30,28.12
2024-01-31,28.41
2024-02-01,30.0
2024-02-02,31.34
2024-02-03,
2024-02-04,
2024-02-05,30.03
2024-02-06,29.48
2024-02-07,29.95
2024-02-08,30.49
2024-02-09,30.69
2024-02-10,
2024-02-11,
2024-02-12,30.97
2024-02-13,30.3
2024-02-14,30.61
2024-02-15,30.26
2024-02-16,30.78
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,30.1
2024-02-21,30.06
2024-02-22,30.17
2024-02-23,30.63
2024-02-24,
2024-02-25,
2024-02-26,29.19
2024-02-27,29.57
2024-02-28,29.99
2024-02-29,30.53
2024-03-01,30.56
2024-03-02,
2024-03-03,
2024-03-04,31.48
2024-03-05,31.37
2024-03-06,31.86
2024-03-07,32.62
2024-03-08,32.88
2024-03-09,
2024-03-10,
2024-03-11,32.83
2024-03-12,32.71
2024-03-13,33.87
2024-03-14,35.37
2024-03-15,35.03
2024-03-16,
2024-03-17,
2024-03-18,34.45
2024-03-19,34.02
2024-03-20,35.19
2024-03-21,35.64
2024-03-22,35.49
2024-03-23,
2024-03-24,
2024-03-25,35.94
2024-03-26,34.3
2024-03-27,33.89
2024-03-28,33.99
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,32.22
2024-04-02,31.94
2024-04-03,31.4
2024-04-04,31.6
2024-04-05,31.6
2024-04-06,
2024-04-07,
2024-04-08,31.78
2024-04-09,31.41
2024-04-10,30.45
2024-04-11,30.45
2024-04-12,28.73
2024-04-13,
2024-04-14,
2024-04-15,28.71
2024-04-16,28.23
2024-04-17,28.09
2024-04-18,29.02
