Date,Close
2024-01-01,
2024-01-02,56.31
2024-01-03,55.5
2024-01-04,55.07
2024-01-05,55.08
2024-01-06,
2024-01-07,
2024-01-08,56.42
2024-01-09,56.28
2024-01-10,56.6
2024-01-11,56.75
2024-01-12,56.74
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,56.72
2024-01-17,56.25
2024-01-18,57.34
2024-01-19,58.8
2024-01-20,
2024-01-21,
2024-01-22,59.35
2024-01-23,59.52
2024-01-24,59.76
2024-01-25,59.88
2024-01-26,59.25
2024-01-27,
2024-01-28,
2024-01-29,59.77
2024-01-30,59.35
2024-01-31,58.0
2024-02-01,58.62
2024-02-02,58.84
2024-02-03,
2024-02-04,
2024-02-05,59.0
2024-02-06,58.79
2024-02-07,59.43
2024-02-08,59.87
2024-02-09,60.93
2024-02-10,
2024-02-11,
2024-02-12,60.88
2024-02-13,59.37
2024-02-14,60.26
2024-02-15,60.23
2024-02-16,59.21
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,58.4
2024-02-21,58.1
2024-02-22,59.75
2024-02-23,59.68
2024-02-24,
2024-02-25,
2024-02-26,59.73
2024-02-27,59.8
2024-02-28,59.44
2024-02-29,60.14
2024-03-01,61.84
2024-03-02,
2024-03-03,
2024-03-04,61.66
2024-03-05,60.64
2024-03-06,61.22
2024-03-07,62.41
2024-03-08,61.3
2024-03-09,
2024-03-10,
2024-03-11,60.98
2024-03-12,61.77
2024-03-13,61.17
2024-03-14,60.67
2024-03-15,60.12
2024-03-16,
2024-03-17,
2024-03-18,60.64
2024-03-19,60.86
2024-03-20,61.69
2024-03-21,62.48
2024-03-22,62.36
2024-03-23,
2024-03-24,
2024-03-25,62.07
2024-03-26,62.08
2024-03-27,62.43
2024-03-28,62.5
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,62.8
2024-04-02,62.26
2024-04-03,62.63
2024-04-04,61.57
2024-04-05,62.35
2024-04-06,
2024-04-07,
2024-04-08,62.39
2024-04-09,62.79
2024-04-10,61.85
2024-04-11,62.75
2024-04-12,61.33
2024-04-13,
2024-04-14,
2024-04-15,60.25
2024-04-16,60.31
2024-04-17,59.29
2024-04-18,58.74
2024-04-19,57.56
2024-04-20,
2024-04-21,
2024-04-22,58.03
2024-04-23,59.09
2024-04-24,59.4
2024-04-25,59.51
2024-04-26,61.02
2024-04-27,
2024-04-28,
2024-04-29,61.2
2024-04-30,59.95
2024-05-01,59.41
2024-05-02,60.07
2024-05-03,61.09
2024-05-04,
2024-05-05,
2024-05-06,61.92
2024-05-07,61.77
2024-05-08,61.86
2024-05-09,61.87
2024-05-10,62.21
2024-05-11,
2024-05-12,
2024-05-13,62.37
2024-05-14,63.14
2024-05-15,64.5
2024-05-16,64.1
2024-05-17,63.88
2024-05-18,
2024-05-19,
2024-05-20,64.53
2024-05-21,64.83
2024-05-22,65.08
2024-05-23,64.63
2024-05-24,65.39
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,65.7
2024-05-29,65.02
2024-05-30,64.5
2024-05-31,64.43
2024-06-01,
2024-06-02,
2024-06-03,64.45
2024-06-04,64.13
2024-06-05,65.8
2024-06-06,65.54
2024-06-07,65.15
2024-06-08,
2024-06-09,
2024-06-10,65.81
2024-06-11,65.99
2024-06-12,67.16
2024-06-13,67.41
2024-06-14,67.21
2024-06-15,
2024-06-16,
2024-06-17,67.79
2024-06-18,67.89
2024-06-19,
2024-06-20,67.24
2024-06-21,67.0
2024-06-22,
2024-06-23,
2024-06-24,66.19
2024-06-25,66.83
2024-06-26,66.76
2024-06-27,67.08
2024-06-28,67.11
2024-06-29,
2024-06-30,
2024-07-01,67.25
2024-07-02,67.74
2024-07-03,68.38
2024-07-04,
2024-07-05,68.75
2024-07-06,
2024-07-07,
2024-07-08,69.11
2024-07-09,68.93
2024-07-10,69.72
2024-07-11,68.85
2024-07-12,69.44
2024-07-13,
2024-07-14,
2024-07-15,69.76
2024-07-16,70.28
2024-07-17,67.89
2024-07-18,67.27
2024-07-19,66.53
2024-07-20,
2024-07-21,
2024-07-22,67.92
2024-07-23,67.85
2024-07-24,65.37
2024-07-25,64.35
2024-07-26,65.25
2024-07-27,
2024-07-28,
2024-07-29,65.28
2024-07-30,64.38
2024-07-31,66.68
2024-08-01,64.09
2024-08-02,62.38
2024-08-03,
2024-08-04,
2024-08-05,60.6
2024-08-06,61.11
2024-08-07,60.18
2024-08-08,62.43
2024-08-09,62.81
2024-08-10,
2024-08-11,
2024-08-12,62.73
2024-08-13,64.34
2024-08-14,64.31
2024-08-15,66.24
2024-08-16,66.2
2024-08-17,
2024-08-18,
2024-08-19,67.07
2024-08-20,66.68
2024-08-21,67.2
2024-08-22,65.97
2024-08-23,67.1
2024-08-24,
2024-08-25,
2024-08-26,66.43
2024-08-27,66.64
2024-08-28,65.84
2024-08-29,66.05
2024-08-30,66.94
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,64.13
2024-09-04,63.93
2024-09-05,63.75
2024-09-06,61.8
2024-09-07,
2024-09-08,
2024-09-09,62.38
2024-09-10,62.99
2024-09-11,64.48
2024-09-12,64.92
2024-09-13,65.64
2024-09-14,
2024-09-15,
2024-09-16,65.51
2024-09-17,65.76
2024-09-18,65.38
2024-09-19,67.08
2024-09-20,66.87
2024-09-21,
2024-09-22,
2024-09-23,66.97
2024-09-24,67.12
2024-09-25,66.9
2024-09-26,67.95
2024-09-27,67.56
2024-09-28,
2024-09-29,
2024-09-30,67.74
2024-10-01,66.59
2024-10-02,66.99
2024-10-03,66.99
2024-10-04,67.77
2024-10-05,
2024-10-06,
2024-10-07,67.16
2024-10-08,67.96
2024-10-09,68.48
2024-10-10,68.3
2024-10-11,68.8
2024-10-12,
2024-10-13,
2024-10-14,69.57
2024-10-15,68.33
2024-10-16,68.48
2024-10-17,68.48
2024-10-18,68.51
2024-10-19,
2024-10-20,
2024-10-21,68.4
2024-10-22,68.29
2024-10-23,67.41
2024-10-24,67.59
2024-10-25,67.98
2024-10-26,
2024-10-27,
2024-10-28,68.13
2024-10-29,69.12
2024-10-30,68.75
2024-10-31,66.98
2024-11-01,67.46
2024-11-02,
2024-11-03,
2024-11-04,67.42
2024-11-05,68.42
2024-11-06,70.45
2024-11-07,71.4
2024-11-08,71.29
2024-11-09,
2024-11-10,
2024-11-11,71.29
2024-11-12,71.27
2024-11-13,70.79
2024-11-14,70.6
2024-11-15,69.61
2024-11-16,
2024-11-17,
2024-11-18,70.1
2024-11-19,70.66
2024-11-20,70.81
2024-11-21,71.42
2024-11-22,71.8
2024-11-23,
2024-11-24,
2024-11-25,72.49
2024-11-26,72.87
2024-11-27,72.13
2024-11-28,
2024-11-29,72.72
2024-11-30,
2024-12-01,
2024-12-02,73.69
2024-12-03,73.78
2024-12-04,75.08
2024-12-05,74.13
2024-12-06,75.12
2024-12-07,
2024-12-08,
2024-12-09,74.63
2024-12-10,73.22
2024-12-11,74.65
2024-12-12,74.18
2024-12-13,74.99
2024-12-14,
2024-12-15,
2024-12-16,76.37
2024-12-17,75.49
2024-12-18,72.76
2024-12-19,72.51
2024-12-20,73.5
2024-12-21,
2024-12-22,
2024-12-23,74.3
2024-12-24,75.03
2024-12-25,
2024-12-26,75.12
2024-12-27,74.01
2024-12-28,
2024-12-29,
2024-12-30,73.02
2024-12-31,72.58
2025-01-01,
2025-01-02,73.0
2025-01-03,74.21
2025-01-04,
2025-01-05,
2025-01-06,75.59
2025-01-07,74.31
2025-01-08,74.23
2025-01-09,
2025-01-10,72.53
2025-01-11,
2025-01-12,
2025-01-13,72.19
2025-01-14,72.29
2025-01-15,73.8
2025-01-16,73.96
2025-01-17,75.04
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,76.06
2025-01-22,76.94
2025-01-23,77.33
2025-01-24,77.31
2025-01-25,
2025-01-26,
2025-01-27,72.95
2025-01-28,73.96
2025-01-29,74.08
2025-01-30,75.0
2025-01-31,74.94
2025-02-01,
2025-02-02,
2025-02-03,74.06
2025-02-04,74.36
2025-02-05,75.13
2025-02-06,75.47
2025-02-07,74.78
2025-02-08,
2025-02-09,
2025-02-10,75.44
2025-02-11,74.93
2025-02-12,74.53
2025-02-13,75.5
2025-02-14,75.42
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,76.12
2025-02-19,76.42
2025-02-20,76.16
2025-02-21,73.82
2025-02-22,
2025-02-23,
2025-02-24,72.66
2025-02-25,71.63
2025-02-26,72.26
2025-02-27,69.75
2025-02-28,70.49
2025-03-01,
2025-03-02,
2025-03-03,68.44
2025-03-04,68.12
2025-03-05,69.39
2025-03-06,67.18
2025-03-07,68.39
2025-03-08,
2025-03-09,
2025-03-10,65.62
2025-03-11,65.36
2025-03-12,66.12
2025-03-13,64.76
2025-03-14,66.68
2025-03-15,
2025-03-16,
2025-03-17,67.2
2025-03-18,66.25
2025-03-19,67.22
