Date,Close
2020-01-01,
2020-01-02,46.67
2020-01-03,46.36
2020-01-04,
2020-01-05,
2020-01-06,46.64
2020-01-07,46.52
2020-01-08,46.85
2020-01-09,47.06
2020-01-10,47.11
2020-01-11,
2020-01-12,
2020-01-13,46.79
2020-01-14,47.04
2020-01-15,47.42
2020-01-16,47.76
2020-01-17,47.83
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,47.91
2020-01-22,48.01
2020-01-23,47.72
2020-01-24,46.98
2020-01-25,
2020-01-26,
2020-01-27,46.41
2020-01-28,46.92
2020-01-29,46.84
2020-01-30,46.51
2020-01-31,45.68
2020-02-01,
2020-02-02,
2020-02-03,46.12
2020-02-04,47.0
2020-02-05,47.9
2020-02-06,48.0
2020-02-07,47.49
2020-02-08,
2020-02-09,
2020-02-10,47.72
2020-02-11,48.0
2020-02-12,48.2
2020-02-13,48.18
2020-02-14,48.21
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,48.23
2020-02-19,48.51
2020-02-20,48.2
2020-02-21,48.1
2020-02-22,
2020-02-23,
2020-02-24,46.36
2020-02-25,45.04
2020-02-26,45.04
2020-02-27,43.74
2020-02-28,43.34
2020-02-29,
2020-03-01,
2020-03-02,45.16
2020-03-03,44.06
2020-03-04,46.64
2020-03-05,45.59
2020-03-06,45.19
2020-03-07,
2020-03-08,
2020-03-09,42.64
2020-03-10,44.21
2020-03-11,42.45
2020-03-12,39.12
2020-03-13,41.6
2020-03-14,
2020-03-15,
2020-03-16,37.14
2020-03-17,39.07
2020-03-18,37.43
2020-03-19,37.56
2020-03-20,36.16
2020-03-21,
2020-03-22,
2020-03-23,34.75
2020-03-24,37.64
2020-03-25,38.43
2020-03-26,40.86
2020-03-27,39.8
2020-03-28,
2020-03-29,
2020-03-30,41.36
2020-03-31,41.24
2020-04-01,39.54
2020-04-02,40.62
2020-04-03,40.15
2020-04-04,
2020-04-05,
2020-04-06,42.48
2020-04-07,42.01
2020-04-08,43.56
2020-04-09,44.04
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,43.68
2020-04-14,45.01
2020-04-15,44.7
2020-04-16,45.85
2020-04-17,46.88
2020-04-18,
2020-04-19,
2020-04-20,46.71
2020-04-21,45.23
2020-04-22,45.88
2020-04-23,46.15
2020-04-24,46.9
2020-04-25,
2020-04-26,
2020-04-27,47.36
2020-04-28,46.29
2020-04-29,46.65
2020-04-30,46.44
2020-05-01,45.53
