Date,Close
2024-01-01,
2024-01-02,57.21
2024-01-03,57.07
2024-01-04,57.4
2024-01-05,57.32
2024-01-06,
2024-01-07,
2024-01-08,57.98
2024-01-09,58.08
2024-01-10,58.37
2024-01-11,58.29
2024-01-12,58.16
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,57.89
2024-01-17,57.75
2024-01-18,57.72
2024-01-19,57.72
2024-01-20,
2024-01-21,
2024-01-22,57.92
2024-01-23,57.96
2024-01-24,57.44
2024-01-25,57.43
2024-01-26,57.43
2024-01-27,
2024-01-28,
2024-01-29,58.16
2024-01-30,58.27
2024-01-31,58.38
2024-02-01,59.24
2024-02-02,59.09
2024-02-03,
2024-02-04,
2024-02-05,59.41
2024-02-06,59.92
2024-02-07,59.99
2024-02-08,59.93
2024-02-09,60.02
2024-02-10,
2024-02-11,
2024-02-12,60.03
2024-02-13,59.44
2024-02-14,59.99
2024-02-15,60.34
2024-02-16,60.56
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,60.3
2024-02-21,60.34
2024-02-22,61.05
2024-02-23,61.31
2024-02-24,
2024-02-25,
2024-02-26,61.18
2024-02-27,61.16
2024-02-28,60.68
2024-02-29,60.06
2024-03-01,60.83
2024-03-02,
2024-03-03,
2024-03-04,60.8
2024-03-05,60.19
2024-03-06,60.49
2024-03-07,60.84
2024-03-08,60.63
2024-03-09,
2024-03-10,
2024-03-11,60.39
2024-03-12,60.72
2024-03-13,60.56
2024-03-14,60.3
2024-03-15,60.06
2024-03-16,
2024-03-17,
2024-03-18,60.11
2024-03-19,60.55
2024-03-20,60.42
2024-03-21,60.56
2024-03-22,60.47
2024-03-23,
2024-03-24,
2024-03-25,60.35
2024-03-26,60.61
2024-03-27,61.36
2024-03-28,61.34
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,60.84
2024-04-02,59.81
2024-04-03,59.91
2024-04-04,59.09
2024-04-05,59.66
2024-04-06,
2024-04-07,
2024-04-08,59.49
2024-04-09,59.67
2024-04-10,59.07
2024-04-11,58.91
2024-04-12,58.91
2024-04-13,
2024-04-14,
2024-04-15,57.81
2024-04-16,57.91
2024-04-17,57.79
2024-04-18,57.68
2024-04-19,57.77
2024-04-20,
2024-04-21,
2024-04-22,58.03
2024-04-23,58.8
2024-04-24,58.81
2024-04-25,58.62
2024-04-26,58.61
2024-04-27,
2024-04-28,
2024-04-29,58.79
2024-04-30,58.68
2024-05-01,58.91
2024-05-02,58.96
2024-05-03,59.24
2024-05-04,
2024-05-05,
2024-05-06,59.43
2024-05-07,59.92
2024-05-08,59.61
2024-05-09,60.1
2024-05-10,60.08
2024-05-11,
2024-05-12,
2024-05-13,59.92
2024-05-14,60.23
2024-05-15,61.18
2024-05-16,61.07
2024-05-17,61.13
2024-05-18,
2024-05-19,
2024-05-20,61.11
2024-05-21,61.12
2024-05-22,61.16
2024-05-23,60.55
2024-05-24,60.47
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,59.86
2024-05-29,59.38
2024-05-30,59.49
2024-05-31,60.3
2024-06-01,
2024-06-02,
2024-06-03,60.8
2024-06-04,60.98
2024-06-05,61.42
2024-06-06,61.59
2024-06-07,61.51
2024-06-08,
2024-06-09,
2024-06-10,61.75
2024-06-11,61.52
2024-06-12,61.61
2024-06-13,61.62
2024-06-14,61.44
2024-06-15,
2024-06-16,
2024-06-17,61.25
