Date,Close
2024-01-01,
2024-01-02,61.76
2024-01-03,61.61
2024-01-04,61.97
2024-01-05,61.87
2024-01-06,
2024-01-07,
2024-01-08,62.6
2024-01-09,62.71
2024-01-10,63.02
2024-01-11,62.93
2024-01-12,62.79
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,62.5
2024-01-17,62.35
2024-01-18,62.32
2024-01-19,62.32
2024-01-20,
2024-01-21,
2024-01-22,62.54
2024-01-23,62.58
2024-01-24,62.02
2024-01-25,62.0
2024-01-26,62.0
2024-01-27,
2024-01-28,
2024-01-29,62.8
2024-01-30,62.91
2024-01-31,63.04
2024-02-01,63.97
2024-02-02,63.79
2024-02-03,
2024-02-04,
2024-02-05,64.14
2024-02-06,64.69
2024-02-07,64.78
2024-02-08,64.72
2024-02-09,64.81
2024-02-10,
2024-02-11,
2024-02-12,64.81
2024-02-13,64.19
2024-02-14,64.78
2024-02-15,65.16
2024-02-16,65.4
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,65.11
2024-02-21,65.16
2024-02-22,65.93
2024-02-23,66.21
2024-02-24,
2024-02-25,
2024-02-26,66.06
2024-02-27,66.05
2024-02-28,65.54
2024-02-29,64.87
2024-03-01,65.69
2024-03-02,
2024-03-03,
2024-03-04,65.66
2024-03-05,65.01
2024-03-06,65.34
2024-03-07,65.71
2024-03-08,65.48
2024-03-09,
2024-03-10,
2024-03-11,65.22
2024-03-12,65.58
2024-03-13,65.41
2024-03-14,65.14
2024-03-15,64.87
2024-03-16,
2024-03-17,
2024-03-18,64.93
2024-03-19,65.4
2024-03-20,65.26
2024-03-21,65.41
2024-03-22,65.32
2024-03-23,
2024-03-24,
2024-03-25,65.18
2024-03-26,65.47
2024-03-27,66.28
2024-03-28,66.26
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,65.71
2024-04-02,64.61
2024-04-03,64.71
2024-04-04,63.82
2024-04-05,64.45
2024-04-06,
2024-04-07,
2024-04-08,64.26
2024-04-09,64.46
2024-04-10,63.81
2024-04-11,63.63
2024-04-12,63.63
2024-04-13,
2024-04-14,
2024-04-15,62.45
2024-04-16,62.56
2024-04-17,62.44
2024-04-18,62.31
2024-04-19,62.41
2024-04-20,
2024-04-21,
2024-04-22,62.69
2024-04-23,63.52
2024-04-24,63.54
2024-04-25,63.33
2024-04-26,63.32
2024-04-27,
2024-04-28,
2024-04-29,63.52
2024-04-30,63.4
2024-05-01,63.65
2024-05-02,63.7
2024-05-03,64.01
2024-05-04,
2024-05-05,
2024-05-06,64.21
2024-05-07,64.74
2024-05-08,64.41
2024-05-09,64.94
2024-05-10,64.91
2024-05-11,
2024-05-12,
2024-05-13,64.73
2024-05-14,65.07
2024-05-15,66.1
2024-05-16,66.0
2024-05-17,66.06
2024-05-18,
2024-05-19,
2024-05-20,66.02
2024-05-21,66.04
2024-05-22,66.08
2024-05-23,65.42
2024-05-24,65.34
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,64.68
2024-05-29,64.17
2024-05-30,64.29
2024-05-31,65.17
2024-06-01,
2024-06-02,
2024-06-03,65.7
2024-06-04,65.9
2024-06-05,66.37
2024-06-06,66.56
2024-06-07,66.48
2024-06-08,
2024-06-09,
2024-06-10,66.74
2024-06-11,66.49
2024-06-12,66.58
2024-06-13,66.59
2024-06-14,66.39
2024-06-15,
2024-06-16,
2024-06-17,66.21
2024-06-18,66.22
2024-06-19,
2024-06-20,66.37
2024-06-21,66.69
2024-06-22,
2024-06-23,
2024-06-24,67.27
2024-06-25,67.22
2024-06-26,66.91
2024-06-27,66.83
2024-06-28,66.76
2024-06-29,
2024-06-30,
2024-07-01,66.41
2024-07-02,66.09
2024-07-03,65.65
2024-07-04,
2024-07-05,66.18
2024-07-06,
2024-07-07,
2024-07-08,66.24
2024-07-09,66.52
2024-07-10,67.16
2024-07-11,67.68
2024-07-12,68.17
2024-07-13,
2024-07-14,
2024-07-15,67.93
2024-07-16,68.86
2024-07-17,68.58
2024-07-18,66.99
2024-07-19,67.48
2024-07-20,
2024-07-21,
2024-07-22,67.96
2024-07-23,68.05
2024-07-24,68.32
2024-07-25,67.7
2024-07-26,67.93
2024-07-27,
2024-07-28,
2024-07-29,67.99
2024-07-30,67.89
2024-07-31,67.99
2024-08-01,68.59
2024-08-02,68.25
2024-08-03,
2024-08-04,
2024-08-05,66.45
2024-08-06,66.89
2024-08-07,66.29
2024-08-08,67.53
2024-08-09,67.8
2024-08-10,
2024-08-11,
2024-08-12,67.69
2024-08-13,68.38
2024-08-14,68.53
2024-08-15,68.96
2024-08-16,69.05
2024-08-17,
2024-08-18,
2024-08-19,69.58
2024-08-20,69.77
2024-08-21,69.98
2024-08-22,69.91
2024-08-23,70.2
2024-08-24,
2024-08-25,
2024-08-26,70.05
2024-08-27,70.2
2024-08-28,70.17
2024-08-29,70.46
2024-08-30,70.81
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,70.49
2024-09-04,70.52
2024-09-05,69.6
2024-09-06,69.23
2024-09-07,
2024-09-08,
2024-09-09,69.8
2024-09-10,70.04
2024-09-11,69.99
2024-09-12,70.19
2024-09-13,70.46
2024-09-14,
2024-09-15,
2024-09-16,70.78
2024-09-17,70.01
2024-09-18,69.95
2024-09-19,70.4
2024-09-20,70.14
2024-09-21,
2024-09-22,
2024-09-23,69.77
2024-09-24,69.48
2024-09-25,68.96
2024-09-26,69.13
2024-09-27,69.16
2024-09-28,
2024-09-29,
2024-09-30,69.55
2024-10-01,69.17
2024-10-02,69.02
2024-10-03,68.31
2024-10-04,68.44
2024-10-05,
2024-10-06,
2024-10-07,67.98
2024-10-08,68.5
2024-10-09,69.02
2024-10-10,68.89
2024-10-11,69.6
2024-10-12,
2024-10-13,
2024-10-14,69.98
2024-10-15,69.13
2024-10-16,69.45
2024-10-17,69.07
2024-10-18,69.7
2024-10-19,
2024-10-20,
2024-10-21,68.95
2024-10-22,68.82
2024-10-23,68.32
2024-10-24,67.9
2024-10-25,67.61
2024-10-26,
2024-10-27,
2024-10-28,67.68
2024-10-29,67.51
2024-10-30,67.25
2024-10-31,66.67
2024-11-01,67.26
2024-11-02,
2024-11-03,
2024-11-04,66.98
2024-11-05,67.56
2024-11-06,67.77
2024-11-07,68.26
2024-11-08,68.92
2024-11-09,
2024-11-10,
2024-11-11,68.59
2024-11-12,67.62
2024-11-13,67.52
2024-11-14,66.42
2024-11-15,64.85
2024-11-16,
2024-11-17,
2024-11-18,64.86
2024-11-19,64.8
2024-11-20,65.56
2024-11-21,66.03
2024-11-22,66.11
2024-11-23,
2024-11-24,
2024-11-25,66.6
2024-11-26,67.09
2024-11-27,67.43
2024-11-28,
2024-11-29,67.61
2024-11-30,
2024-12-01,
2024-12-02,67.52
2024-12-03,67.29
2024-12-04,67.49
2024-12-05,66.64
2024-12-06,66.46
2024-12-07,
2024-12-08,
2024-12-09,66.38
2024-12-10,66.23
2024-12-11,65.7
2024-12-12,65.05
2024-12-13,64.93
2024-12-14,
2024-12-15,
2024-12-16,64.63
2024-12-17,64.62
2024-12-18,63.24
2024-12-19,62.91
2024-12-20,63.55
2024-12-21,
2024-12-22,
2024-12-23,64.07
2024-12-24,64.37
2024-12-25,
2024-12-26,64.51
2024-12-27,64.13
2024-12-28,
2024-12-29,
2024-12-30,63.32
2024-12-31,63.37
2025-01-01,
2025-01-02,63.45
2025-01-03,64.13
2025-01-04,
2025-01-05,
2025-01-06,64.22
2025-01-07,64.49
2025-01-08,64.98
2025-01-09,
2025-01-10,64.48
2025-01-11,
2025-01-12,
2025-01-13,65.01
2025-01-14,64.39
2025-01-15,64.93
2025-01-16,65.31
2025-01-17,65.01
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,66.32
2025-01-22,66.29
2025-01-23,67.09
2025-01-24,67.16
2025-01-25,
2025-01-26,
2025-01-27,68.07
2025-01-28,67.81
2025-01-29,67.34
2025-01-30,68.12
2025-01-31,67.82
2025-02-01,
2025-02-02,
2025-02-03,67.92
2025-02-04,67.97
2025-02-05,68.91
2025-02-06,68.32
2025-02-07,67.8
2025-02-08,
2025-02-09,
2025-02-10,67.67
2025-02-11,67.38
2025-02-12,67.34
2025-02-13,67.52
2025-02-14,66.98
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,66.91
2025-02-19,67.58
2025-02-20,67.9
2025-02-21,67.48
2025-02-22,
2025-02-23,
2025-02-24,67.72
2025-02-25,67.74
2025-02-26,67.7
2025-02-27,67.18
2025-02-28,68.07
2025-03-01,
2025-03-02,
2025-03-03,68.05
2025-03-04,67.5
2025-03-05,68.29
2025-03-06,67.64
2025-03-07,67.35
2025-03-08,
2025-03-09,
2025-03-10,66.2
2025-03-11,65.77
2025-03-12,65.48
2025-03-13,65.02
2025-03-14,65.61
2025-03-15,
2025-03-16,
2025-03-17,66.43
2025-03-18,66.26
2025-03-19,66.39
2025-03-20,66.32
2025-03-21,66.24
2025-03-22,
2025-03-23,
2025-03-24,66.8
2025-03-25,66.03
2025-03-26,65.58
2025-03-27,65.74
2025-03-28,65.42
2025-03-29,
2025-03-30,
2025-03-31,65.69
2025-04-01,64.58
2025-04-02,65.07
2025-04-03,64.35
2025-04-04,60.67
2025-04-05,
2025-04-06,
2025-04-07,60.42
2025-04-08,59.49
2025-04-09,62.2
2025-04-10,60.42
2025-04-11,61.47
2025-04-12,
2025-04-13,
2025-04-14,62.28
2025-04-15,61.98
2025-04-16,61.5
2025-04-17,61.45
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,60.39
2025-04-22,61.5
2025-04-23,61.99
2025-04-24,62.79
2025-04-25,63.1
2025-04-26,
2025-04-27,
2025-04-28,63.37
2025-04-29,63.72
2025-04-30,64.24
2025-05-01,62.67
2025-05-02,63.63
2025-05-03,
2025-05-04,
2025-05-05,63.47
2025-05-06,61.71
2025-05-07,61.71
2025-05-08,61.4
2025-05-09,60.73
2025-05-10,
2025-05-11,
2025-05-12,62.06
2025-05-13,60.7
2025-05-14,59.65
2025-05-15,60.5
2025-05-16,61.5
2025-05-17,
2025-05-18,
2025-05-19,61.99
2025-05-20,62.14
2025-05-21,60.87
2025-05-22,60.44
2025-05-23,60.38
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,61.09
2025-05-28,60.75
2025-05-29,61.25
2025-05-30,61.32
2025-05-31,
2025-06-01,
2025-06-02,61.52
2025-06-03,61.63
2025-06-04,61.7
2025-06-05,61.74
2025-06-06,62.17
2025-06-07,
2025-06-08,
2025-06-09,61.96
2025-06-10,62.58
2025-06-11,62.56
2025-06-12,62.97
2025-06-13,62.66
2025-06-14,
2025-06-15,
2025-06-16,62.51
2025-06-17,61.61
2025-06-18,61.53
2025-06-19,
2025-06-20,61.32
2025-06-21,
2025-06-22,
2025-06-23,61.32
2025-06-24,62.25
2025-06-25,62.25
2025-06-26,62.29
2025-06-27,62.37
2025-06-28,
2025-06-29,
2025-06-30,62.72
2025-07-01,63.2
2025-07-02,62.81
2025-07-03,62.93
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,62.35
2025-07-08,62.48
2025-07-09,63.01
2025-07-10,63.42
2025-07-11,62.84
2025-07-12,
2025-07-13,
2025-07-14,62.88
2025-07-15,61.84
2025-07-16,62.48
2025-07-17,61.91
