Date,Close
2020-01-01,
2020-01-02,21.93
2020-01-03,21.85
2020-01-04,
2020-01-05,
2020-01-06,21.9
2020-01-07,21.85
2020-01-08,21.94
2020-01-09,22.05
2020-01-10,22.03
2020-01-11,
2020-01-12,
2020-01-13,22.13
2020-01-14,22.11
2020-01-15,22.15
2020-01-16,22.27
2020-01-17,22.34
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,22.36
2020-01-22,22.38
2020-01-23,22.42
2020-01-24,22.36
2020-01-25,
2020-01-26,
2020-01-27,22.14
2020-01-28,22.3
2020-01-29,22.35
2020-01-30,22.42
2020-01-31,22.16
2020-02-01,
2020-02-02,
2020-02-03,22.3
2020-02-04,22.5
2020-02-05,22.58
2020-02-06,22.66
2020-02-07,22.62
2020-02-08,
2020-02-09,
2020-02-10,22.76
2020-02-11,22.75
2020-02-12,22.85
2020-02-13,22.87
2020-02-14,22.93
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,22.9
2020-02-19,23.0
2020-02-20,22.93
2020-02-21,22.76
2020-02-22,
2020-02-23,
2020-02-24,22.3
2020-02-25,21.89
2020-02-26,21.87
2020-02-27,21.29
2020-02-28,21.28
2020-02-29,
2020-03-01,
2020-03-02,21.83
2020-03-03,21.49
2020-03-04,22.07
2020-03-05,21.63
2020-03-06,21.51
2020-03-07,
2020-03-08,
2020-03-09,20.67
2020-03-10,21.1
2020-03-11,20.44
2020-03-12,19.25
2020-03-13,20.13
2020-03-14,
2020-03-15,
2020-03-16,18.74
2020-03-17,19.16
2020-03-18,18.42
2020-03-19,18.55
2020-03-20,18.12
2020-03-21,
2020-03-22,
2020-03-23,17.83
2020-03-24,18.86
2020-03-25,18.97
2020-03-26,19.76
2020-03-27,19.34
2020-03-28,
2020-03-29,
2020-03-30,19.77
2020-03-31,19.59
2020-04-01,19.06
2020-04-02,19.25
2020-04-03,19.06
2020-04-04,
2020-04-05,
2020-04-06,19.91
2020-04-07,19.88
2020-04-08,20.29
2020-04-09,20.5
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,20.39
2020-04-14,20.87
2020-04-15,20.66
2020-04-16,20.8
2020-04-17,21.09
2020-04-18,
2020-04-19,
2020-04-20,20.89
2020-04-21,20.45
2020-04-22,20.79
2020-04-23,20.76
2020-04-24,20.96
2020-04-25,
2020-04-26,
2020-04-27,21.1
2020-04-28,21.01
2020-04-29,21.43
2020-04-30,21.35
2020-05-01,20.99
2020-05-02,
2020-05-03,
2020-05-04,21.08
2020-05-05,21.21
2020-05-06,21.17
2020-05-07,21.44
2020-05-08,21.58
2020-05-09,
2020-05-10,
2020-05-11,21.6
2020-05-12,21.38
2020-05-13,21.16
2020-05-14,21.29
2020-05-15,21.39
2020-05-16,
2020-05-17,
2020-05-18,21.71
2020-05-19,21.64
2020-05-20,21.9
2020-05-21,21.83
2020-05-22,21.92
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,22.02
2020-05-27,22.18
2020-05-28,22.17
2020-05-29,22.3
2020-05-30,
2020-05-31,
2020-06-01,22.33
2020-06-02,22.42
2020-06-03,22.54
2020-06-04,22.4
2020-06-05,22.76
2020-06-06,
2020-06-07,
2020-06-08,22.87
2020-06-09,22.85
2020-06-10,22.91
2020-06-11,22.12
2020-06-12,22.29
2020-06-13,
2020-06-14,
2020-06-15,22.42
2020-06-16,22.66
2020-06-17,22.69
2020-06-18,22.73
2020-06-19,22.66
2020-06-20,
2020-06-21,
2020-06-22,22.81
2020-06-23,22.88
2020-06-24,22.52
2020-06-25,22.67
2020-06-26,22.35
2020-06-27,
2020-06-28,
2020-06-29,22.52
2020-06-30,22.75
2020-07-01,22.86
2020-07-02,22.93
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,23.19
2020-07-07,23.03
2020-07-08,23.17
2020-07-09,23.15
2020-07-10,23.22
2020-07-11,
2020-07-12,
2020-07-13,22.98
2020-07-14,23.16
2020-07-15,23.28
2020-07-16,23.25
2020-07-17,23.34
2020-07-18,
2020-07-19,
2020-07-20,23.54
2020-07-21,23.53
2020-07-22,23.65
2020-07-23,23.46
2020-07-24,23.36
2020-07-25,
2020-07-26,
2020-07-27,23.48
2020-07-28,23.37
2020-07-29,23.59
2020-07-30,23.59
2020-07-31,23.69
2020-08-01,
2020-08-02,
2020-08-03,23.79
2020-08-04,23.85
2020-08-05,23.99
2020-08-06,24.12
2020-08-07,24.04
2020-08-08,
2020-08-09,
2020-08-10,24.04
2020-08-11,23.89
2020-08-12,24.1
2020-08-13,24.11
2020-08-14,24.1
2020-08-15,
2020-08-16,
2020-08-17,24.18
2020-08-18,24.23
2020-08-19,24.17
2020-08-20,24.25
2020-08-21,24.3
2020-08-22,
2020-08-23,
2020-08-24,24.42
2020-08-25,24.51
2020-08-26,24.77
2020-08-27,24.76
2020-08-28,24.87
2020-08-29,
2020-08-30,
2020-08-31,24.87
2020-09-01,25.07
2020-09-02,25.34
2020-09-03,24.67
2020-09-04,24.45
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,23.99
2020-09-09,24.29
2020-09-10,24.06
2020-09-11,24.04
2020-09-12,
2020-09-13,
2020-09-14,24.24
2020-09-15,24.34
2020-09-16,24.22
2020-09-17,24.07
2020-09-18,23.9
2020-09-19,
2020-09-20,
2020-09-21,23.79
2020-09-22,23.97
2020-09-23,23.59
2020-09-24,23.6
2020-09-25,23.88
2020-09-26,
2020-09-27,
2020-09-28,24.11
2020-09-29,24.1
2020-09-30,24.2
2020-10-01,24.3
2020-10-02,24.13
2020-10-03,
2020-10-04,
2020-10-05,24.37
2020-10-06,24.19
2020-10-07,24.47
2020-10-08,24.58
2020-10-09,24.77
2020-10-10,
2020-10-11,
2020-10-12,25.02
2020-10-13,24.98
2020-10-14,24.87
2020-10-15,24.84
2020-10-16,24.88
2020-10-17,
2020-10-18,
2020-10-19,24.63
2020-10-20,24.69
2020-10-21,24.68
2020-10-22,24.65
2020-10-23,24.78
2020-10-24,
2020-10-25,
2020-10-26,24.5
2020-10-27,24.49
2020-10-28,23.92
2020-10-29,24.04
2020-10-30,23.76
2020-10-31,
2020-11-01,
2020-11-02,23.92
2020-11-03,24.18
2020-11-04,24.69
2020-11-05,25.08
2020-11-06,25.1
2020-11-07,
2020-11-08,
2020-11-09,25.11
2020-11-10,25.01
2020-11-11,25.2
2020-11-12,25.09
2020-11-13,25.3
2020-11-14,
2020-11-15,
2020-11-16,25.46
2020-11-17,25.41
2020-11-18,25.22
2020-11-19,25.32
2020-11-20,25.21
2020-11-21,
2020-11-22,
2020-11-23,25.28
2020-11-24,25.49
2020-11-25,25.52
2020-11-26,
2020-11-27,25.61
2020-11-28,
2020-11-29,
2020-11-30,25.59
2020-12-01,25.73
2020-12-02,25.73
2020-12-03,25.73
2020-12-04,25.84
2020-12-05,
2020-12-06,
2020-12-07,25.83
2020-12-08,25.92
2020-12-09,25.7
2020-12-10,25.72
2020-12-11,25.7
2020-12-12,
2020-12-13,
2020-12-14,25.71
2020-12-15,25.86
2020-12-16,25.96
2020-12-17,26.1
2020-12-18,26.07
2020-12-19,
2020-12-20,
2020-12-21,26.03
2020-12-22,26.08
2020-12-23,26.03
2020-12-24,26.09
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,26.2
