Date,Close
2020-01-01,
2020-01-02,85.63
2020-01-03,85.76
2020-01-04,
2020-01-05,
2020-01-06,86.95
2020-01-07,85.72
2020-01-08,86.6
2020-01-09,86.86
2020-01-10,87.51
2020-01-11,
2020-01-12,
2020-01-13,88.23
2020-01-14,87.53
2020-01-15,87.65
2020-01-16,88.02
2020-01-17,89.2
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,90.38
2020-01-22,89.7
2020-01-23,90.86
2020-01-24,90.27
2020-01-25,
2020-01-26,
2020-01-27,89.87
2020-01-28,89.09
2020-01-29,88.18
2020-01-30,88.72
2020-01-31,86.86
2020-02-01,
2020-02-02,
2020-02-03,87.33
2020-02-04,87.69
2020-02-05,90.04
2020-02-06,90.35
2020-02-07,90.74
2020-02-08,
2020-02-09,
2020-02-10,92.13
2020-02-11,92.44
2020-02-12,91.78
2020-02-13,91.04
2020-02-14,92.97
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,92.41
2020-02-19,93.53
2020-02-20,93.44
2020-02-21,93.7
2020-02-22,
2020-02-23,
2020-02-24,92.82
2020-02-25,91.07
2020-02-26,92.28
2020-02-27,89.68
2020-02-28,87.04
2020-02-29,
2020-03-01,
2020-03-02,90.21
2020-03-03,89.8
2020-03-04,94.41
2020-03-05,93.6
2020-03-06,92.96
2020-03-07,
2020-03-08,
2020-03-09,91.55
2020-03-10,93.89
2020-03-11,89.24
2020-03-12,83.9
2020-03-13,87.1
2020-03-14,
2020-03-15,
2020-03-16,91.14
2020-03-17,98.98
2020-03-18,100.46
2020-03-19,92.14
2020-03-20,88.04
2020-03-21,
2020-03-22,
2020-03-23,80.96
2020-03-24,89.36
2020-03-25,88.9
2020-03-26,87.45
2020-03-27,87.08
2020-03-28,
2020-03-29,
2020-03-30,93.5
2020-03-31,93.81
2020-04-01,92.63
2020-04-02,93.19
2020-04-03,94.94
2020-04-04,
2020-04-05,
2020-04-06,97.36
2020-04-07,96.25
2020-04-08,96.46
2020-04-09,95.29
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,93.19
2020-04-14,95.54
2020-04-15,97.53
2020-04-16,102.38
2020-04-17,102.76
2020-04-18,
2020-04-19,
2020-04-20,102.79
2020-04-21,99.19
2020-04-22,100.2
2020-04-23,98.73
2020-04-24,99.56
2020-04-25,
2020-04-26,
2020-04-27,102.14
2020-04-28,100.27
2020-04-29,96.51
2020-04-30,97.12
2020-05-01,97.63
2020-05-02,
2020-05-03,
2020-05-04,97.19
2020-05-05,98.06
2020-05-06,96.48
2020-05-07,95.95
2020-05-08,98.11
2020-05-09,
2020-05-10,
2020-05-11,98.8
2020-05-12,99.71
2020-05-13,99.89
2020-05-14,97.13
2020-05-15,97.69
2020-05-16,
2020-05-17,
2020-05-18,97.07
2020-05-19,94.13
2020-05-20,93.85
2020-05-21,91.88
2020-05-22,92.44
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,91.44
2020-05-27,93.76
2020-05-28,94.91
2020-05-29,97.01
2020-05-30,
2020-05-31,
2020-06-01,98.2
2020-06-02,98.06
2020-06-03,97.58
2020-06-04,92.9
2020-06-05,91.49
2020-06-06,
2020-06-07,
2020-06-08,94.65
2020-06-09,92.33
2020-06-10,92.59
2020-06-11,90.51
2020-06-12,89.15
2020-06-13,
2020-06-14,
2020-06-15,90.09
2020-06-16,92.02
2020-06-17,92.86
2020-06-18,92.47
2020-06-19,92.76
2020-06-20,
2020-06-21,
2020-06-22,92.77
2020-06-23,90.64
2020-06-24,90.47
2020-06-25,90.04
2020-06-26,87.71
2020-06-27,
2020-06-28,
2020-06-29,89.48
2020-06-30,90.1
2020-07-01,89.6
2020-07-02,89.43
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,90.15
2020-07-07,90.3
2020-07-08,89.16
2020-07-09,88.04
2020-07-10,89.56
2020-07-11,
2020-07-12,
2020-07-13,89.14
2020-07-14,91.27
2020-07-15,90.16
2020-07-16,90.33
2020-07-17,90.87
2020-07-18,
2020-07-19,
2020-07-20,89.67
2020-07-21,90.74
2020-07-22,91.61
2020-07-23,92.32
2020-07-24,92.08
2020-07-25,
2020-07-26,
2020-07-27,92.7
2020-07-28,93.05
2020-07-29,94.08
2020-07-30,93.11
2020-07-31,93.11
2020-08-01,
2020-08-02,
2020-08-03,94.49
2020-08-04,96.44
2020-08-05,94.64
2020-08-06,93.91
2020-08-07,94.56
2020-08-08,
2020-08-09,
2020-08-10,96.09
2020-08-11,95.97
2020-08-12,97.89
2020-08-13,98.38
2020-08-14,97.81
2020-08-15,
2020-08-16,
2020-08-17,97.41
2020-08-18,97.77
2020-08-19,95.57
2020-08-20,96.04
2020-08-21,96.2
2020-08-22,
2020-08-23,
2020-08-24,96.97
2020-08-25,103.63
2020-08-26,104.47
2020-08-27,103.78
2020-08-28,102.69
2020-08-29,
2020-08-30,
2020-08-31,103.14
2020-09-01,101.24
2020-09-02,103.72
2020-09-03,101.47
2020-09-04,100.89
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,97.98
2020-09-09,99.35
2020-09-10,97.05
2020-09-11,97.25
2020-09-12,
2020-09-13,
2020-09-14,97.38
2020-09-15,96.47
2020-09-16,95.11
2020-09-17,94.39
2020-09-18,93.88
2020-09-19,
2020-09-20,
2020-09-21,94.23
2020-09-22,94.3
2020-09-23,92.94
2020-09-24,95.15
2020-09-25,96.25
2020-09-26,
2020-09-27,
2020-09-28,97.19
