Date,Close
2024-01-01,
2024-01-02,277.63
2024-01-03,271.96
2024-01-04,271.22
2024-01-05,270.12
2024-01-06,
2024-01-07,
2024-01-08,271.91
2024-01-09,270.13
2024-01-10,271.62
2024-01-11,273.19
2024-01-12,273.0
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,274.07
2024-01-17,272.12
2024-01-18,273.99
2024-01-19,275.82
2024-01-20,
2024-01-21,
2024-01-22,277.81
2024-01-23,277.69
2024-01-24,275.26
2024-01-25,277.45
2024-01-26,278.51
2024-01-27,
2024-01-28,
2024-01-29,280.62
2024-01-30,282.99
2024-01-31,278.77
2024-02-01,278.89
2024-02-02,281.35
2024-02-03,
2024-02-04,
2024-02-05,280.28
2024-02-06,282.13
2024-02-07,283.17
2024-02-08,255.79
2024-02-09,252.33
2024-02-10,
2024-02-11,
2024-02-12,257.44
2024-02-13,252.01
2024-02-14,253.01
2024-02-15,258.65
2024-02-16,256.96
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,258.69
2024-02-21,258.76
2024-02-22,260.79
2024-02-23,262.32
2024-02-24,
2024-02-25,
2024-02-26,262.57
2024-02-27,265.04
2024-02-28,266.43
2024-02-29,266.88
2024-03-01,268.47
2024-03-02,
2024-03-03,
2024-03-04,275.45
2024-03-05,274.03
2024-03-06,276.56
2024-03-07,285.23
2024-03-08,285.84
2024-03-09,
2024-03-10,
2024-03-11,282.9
2024-03-12,285.62
2024-03-13,285.37
2024-03-14,281.59
2024-03-15,279.99
2024-03-16,
2024-03-17,
2024-03-18,278.18
2024-03-19,280.0
2024-03-20,282.71
2024-03-21,283.85
2024-03-22,282.34
2024-03-23,
2024-03-24,
2024-03-25,282.6
2024-03-26,281.71
2024-03-27,287.49
2024-03-28,286.79
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,285.25
2024-04-02,282.79
2024-04-03,283.2
2024-04-04,283.87
2024-04-05,283.44
2024-04-06,
2024-04-07,
2024-04-08,283.97
2024-04-09,284.63
2024-04-10,282.78
2024-04-11,282.26
2024-04-12,280.36
2024-04-13,
2024-04-14,
2024-04-15,276.73
2024-04-16,273.46
2024-04-17,274.47
2024-04-18,253.43
2024-04-19,260.24
2024-04-20,
2024-04-21,
2024-04-22,260.01
2024-04-23,262.7
2024-04-24,264.88
2024-04-25,261.56
2024-04-26,262.08
2024-04-27,
2024-04-28,
2024-04-29,263.58
2024-04-30,259.43
2024-05-01,259.22
2024-05-02,258.37
2024-05-03,262.4
2024-05-04,
2024-05-05,
2024-05-06,265.85
2024-05-07,268.04
2024-05-08,267.13
2024-05-09,271.18
2024-05-10,271.97
2024-05-11,
2024-05-12,
2024-05-13,271.02
2024-05-14,270.23
2024-05-15,270.91
2024-05-16,268.0
2024-05-17,271.92
2024-05-18,
2024-05-19,
2024-05-20,272.28
2024-05-21,269.12
2024-05-22,269.19
2024-05-23,263.44
2024-05-24,264.04
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,262.61
2024-05-29,258.68
2024-05-30,261.45
2024-05-31,265.96
2024-06-01,
2024-06-02,
2024-06-03,262.07
2024-06-04,260.27
2024-06-05,262.41
2024-06-06,260.29
2024-06-07,261.41
2024-06-08,
2024-06-09,
2024-06-10,261.12
2024-06-11,258.84
2024-06-12,261.49
2024-06-13,262.03
2024-06-14,255.61
2024-06-15,
2024-06-16,
2024-06-17,261.45
2024-06-18,262.5
2024-06-19,
2024-06-20,261.88
2024-06-21,260.0
2024-06-22,
2024-06-23,
2024-06-24,260.64
2024-06-25,256.39
2024-06-26,255.11
2024-06-27,252.36
2024-06-28,254.78
2024-06-29,
2024-06-30,
2024-07-01,250.4
2024-07-02,250.56
2024-07-03,250.39
2024-07-04,
2024-07-05,248.89
2024-07-06,
2024-07-07,
2024-07-08,250.9
2024-07-09,249.63
2024-07-10,254.79
2024-07-11,261.12
2024-07-12,262.81
2024-07-13,
2024-07-14,
2024-07-15,263.99
2024-07-16,271.83
2024-07-17,268.76
2024-07-18,263.7
2024-07-19,264.05
2024-07-20,
2024-07-21,
2024-07-22,267.79
2024-07-23,267.83
2024-07-24,263.24
2024-07-25,266.55
2024-07-26,273.56
2024-07-27,
2024-07-28,
2024-07-29,273.13
2024-07-30,278.03
2024-07-31,279.77
2024-08-01,271.92
2024-08-02,269.74
2024-08-03,
2024-08-04,
2024-08-05,264.38
2024-08-06,265.49
2024-08-07,262.24
2024-08-08,266.77
2024-08-09,266.28
2024-08-10,
2024-08-11,
2024-08-12,261.05
2024-08-13,265.61
2024-08-14,266.32
2024-08-15,269.15
2024-08-16,269.21
2024-08-17,
2024-08-18,
2024-08-19,272.18
2024-08-20,270.21
2024-08-21,273.71
2024-08-22,272.48
2024-08-23,278.54
2024-08-24,
2024-08-25,
2024-08-26,277.7
2024-08-27,276.86
2024-08-28,274.95
2024-08-29,275.89
2024-08-30,278.44
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,274.34
2024-09-04,273.86
2024-09-05,267.01
2024-09-06,265.78
2024-09-07,
2024-09-08,
2024-09-09,271.84
2024-09-10,270.59
2024-09-11,271.11
2024-09-12,272.67
2024-09-13,275.2
2024-09-14,
2024-09-15,
2024-09-16,276.18
2024-09-17,274.85
2024-09-18,275.42
2024-09-19,280.76
2024-09-20,277.9
2024-09-21,
2024-09-22,
2024-09-23,279.48
2024-09-24,279.1
2024-09-25,278.32
2024-09-26,284.09
