Date,Close
2024-01-01,
2024-01-02,9.65
2024-01-03,8.31
2024-01-04,8.42
2024-01-05,8.22
2024-01-06,
2024-01-07,
2024-01-08,8.53
2024-01-09,8.32
2024-01-10,8.48
2024-01-11,8.17
2024-01-12,7.89
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,7.72
2024-01-17,7.53
2024-01-18,7.41
2024-01-19,7.49
2024-01-20,
2024-01-21,
2024-01-22,7.92
2024-01-23,7.75
2024-01-24,7.56
2024-01-25,7.65
2024-01-26,7.62
2024-01-27,
2024-01-28,
2024-01-29,9.16
2024-01-30,8.4
2024-01-31,7.83
2024-02-01,7.73
2024-02-02,7.88
2024-02-03,
2024-02-04,
2024-02-05,7.58
2024-02-06,7.8
2024-02-07,7.66
2024-02-08,8.08
2024-02-09,8.13
2024-02-10,
2024-02-11,
2024-02-12,8.33
2024-02-13,8.02
2024-02-14,8.42
2024-02-15,8.53
2024-02-16,8.36
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,8.51
2024-02-21,8.11
2024-02-22,8.16
2024-02-23,8.17
2024-02-24,
2024-02-25,
2024-02-26,8.54
2024-02-27,9.15
2024-02-28,8.86
2024-02-29,8.98
2024-03-01,8.99
2024-03-02,
2024-03-03,
2024-03-04,8.58
2024-03-05,7.27
2024-03-06,7.4
2024-03-07,7.47
2024-03-08,7.71
2024-03-09,
2024-03-10,
2024-03-11,7.68
2024-03-12,7.48
2024-03-13,7.38
2024-03-14,7.05
2024-03-15,7.03
2024-03-16,
2024-03-17,
2024-03-18,7.08
2024-03-19,6.92
2024-03-20,7.36
2024-03-21,7.44
2024-03-22,7.3
2024-03-23,
2024-03-24,
2024-03-25,7.45
2024-03-26,7.2
2024-03-27,7.36
2024-03-28,7.3
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,7.22
2024-04-02,7.2
2024-04-03,7.54
2024-04-04,7.31
2024-04-05,7.4
2024-04-06,
2024-04-07,
2024-04-08,7.76
2024-04-09,7.89
2024-04-10,7.56
2024-04-11,7.64
2024-04-12,7.33
2024-04-13,
2024-04-14,
