Date,Close
2020-01-01,
2020-01-02,265.31
2020-01-03,264.42
2020-01-04,
2020-01-05,
2020-01-06,266.45
2020-01-07,268.3
2020-01-08,272.15
2020-01-09,276.52
2020-01-10,275.91
2020-01-11,
2020-01-12,
2020-01-13,280.97
2020-01-14,277.08
2020-01-15,281.1
2020-01-16,284.74
2020-01-17,283.4
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,282.84
2020-01-22,284.0
2020-01-23,283.78
2020-01-24,281.53
2020-01-25,
2020-01-26,
2020-01-27,279.91
2020-01-28,283.87
2020-01-29,283.9
2020-01-30,286.33
2020-01-31,280.48
2020-02-01,
2020-02-02,
2020-02-03,282.33
2020-02-04,284.48
2020-02-05,281.47
2020-02-06,282.19
2020-02-07,282.15
2020-02-08,
2020-02-09,
2020-02-10,283.18
2020-02-11,280.85
2020-02-12,290.12
2020-02-13,287.76
2020-02-14,293.77
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,292.9
2020-02-19,297.12
2020-02-20,289.72
2020-02-21,280.02
2020-02-22,
2020-02-23,
2020-02-24,277.78
2020-02-25,270.5
2020-02-26,270.64
2020-02-27,255.69
2020-02-28,254.5
2020-02-29,
2020-03-01,
2020-03-02,276.9
2020-03-03,268.12
2020-03-04,283.36
2020-03-05,266.47
2020-03-06,259.43
2020-03-07,
2020-03-08,
2020-03-09,232.1
2020-03-10,248.05
2020-03-11,230.05
2020-03-12,211.96
2020-03-13,237.45
2020-03-14,
2020-03-15,
2020-03-16,212.63
2020-03-17,217.89
2020-03-18,184.8
2020-03-19,198.86
2020-03-20,199.83
2020-03-21,
2020-03-22,
2020-03-23,183.81
2020-03-24,209.28
2020-03-25,217.44
2020-03-26,234.44
2020-03-27,229.46
2020-03-28,
2020-03-29,
2020-03-30,236.39
2020-03-31,234.54
2020-04-01,224.28
2020-04-02,230.98
2020-04-03,228.55
2020-04-04,
2020-04-05,
2020-04-06,244.85
2020-04-07,245.07
2020-04-08,250.29
2020-04-09,271.38
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,256.92
2020-04-14,265.44
2020-04-15,261.53
2020-04-16,262.77
2020-04-17,270.46
2020-04-18,
2020-04-19,
2020-04-20,267.19
2020-04-21,255.76
2020-04-22,264.17
2020-04-23,267.56
2020-04-24,271.76
2020-04-25,
2020-04-26,
2020-04-27,278.7
2020-04-28,283.14
2020-04-29,281.79
2020-04-30,280.31
2020-05-01,273.79
2020-05-02,
2020-05-03,
2020-05-04,273.51
2020-05-05,282.73
2020-05-06,276.94
2020-05-07,282.9
2020-05-08,284.88
2020-05-09,
2020-05-10,
2020-05-11,287.78
2020-05-12,286.37
2020-05-13,281.77
2020-05-14,287.24
2020-05-15,290.13
2020-05-16,
2020-05-17,
2020-05-18,298.26
2020-05-19,297.74
2020-05-20,300.53
2020-05-21,297.43
2020-05-22,298.48
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,299.58
2020-05-27,302.55
2020-05-28,305.78
2020-05-29,311.74
2020-05-30,
2020-05-31,
2020-06-01,313.93
2020-06-02,314.0
2020-06-03,319.76
2020-06-04,314.02
2020-06-05,319.75
2020-06-06,
2020-06-07,
2020-06-08,318.42
2020-06-09,314.23
2020-06-10,317.65
2020-06-11,294.49
2020-06-12,303.96
2020-06-13,
2020-06-14,
2020-06-15,306.59
2020-06-16,311.66
2020-06-17,312.99
2020-06-18,313.46
2020-06-19,310.51
2020-06-20,
2020-06-21,
2020-06-22,313.03
2020-06-23,315.14
2020-06-24,304.98
2020-06-25,314.43
2020-06-26,308.46
2020-06-27,
2020-06-28,
2020-06-29,308.17
2020-06-30,316.02
2020-07-01,320.86
2020-07-02,319.64
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,327.09
2020-07-07,327.25
2020-07-08,339.85
2020-07-09,338.31
2020-07-10,337.44
2020-07-11,
2020-07-12,
2020-07-13,331.95
2020-07-14,337.28
2020-07-15,340.31
2020-07-16,335.23
2020-07-17,340.2
2020-07-18,
2020-07-19,
2020-07-20,343.46
2020-07-21,340.34
2020-07-22,341.89
2020-07-23,334.03
2020-07-24,335.67
2020-07-25,
2020-07-26,
2020-07-27,336.97
2020-07-28,333.4
2020-07-29,345.16
2020-07-30,337.98
2020-07-31,335.94
2020-08-01,
2020-08-02,
2020-08-03,336.36
2020-08-04,331.65
2020-08-05,333.2
2020-08-06,338.17
2020-08-07,333.08
2020-08-08,
2020-08-09,
2020-08-10,330.02
2020-08-11,329.67
2020-08-12,334.93
2020-08-13,341.58
2020-08-14,337.88
2020-08-15,
2020-08-16,
2020-08-17,342.55
2020-08-18,345.41
2020-08-19,343.48
2020-08-20,346.46
2020-08-21,347.22
2020-08-22,
2020-08-23,
2020-08-24,345.29
2020-08-25,344.5
2020-08-26,350.18
2020-08-27,349.76
2020-08-28,352.5
2020-08-29,
2020-08-30,
2020-08-31,352.11
2020-09-01,354.0
2020-09-02,363.63
2020-09-03,339.87
2020-09-04,331.7
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,327.35
2020-09-09,338.04
2020-09-10,331.02
2020-09-11,335.17
2020-09-12,
2020-09-13,
2020-09-14,339.3
2020-09-15,343.25
2020-09-16,343.57
2020-09-17,337.99
2020-09-18,337.3
2020-09-19,
2020-09-20,
2020-09-21,337.18
2020-09-22,336.49
2020-09-23,329.66
2020-09-24,332.36
2020-09-25,339.07
2020-09-26,
2020-09-27,
2020-09-28,341.66
2020-09-29,343.04
2020-09-30,346.51
2020-10-01,349.52
2020-10-02,348.8
2020-10-03,
2020-10-04,
2020-10-05,350.71
2020-10-06,340.47
2020-10-07,341.04
2020-10-08,343.25
2020-10-09,342.83
2020-10-10,
2020-10-11,
2020-10-12,346.02
2020-10-13,340.17
2020-10-14,337.78
2020-10-15,333.88
2020-10-16,334.57
2020-10-17,
2020-10-18,
2020-10-19,327.82
2020-10-20,326.86
2020-10-21,324.71
2020-10-22,324.08
2020-10-23,324.25
2020-10-24,
2020-10-25,
2020-10-26,320.52
2020-10-27,317.93
2020-10-28,313.94
2020-10-29,313.02
2020-10-30,310.12
2020-10-31,
2020-11-01,
2020-11-02,315.11
2020-11-03,321.67
2020-11-04,337.39
2020-11-05,342.09
2020-11-06,340.52
2020-11-07,
2020-11-08,
2020-11-09,332.88
2020-11-10,322.01
2020-11-11,330.53
2020-11-12,328.37
2020-11-13,328.56
2020-11-14,
2020-11-15,
2020-11-16,326.35
2020-11-17,323.51
2020-11-18,323.34
2020-11-19,325.4
2020-11-20,325.07
2020-11-21,
2020-11-22,
2020-11-23,323.95
2020-11-24,321.8
2020-11-25,325.48
2020-11-26,
2020-11-27,328.88
2020-11-28,
2020-11-29,
2020-11-30,338.71
2020-12-01,321.9
2020-12-02,320.9
2020-12-03,314.48
2020-12-04,326.84
2020-12-05,
2020-12-06,
2020-12-07,323.75
2020-12-08,321.3
2020-12-09,315.12
2020-12-10,313.73
2020-12-11,312.75
2020-12-12,
2020-12-13,
2020-12-14,311.66
2020-12-15,311.81
2020-12-16,308.95
2020-12-17,309.13
2020-12-18,310.52
2020-12-19,
2020-12-20,
2020-12-21,307.71
2020-12-22,307.08
2020-12-23,301.98
2020-12-24,304.82
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,306.23
2020-12-29,309.55
2020-12-30,311.61
2020-12-31,316.52
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,320.87
2021-01-05,316.25
2021-01-06,316.64
2021-01-07,316.85
2021-01-08,314.71
2021-01-09,
2021-01-10,
2021-01-11,307.34
2021-01-12,304.13
2021-01-13,300.46
2021-01-14,294.81
2021-01-15,294.59
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,301.51
2021-01-20,309.98
2021-01-21,305.92
2021-01-22,303.43
2021-01-23,
2021-01-24,
2021-01-25,303.23
2021-01-26,307.16
2021-01-27,294.92
2021-01-28,307.12
2021-01-29,305.22
2021-01-30,
2021-01-31,
2021-02-01,309.88
2021-02-02,317.84
2021-02-03,312.21
2021-02-04,316.25
2021-02-05,311.98
2021-02-06,
2021-02-07,
2021-02-08,313.35
2021-02-09,320.04
2021-02-10,320.63
2021-02-11,326.78
2021-02-12,326.84
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,325.76
2021-02-17,326.34
2021-02-18,325.89
2021-02-19,326.64
2021-02-20,
2021-02-21,
2021-02-22,320.91
2021-02-23,313.83
2021-02-24,320.2
2021-02-25,319.01
2021-02-26,317.86
2021-02-27,
2021-02-28,
2021-03-01,325.74
2021-03-02,321.31
2021-03-03,315.13
2021-03-04,316.1
2021-03-05,322.84
2021-03-06,
2021-03-07,
2021-03-08,330.75
2021-03-09,330.17
2021-03-10,332.33
2021-03-11,333.09
2021-03-12,333.54
2021-03-13,
2021-03-14,
2021-03-15,339.22
2021-03-16,336.44
2021-03-17,337.96
2021-03-18,336.29
2021-03-19,335.24
2021-03-20,
2021-03-21,
2021-03-22,333.47
2021-03-23,334.72
2021-03-24,339.51
2021-03-25,339.03
2021-03-26,347.0
2021-03-27,
2021-03-28,
2021-03-29,349.11
2021-03-30,340.46
2021-03-31,340.55
2021-04-01,349.99
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,354.35
2021-04-06,353.08
2021-04-07,348.59
2021-04-08,352.84
2021-04-09,356.21
2021-04-10,
2021-04-11,
2021-04-12,358.15
2021-04-13,359.95
2021-04-14,359.04
2021-04-15,361.97
2021-04-16,364.87
2021-04-17,
2021-04-18,
2021-04-19,363.3
2021-04-20,365.82
2021-04-21,369.4
2021-04-22,369.93
2021-04-23,374.59
2021-04-24,
2021-04-25,
2021-04-26,370.52
2021-04-27,370.73
2021-04-28,366.81
2021-04-29,378.99
2021-04-30,376.76
2021-05-01,
2021-05-02,
2021-05-03,380.15
2021-05-04,383.26
2021-05-05,378.37
2021-05-06,375.97
2021-05-07,377.07
2021-05-08,
2021-05-09,
2021-05-10,376.73
2021-05-11,366.41
2021-05-12,356.78
2021-05-13,366.44
2021-05-14,365.92
2021-05-15,
2021-05-16,
2021-05-17,361.86
2021-05-18,357.2
2021-05-19,357.73
2021-05-20,361.45
2021-05-21,364.32
2021-05-22,
2021-05-23,
2021-05-24,365.81
2021-05-25,366.11
2021-05-26,366.19
2021-05-27,368.0
2021-05-28,366.97
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,361.15
2021-06-02,367.31
2021-06-03,368.78
2021-06-04,371.91
2021-06-05,
2021-06-06,
2021-06-07,368.67
2021-06-08,371.72
2021-06-09,371.94
2021-06-10,373.99
2021-06-11,379.56
2021-06-12,
2021-06-13,
2021-06-14,383.31
2021-06-15,382.97
2021-06-16,379.82
2021-06-17,386.97
2021-06-18,377.84
2021-06-19,
2021-06-20,
2021-06-21,386.35
2021-06-22,390.55
2021-06-23,387.62
2021-06-24,397.63
2021-06-25,398.77
2021-06-26,
2021-06-27,
2021-06-28,397.26
2021-06-29,397.05
2021-06-30,396.92
2021-07-01,398.62
2021-07-02,400.97
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,401.97
2021-07-07,405.35
2021-07-08,403.32
2021-07-09,401.02
2021-07-10,
2021-07-11,
2021-07-12,398.18
2021-07-13,395.47
2021-07-14,397.05
2021-07-15,397.96
2021-07-16,400.76
2021-07-17,
2021-07-18,
2021-07-19,395.67
2021-07-20,402.66
2021-07-21,403.32
2021-07-22,404.81
2021-07-23,404.71
2021-07-24,
2021-07-25,
2021-07-26,399.78
2021-07-27,399.19
2021-07-28,398.03
2021-07-29,409.61
2021-07-30,414.59
2021-07-31,
2021-08-01,
2021-08-02,419.94
2021-08-03,421.68
2021-08-04,425.02
2021-08-05,427.16
2021-08-06,427.03
2021-08-07,
2021-08-08,
2021-08-09,421.74
2021-08-10,420.17
2021-08-11,419.31
2021-08-12,422.36
2021-08-13,427.18
2021-08-14,
2021-08-15,
2021-08-16,431.41
2021-08-17,429.54
2021-08-18,415.83
2021-08-19,419.64
2021-08-20,423.1
2021-08-21,
2021-08-22,
2021-08-23,424.55
2021-08-24,423.18
2021-08-25,424.17
2021-08-26,423.5
2021-08-27,424.6
2021-08-28,
2021-08-29,
2021-08-30,430.19
2021-08-31,429.95
2021-09-01,434.6
2021-09-02,435.36
2021-09-03,437.95
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,432.76
2021-09-08,436.53
2021-09-09,437.29
2021-09-10,436.17
2021-09-11,
2021-09-12,
2021-09-13,435.38
2021-09-14,437.48
2021-09-15,438.02
2021-09-16,439.86
2021-09-17,432.47
2021-09-18,
2021-09-19,
2021-09-20,430.97
2021-09-21,431.29
2021-09-22,431.71
2021-09-23,437.56
2021-09-24,438.92
2021-09-25,
2021-09-26,
2021-09-27,431.41
2021-09-28,412.8
2021-09-29,413.29
2021-09-30,411.61
2021-10-01,414.97
2021-10-02,
2021-10-03,
2021-10-04,402.86
2021-10-05,411.85
2021-10-06,414.39
2021-10-07,419.28
2021-10-08,416.29
2021-10-09,
2021-10-10,
2021-10-11,415.1
2021-10-12,417.21
2021-10-13,416.98
2021-10-14,427.98
2021-10-15,430.05
2021-10-16,
2021-10-17,
2021-10-18,433.87
2021-10-19,436.99
2021-10-20,426.79
2021-10-21,431.52
2021-10-22,436.41
2021-10-23,
2021-10-24,
2021-10-25,433.39
2021-10-26,450.1
2021-10-27,448.14
2021-10-28,454.84
2021-10-29,459.34
2021-10-30,
2021-10-31,
2021-11-01,448.71
2021-11-02,446.77
2021-11-03,440.83
