Date,Close
2024-01-01,
2024-01-02,116.27
2024-01-03,116.47
2024-01-04,113.88
2024-01-05,113.64
2024-01-06,
2024-01-07,
2024-01-08,114.44
2024-01-09,110.5
2024-01-10,110.34
2024-01-11,110.61
2024-01-12,110.71
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,109.12
2024-01-17,109.86
2024-01-18,110.19
2024-01-19,110.36
2024-01-20,
2024-01-21,
2024-01-22,112.87
2024-01-23,113.56
2024-01-24,113.95
2024-01-25,113.33
2024-01-26,113.43
2024-01-27,
2024-01-28,
2024-01-29,114.27
2024-01-30,119.73
2024-01-31,118.01
2024-02-01,117.13
2024-02-02,117.49
2024-02-03,
2024-02-04,
2024-02-05,118.79
2024-02-06,117.5
2024-02-07,121.8
2024-02-08,122.07
2024-02-09,122.22
2024-02-10,
2024-02-11,
2024-02-12,121.06
2024-02-13,115.74
2024-02-14,117.08
2024-02-15,121.36
2024-02-16,120.6
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,119.89
2024-02-21,119.34
2024-02-22,122.01
2024-02-23,124.19
2024-02-24,
2024-02-25,
2024-02-26,128.16
2024-02-27,130.02
2024-02-28,129.55
2024-02-29,130.85
2024-03-01,130.74
2024-03-02,
2024-03-03,
2024-03-04,127.35
2024-03-05,125.65
2024-03-06,127.08
2024-03-07,129.47
2024-03-08,128.56
2024-03-09,
2024-03-10,
2024-03-11,127.04
2024-03-12,128.43
2024-03-13,130.98
2024-03-14,129.23
2024-03-15,134.84
2024-03-16,
2024-03-17,
2024-03-18,136.86
2024-03-19,137.75
2024-03-20,139.55
2024-03-21,140.67
2024-03-22,140.82
2024-03-23,
2024-03-24,
2024-03-25,140.95
2024-03-26,141.62
2024-03-27,144.19
2024-03-28,145.4
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,146.41
2024-04-02,145.08
2024-04-03,144.91
2024-04-04,143.91
2024-04-05,144.46
2024-04-06,
2024-04-07,
2024-04-08,145.03
2024-04-09,143.93
2024-04-10,141.89
2024-04-11,141.48
2024-04-12,137.95
2024-04-13,
2024-04-14,
