Date,Close
2024-01-01,
2024-01-02,47.53
2024-01-03,46.19
2024-01-04,44.14
2024-01-05,43.85
2024-01-06,
2024-01-07,
2024-01-08,44.68
2024-01-09,43.91
2024-01-10,43.64
2024-01-11,43.49
2024-01-12,42.82
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,42.81
2024-01-17,41.84
2024-01-18,43.24
2024-01-19,44.23
2024-01-20,
2024-01-21,
2024-01-22,44.56
2024-01-23,45.88
2024-01-24,45.18
2024-01-25,44.83
2024-01-26,43.86
2024-01-27,
2024-01-28,
2024-01-29,44.06
2024-01-30,43.59
2024-01-31,43.37
2024-02-01,43.54
2024-02-02,42.91
2024-02-03,
2024-02-04,
2024-02-05,43.99
2024-02-06,43.47
2024-02-07,43.28
2024-02-08,44.4
2024-02-09,45.48
2024-02-10,
2024-02-11,
2024-02-12,45.08
2024-02-13,43.46
2024-02-14,44.23
2024-02-15,44.54
2024-02-16,44.41
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,43.81
2024-02-21,43.86
2024-02-22,44.86
2024-02-23,43.99
2024-02-24,
2024-02-25,
2024-02-26,44.09
2024-02-27,45.52
2024-02-28,44.16
2024-02-29,44.85
2024-03-01,46.37
2024-03-02,
2024-03-03,
2024-03-04,45.77
2024-03-05,45.07
2024-03-06,46.06
2024-03-07,47.75
2024-03-08,46.15
2024-03-09,
2024-03-10,
2024-03-11,46.69
2024-03-12,47.79
2024-03-13,46.8
2024-03-14,45.72
2024-03-15,44.09
2024-03-16,
2024-03-17,
2024-03-18,43.88
2024-03-19,43.0
2024-03-20,43.64
2024-03-21,42.8
2024-03-22,42.62
2024-03-23,
2024-03-24,
2024-03-25,42.26
2024-03-26,42.35
2024-03-27,43.28
2024-03-28,42.56
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,42.65
2024-04-02,41.29
2024-04-03,41.87
2024-04-04,41.22
2024-04-05,41.29
2024-04-06,
2024-04-07,
2024-04-08,41.6
2024-04-09,42.78
2024-04-10,41.63
2024-04-11,41.99
2024-04-12,40.44
2024-04-13,
2024-04-14,
2024-04-15,40.0
2024-04-16,39.7
2024-04-17,39.7
2024-04-18,38.99
2024-04-19,38.0
2024-04-20,
2024-04-21,
2024-04-22,38.64
2024-04-23,39.35
2024-04-24,41.48
2024-04-25,41.93
2024-04-26,40.68
2024-04-27,
2024-04-28,
2024-04-29,40.54
2024-04-30,38.94
2024-05-01,38.13
2024-05-02,38.57
2024-05-03,39.44
2024-05-04,
2024-05-05,
2024-05-06,39.68
2024-05-07,40.05
2024-05-08,39.73
2024-05-09,39.69
2024-05-10,39.88
2024-05-11,
2024-05-12,
2024-05-13,39.89
2024-05-14,41.19
2024-05-15,42.18
2024-05-16,41.27
2024-05-17,40.99
2024-05-18,
2024-05-19,
2024-05-20,41.38
2024-05-21,40.32
2024-05-22,41.61
2024-05-23,41.05
2024-05-24,41.23
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,41.22
2024-05-29,39.67
2024-05-30,40.31
2024-05-31,41.31
2024-06-01,
2024-06-02,
2024-06-03,41.31
2024-06-04,42.27
2024-06-05,43.68
2024-06-06,44.35
2024-06-07,43.79
2024-06-08,
2024-06-09,
2024-06-10,43.65
2024-06-11,43.13
2024-06-12,44.53
2024-06-13,43.56
2024-06-14,41.8
2024-06-15,
2024-06-16,
2024-06-17,42.43
2024-06-18,42.41
2024-06-19,
2024-06-20,40.04
2024-06-21,40.15
2024-06-22,
2024-06-23,
2024-06-24,39.62
2024-06-25,39.56
2024-06-26,39.25
2024-06-27,38.47
2024-06-28,38.75
2024-06-29,
2024-06-30,
2024-07-01,38.72
2024-07-02,39.83
2024-07-03,40.57
2024-07-04,
2024-07-05,41.85
2024-07-06,
2024-07-07,
2024-07-08,41.84
2024-07-09,40.95
2024-07-10,42.01
2024-07-11,41.33
2024-07-12,42.1
2024-07-13,
2024-07-14,
2024-07-15,41.56
2024-07-16,42.15
2024-07-17,40.55
2024-07-18,41.04
2024-07-19,39.39
2024-07-20,
2024-07-21,
2024-07-22,41.45
2024-07-23,39.72
2024-07-24,39.01
2024-07-25,33.02
2024-07-26,33.53
2024-07-27,
2024-07-28,
2024-07-29,33.16
2024-07-30,32.15
2024-07-31,33.31
2024-08-01,30.98
2024-08-02,29.81
2024-08-03,
2024-08-04,
2024-08-05,28.99
2024-08-06,28.55
2024-08-07,27.86
2024-08-08,29.02
2024-08-09,28.94
2024-08-10,
2024-08-11,
2024-08-12,28.94
2024-08-13,29.59
2024-08-14,29.21
2024-08-15,30.31
2024-08-16,30.23
2024-08-17,
2024-08-18,
2024-08-19,30.9
2024-08-20,30.46
2024-08-21,31.08
