Date,Close
2024-01-01,
2024-01-02,14.64
2024-01-03,14.58
2024-01-04,14.58
2024-01-05,14.58
2024-01-06,
2024-01-07,
2024-01-08,14.58
2024-01-09,14.58
2024-01-10,14.58
2024-01-11,14.58
2024-01-12,14.58
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,14.58
2024-01-17,14.58
2024-01-18,14.58
2024-01-19,14.58
2024-01-20,
2024-01-21,
2024-01-22,14.58
2024-01-23,14.58
2024-01-24,14.58
2024-01-25,14.58
2024-01-26,15.26
2024-01-27,
2024-01-28,
2024-01-29,15.26
2024-01-30,15.26
2024-01-31,15.26
2024-02-01,15.26
2024-02-02,15.26
2024-02-03,
2024-02-04,
2024-02-05,15.26
2024-02-06,15.26
2024-02-07,15.26
2024-02-08,15.06
2024-02-09,15.06
2024-02-10,
2024-02-11,
2024-02-12,15.06
2024-02-13,15.06
2024-02-14,14.26
2024-02-15,14.26
2024-02-16,14.26
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,14.26
2024-02-21,14.26
2024-02-22,14.26
2024-02-23,14.26
2024-02-24,
2024-02-25,
2024-02-26,15.83
2024-02-27,15.83
2024-02-28,15.83
2024-02-29,15.83
2024-03-01,15.83
2024-03-02,
2024-03-03,
2024-03-04,15.83
2024-03-05,15.83
2024-03-06,15.83
2024-03-07,15.83
2024-03-08,15.83
2024-03-09,
2024-03-10,
2024-03-11,15.83
2024-03-12,15.83
2024-03-13,15.83
2024-03-14,15.83
2024-03-15,15.23
2024-03-16,
2024-03-17,
2024-03-18,15.23
2024-03-19,15.23
2024-03-20,15.23
2024-03-21,15.23
2024-03-22,15.23
2024-03-23,
2024-03-24,
2024-03-25,15.23
2024-03-26,15.23
2024-03-27,15.23
2024-03-28,15.23
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,15.62
2024-04-02,16.08
2024-04-03,16.44
2024-04-04,16.44
2024-04-05,16.18
2024-04-06,
2024-04-07,
2024-04-08,16.18
2024-04-09,16.31
2024-04-10,16.66
2024-04-11,16.71
2024-04-12,16.89
2024-04-13,
2024-04-14,
2024-04-15,16.61
2024-04-16,16.61
2024-04-17,16.24
2024-04-18,16.24
2024-04-19,15.24
2024-04-20,
2024-04-21,
2024-04-22,14.78
2024-04-23,14.35
2024-04-24,14.68
2024-04-25,14.52
2024-04-26,15.18
2024-04-27,
2024-04-28,
2024-04-29,14.79
2024-04-30,15.04
2024-05-01,14.61
2024-05-02,15.44
2024-05-03,15.61
2024-05-04,
2024-05-05,
2024-05-06,15.1
2024-05-07,15.1
2024-05-08,15.1
2024-05-09,15.46
2024-05-10,16.55
2024-05-11,
2024-05-12,
2024-05-13,15.6
2024-05-14,16.05
2024-05-15,16.05
2024-05-16,16.05
2024-05-17,15.79
2024-05-18,
2024-05-19,
2024-05-20,15.8
2024-05-21,15.8
2024-05-22,15.43
2024-05-23,15.43
2024-05-24,14.79
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,15.15
2024-05-29,15.15
2024-05-30,14.72
2024-05-31,14.72
2024-06-01,
2024-06-02,
2024-06-03,15.14
2024-06-04,14.8
2024-06-05,14.8
2024-06-06,14.33
2024-06-07,14.38
2024-06-08,
2024-06-09,
2024-06-10,15.21
2024-06-11,14.83
2024-06-12,15.31
2024-06-13,15.25
2024-06-14,15.25
2024-06-15,
2024-06-16,
2024-06-17,14.78
2024-06-18,15.2
2024-06-19,
2024-06-20,15.39
2024-06-21,14.54
2024-06-22,
2024-06-23,
2024-06-24,14.69
2024-06-25,14.06
2024-06-26,14.15
2024-06-27,14.43
2024-06-28,14.43
2024-06-29,
2024-06-30,
2024-07-01,14.09
2024-07-02,14.09
2024-07-03,15.31
2024-07-04,
2024-07-05,15.36
2024-07-06,
2024-07-07,
2024-07-08,15.21
2024-07-09,14.89
2024-07-10,14.97
2024-07-11,16.47
2024-07-12,16.29
2024-07-13,
2024-07-14,
2024-07-15,16.42
2024-07-16,16.42
2024-07-17,17.33
2024-07-18,17.33
2024-07-19,16.75
2024-07-20,
2024-07-21,
2024-07-22,16.18
2024-07-23,15.54
2024-07-24,15.71
2024-07-25,14.88
2024-07-26,15.32
2024-07-27,
2024-07-28,
2024-07-29,16.42
2024-07-30,16.42
2024-07-31,16.42
2024-08-01,16.38
2024-08-02,13.84
2024-08-03,
2024-08-04,
2024-08-05,12.87
2024-08-06,14.13
2024-08-07,13.87
2024-08-08,10.6
2024-08-09,10.22
2024-08-10,
2024-08-11,
2024-08-12,10.21
2024-08-13,10.58
2024-08-14,10.77
2024-08-15,11.75
2024-08-16,11.82
2024-08-17,
2024-08-18,
2024-08-19,12.34
2024-08-20,12.34
2024-08-21,11.56
2024-08-22,12.58
2024-08-23,11.57
2024-08-24,
2024-08-25,
2024-08-26,12.3
2024-08-27,11.82
2024-08-28,11.14
2024-08-29,11.67
2024-08-30,11.67
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,10.84
2024-09-04,10.34
2024-09-05,10.4
2024-09-06,10.36
2024-09-07,
2024-09-08,
2024-09-09,9.97
2024-09-10,9.81
2024-09-11,9.81
2024-09-12,9.76
2024-09-13,10.49
2024-09-14,
2024-09-15,
2024-09-16,9.94
2024-09-17,9.94
2024-09-18,9.86
2024-09-19,10.52
2024-09-20,10.4
2024-09-21,
2024-09-22,
2024-09-23,9.85
2024-09-24,9.81
2024-09-25,9.81
2024-09-26,10.97
2024-09-27,10.92
2024-09-28,
2024-09-29,
2024-09-30,10.41
2024-10-01,11.23
2024-10-02,10.99
2024-10-03,10.67
2024-10-04,10.86
2024-10-05,
2024-10-06,
2024-10-07,10.73
2024-10-08,10.25
2024-10-09,10.27
2024-10-10,10.16
2024-10-11,10.66
2024-10-12,
2024-10-13,
2024-10-14,10.8
2024-10-15,10.13
2024-10-16,10.38
2024-10-17,10.36
2024-10-18,10.36
2024-10-19,
2024-10-20,
2024-10-21,9.5
2024-10-22,9.22
2024-10-23,9.6
2024-10-24,9.51
2024-10-25,9.23
2024-10-26,
2024-10-27,
2024-10-28,9.47
2024-10-29,9.28
2024-10-30,9.31
2024-10-31,9.23
2024-11-01,9.23
2024-11-02,
2024-11-03,
2024-11-04,9.12
2024-11-05,9.41
2024-11-06,9.34
2024-11-07,9.34
2024-11-08,9.29
2024-11-09,
2024-11-10,
2024-11-11,8.75
2024-11-12,8.7
2024-11-13,8.38
2024-11-14,7.88
2024-11-15,8.29
2024-11-16,
2024-11-17,
2024-11-18,8.35
2024-11-19,7.91
2024-11-20,7.7
2024-11-21,7.77
2024-11-22,8.32
2024-11-23,
2024-11-24,
2024-11-25,8.06
2024-11-26,8.3
