Date,Close
2020-01-01,
2020-01-02,198.36
2020-01-03,197.55
2020-01-04,
2020-01-05,
2020-01-06,200.03
2020-01-07,197.58
2020-01-08,198.59
2020-01-09,199.47
2020-01-10,197.61
2020-01-11,
2020-01-12,
2020-01-13,195.01
2020-01-14,196.01
2020-01-15,194.87
2020-01-16,197.43
2020-01-17,199.98
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,202.32
2020-01-22,204.6
2020-01-23,203.8
2020-01-24,201.92
2020-01-25,
2020-01-26,
2020-01-27,202.27
2020-01-28,201.9
2020-01-29,198.58
2020-01-30,201.55
2020-01-31,198.6
2020-02-01,
2020-02-02,
2020-02-03,199.48
2020-02-04,203.92
2020-02-05,205.22
2020-02-06,205.7
2020-02-07,202.47
2020-02-08,
2020-02-09,
2020-02-10,204.75
2020-02-11,205.61
2020-02-12,203.67
2020-02-13,204.92
2020-02-14,208.81
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,209.18
2020-02-19,212.17
2020-02-20,211.58
2020-02-21,211.42
2020-02-22,
2020-02-23,
2020-02-24,203.17
2020-02-25,194.46
2020-02-26,190.08
2020-02-27,183.66
2020-02-28,179.64
2020-02-29,
2020-03-01,
2020-03-02,185.89
2020-03-03,177.98
2020-03-04,187.0
2020-03-05,178.71
2020-03-06,175.2
2020-03-07,
2020-03-08,
2020-03-09,162.71
2020-03-10,173.02
2020-03-11,165.53
2020-03-12,145.39
2020-03-13,154.86
2020-03-14,
2020-03-15,
2020-03-16,135.57
2020-03-17,132.11
2020-03-18,131.02
2020-03-19,140.91
2020-03-20,131.37
2020-03-21,
2020-03-22,
2020-03-23,119.23
2020-03-24,135.2
2020-03-25,144.26
2020-03-26,153.95
2020-03-27,150.07
2020-03-28,
2020-03-29,
2020-03-30,154.16
2020-03-31,157.5
2020-04-01,136.85
2020-04-02,141.5
2020-04-03,140.07
2020-04-04,
2020-04-05,
2020-04-06,156.71
2020-04-07,156.83
2020-04-08,166.9
2020-04-09,172.85
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,162.78
2020-04-14,165.91
2020-04-15,163.22
2020-04-16,165.37
2020-04-17,179.27
2020-04-18,
2020-04-19,
2020-04-20,174.74
2020-04-21,169.24
2020-04-22,172.09
2020-04-23,172.62
2020-04-24,177.96
2020-04-25,
2020-04-26,
2020-04-27,181.59
2020-04-28,175.01
2020-04-29,182.27
2020-04-30,176.36
2020-05-01,170.86
2020-05-02,
2020-05-03,
2020-05-04,168.92
2020-05-05,177.78
2020-05-06,175.8
2020-05-07,181.81
2020-05-08,181.7
2020-05-09,
2020-05-10,
2020-05-11,183.18
2020-05-12,178.0
2020-05-13,171.35
2020-05-14,169.69
2020-05-15,170.53
2020-05-16,
2020-05-17,
2020-05-18,181.55
2020-05-19,178.09
2020-05-20,180.66
2020-05-21,175.09
2020-05-22,174.19
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,176.24
2020-05-27,181.27
2020-05-28,184.8
2020-05-29,185.16
2020-05-30,
2020-05-31,
2020-06-01,186.59
2020-06-02,187.67
2020-06-03,189.86
2020-06-04,187.38
2020-06-05,195.85
2020-06-06,
2020-06-07,
2020-06-08,194.87
2020-06-09,189.86
2020-06-10,190.28
2020-06-11,173.62
2020-06-12,177.64
2020-06-13,
2020-06-14,
2020-06-15,178.3
2020-06-16,181.13
2020-06-17,179.32
2020-06-18,179.75
2020-06-19,177.0
2020-06-20,
2020-06-21,
2020-06-22,175.09
2020-06-23,176.71
2020-06-24,166.78
2020-06-25,166.12
2020-06-26,164.37
2020-06-27,
2020-06-28,
2020-06-29,168.49
2020-06-30,171.02
2020-07-01,174.49
2020-07-02,174.58
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,174.54
2020-07-07,171.16
2020-07-08,172.52
2020-07-09,168.72
2020-07-10,168.84
2020-07-11,
2020-07-12,
2020-07-13,168.81
2020-07-14,173.41
2020-07-15,179.02
2020-07-16,177.1
2020-07-17,183.23
2020-07-18,
2020-07-19,
2020-07-20,180.98
2020-07-21,182.71
2020-07-22,184.95
2020-07-23,185.23
2020-07-24,188.71
2020-07-25,
2020-07-26,
2020-07-27,187.3
2020-07-28,184.39
2020-07-29,191.16
2020-07-30,190.01
2020-07-31,183.46
2020-08-01,
2020-08-02,
2020-08-03,181.85
2020-08-04,179.67
2020-08-05,178.4
2020-08-06,178.99
2020-08-07,181.79
2020-08-08,
2020-08-09,
2020-08-10,178.12
2020-08-11,179.31
2020-08-12,180.5
2020-08-13,181.24
2020-08-14,178.79
2020-08-15,
2020-08-16,
2020-08-17,179.41
2020-08-18,179.72
2020-08-19,176.63
2020-08-20,178.3
2020-08-21,179.17
2020-08-22,
2020-08-23,
2020-08-24,179.1
2020-08-25,179.92
2020-08-26,179.39
2020-08-27,186.22
2020-08-28,188.12
2020-08-29,
2020-08-30,
2020-08-31,188.08
2020-09-01,187.95
2020-09-02,191.36
2020-09-03,188.06
2020-09-04,187.56
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,189.9
2020-09-09,194.96
2020-09-10,191.51
2020-09-11,191.74
2020-09-12,
2020-09-13,
2020-09-14,195.05
2020-09-15,199.79
2020-09-16,204.83
2020-09-17,200.8
2020-09-18,195.88
2020-09-19,
2020-09-20,
2020-09-21,192.59
2020-09-22,193.02
2020-09-23,192.1
2020-09-24,188.84
2020-09-25,194.58
2020-09-26,
2020-09-27,
2020-09-28,196.7
2020-09-29,194.86
2020-09-30,198.32
2020-10-01,198.6
2020-10-02,198.25
2020-10-03,
2020-10-04,
2020-10-05,203.73
2020-10-06,200.43
2020-10-07,206.91
2020-10-08,208.52
2020-10-09,212.18
2020-10-10,
2020-10-11,
2020-10-12,214.74
2020-10-13,209.39
2020-10-14,210.55
2020-10-15,211.6
2020-10-16,213.24
2020-10-17,
2020-10-18,
2020-10-19,210.23
2020-10-20,210.15
2020-10-21,210.24
2020-10-22,213.8
2020-10-23,211.19
2020-10-24,
2020-10-25,
2020-10-26,204.38
2020-10-27,203.16
2020-10-28,195.06
2020-10-29,195.48
2020-10-30,192.26
