Date,Close
2020-01-01,
2020-01-02,46.85
2020-01-03,46.62
2020-01-04,
2020-01-05,
2020-01-06,46.68
2020-01-07,46.53
2020-01-08,46.75
2020-01-09,47.05
2020-01-10,46.94
2020-01-11,
2020-01-12,
2020-01-13,47.2
2020-01-14,47.17
2020-01-15,47.33
2020-01-16,47.71
2020-01-17,47.93
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,47.79
2020-01-22,47.8
2020-01-23,47.83
2020-01-24,47.47
2020-01-25,
2020-01-26,
2020-01-27,46.92
2020-01-28,47.28
2020-01-29,47.3
2020-01-30,47.55
2020-01-31,46.66
2020-02-01,
2020-02-02,
2020-02-03,46.97
2020-02-04,47.64
2020-02-05,48.16
2020-02-06,48.15
2020-02-07,47.86
2020-02-08,
2020-02-09,
2020-02-10,48.19
2020-02-11,48.31
2020-02-12,48.52
2020-02-13,48.51
2020-02-14,48.62
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,48.44
2020-02-19,48.58
2020-02-20,48.41
2020-02-21,48.08
2020-02-22,
2020-02-23,
2020-02-24,46.63
2020-02-25,45.32
2020-02-26,45.16
2020-02-27,43.4
2020-02-28,42.86
2020-02-29,
2020-03-01,
2020-03-02,44.7
2020-03-03,43.73
2020-03-04,45.48
2020-03-05,43.97
2020-03-06,43.38
2020-03-07,
2020-03-08,
2020-03-09,40.41
2020-03-10,42.17
2020-03-11,40.26
2020-03-12,36.76
2020-03-13,39.71
2020-03-14,
2020-03-15,
2020-03-16,35.29
2020-03-17,37.32
2020-03-18,35.25
2020-03-19,35.07
2020-03-20,33.84
2020-03-21,
2020-03-22,
2020-03-23,32.48
2020-03-24,35.57
2020-03-25,36.16
2020-03-26,38.39
2020-03-27,37.26
2020-03-28,
2020-03-29,
2020-03-30,38.46
2020-03-31,37.86
2020-04-01,36.24
2020-04-02,37.1
2020-04-03,36.47
2020-04-04,
2020-04-05,
2020-04-06,38.95
2020-04-07,38.82
2020-04-08,40.19
2020-04-09,40.89
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,40.16
2020-04-14,41.24
2020-04-15,40.31
2020-04-16,40.4
2020-04-17,41.56
2020-04-18,
2020-04-19,
2020-04-20,40.65
2020-04-21,39.57
2020-04-22,40.38
2020-04-23,40.2
2020-04-24,40.7
2020-04-25,
2020-04-26,
2020-04-27,41.46
2020-04-28,41.35
2020-04-29,41.99
2020-04-30,41.46
2020-05-01,40.59
2020-05-02,
2020-05-03,
2020-05-04,40.65
2020-05-05,41.09
2020-05-06,40.73
2020-05-07,41.11
2020-05-08,41.69
2020-05-09,
2020-05-10,
2020-05-11,41.69
2020-05-12,41.0
2020-05-13,40.34
2020-05-14,40.78
2020-05-15,40.88
2020-05-16,
2020-05-17,
2020-05-18,42.21
2020-05-19,41.72
2020-05-20,42.15
2020-05-21,41.87
2020-05-22,42.0
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,42.59
2020-05-27,43.33
2020-05-28,43.46
2020-05-29,43.59
2020-05-30,
2020-05-31,
2020-06-01,43.68
2020-06-02,44.08
2020-06-03,44.78
2020-06-04,44.67
2020-06-05,45.73
2020-06-06,
2020-06-07,
2020-06-08,46.08
2020-06-09,45.55
2020-06-10,45.28
2020-06-11,42.78
2020-06-12,43.24
2020-06-13,
2020-06-14,
2020-06-15,43.55
2020-06-16,44.28
2020-06-17,44.19
2020-06-18,44.16
2020-06-19,43.78
2020-06-20,
2020-06-21,
2020-06-22,43.99
2020-06-23,44.16
2020-06-24,43.11
2020-06-25,43.56
2020-06-26,42.75
2020-06-27,
2020-06-28,
2020-06-29,43.31
2020-06-30,43.87
2020-07-01,43.98
2020-07-02,44.22
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,44.75
2020-07-07,44.35
2020-07-08,44.61
2020-07-09,44.29
2020-07-10,44.68
2020-07-11,
2020-07-12,
2020-07-13,44.49
2020-07-14,45.16
2020-07-15,45.64
2020-07-16,45.62
2020-07-17,45.86
2020-07-18,
2020-07-19,
2020-07-20,45.92
2020-07-21,46.16
2020-07-22,46.48
2020-07-23,46.17
2020-07-24,45.92
2020-07-25,
2020-07-26,
2020-07-27,46.09
2020-07-28,45.95
