Date,Close
2024-01-01,
2024-01-02,104.07
2024-01-03,101.07
2024-01-04,100.9
2024-01-05,102.09
2024-01-06,
2024-01-07,
2024-01-08,105.18
2024-01-09,104.54
2024-01-10,104.18
2024-01-11,104.4
2024-01-12,104.11
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,103.4
2024-01-17,102.17
2024-01-18,105.31
2024-01-19,108.0
2024-01-20,
2024-01-21,
2024-01-22,109.36
2024-01-23,110.5
2024-01-24,109.93
2024-01-25,109.22
2024-01-26,104.76
2024-01-27,
2024-01-28,
2024-01-29,105.36
2024-01-30,103.89
2024-01-31,95.95
2024-02-01,94.51
2024-02-02,95.73
2024-02-03,
2024-02-04,
2024-02-05,95.61
2024-02-06,97.1
2024-02-07,96.86
2024-02-08,97.81
2024-02-09,101.63
2024-02-10,
2024-02-11,
2024-02-12,102.22
2024-02-13,98.25
2024-02-14,100.89
2024-02-15,102.0
2024-02-16,101.68
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,99.62
2024-02-21,99.03
2024-02-22,101.92
2024-02-23,99.59
2024-02-24,
2024-02-25,
2024-02-26,101.59
2024-02-27,99.72
2024-02-28,99.8
2024-02-29,103.02
2024-03-01,105.3
2024-03-02,
2024-03-03,
2024-03-04,105.25
2024-03-05,103.19
2024-03-06,106.16
2024-03-07,109.39
2024-03-08,105.54
2024-03-09,
2024-03-10,
2024-03-11,105.77
2024-03-12,107.61
2024-03-13,104.87
2024-03-14,103.28
2024-03-15,102.49
2024-03-16,
2024-03-17,
2024-03-18,102.3
2024-03-19,102.91
2024-03-20,106.52
2024-03-21,110.84
2024-03-22,110.14
2024-03-23,
2024-03-24,
2024-03-25,108.3
2024-03-26,107.55
2024-03-27,110.93
2024-03-28,112.21
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,112.33
2024-04-02,109.54
2024-04-03,108.25
2024-04-04,105.37
2024-04-05,106.68
2024-04-06,
2024-04-07,
2024-04-08,107.23
2024-04-09,110.58
2024-04-10,105.82
2024-04-11,108.86
2024-04-12,105.29
2024-04-13,
2024-04-14,
2024-04-15,103.85
2024-04-16,104.35
2024-04-17,101.51
2024-04-18,99.65
2024-04-19,95.44
2024-04-20,
2024-04-21,
2024-04-22,97.22
2024-04-23,99.3
2024-04-24,100.15
2024-04-25,108.31
2024-04-26,113.5
2024-04-27,
2024-04-28,
2024-04-29,117.64
2024-04-30,115.68
2024-05-01,113.12
2024-05-02,116.75
2024-05-03,119.78
2024-05-04,
2024-05-05,
2024-05-06,121.28
2024-05-07,120.43
2024-05-08,119.77
2024-05-09,121.94
2024-05-10,122.25
2024-05-11,
2024-05-12,
2024-05-13,124.16
2024-05-14,126.41
2024-05-15,131.23
2024-05-16,130.77
2024-05-17,131.19
2024-05-18,
2024-05-19,
2024-05-20,138.74
2024-05-21,139.62
2024-05-22,142.2
2024-05-23,139.6
2024-05-24,143.34
2024-05-25,
