Date,Close
2020-01-01,
2020-01-02,18.87
2020-01-03,18.81
2020-01-04,
2020-01-05,
2020-01-06,18.92
2020-01-07,18.98
2020-01-08,19.12
2020-01-09,19.31
2020-01-10,19.25
2020-01-11,
2020-01-12,
2020-01-13,19.43
2020-01-14,19.37
2020-01-15,19.46
2020-01-16,19.6
2020-01-17,19.7
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,19.79
2020-01-22,19.83
2020-01-23,19.82
2020-01-24,19.74
2020-01-25,
2020-01-26,
2020-01-27,19.51
2020-01-28,19.69
2020-01-29,19.67
2020-01-30,19.66
2020-01-31,19.36
2020-02-01,
2020-02-02,
2020-02-03,19.6
2020-02-04,19.93
2020-02-05,19.91
2020-02-06,20.02
2020-02-07,19.98
2020-02-08,
2020-02-09,
2020-02-10,20.16
2020-02-11,20.08
2020-02-12,20.13
2020-02-13,20.18
2020-02-14,20.24
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,20.21
2020-02-19,20.3
2020-02-20,20.15
2020-02-21,19.92
2020-02-22,
2020-02-23,
2020-02-24,19.38
2020-02-25,18.85
2020-02-26,18.78
2020-02-27,18.18
2020-02-28,18.18
2020-02-29,
2020-03-01,
2020-03-02,18.74
2020-03-03,18.36
2020-03-04,19.02
2020-03-05,18.52
2020-03-06,18.01
2020-03-07,
2020-03-08,
2020-03-09,16.79
2020-03-10,17.52
2020-03-11,16.81
2020-03-12,15.41
2020-03-13,16.46
2020-03-14,
2020-03-15,
2020-03-16,14.68
2020-03-17,15.23
2020-03-18,14.49
2020-03-19,14.66
2020-03-20,14.05
2020-03-21,
2020-03-22,
2020-03-23,13.42
2020-03-24,14.73
2020-03-25,14.86
2020-03-26,15.77
2020-03-27,15.27
2020-03-28,
2020-03-29,
2020-03-30,15.76
2020-03-31,15.58
2020-04-01,14.97
2020-04-02,15.27
2020-04-03,15.04
2020-04-04,
2020-04-05,
2020-04-06,16.01
2020-04-07,16.1
2020-04-08,16.56
2020-04-09,16.71
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,16.39
2020-04-14,16.86
2020-04-15,16.51
2020-04-16,16.67
2020-04-17,17.17
2020-04-18,
2020-04-19,
2020-04-20,17.0
2020-04-21,16.28
2020-04-22,16.74
2020-04-23,16.72
2020-04-24,16.86
2020-04-25,
2020-04-26,
2020-04-27,17.15
2020-04-28,17.04
2020-04-29,17.4
2020-04-30,17.19
2020-05-01,16.82
2020-05-02,
2020-05-03,
2020-05-04,16.92
2020-05-05,17.24
2020-05-06,17.24
2020-05-07,17.52
2020-05-08,17.65
2020-05-09,
2020-05-10,
2020-05-11,17.67
2020-05-12,17.37
2020-05-13,17.14
2020-05-14,17.22
2020-05-15,17.36
2020-05-16,
2020-05-17,
2020-05-18,17.72
2020-05-19,17.64
2020-05-20,17.94
2020-05-21,17.75
2020-05-22,17.9
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,18.1
2020-05-27,18.03
2020-05-28,18.21
2020-05-29,18.41
2020-05-30,
2020-05-31,
2020-06-01,18.46
2020-06-02,18.65
2020-06-03,18.94
2020-06-04,18.72
2020-06-05,19.15
2020-06-06,
2020-06-07,
2020-06-08,19.12
2020-06-09,18.94
2020-06-10,19.07
2020-06-11,18.13
2020-06-12,18.29
2020-06-13,
2020-06-14,
2020-06-15,18.4
2020-06-16,18.71
2020-06-17,18.74
2020-06-18,18.77
2020-06-19,18.64
2020-06-20,
2020-06-21,
2020-06-22,18.81
2020-06-23,18.9
2020-06-24,18.45
2020-06-25,18.71
2020-06-26,18.45
2020-06-27,
2020-06-28,
2020-06-29,18.6
2020-06-30,18.93
2020-07-01,19.01
2020-07-02,19.16
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,19.42
2020-07-07,19.25
2020-07-08,19.52
2020-07-09,19.54
2020-07-10,19.49
2020-07-11,
2020-07-12,
2020-07-13,19.2
2020-07-14,19.39
2020-07-15,19.67
2020-07-16,19.53
2020-07-17,19.81
2020-07-18,
2020-07-19,
2020-07-20,19.99
2020-07-21,19.88
2020-07-22,20.05
2020-07-23,19.95
2020-07-24,19.75
2020-07-25,
2020-07-26,
