Date,Close
2020-01-01,
2020-01-02,58.2
2020-01-03,57.65
2020-01-04,
2020-01-05,
2020-01-06,58.13
2020-01-07,58.03
2020-01-08,58.53
2020-01-09,58.81
2020-01-10,58.83
2020-01-11,
2020-01-12,
2020-01-13,58.21
2020-01-14,58.77
2020-01-15,59.17
2020-01-16,59.59
2020-01-17,59.58
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,59.42
2020-01-22,59.48
2020-01-23,59.18
2020-01-24,58.07
2020-01-25,
2020-01-26,
2020-01-27,57.42
2020-01-28,58.15
2020-01-29,58.1
2020-01-30,57.57
2020-01-31,56.68
2020-02-01,
2020-02-02,
2020-02-03,57.36
2020-02-04,58.54
2020-02-05,59.62
2020-02-06,59.51
2020-02-07,58.99
2020-02-08,
2020-02-09,
2020-02-10,59.59
2020-02-11,59.94
2020-02-12,60.32
2020-02-13,60.17
2020-02-14,60.27
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,60.39
2020-02-19,60.8
2020-02-20,60.44
2020-02-21,60.29
2020-02-22,
2020-02-23,
2020-02-24,57.88
2020-02-25,56.09
2020-02-26,55.96
2020-02-27,54.21
2020-02-28,54.21
2020-02-29,
2020-03-01,
2020-03-02,56.32
2020-03-03,55.07
2020-03-04,58.09
2020-03-05,56.73
2020-03-06,55.83
2020-03-07,
2020-03-08,
2020-03-09,52.59
2020-03-10,54.37
2020-03-11,51.9
2020-03-12,47.37
2020-03-13,50.36
2020-03-14,
2020-03-15,
2020-03-16,44.65
2020-03-17,46.93
2020-03-18,45.05
2020-03-19,45.85
2020-03-20,44.49
2020-03-21,
2020-03-22,
2020-03-23,43.19
2020-03-24,46.37
2020-03-25,47.08
2020-03-26,49.9
2020-03-27,48.74
2020-03-28,
2020-03-29,
2020-03-30,50.64
2020-03-31,50.43
2020-04-01,48.35
2020-04-02,49.6
2020-04-03,48.79
2020-04-04,
2020-04-05,
2020-04-06,51.78
2020-04-07,51.15
2020-04-08,53.23
2020-04-09,53.67
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,53.43
2020-04-14,55.16
2020-04-15,54.75
2020-04-16,56.12
2020-04-17,57.38
2020-04-18,
2020-04-19,
2020-04-20,57.57
2020-04-21,55.96
2020-04-22,56.95
2020-04-23,57.11
2020-04-24,58.29
2020-04-25,
2020-04-26,
2020-04-27,59.0
2020-04-28,57.6
2020-04-29,58.03
2020-04-30,57.45
2020-05-01,56.35
2020-05-02,
2020-05-03,
2020-05-04,57.18
2020-05-05,58.41
2020-05-06,58.23
2020-05-07,58.54
2020-05-08,58.81
2020-05-09,
2020-05-10,
2020-05-11,60.37
2020-05-12,59.55
2020-05-13,58.79
2020-05-14,59.14
2020-05-15,60.22
2020-05-16,
2020-05-17,
2020-05-18,60.82
2020-05-19,60.02
2020-05-20,60.52
2020-05-21,60.15
2020-05-22,60.57
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,60.16
2020-05-27,60.45
2020-05-28,60.92
2020-05-29,61.82
2020-05-30,
2020-05-31,
2020-06-01,61.66
2020-06-02,61.88
2020-06-03,61.45
2020-06-04,60.56
2020-06-05,61.09
2020-06-06,
2020-06-07,
2020-06-08,61.67
2020-06-09,61.32
2020-06-10,61.5
2020-06-11,58.51
2020-06-12,59.09
2020-06-13,
2020-06-14,
2020-06-15,59.97
2020-06-16,61.23
2020-06-17,61.43
2020-06-18,61.62
2020-06-19,62.6
2020-06-20,
2020-06-21,
2020-06-22,62.83
2020-06-23,63.26
2020-06-24,61.53
2020-06-25,62.28
2020-06-26,61.19
2020-06-27,
2020-06-28,
2020-06-29,61.27
2020-06-30,62.29
2020-07-01,62.7
2020-07-02,63.17
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,63.78
2020-07-07,63.63
2020-07-08,64.07
2020-07-09,63.73
2020-07-10,63.35
2020-07-11,
2020-07-12,
2020-07-13,62.54
2020-07-14,63.86
2020-07-15,64.98
2020-07-16,64.51
2020-07-17,65.73
2020-07-18,
2020-07-19,
2020-07-20,66.25
2020-07-21,65.51
2020-07-22,65.74
2020-07-23,65.12
2020-07-24,64.21
2020-07-25,
2020-07-26,
2020-07-27,65.11
2020-07-28,64.46
2020-07-29,64.92
2020-07-30,64.99
2020-07-31,64.34
2020-08-01,
2020-08-02,
2020-08-03,65.59
2020-08-04,65.29
2020-08-05,65.55
2020-08-06,65.13
2020-08-07,65.07
2020-08-08,
2020-08-09,
2020-08-10,64.36
2020-08-11,63.6
2020-08-12,64.63
2020-08-13,64.94
2020-08-14,64.66
2020-08-15,
2020-08-16,
2020-08-17,65.59
2020-08-18,65.39
2020-08-19,65.18
2020-08-20,65.09
2020-08-21,64.98
2020-08-22,
2020-08-23,
2020-08-24,64.33
2020-08-25,64.98
2020-08-26,64.71
2020-08-27,64.53
2020-08-28,64.68
2020-08-29,
2020-08-30,
2020-08-31,65.5
2020-09-01,65.06
2020-09-02,66.14
2020-09-03,63.96
2020-09-04,63.4
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,62.47
2020-09-09,63.67
2020-09-10,62.8
2020-09-11,63.08
2020-09-12,
2020-09-13,
2020-09-14,65.09
2020-09-15,65.69
2020-09-16,65.87
2020-09-17,65.89
2020-09-18,66.16
2020-09-19,
2020-09-20,
2020-09-21,64.78
2020-09-22,64.98
2020-09-23,64.21
2020-09-24,63.72
2020-09-25,65.04
2020-09-26,
2020-09-27,
2020-09-28,65.53
2020-09-29,65.79
2020-09-30,66.57
2020-10-01,66.79
2020-10-02,65.96
2020-10-03,
2020-10-04,
2020-10-05,68.25
2020-10-06,67.57
2020-10-07,69.13
2020-10-08,69.39
2020-10-09,70.16
2020-10-10,
2020-10-11,
2020-10-12,70.51
2020-10-13,70.61
2020-10-14,69.78
2020-10-15,69.15
2020-10-16,69.61
2020-10-17,
2020-10-18,
2020-10-19,68.68
2020-10-20,68.4
2020-10-21,67.72
2020-10-22,68.68
2020-10-23,69.01
2020-10-24,
2020-10-25,
2020-10-26,68.38
2020-10-27,68.7
2020-10-28,66.75
2020-10-29,66.56
2020-10-30,65.85
2020-10-31,
2020-11-01,
2020-11-02,66.38
2020-11-03,67.77
2020-11-04,71.21
2020-11-05,72.0
2020-11-06,71.46
2020-11-07,
2020-11-08,
2020-11-09,71.01
2020-11-10,70.93
2020-11-11,71.59
2020-11-12,71.56
2020-11-13,72.24
2020-11-14,
2020-11-15,
2020-11-16,72.06
2020-11-17,71.76
2020-11-18,70.44
2020-11-19,70.61
2020-11-20,70.85
2020-11-21,
2020-11-22,
2020-11-23,70.81
2020-11-24,70.58
2020-11-25,70.61
2020-11-26,
2020-11-27,71.96
2020-11-28,
2020-11-29,
2020-11-30,72.46
2020-12-01,72.6
2020-12-02,72.63
2020-12-03,72.83
2020-12-04,74.07
2020-12-05,
2020-12-06,
2020-12-07,74.11
2020-12-08,74.8
2020-12-09,74.05
2020-12-10,74.88
2020-12-11,74.73
2020-12-12,
2020-12-13,
2020-12-14,74.98
2020-12-15,75.59
2020-12-16,75.34
2020-12-17,76.4
2020-12-18,76.44
2020-12-19,
2020-12-20,
2020-12-21,76.37
2020-12-22,76.99
2020-12-23,77.11
2020-12-24,76.83
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,76.39
2020-12-29,75.7
2020-12-30,75.93
2020-12-31,75.9
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,75.24
2021-01-05,75.45
2021-01-06,76.51
2021-01-07,78.47
2021-01-08,79.2
2021-01-09,
2021-01-10,
2021-01-11,79.49
2021-01-12,79.3
2021-01-13,79.57
2021-01-14,80.13
2021-01-15,80.0
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,81.05
2021-01-20,81.35
2021-01-21,80.82
2021-01-22,80.92
2021-01-23,
2021-01-24,
2021-01-25,81.52
2021-01-26,79.78
2021-01-27,76.92
2021-01-28,77.92
2021-01-29,77.68
2021-01-30,
2021-01-31,
2021-02-01,78.32
2021-02-02,79.4
2021-02-03,79.2
2021-02-04,79.7
2021-02-05,80.52
2021-02-06,
2021-02-07,
2021-02-08,81.35
2021-02-09,81.28
2021-02-10,81.14
2021-02-11,81.42
2021-02-12,81.84
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,80.69
2021-02-17,80.45
2021-02-18,79.46
2021-02-19,79.47
2021-02-20,
2021-02-21,
2021-02-22,78.09
2021-02-23,77.46
2021-02-24,77.98
2021-02-25,76.24
2021-02-26,76.28
2021-02-27,
2021-02-28,
2021-03-01,77.73
2021-03-02,76.82
2021-03-03,74.52
2021-03-04,72.81
2021-03-05,74.05
2021-03-06,
2021-03-07,
2021-03-08,72.93
2021-03-09,74.63
2021-03-10,74.56
2021-03-11,76.32
2021-03-12,76.28
2021-03-13,
2021-03-14,
2021-03-15,76.86
2021-03-16,76.51
2021-03-17,76.39
2021-03-18,75.06
2021-03-19,76.17
2021-03-20,
2021-03-21,
2021-03-22,76.94
2021-03-23,75.19
2021-03-24,73.72
2021-03-25,74.15
2021-03-26,74.71
2021-03-27,
2021-03-28,
2021-03-29,74.17
2021-03-30,74.35
2021-03-31,75.7
2021-04-01,76.02
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,76.68
2021-04-06,76.23
2021-04-07,75.33
2021-04-08,75.72
2021-04-09,76.13
2021-04-10,
2021-04-11,
2021-04-12,75.28
2021-04-13,76.47
2021-04-14,76.8
2021-04-15,78.08
2021-04-16,78.18
2021-04-17,
2021-04-18,
2021-04-19,77.71
2021-04-20,77.68
2021-04-21,79.13
2021-04-22,79.18
2021-04-23,79.82
2021-04-24,
2021-04-25,
2021-04-26,80.65
2021-04-27,80.22
2021-04-28,80.08
2021-04-29,79.62
2021-04-30,79.45
2021-05-01,
2021-05-02,
2021-05-03,79.47
2021-05-04,77.88
2021-05-05,77.55
2021-05-06,77.18
2021-05-07,77.92
2021-05-08,
2021-05-09,
2021-05-10,76.75
2021-05-11,76.73
2021-05-12,75.56
2021-05-13,75.66
2021-05-14,76.74
2021-05-15,
2021-05-16,
2021-05-17,76.71
2021-05-18,76.86
2021-05-19,76.46
2021-05-20,77.81
2021-05-21,77.64
2021-05-22,
2021-05-23,
2021-05-24,77.73
2021-05-25,77.78
2021-05-26,77.98
2021-05-27,78.44
2021-05-28,78.74
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,77.92
2021-06-02,77.67
2021-06-03,77.58
2021-06-04,78.26
2021-06-05,
2021-06-06,
2021-06-07,79.44
2021-06-08,79.53
