Date,Close
2020-01-01,
2020-01-02,22.03
2020-01-03,21.84
2020-01-04,
2020-01-05,
2020-01-06,21.79
2020-01-07,21.82
2020-01-08,21.98
2020-01-09,22.13
2020-01-10,22.18
2020-01-11,
2020-01-12,
2020-01-13,22.28
2020-01-14,22.29
2020-01-15,22.23
2020-01-16,22.4
2020-01-17,22.55
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,22.23
2020-01-22,22.38
2020-01-23,22.15
2020-01-24,21.97
2020-01-25,
2020-01-26,
2020-01-27,21.52
2020-01-28,21.69
2020-01-29,21.69
2020-01-30,21.41
2020-01-31,21.1
2020-02-01,
2020-02-02,
2020-02-03,21.28
2020-02-04,21.69
2020-02-05,21.96
2020-02-06,22.24
2020-02-07,22.12
2020-02-08,
2020-02-09,
2020-02-10,22.08
2020-02-11,22.44
2020-02-12,22.59
2020-02-13,22.55
2020-02-14,22.53
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,22.47
2020-02-19,22.6
2020-02-20,22.46
2020-02-21,22.21
2020-02-22,
2020-02-23,
2020-02-24,21.28
2020-02-25,20.89
2020-02-26,20.89
2020-02-27,20.26
2020-02-28,20.29
2020-02-29,
2020-03-01,
2020-03-02,20.56
2020-03-03,20.12
2020-03-04,20.78
2020-03-05,20.12
2020-03-06,19.68
2020-03-07,
2020-03-08,
2020-03-09,18.07
2020-03-10,18.86
2020-03-11,17.93
2020-03-12,16.11
2020-03-13,17.39
2020-03-14,
2020-03-15,
2020-03-16,15.35
2020-03-17,15.89
2020-03-18,15.04
2020-03-19,15.09
2020-03-20,15.2
2020-03-21,
2020-03-22,
2020-03-23,14.69
2020-03-24,15.91
2020-03-25,16.29
2020-03-26,16.96
2020-03-27,16.36
2020-03-28,
2020-03-29,
2020-03-30,16.45
2020-03-31,16.48
2020-04-01,15.96
2020-04-02,16.18
2020-04-03,15.84
2020-04-04,
2020-04-05,
2020-04-06,16.8
2020-04-07,16.94
2020-04-08,17.31
2020-04-09,17.4
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,17.32
2020-04-14,17.71
2020-04-15,17.18
2020-04-16,17.2
2020-04-17,17.78
2020-04-18,
2020-04-19,
2020-04-20,17.62
2020-04-21,17.17
2020-04-22,17.57
2020-04-23,17.66
2020-04-24,17.85
2020-04-25,
2020-04-26,
2020-04-27,18.05
2020-04-28,18.08
2020-04-29,18.72
2020-04-30,18.52
2020-05-01,18.16
2020-05-02,
2020-05-03,
2020-05-04,17.91
2020-05-05,18.15
2020-05-06,18.1
2020-05-07,18.4
2020-05-08,18.74
2020-05-09,
2020-05-10,
2020-05-11,18.59
2020-05-12,18.21
2020-05-13,17.95
2020-05-14,17.98
2020-05-15,18.02
2020-05-16,
2020-05-17,
2020-05-18,18.65
2020-05-19,18.59
2020-05-20,18.91
2020-05-21,18.83
2020-05-22,18.62
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,19.19
2020-05-27,19.45
2020-05-28,19.31
2020-05-29,19.41
2020-05-30,
2020-05-31,
2020-06-01,19.7
2020-06-02,19.99
2020-06-03,20.43
2020-06-04,20.56
2020-06-05,20.89
2020-06-06,
2020-06-07,
2020-06-08,21.05
2020-06-09,20.93
2020-06-10,20.78
2020-06-11,19.62
2020-06-12,20.09
2020-06-13,
2020-06-14,
2020-06-15,20.21
2020-06-16,20.43
2020-06-17,20.39
2020-06-18,20.38
2020-06-19,20.4
2020-06-20,
2020-06-21,
2020-06-22,20.51
2020-06-23,20.68
2020-06-24,20.24
2020-06-25,20.36
2020-06-26,19.86
2020-06-27,
2020-06-28,
2020-06-29,19.94
2020-06-30,20.05
2020-07-01,20.15
2020-07-02,20.45
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,20.95
2020-07-07,20.69
2020-07-08,20.89
2020-07-09,20.76
2020-07-10,20.93
2020-07-11,
2020-07-12,
2020-07-13,20.74
2020-07-14,20.91
2020-07-15,21.25
2020-07-16,21.1
2020-07-17,21.22
2020-07-18,
2020-07-19,
2020-07-20,21.31
2020-07-21,21.58
2020-07-22,21.53
2020-07-23,21.47
2020-07-24,21.39
2020-07-25,
2020-07-26,
2020-07-27,21.54
2020-07-28,21.57
2020-07-29,21.69
2020-07-30,21.73
2020-07-31,21.61
2020-08-01,
2020-08-02,
2020-08-03,21.77
2020-08-04,21.9
2020-08-05,22.16
2020-08-06,22.25
2020-08-07,22.23
2020-08-08,
2020-08-09,
2020-08-10,22.32
2020-08-11,22.45
2020-08-12,22.67
2020-08-13,22.71
2020-08-14,22.72
2020-08-15,
2020-08-16,
2020-08-17,22.81
2020-08-18,22.86
2020-08-19,22.71
2020-08-20,22.48
2020-08-21,22.52
2020-08-22,
2020-08-23,
2020-08-24,22.87
2020-08-25,22.97
2020-08-26,23.24
2020-08-27,23.04
2020-08-28,23.16
2020-08-29,
2020-08-30,
2020-08-31,22.92
2020-09-01,23.02
2020-09-02,23.39
2020-09-03,22.95
2020-09-04,22.7
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,22.29
2020-09-09,22.62
2020-09-10,22.44
2020-09-11,22.57
2020-09-12,
2020-09-13,
2020-09-14,22.72
2020-09-15,22.86
2020-09-16,22.92
2020-09-17,22.75
2020-09-18,22.62
2020-09-19,
2020-09-20,
2020-09-21,22.13
2020-09-22,22.05
2020-09-23,21.69
2020-09-24,21.66
2020-09-25,21.79
2020-09-26,
2020-09-27,
2020-09-28,22.11
2020-09-29,22.08
2020-09-30,22.3
2020-10-01,22.5
2020-10-02,22.45
2020-10-03,
2020-10-04,
2020-10-05,22.77
2020-10-06,22.62
2020-10-07,22.94
2020-10-08,23.1
2020-10-09,23.14
2020-10-10,
2020-10-11,
2020-10-12,23.4
2020-10-13,23.3
2020-10-14,23.18
2020-10-15,22.94
2020-10-16,22.96
2020-10-17,
2020-10-18,
2020-10-19,22.77
2020-10-20,22.87
2020-10-21,22.89
2020-10-22,22.92
2020-10-23,23.11
2020-10-24,
2020-10-25,
2020-10-26,22.72
2020-10-27,22.65
2020-10-28,22.03
2020-10-29,22.26
2020-10-30,22.21
2020-10-31,
2020-11-01,
2020-11-02,22.35
2020-11-03,22.62
2020-11-04,22.97
2020-11-05,23.53
2020-11-06,23.72
2020-11-07,
2020-11-08,
2020-11-09,24.24
2020-11-10,24.12
2020-11-11,24.4
2020-11-12,24.23
2020-11-13,24.42
2020-11-14,
2020-11-15,
2020-11-16,24.71
2020-11-17,24.69
2020-11-18,24.54
2020-11-19,24.64
2020-11-20,24.67
2020-11-21,
2020-11-22,
2020-11-23,24.95
2020-11-24,25.39
2020-11-25,25.24
2020-11-26,
2020-11-27,25.41
2020-11-28,
2020-11-29,
2020-11-30,25.16
2020-12-01,25.58
2020-12-02,25.74
2020-12-03,25.78
2020-12-04,26.07
2020-12-05,
2020-12-06,
2020-12-07,26.01
2020-12-08,26.04
2020-12-09,26.03
2020-12-10,25.89
2020-12-11,25.67
2020-12-12,
2020-12-13,
2020-12-14,25.63
2020-12-15,25.77
2020-12-16,25.99
2020-12-17,26.12
2020-12-18,26.15
2020-12-19,
2020-12-20,
2020-12-21,26.05
2020-12-22,25.95
2020-12-23,26.2
2020-12-24,26.29
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,26.55
2020-12-29,26.53
2020-12-30,26.7
2020-12-31,26.77
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,26.65
2021-01-05,27.01
2021-01-06,27.41
2021-01-07,27.73
2021-01-08,27.98
2021-01-09,
2021-01-10,
2021-01-11,27.84
2021-01-12,27.87
2021-01-13,27.91
2021-01-14,28.06
2021-01-15,27.83
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,28.2
2021-01-20,28.38
2021-01-21,28.43
2021-01-22,28.13
2021-01-23,
2021-01-24,
2021-01-25,27.94
2021-01-26,27.69
2021-01-27,27.01
2021-01-28,27.22
2021-01-29,26.72
2021-01-30,
2021-01-31,
2021-02-01,27.19
2021-02-02,27.53
2021-02-03,27.64
2021-02-04,27.72
2021-02-05,27.83
2021-02-06,
2021-02-07,
2021-02-08,27.95
2021-02-09,27.91
2021-02-10,27.91
2021-02-11,28.11
2021-02-12,28.18
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,28.59
2021-02-17,28.54
2021-02-18,28.28
2021-02-19,28.51
2021-02-20,
2021-02-21,
2021-02-22,28.43
2021-02-23,28.51
2021-02-24,28.72
2021-02-25,28.26
2021-02-26,27.91
2021-02-27,
2021-02-28,
2021-03-01,28.54
2021-03-02,28.32
2021-03-03,28.39
2021-03-04,27.99
2021-03-05,28.38
2021-03-06,
2021-03-07,
2021-03-08,28.16
2021-03-09,28.45
2021-03-10,28.57
2021-03-11,29.03
2021-03-12,28.97
2021-03-13,
2021-03-14,
2021-03-15,28.96
2021-03-16,28.93
2021-03-17,28.95
2021-03-18,28.62
2021-03-19,28.74
2021-03-20,
2021-03-21,
2021-03-22,28.74
2021-03-23,28.41
2021-03-24,28.01
2021-03-25,28.1
2021-03-26,28.44
2021-03-27,
2021-03-28,
2021-03-29,28.42
2021-03-30,28.54
2021-03-31,28.57
2021-04-01,28.97
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,29.26
2021-04-06,29.31
2021-04-07,29.31
2021-04-08,29.36
2021-04-09,29.32
2021-04-10,
2021-04-11,
2021-04-12,29.22
2021-04-13,29.17
2021-04-14,29.3
2021-04-15,29.47
2021-04-16,29.57
2021-04-17,
2021-04-18,
2021-04-19,29.49
2021-04-20,29.13
2021-04-21,29.25
2021-04-22,29.21
2021-04-23,29.52
2021-04-24,
2021-04-25,
2021-04-26,29.77
2021-04-27,29.9
2021-04-28,30.05
2021-04-29,30.27
2021-04-30,29.92
2021-05-01,
2021-05-02,
2021-05-03,29.91
2021-05-04,29.63
2021-05-05,30.0
2021-05-06,30.21
2021-05-07,30.47
2021-05-08,
2021-05-09,
2021-05-10,30.09
2021-05-11,29.85
2021-05-12,29.32
2021-05-13,29.42
2021-05-14,29.9
2021-05-15,
2021-05-16,
2021-05-17,29.89
2021-05-18,29.91
2021-05-19,29.68
2021-05-20,29.79
2021-05-21,29.77
2021-05-22,
2021-05-23,
2021-05-24,29.93
2021-05-25,29.86
2021-05-26,29.91
2021-05-27,30.07
2021-05-28,30.24
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,30.55
2021-06-02,30.51
2021-06-03,30.4
2021-06-04,30.52
2021-06-05,
2021-06-06,
2021-06-07,30.56
2021-06-08,30.49
2021-06-09,30.3
2021-06-10,30.33
2021-06-11,30.42
2021-06-12,
2021-06-13,
2021-06-14,30.42
2021-06-15,30.4
2021-06-16,30.2
2021-06-17,29.88
2021-06-18,29.41
2021-06-19,
2021-06-20,
2021-06-21,29.71
2021-06-22,29.76
2021-06-23,29.76
2021-06-24,30.07
2021-06-25,30.29
2021-06-26,
2021-06-27,
2021-06-28,30.24
2021-06-29,30.17
2021-06-30,30.21
2021-07-01,30.29
2021-07-02,30.32
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,30.21
2021-07-07,30.11
2021-07-08,29.69
2021-07-09,30.11
2021-07-10,
2021-07-11,
2021-07-12,30.36
2021-07-13,30.4
2021-07-14,30.35
2021-07-15,30.2
2021-07-16,29.89
2021-07-17,
2021-07-18,
2021-07-19,29.44
2021-07-20,29.62
2021-07-21,30.02
2021-07-22,30.11
2021-07-23,30.14
2021-07-24,
2021-07-25,
2021-07-26,30.09
2021-07-27,29.82
2021-07-28,30.13
2021-07-29,30.3
2021-07-30,30.08
2021-07-31,
2021-08-01,
2021-08-02,30.1
2021-08-03,30.19
2021-08-04,30.16
2021-08-05,30.24
2021-08-06,30.31
2021-08-07,
2021-08-08,
2021-08-09,30.3
2021-08-10,30.4
2021-08-11,30.56
2021-08-12,30.51
2021-08-13,30.57
2021-08-14,
2021-08-15,
2021-08-16,30.38
2021-08-17,30.05
2021-08-18,29.98
2021-08-19,29.5
2021-08-20,29.51
2021-08-21,
2021-08-22,
2021-08-23,29.85
2021-08-24,30.24
2021-08-25,30.44
2021-08-26,30.26
2021-08-27,30.46
2021-08-28,
2021-08-29,
2021-08-30,30.43
2021-08-31,30.54
2021-09-01,30.43
2021-09-02,30.42
2021-09-03,30.46
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,30.39
2021-09-08,30.07
2021-09-09,29.97
2021-09-10,29.92
2021-09-11,
2021-09-12,
2021-09-13,30.06
2021-09-14,29.86
2021-09-15,29.95
2021-09-16,29.99
2021-09-17,29.74
2021-09-18,
2021-09-19,
2021-09-20,29.24
2021-09-21,29.34
2021-09-22,29.6
2021-09-23,30.11
2021-09-24,30.1
2021-09-25,
2021-09-26,
2021-09-27,30.37
2021-09-28,29.98
2021-09-29,29.79
2021-09-30,29.56
2021-10-01,29.73
2021-10-02,
2021-10-03,
2021-10-04,29.56
2021-10-05,29.79
2021-10-06,29.66
2021-10-07,29.82
2021-10-08,30.02
2021-10-09,
2021-10-10,
2021-10-11,29.98
2021-10-12,29.91
2021-10-13,29.95
2021-10-14,30.22
2021-10-15,30.5
2021-10-16,
2021-10-17,
2021-10-18,30.45
2021-10-19,30.68
2021-10-20,30.8
2021-10-21,30.55
2021-10-22,30.44
2021-10-23,
2021-10-24,
2021-10-25,30.52
2021-10-26,30.45
2021-10-27,30.15
2021-10-28,30.3
2021-10-29,30.22
2021-10-30,
2021-10-31,
2021-11-01,30.3
2021-11-02,30.17
2021-11-03,30.17
2021-11-04,30.03
2021-11-05,30.07
2021-11-06,
2021-11-07,
2021-11-08,30.33
2021-11-09,30.27
2021-11-10,30.21
2021-11-11,30.38
2021-11-12,30.61
2021-11-13,
2021-11-14,
2021-11-15,30.62
2021-11-16,30.51
2021-11-17,30.41
2021-11-18,30.32
2021-11-19,30.07
2021-11-20,
2021-11-21,
2021-11-22,30.06
2021-11-23,30.18
2021-11-24,30.14
2021-11-25,
2021-11-26,29.42
2021-11-27,
2021-11-28,
2021-11-29,29.57
2021-11-30,29.18
2021-12-01,28.96
2021-12-02,29.42
2021-12-03,29.18
2021-12-04,
2021-12-05,
2021-12-06,29.4
2021-12-07,29.93
2021-12-08,30.07
2021-12-09,30.0
2021-12-10,29.99
2021-12-11,
2021-12-12,
2021-12-13,29.75
2021-12-14,29.72
2021-12-15,29.92
2021-12-16,30.02
2021-12-17,29.72
2021-12-18,
2021-12-19,
2021-12-20,29.25
2021-12-21,29.91
2021-12-22,30.17
2021-12-23,30.45
2021-12-24,
2021-12-25,
2021-12-26,
2021-12-27,30.65
2021-12-28,30.62
2021-12-29,30.66
2021-12-30,30.65
2021-12-31,30.56
2022-01-01,
2022-01-02,
2022-01-03,30.73
2022-01-04,31.14
2022-01-05,30.76
2022-01-06,30.81
2022-01-07,31.01
2022-01-08,
2022-01-09,
2022-01-10,31.0
2022-01-11,31.33
2022-01-12,31.71
2022-01-13,31.51
2022-01-14,31.63
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,31.31
2022-01-19,31.12
2022-01-20,30.83
2022-01-21,30.28
2022-01-22,
2022-01-23,
2022-01-24,30.17
2022-01-25,29.95
2022-01-26,29.97
2022-01-27,29.71
2022-01-28,29.97
2022-01-29,
2022-01-30,
2022-01-31,30.4
2022-02-01,30.71
2022-02-02,30.97
2022-02-03,30.25
2022-02-04,30.41
2022-02-05,
2022-02-06,
2022-02-07,30.42
2022-02-08,30.57
2022-02-09,31.04
2022-02-10,30.78
2022-02-11,30.44
2022-02-12,
2022-02-13,
2022-02-14,30.18
2022-02-15,30.55
2022-02-16,30.65
2022-02-17,30.24
2022-02-18,29.99
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,29.54
2022-02-23,29.17
2022-02-24,29.06
2022-02-25,29.5
2022-02-26,
2022-02-27,
2022-02-28,29.53
2022-03-01,28.99
