Date,Close
2024-01-01,
2024-01-02,32.43
2024-01-03,31.46
2024-01-04,30.87
2024-01-05,30.31
2024-01-06,
2024-01-07,
2024-01-08,30.95
2024-01-09,30.65
2024-01-10,30.92
2024-01-11,30.88
2024-01-12,31.08
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,31.22
2024-01-17,31.06
2024-01-18,30.94
2024-01-19,31.07
2024-01-20,
2024-01-21,
2024-01-22,31.7
2024-01-23,31.6
2024-01-24,31.08
2024-01-25,31.91
2024-01-26,32.34
2024-01-27,
2024-01-28,
2024-01-29,33.96
2024-01-30,33.57
2024-01-31,32.78
2024-02-01,26.92
2024-02-02,24.61
2024-02-03,
2024-02-04,
2024-02-05,25.04
2024-02-06,25.6
2024-02-07,26.17
2024-02-08,26.9
2024-02-09,27.35
2024-02-10,
2024-02-11,
2024-02-12,27.88
2024-02-13,26.52
2024-02-14,27.14
2024-02-15,28.17
2024-02-16,27.54
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,27.15
2024-02-21,27.08
2024-02-22,27.36
2024-02-23,28.1
2024-02-24,
2024-02-25,
2024-02-26,27.74
2024-02-27,27.42
2024-02-28,26.99
2024-02-29,27.29
2024-03-01,27.49
2024-03-02,
2024-03-03,
2024-03-04,27.58
2024-03-05,26.88
2024-03-06,27.54
2024-03-07,27.19
2024-03-08,27.75
2024-03-09,
2024-03-10,
2024-03-11,28.34
2024-03-12,28.85
2024-03-13,28.96
2024-03-14,28.79
2024-03-15,30.43
2024-03-16,
2024-03-17,
2024-03-18,29.78
2024-03-19,30.08
2024-03-20,30.65
2024-03-21,31.39
2024-03-22,30.84
2024-03-23,
2024-03-24,
2024-03-25,31.48
2024-03-26,31.57
2024-03-27,31.87
2024-03-28,32.72
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,32.88
2024-04-02,32.99
2024-04-03,33.4
2024-04-04,32.77
2024-04-05,32.68
2024-04-06,
2024-04-07,
2024-04-08,32.83
2024-04-09,32.26
2024-04-10,31.43
2024-04-11,31.57
2024-04-12,30.93
2024-04-13,
2024-04-14,
2024-04-15,30.42
2024-04-16,30.29
2024-04-17,29.78
2024-04-18,29.65
2024-04-19,29.74
2024-04-20,
2024-04-21,
2024-04-22,30.03
2024-04-23,31.14
2024-04-24,31.04
2024-04-25,31.59
2024-04-26,31.83
2024-04-27,
2024-04-28,
2024-04-29,32.43
2024-04-30,31.93
2024-05-01,32.18
2024-05-02,32.84
2024-05-03,32.74
2024-05-04,
2024-05-05,
2024-05-06,33.12
2024-05-07,33.48
2024-05-08,33.66
2024-05-09,34.54
2024-05-10,34.36
2024-05-11,
2024-05-12,
2024-05-13,34.18
2024-05-14,34.15
2024-05-15,34.26
2024-05-16,34.55
2024-05-17,34.99
2024-05-18,
2024-05-19,
2024-05-20,34.83
2024-05-21,35.31
2024-05-22,35.54
2024-05-23,34.7
2024-05-24,35.68
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,34.88
2024-05-29,33.69
2024-05-30,34.84
2024-05-31,33.76
2024-06-01,
2024-06-02,
2024-06-03,32.2
2024-06-04,31.22
2024-06-05,30.61
2024-06-06,30.5
2024-06-07,30.15
2024-06-08,
2024-06-09,
2024-06-10,30.62
2024-06-11,30.1
2024-06-12,30.86
2024-06-13,30.59
2024-06-14,29.0
2024-06-15,
2024-06-16,
2024-06-17,29.18
2024-06-18,28.85
2024-06-19,
2024-06-20,29.14
2024-06-21,28.85
2024-06-22,
2024-06-23,
2024-06-24,29.59
2024-06-25,29.91
2024-06-26,30.07
2024-06-27,30.36
2024-06-28,30.76
2024-06-29,
2024-06-30,
2024-07-01,29.74
2024-07-02,30.03
2024-07-03,30.07
2024-07-04,
2024-07-05,29.24
2024-07-06,
2024-07-07,
2024-07-08,29.2
2024-07-09,29.21
2024-07-10,29.38
2024-07-11,30.45
2024-07-12,30.73
2024-07-13,
2024-07-14,
2024-07-15,31.87
2024-07-16,34.05
2024-07-17,33.38
2024-07-18,32.69
2024-07-19,32.48
2024-07-20,
2024-07-21,
2024-07-22,32.76
2024-07-23,33.4
2024-07-24,32.5
2024-07-25,32.83
2024-07-26,33.32
2024-07-27,
2024-07-28,
2024-07-29,32.32
2024-07-30,32.42
2024-07-31,32.81
2024-08-01,31.19
2024-08-02,29.81
2024-08-03,
2024-08-04,
2024-08-05,29.07
2024-08-06,29.18
2024-08-07,29.15
2024-08-08,29.12
2024-08-09,28.39
2024-08-10,
2024-08-11,
2024-08-12,28.2
2024-08-13,28.92
2024-08-14,29.27
2024-08-15,29.7
2024-08-16,29.65
2024-08-17,
2024-08-18,
2024-08-19,29.85
2024-08-20,29.36
2024-08-21,29.82
2024-08-22,29.81
2024-08-23,30.79
2024-08-24,
2024-08-25,
2024-08-26,30.62
2024-08-27,30.45
2024-08-28,30.24
2024-08-29,30.91
2024-08-30,31.43
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,29.03
2024-09-04,28.74
2024-09-05,28.61
2024-09-06,27.7
2024-09-07,
2024-09-08,
2024-09-09,27.64
2024-09-10,27.31
2024-09-11,27.79
2024-09-12,28.13
2024-09-13,28.85
2024-09-14,
2024-09-15,
2024-09-16,28.93
2024-09-17,29.89
2024-09-18,30.0
2024-09-19,30.75
2024-09-20,29.99
2024-09-21,
2024-09-22,
2024-09-23,29.82
2024-09-24,29.56
2024-09-25,28.77
2024-09-26,29.2
2024-09-27,29.85
2024-09-28,
2024-09-29,
2024-09-30,29.84
2024-10-01,29.49
2024-10-02,28.98
2024-10-03,28.4
2024-10-04,28.56
2024-10-05,
2024-10-06,
2024-10-07,28.54
2024-10-08,28.38
2024-10-09,28.44
2024-10-10,28.28
2024-10-11,28.8
2024-10-12,
2024-10-13,
2024-10-14,28.79
2024-10-15,28.63
2024-10-16,28.95
2024-10-17,29.01
2024-10-18,28.37
2024-10-19,
2024-10-20,
2024-10-21,28.08
2024-10-22,27.63
2024-10-23,27.66
2024-10-24,26.98
2024-10-25,26.9
2024-10-26,
2024-10-27,
2024-10-28,27.54
2024-10-29,26.79
2024-10-30,26.61
2024-10-31,26.21
2024-11-01,26.41
2024-11-02,
2024-11-03,
2024-11-04,26.22
2024-11-05,26.95
2024-11-06,29.44
2024-11-07,29.03
2024-11-08,28.45
2024-11-09,
2024-11-10,
2024-11-11,29.44
2024-11-12,29.46
2024-11-13,29.89
2024-11-14,29.61
2024-11-15,29.71
2024-11-16,
2024-11-17,
2024-11-18,30.78
2024-11-19,30.77
2024-11-20,30.84
2024-11-21,31.18
2024-11-22,31.97
2024-11-23,
