Date,Close
2024-01-01,
2024-01-02,18.48
2024-01-03,18.28
2024-01-04,18.27
2024-01-05,18.3
2024-01-06,
2024-01-07,
2024-01-08,18.56
2024-01-09,18.49
2024-01-10,18.56
2024-01-11,18.55
2024-01-12,18.55
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,18.49
2024-01-17,18.36
2024-01-18,18.47
2024-01-19,18.69
2024-01-20,
2024-01-21,
2024-01-22,18.77
2024-01-23,18.78
2024-01-24,18.77
2024-01-25,18.88
2024-01-26,18.87
2024-01-27,
2024-01-28,
2024-01-29,19.05
2024-01-30,19.06
2024-01-31,18.81
2024-02-01,19.05
2024-02-02,19.14
2024-02-03,
2024-02-04,
2024-02-05,19.05
2024-02-06,19.1
2024-02-07,19.23
2024-02-08,19.31
2024-02-09,19.42
2024-02-10,
2024-02-11,
2024-02-12,19.43
2024-02-13,19.12
2024-02-14,19.36
2024-02-15,19.51
2024-02-16,19.42
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,19.28
2024-02-21,19.3
2024-02-22,19.67
2024-02-23,19.68
2024-02-24,
2024-02-25,
2024-02-26,19.68
2024-02-27,19.69
2024-02-28,19.69
2024-02-29,19.78
2024-03-01,19.96
2024-03-02,
2024-03-03,
2024-03-04,20.01
2024-03-05,19.8
2024-03-06,19.93
2024-03-07,20.11
2024-03-08,19.96
2024-03-09,
2024-03-10,
2024-03-11,19.95
2024-03-12,20.17
2024-03-13,20.11
2024-03-14,20.01
2024-03-15,19.85
2024-03-16,
2024-03-17,
2024-03-18,19.97
2024-03-19,20.11
2024-03-20,20.28
2024-03-21,20.44
2024-03-22,20.35
2024-03-23,
2024-03-24,
2024-03-25,20.26
2024-03-26,20.22
2024-03-27,20.38
2024-03-28,20.43
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,20.33
2024-04-02,20.17
2024-04-03,20.17
2024-04-04,19.92
2024-04-05,20.11
2024-04-06,
2024-04-07,
2024-04-08,20.11
2024-04-09,20.12
2024-04-10,19.88
2024-04-11,19.92
2024-04-12,19.6
2024-04-13,
2024-04-14,
2024-04-15,19.4
2024-04-16,19.4
2024-04-17,19.26
2024-04-18,19.21
2024-04-19,19.1
2024-04-20,
2024-04-21,
2024-04-22,19.23
2024-04-23,19.46
2024-04-24,19.47
2024-04-25,19.44
2024-04-26,19.58
2024-04-27,
2024-04-28,
2024-04-29,19.65
2024-04-30,19.38
2024-05-01,19.26
2024-05-02,19.38
2024-05-03,19.58
2024-05-04,
2024-05-05,
2024-05-06,19.8
2024-05-07,19.8
2024-05-08,19.81
2024-05-09,19.94
2024-05-10,20.01
2024-05-11,
2024-05-12,
2024-05-13,19.98
2024-05-14,20.07
2024-05-15,20.33
2024-05-16,20.27
2024-05-17,20.28
2024-05-18,
2024-05-19,
2024-05-20,20.32
2024-05-21,20.38
2024-05-22,20.35
