Date,Close
2024-01-01,
2024-01-02,49.5
2024-01-03,49.03
2024-01-04,48.82
2024-01-05,48.87
2024-01-06,
2024-01-07,
2024-01-08,49.88
2024-01-09,50.0
2024-01-10,50.51
2024-01-11,50.6
2024-01-12,50.66
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,50.59
2024-01-17,50.35
2024-01-18,51.02
2024-01-19,51.78
2024-01-20,
2024-01-21,
2024-01-22,51.91
2024-01-23,52.06
2024-01-24,52.23
2024-01-25,52.3
2024-01-26,52.23
2024-01-27,
2024-01-28,
2024-01-29,52.8
2024-01-30,52.58
2024-01-31,51.49
2024-02-01,52.24
2024-02-02,53.27
2024-02-03,
2024-02-04,
2024-02-05,53.27
2024-02-06,53.3
2024-02-07,53.99
2024-02-08,54.08
2024-02-09,54.64
2024-02-10,
2024-02-11,
2024-02-12,54.33
2024-02-13,53.58
2024-02-14,54.24
2024-02-15,54.32
2024-02-16,53.98
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,53.41
2024-02-21,53.29
2024-02-22,54.93
2024-02-23,54.87
2024-02-24,
2024-02-25,
2024-02-26,54.74
2024-02-27,54.81
2024-02-28,54.63
2024-02-29,54.99
2024-03-01,55.57
2024-03-02,
2024-03-03,
2024-03-04,55.32
2024-03-05,54.44
2024-03-06,54.71
2024-03-07,55.5
2024-03-08,54.87
2024-03-09,
2024-03-10,
2024-03-11,54.61
2024-03-12,55.55
2024-03-13,55.32
2024-03-14,55.34
2024-03-15,54.73
2024-03-16,
2024-03-17,
2024-03-18,55.23
2024-03-19,55.58
2024-03-20,56.18
2024-03-21,56.23
2024-03-22,56.29
2024-03-23,
2024-03-24,
2024-03-25,56.05
2024-03-26,55.85
2024-03-27,56.03
2024-03-28,55.95
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,55.93
2024-04-02,55.45
2024-04-03,55.58
2024-04-04,54.8
2024-04-05,55.59
2024-04-06,
2024-04-07,
2024-04-08,55.56
2024-04-09,55.62
2024-04-10,55.26
2024-04-11,56.03
2024-04-12,55.25
2024-04-13,
2024-04-14,
2024-04-15,54.29
2024-04-16,54.31
2024-04-17,53.81
2024-04-18,53.57
2024-04-19,52.51
2024-04-20,
2024-04-21,
2024-04-22,53.0
2024-04-23,53.82
2024-04-24,53.81
2024-04-25,53.47
2024-04-26,54.45
2024-04-27,
2024-04-28,
2024-04-29,54.56
2024-04-30,53.58
2024-05-01,53.4
2024-05-02,54.07
2024-05-03,55.01
2024-05-04,
2024-05-05,
2024-05-06,55.73
2024-05-07,55.74
2024-05-08,55.64
2024-05-09,55.82
2024-05-10,55.9
2024-05-11,
2024-05-12,
2024-05-13,55.91
2024-05-14,56.24
2024-05-15,57.12
2024-05-16,56.93
2024-05-17,56.92
2024-05-18,
2024-05-19,
2024-05-20,57.2
2024-05-21,57.36
2024-05-22,57.17
2024-05-23,57.0
2024-05-24,57.47
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,57.73
2024-05-29,57.46
2024-05-30,56.67
2024-05-31,56.67
2024-06-01,
2024-06-02,
2024-06-03,57.1
2024-06-04,57.33
2024-06-05,58.35
2024-06-06,58.39
2024-06-07,58.33
2024-06-08,
2024-06-09,
2024-06-10,58.54
2024-06-11,59.07
2024-06-12,59.89
2024-06-13,60.18
2024-06-14,60.35
2024-06-15,
2024-06-16,
2024-06-17,60.94
2024-06-18,61.03
2024-06-19,
2024-06-20,60.64
2024-06-21,60.51
2024-06-22,
2024-06-23,
2024-06-24,59.92
2024-06-25,60.58
2024-06-26,60.9
2024-06-27,61.03
2024-06-28,60.62
2024-06-29,
2024-06-30,
2024-07-01,61.19
2024-07-02,61.67
2024-07-03,62.21
2024-07-04,
2024-07-05,62.86
2024-07-06,
2024-07-07,
2024-07-08,62.92
2024-07-09,62.98
2024-07-10,63.62
2024-07-11,62.28
2024-07-12,62.62
2024-07-13,
2024-07-14,
2024-07-15,62.81
2024-07-16,62.75
2024-07-17,60.98
2024-07-18,60.52
2024-07-19,60.15
2024-07-20,
2024-07-21,
2024-07-22,61.08
2024-07-23,61.16
2024-07-24,58.82
2024-07-25,58.22
2024-07-26,58.73
2024-07-27,
2024-07-28,
2024-07-29,58.84
2024-07-30,58.02
2024-07-31,59.58
2024-08-01,58.49
2024-08-02,57.24
2024-08-03,
2024-08-04,
2024-08-05,55.26
2024-08-06,55.92
2024-08-07,55.34
2024-08-08,56.98
2024-08-09,57.46
2024-08-10,
2024-08-11,
2024-08-12,57.63
2024-08-13,58.99
2024-08-14,59.18
2024-08-15,60.41
2024-08-16,60.48
2024-08-17,
2024-08-18,
2024-08-19,61.21
2024-08-20,61.16
2024-08-21,61.44
2024-08-22,60.5
2024-08-23,61.24
2024-08-24,
2024-08-25,
2024-08-26,60.79
2024-08-27,60.94
2024-08-28,60.32
2024-08-29,60.14
2024-08-30,60.82
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,59.01
2024-09-04,58.82
2024-09-05,58.9
2024-09-06,57.53
2024-09-07,
2024-09-08,
2024-09-09,58.25
2024-09-10,58.81
2024-09-11,60.07
2024-09-12,60.72
2024-09-13,61.01
2024-09-14,
2024-09-15,
2024-09-16,60.81
2024-09-17,60.87
2024-09-18,60.66
2024-09-19,62.11
2024-09-20,62.0
2024-09-21,
2024-09-22,
2024-09-23,62.12
2024-09-24,62.36
