Date,Close
2024-01-01,
2024-01-02,166.57
2024-01-03,165.77
2024-01-04,163.01
2024-01-05,163.81
2024-01-06,
2024-01-07,
2024-01-08,168.94
2024-01-09,167.66
2024-01-10,168.86
2024-01-11,172.38
2024-01-12,175.46
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,175.84
2024-01-17,172.83
2024-01-18,180.35
2024-01-19,189.23
2024-01-20,
2024-01-21,
2024-01-22,188.22
2024-01-23,184.9
2024-01-24,190.68
2024-01-25,185.61
2024-01-26,183.93
2024-01-27,
2024-01-28,
2024-01-29,184.29
2024-01-30,182.05
2024-01-31,181.32
2024-02-01,183.85
2024-02-02,184.93
2024-02-03,
2024-02-04,
2024-02-05,185.55
2024-02-06,184.24
2024-02-07,186.81
2024-02-08,193.55
2024-02-09,206.45
2024-02-10,
2024-02-11,
2024-02-12,202.14
2024-02-13,214.77
2024-02-14,218.92
2024-02-15,231.94
2024-02-16,226.81
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,218.75
2024-02-21,222.66
2024-02-22,241.57
2024-02-23,240.04
2024-02-24,
2024-02-25,
2024-02-26,234.27
2024-02-27,234.43
2024-02-28,233.32
2024-02-29,237.74
2024-03-01,255.16
2024-03-02,
2024-03-03,
2024-03-04,253.38
2024-03-05,251.08
2024-03-06,261.37
2024-03-07,252.84
2024-03-08,242.54
2024-03-09,
2024-03-10,
2024-03-11,239.91
2024-03-12,243.6
2024-03-13,243.56
2024-03-14,238.1
2024-03-15,232.1
2024-03-16,
2024-03-17,
2024-03-18,236.74
2024-03-19,237.82
2024-03-20,240.88
2024-03-21,254.9
2024-03-22,251.91
2024-03-23,
2024-03-24,
2024-03-25,249.28
2024-03-26,250.56
2024-03-27,250.32
2024-03-28,254.05
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,247.66
2024-04-02,251.73
2024-04-03,260.84
2024-04-04,248.56
2024-04-05,243.36
2024-04-06,
2024-04-07,
2024-04-08,243.64
2024-04-09,247.55
2024-04-10,247.82
2024-04-11,251.29
2024-04-12,246.03
2024-04-13,
2024-04-14,
2024-04-15,242.99
2024-04-16,236.16
2024-04-17,237.62
2024-04-18,227.88
2024-04-19,205.77
2024-04-20,
2024-04-21,
2024-04-22,207.66
2024-04-23,208.96
2024-04-24,216.77
2024-04-25,213.46
2024-04-26,216.83
2024-04-27,
2024-04-28,
2024-04-29,219.65
2024-04-30,215.28
2024-05-01,213.71
2024-05-02,220.33
2024-05-03,227.86
2024-05-04,
2024-05-05,
2024-05-06,228.28
2024-05-07,231.03
2024-05-08,226.11
2024-05-09,219.45
2024-05-10,216.84
2024-05-11,
2024-05-12,
2024-05-13,215.31
2024-05-14,218.64
2024-05-15,224.64
2024-05-16,228.34
2024-05-17,228.16
2024-05-18,
2024-05-19,
2024-05-20,230.84
2024-05-21,231.57
2024-05-22,225.78
2024-05-23,225.01
2024-05-24,220.84
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,223.57
2024-05-29,216.93
2024-05-30,215.07
2024-05-31,206.69
2024-06-01,
2024-06-02,
2024-06-03,217.3
2024-06-04,219.75
2024-06-05,217.51
2024-06-06,218.35
2024-06-07,211.96
2024-06-08,
2024-06-09,
2024-06-10,214.13
2024-06-11,218.59
2024-06-12,218.5
2024-06-13,217.93
2024-06-14,216.74
2024-06-15,
2024-06-16,
2024-06-17,210.94
2024-06-18,219.18
2024-06-19,
2024-06-20,216.54
2024-06-21,210.3
2024-06-22,
2024-06-23,
2024-06-24,207.51
2024-06-25,208.19
2024-06-26,216.95
2024-06-27,217.33
2024-06-28,205.0
2024-06-29,
2024-06-30,
2024-07-01,211.38
2024-07-02,208.35
2024-07-03,220.94
2024-07-04,
2024-07-05,217.99
2024-07-06,
2024-07-07,
2024-07-08,216.35
2024-07-09,223.67
2024-07-10,233.72
2024-07-11,225.05
2024-07-12,217.62
2024-07-13,
2024-07-14,
2024-07-15,218.3
2024-07-16,224.86
2024-07-17,199.47
2024-07-18,186.48
2024-07-19,189.08
2024-07-20,
2024-07-21,
2024-07-22,190.95
2024-07-23,195.84
2024-07-24,182.47
2024-07-25,186.68
2024-07-26,173.48
2024-07-27,
2024-07-28,
2024-07-29,178.04
2024-07-30,178.11
2024-07-31,199.92
2024-08-01,186.66
2024-08-02,176.6
2024-08-03,
2024-08-04,
2024-08-05,161.21
2024-08-06,165.38
2024-08-07,175.19
2024-08-08,186.39
2024-08-09,172.66
2024-08-10,
2024-08-11,
2024-08-12,178.32
2024-08-13,183.26
2024-08-14,177.61
2024-08-15,187.74
2024-08-16,195.0
2024-08-17,
2024-08-18,
2024-08-19,187.66
2024-08-20,190.06
2024-08-21,190.04
2024-08-22,181.76
2024-08-23,178.14
2024-08-24,
2024-08-25,
2024-08-26,183.95
2024-08-27,176.83
2024-08-28,173.68
2024-08-29,172.23
2024-08-30,173.75
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,159.55
2024-09-04,156.06
2024-09-05,149.28
2024-09-06,143.18
2024-09-07,
2024-09-08,
2024-09-09,146.79
2024-09-10,147.03
2024-09-11,150.26
2024-09-12,162.02
2024-09-13,158.73
