Date,Close
2020-01-01,
2020-01-02,26.8
2020-01-03,26.69
2020-01-04,
2020-01-05,
2020-01-06,26.79
2020-01-07,27.47
2020-01-08,27.35
2020-01-09,27.75
2020-01-10,27.72
2020-01-11,
2020-01-12,
2020-01-13,27.8
2020-01-14,27.08
2020-01-15,26.66
2020-01-16,26.91
2020-01-17,26.3
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,25.9
2020-01-22,25.75
2020-01-23,25.09
2020-01-24,24.65
2020-01-25,
2020-01-26,
2020-01-27,24.09
2020-01-28,23.24
2020-01-29,23.22
2020-01-30,22.44
2020-01-31,21.86
2020-02-01,
2020-02-02,
2020-02-03,21.61
2020-02-04,20.78
2020-02-05,20.69
2020-02-06,21.11
2020-02-07,20.6
2020-02-08,
2020-02-09,
2020-02-10,21.2
2020-02-11,21.03
2020-02-12,21.2
2020-02-13,21.19
2020-02-14,20.81
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,21.56
2020-02-19,22.46
2020-02-20,22.46
2020-02-21,23.21
2020-02-22,
2020-02-23,
2020-02-24,22.79
2020-02-25,21.67
2020-02-26,24.26
2020-02-27,24.32
2020-02-28,25.02
2020-02-29,
2020-03-01,
2020-03-02,24.77
2020-03-03,24.49
2020-03-04,24.81
2020-03-05,23.41
2020-03-06,22.93
2020-03-07,
2020-03-08,
2020-03-09,21.07
2020-03-10,21.03
2020-03-11,19.42
2020-03-12,16.35
2020-03-13,18.13
2020-03-14,
2020-03-15,
2020-03-16,14.77
2020-03-17,15.01
2020-03-18,14.21
2020-03-19,16.61
2020-03-20,15.7
2020-03-21,
2020-03-22,
2020-03-23,15.83
2020-03-24,18.9
2020-03-25,20.93
2020-03-26,20.56
2020-03-27,19.76
2020-03-28,
2020-03-29,
2020-03-30,20.66
2020-03-31,20.27
2020-04-01,19.43
2020-04-02,19.04
2020-04-03,20.02
2020-04-04,
2020-04-05,
2020-04-06,19.98
2020-04-07,20.51
2020-04-08,19.66
2020-04-09,21.07
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,21.13
2020-04-14,21.1
2020-04-15,20.29
2020-04-16,20.15
2020-04-17,20.0
2020-04-18,
2020-04-19,
2020-04-20,19.25
2020-04-21,18.9
2020-04-22,19.25
2020-04-23,19.34
2020-04-24,19.87
2020-04-25,
2020-04-26,
2020-04-27,20.76
2020-04-28,22.11
2020-04-29,21.26
2020-04-30,22.37
2020-05-01,22.47
2020-05-02,
2020-05-03,
2020-05-04,22.36
2020-05-05,22.21
2020-05-06,22.06
2020-05-07,21.66
2020-05-08,22.92
2020-05-09,
2020-05-10,
2020-05-11,22.49
2020-05-12,22.08
2020-05-13,20.94
2020-05-14,20.61
2020-05-15,20.66
2020-05-16,
2020-05-17,
2020-05-18,20.77
2020-05-19,20.6
2020-05-20,21.51
2020-05-21,21.73
2020-05-22,22.05
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,22.81
2020-05-27,23.88
2020-05-28,24.13
2020-05-29,23.03
2020-05-30,
2020-05-31,
2020-06-01,23.34
2020-06-02,23.33
2020-06-03,22.99
2020-06-04,23.45
2020-06-05,24.05
2020-06-06,
2020-06-07,
2020-06-08,24.63
2020-06-09,24.39
2020-06-10,23.73
2020-06-11,23.14
2020-06-12,23.62
2020-06-13,
2020-06-14,
2020-06-15,24.13
2020-06-16,24.2
