Date,Close
2024-01-01,
2024-01-02,49.46
2024-01-03,48.99
2024-01-04,48.78
2024-01-05,48.83
2024-01-06,
2024-01-07,
2024-01-08,49.84
2024-01-09,49.96
2024-01-10,50.47
2024-01-11,50.57
2024-01-12,50.61
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,50.55
2024-01-17,50.3
2024-01-18,50.97
2024-01-19,51.73
2024-01-20,
2024-01-21,
2024-01-22,51.87
2024-01-23,52.01
2024-01-24,52.19
2024-01-25,52.25
2024-01-26,52.19
2024-01-27,
2024-01-28,
2024-01-29,52.76
2024-01-30,52.54
2024-01-31,51.44
2024-02-01,52.2
2024-02-02,53.22
2024-02-03,
2024-02-04,
2024-02-05,53.21
2024-02-06,53.25
2024-02-07,53.94
2024-02-08,54.04
2024-02-09,54.59
2024-02-10,
2024-02-11,
2024-02-12,54.27
2024-02-13,53.53
2024-02-14,54.19
2024-02-15,54.26
2024-02-16,53.92
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,53.37
2024-02-21,53.23
2024-02-22,54.87
2024-02-23,54.81
2024-02-24,
2024-02-25,
2024-02-26,54.69
2024-02-27,54.76
2024-02-28,54.57
2024-02-29,54.94
2024-03-01,55.51
2024-03-02,
2024-03-03,
2024-03-04,55.27
2024-03-05,54.39
2024-03-06,54.66
2024-03-07,55.45
2024-03-08,54.81
2024-03-09,
2024-03-10,
2024-03-11,54.55
2024-03-12,55.49
2024-03-13,55.26
2024-03-14,55.29
2024-03-15,54.68
2024-03-16,
2024-03-17,
2024-03-18,55.16
2024-03-19,55.52
2024-03-20,56.12
2024-03-21,56.17
2024-03-22,56.23
2024-03-23,
2024-03-24,
2024-03-25,56.0
2024-03-26,55.78
2024-03-27,55.97
2024-03-28,55.9
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,55.87
2024-04-02,55.39
2024-04-03,55.51
2024-04-04,54.74
2024-04-05,55.52
2024-04-06,
2024-04-07,
2024-04-08,55.49
2024-04-09,55.56
2024-04-10,55.19
2024-04-11,55.97
2024-04-12,55.18
2024-04-13,
2024-04-14,
2024-04-15,54.23
2024-04-16,54.24
2024-04-17,53.76
2024-04-18,53.51
2024-04-19,52.46
2024-04-20,
2024-04-21,
2024-04-22,52.94
2024-04-23,53.76
2024-04-24,53.75
2024-04-25,53.42
2024-04-26,54.4
2024-04-27,
2024-04-28,
2024-04-29,54.49
2024-04-30,53.52
2024-05-01,53.33
2024-05-02,54.01
2024-05-03,54.95
2024-05-04,
2024-05-05,
2024-05-06,55.67
2024-05-07,55.67
2024-05-08,55.58
2024-05-09,55.75
2024-05-10,55.83
2024-05-11,
2024-05-12,
2024-05-13,55.83
2024-05-14,56.18
2024-05-15,57.05
2024-05-16,56.86
2024-05-17,56.86
2024-05-18,
2024-05-19,
2024-05-20,57.13
2024-05-21,57.29
2024-05-22,57.1
2024-05-23,56.93
2024-05-24,57.4
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,57.66
2024-05-29,57.39
2024-05-30,56.6
2024-05-31,56.6
2024-06-01,
2024-06-02,
2024-06-03,57.03
2024-06-04,57.26
2024-06-05,58.28
2024-06-06,58.32
2024-06-07,58.26
2024-06-08,
2024-06-09,
2024-06-10,58.47
2024-06-11,59.01
2024-06-12,59.81
2024-06-13,60.1
2024-06-14,60.28
2024-06-15,
2024-06-16,
2024-06-17,60.87
2024-06-18,60.96
2024-06-19,
2024-06-20,60.57
2024-06-21,60.43
2024-06-22,
2024-06-23,
2024-06-24,59.84
2024-06-25,60.5
2024-06-26,60.82
2024-06-27,60.96
2024-06-28,60.53
2024-06-29,
2024-06-30,
2024-07-01,61.1
2024-07-02,61.59
2024-07-03,62.13
2024-07-04,
2024-07-05,62.78
2024-07-06,
2024-07-07,
2024-07-08,62.84
2024-07-09,62.9
2024-07-10,63.54
2024-07-11,62.2
2024-07-12,62.54
2024-07-13,
2024-07-14,
2024-07-15,62.73
2024-07-16,62.66
2024-07-17,60.9
2024-07-18,60.43
2024-07-19,60.06
2024-07-20,
2024-07-21,
2024-07-22,60.99
2024-07-23,61.07
2024-07-24,58.74
2024-07-25,58.14
2024-07-26,58.65
2024-07-27,
2024-07-28,
2024-07-29,58.75
2024-07-30,57.94
2024-07-31,59.5
2024-08-01,58.41
2024-08-02,57.16
2024-08-03,
2024-08-04,
2024-08-05,55.18
2024-08-06,55.84
2024-08-07,55.26
2024-08-08,56.9
2024-08-09,57.38
2024-08-10,
2024-08-11,
2024-08-12,57.54
2024-08-13,58.9
2024-08-14,59.09
2024-08-15,60.32
2024-08-16,60.39
2024-08-17,
2024-08-18,
2024-08-19,61.11
2024-08-20,61.07
2024-08-21,61.34
2024-08-22,60.41
2024-08-23,61.15
2024-08-24,
2024-08-25,
2024-08-26,60.69
2024-08-27,60.85
2024-08-28,60.23
2024-08-29,60.04
2024-08-30,60.72
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,58.92
2024-09-04,58.73
2024-09-05,58.81
2024-09-06,57.44
2024-09-07,
2024-09-08,
2024-09-09,58.16
2024-09-10,58.71
2024-09-11,59.98
2024-09-12,60.63
2024-09-13,60.92
2024-09-14,
2024-09-15,
2024-09-16,60.71
2024-09-17,60.77
2024-09-18,60.57
2024-09-19,62.01
2024-09-20,61.91
2024-09-21,
2024-09-22,
2024-09-23,62.01
2024-09-24,62.26
2024-09-25,62.35
2024-09-26,62.48
2024-09-27,62.14
2024-09-28,
2024-09-29,
2024-09-30,62.44
2024-10-01,61.58
2024-10-02,61.62
2024-10-03,61.65
2024-10-04,62.33
2024-10-05,
2024-10-06,
2024-10-07,61.6
2024-10-08,62.62
2024-10-09,63.07
2024-10-10,63.05
2024-10-11,63.22
2024-10-12,
2024-10-13,
2024-10-14,63.77
2024-10-15,63.15
2024-10-16,63.26
2024-10-17,63.3
2024-10-18,63.67
2024-10-19,
2024-10-20,
2024-10-21,63.88
2024-10-22,63.94
2024-10-23,62.96
2024-10-24,63.38
2024-10-25,63.68
2024-10-26,
2024-10-27,
2024-10-28,63.77
2024-10-29,64.28
2024-10-30,63.99
2024-10-31,62.23
2024-11-01,62.67
2024-11-02,
2024-11-03,
2024-11-04,62.45
2024-11-05,63.34
2024-11-06,64.95
2024-11-07,66.04
2024-11-08,66.26
2024-11-09,
2024-11-10,
2024-11-11,66.25
2024-11-12,66.29
2024-11-13,66.24
2024-11-14,65.83
2024-11-15,64.45
2024-11-16,
2024-11-17,
2024-11-18,64.7
2024-11-19,65.43
2024-11-20,65.32
2024-11-21,65.47
2024-11-22,65.55
2024-11-23,
2024-11-24,
2024-11-25,65.6
2024-11-26,66.2
2024-11-27,65.72
2024-11-28,
2024-11-29,66.25
2024-11-30,
2024-12-01,
2024-12-02,66.84
2024-12-03,67.23
2024-12-04,68.18
2024-12-05,68.1
2024-12-06,70.21
2024-12-07,
2024-12-08,
2024-12-09,68.2
2024-12-10,68.0
2024-12-11,69.16
2024-12-12,68.73
2024-12-13,68.86
2024-12-14,
2024-12-15,
2024-12-16,69.66
2024-12-17,69.46
2024-12-18,67.07
2024-12-19,67.11
2024-12-20,67.79
2024-12-21,
2024-12-22,
2024-12-23,68.49
2024-12-24,69.38
2024-12-25,
2024-12-26,69.27
2024-12-27,68.24
2024-12-28,
2024-12-29,
2024-12-30,67.46
2024-12-31,66.84
2025-01-01,
2025-01-02,66.73
2025-01-03,67.81
2025-01-04,
2025-01-05,
2025-01-06,68.57
2025-01-07,67.25
2025-01-08,67.36
2025-01-09,
2025-01-10,66.31
2025-01-11,
2025-01-12,
2025-01-13,66.06
2025-01-14,65.82
2025-01-15,67.41
2025-01-16,66.92
2025-01-17,67.74
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,68.22
2025-01-22,69.23
2025-01-23,69.5
2025-01-24,69.22
2025-01-25,
2025-01-26,
2025-01-27,67.19
2025-01-28,68.68
2025-01-29,68.23
2025-01-30,68.38
2025-01-31,68.16
2025-02-01,
2025-02-02,
2025-02-03,67.45
2025-02-04,68.25
2025-02-05,68.38
2025-02-06,68.79
2025-02-07,67.97
2025-02-08,
2025-02-09,
2025-02-10,68.65
2025-02-11,68.47
2025-02-12,68.4
2025-02-13,69.27
2025-02-14,69.35
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,69.34
2025-02-19,69.34
2025-02-20,68.97
2025-02-21,67.43
2025-02-22,
2025-02-23,
2025-02-24,66.74
2025-02-25,66.04
2025-02-26,66.31
2025-02-27,64.57
2025-02-28,65.71
2025-03-01,
2025-03-02,
2025-03-03,64.09
2025-03-04,63.7
2025-03-05,64.61
2025-03-06,62.84
2025-03-07,63.12
2025-03-08,
2025-03-09,
2025-03-10,60.63
2025-03-11,60.5
2025-03-12,61.3
2025-03-13,59.98
2025-03-14,61.52
2025-03-15,
2025-03-16,
2025-03-17,61.67
2025-03-18,60.6
2025-03-19,61.51
2025-03-20,61.38
2025-03-21,61.71
2025-03-22,
2025-03-23,
2025-03-24,63.11
2025-03-25,63.39
2025-03-26,62.03
2025-03-27,61.72
2025-03-28,60.12
2025-03-29,
2025-03-30,
2025-03-31,60.17
2025-04-01,60.69
2025-04-02,61.22
2025-04-03,57.75
2025-04-04,54.34
2025-04-05,
2025-04-06,
2025-04-07,54.39
2025-04-08,53.41
2025-04-09,53.41
2025-04-10,57.31
2025-04-11,58.45
2025-04-12,
2025-04-13,
2025-04-14,58.74
2025-04-15,58.73
2025-04-16,56.95
2025-04-17,57.0
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,55.44
2025-04-22,56.95
2025-04-23,58.31
2025-04-24,59.96
2025-04-25,60.87
2025-04-26,
2025-04-27,
2025-04-28,60.79
2025-04-29,61.17
2025-04-30,61.24
2025-05-01,61.99
2025-05-02,62.91
2025-05-03,
2025-05-04,
2025-05-05,62.49
2025-05-06,61.91
2025-05-07,61.91
2025-05-08,62.58
2025-05-09,62.52
2025-05-10,
2025-05-11,
2025-05-12,65.18
2025-05-13,66.17
2025-05-14,66.64
2025-05-15,66.58
2025-05-16,66.96
2025-05-17,
2025-05-18,
2025-05-19,66.98
2025-05-20,66.63
2025-05-21,65.64
2025-05-22,65.82
2025-05-23,65.14
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,66.72
2025-05-28,66.44
2025-05-29,66.66
2025-05-30,66.64
2025-05-31,
2025-06-01,
2025-06-02,67.05
2025-06-03,67.49
2025-06-04,67.74
2025-06-05,67.28
2025-06-06,67.98
2025-06-07,
2025-06-08,
2025-06-09,68.05
2025-06-10,68.47
2025-06-11,68.22
2025-06-12,68.51
2025-06-13,67.64
2025-06-14,
2025-06-15,
2025-06-16,68.46
2025-06-17,67.88
2025-06-18,67.77
2025-06-19,
2025-06-20,67.4
2025-06-21,
2025-06-22,
2025-06-23,68.13
2025-06-24,68.13
2025-06-25,69.34
2025-06-26,69.98
2025-06-27,70.4
2025-06-28,
2025-06-29,
2025-06-30,70.88
2025-07-01,70.14
2025-07-02,70.71
2025-07-03,71.51
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,70.99
2025-07-08,70.92
2025-07-09,71.61
2025-07-10,71.59
2025-07-11,71.4
2025-07-12,
2025-07-13,
2025-07-14,71.6
2025-07-15,71.79
2025-07-16,72.03
2025-07-17,72.48
2025-07-18,72.51
2025-07-19,
2025-07-20,
2025-07-21,72.67
2025-07-22,72.24
2025-07-23,72.83
2025-07-24,73.06
2025-07-25,73.41
2025-07-26,
2025-07-27,
2025-07-28,73.71
2025-07-29,73.31
2025-07-30,73.49
2025-07-31,73.55
2025-08-01,72.13
2025-08-02,
2025-08-03,
2025-08-04,73.54
2025-08-05,72.95
2025-08-06,73.91
2025-08-07,73.82
2025-08-08,74.45
2025-08-09,
2025-08-10,
2025-08-11,74.28
2025-08-12,75.17
2025-08-13,75.09
2025-08-14,75.18
2025-08-15,74.96
2025-08-16,
2025-08-17,
