Date,Close
2024-01-01,
2024-01-02,100.52
2024-01-03,99.01
2024-01-04,98.8
2024-01-05,98.9
2024-01-06,
2024-01-07,
2024-01-08,99.61
2024-01-09,98.96
2024-01-10,100.04
2024-01-11,101.78
2024-01-12,102.93
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,99.27
2024-01-17,98.5
2024-01-18,99.0
2024-01-19,102.0
2024-01-20,
2024-01-21,
2024-01-22,103.07
2024-01-23,102.25
2024-01-24,102.24
2024-01-25,103.76
2024-01-26,102.55
2024-01-27,
2024-01-28,
2024-01-29,104.01
2024-01-30,104.06
2024-01-31,101.03
2024-02-01,102.35
2024-02-02,102.23
2024-02-03,
2024-02-04,
2024-02-05,100.83
2024-02-06,101.52
2024-02-07,102.22
2024-02-08,101.45
2024-02-09,99.05
2024-02-10,
2024-02-11,
2024-02-12,102.46
2024-02-13,97.57
2024-02-14,99.08
2024-02-15,100.85
2024-02-16,101.41
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,101.92
2024-02-21,101.85
2024-02-22,103.31
2024-02-23,103.39
2024-02-24,
2024-02-25,
2024-02-26,102.9
2024-02-27,103.27
2024-02-28,104.66
2024-02-29,105.59
2024-03-01,105.71
2024-03-02,
2024-03-03,
2024-03-04,108.57
2024-03-05,108.3
2024-03-06,108.99
2024-03-07,108.89
2024-03-08,109.88
2024-03-09,
2024-03-10,
2024-03-11,109.59
2024-03-12,109.78
2024-03-13,109.55
2024-03-14,108.18
2024-03-15,108.14
2024-03-16,
2024-03-17,
2024-03-18,108.3
2024-03-19,108.11
2024-03-20,111.09
2024-03-21,113.49
2024-03-22,111.68
2024-03-23,
2024-03-24,
2024-03-25,111.4
2024-03-26,110.99
2024-03-27,113.79
2024-03-28,114.78
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,113.26
2024-04-02,111.61
2024-04-03,111.56
2024-04-04,109.46
2024-04-05,109.81
2024-04-06,
2024-04-07,
2024-04-08,110.67
2024-04-09,112.65
2024-04-10,109.76
2024-04-11,110.83
2024-04-12,108.45
2024-04-13,
2024-04-14,
2024-04-15,107.56
2024-04-16,105.55
2024-04-17,104.87
2024-04-18,102.36
2024-04-19,102.37
2024-04-20,
2024-04-21,
2024-04-22,104.97
2024-04-23,105.39
2024-04-24,104.56
2024-04-25,102.46
2024-04-26,107.35
2024-04-27,
2024-04-28,
2024-04-29,105.52
2024-04-30,103.16
2024-05-01,103.84
2024-05-02,104.65
2024-05-03,104.97
2024-05-04,
2024-05-05,
2024-05-06,105.45
2024-05-07,104.74
2024-05-08,104.97
2024-05-09,104.79
