Date,Close
2024-01-01,
2024-01-02,59.41
2024-01-03,58.67
2024-01-04,58.77
2024-01-05,58.83
2024-01-06,
2024-01-07,
2024-01-08,59.45
2024-01-09,59.04
2024-01-10,59.04
2024-01-11,58.99
2024-01-12,59.36
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,58.49
2024-01-17,57.79
2024-01-18,58.12
2024-01-19,58.26
2024-01-20,
2024-01-21,
2024-01-22,58.21
2024-01-23,58.24
2024-01-24,58.61
2024-01-25,58.97
2024-01-26,59.12
2024-01-27,
2024-01-28,
2024-01-29,59.05
2024-01-30,58.8
2024-01-31,58.63
2024-02-01,59.49
2024-02-02,58.95
2024-02-03,
2024-02-04,
2024-02-05,58.56
2024-02-06,59.28
2024-02-07,59.45
2024-02-08,59.51
2024-02-09,59.62
2024-02-10,
2024-02-11,
2024-02-12,59.89
2024-02-13,58.8
2024-02-14,59.25
2024-02-15,59.9
2024-02-16,60.17
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,60.02
2024-02-21,60.18
2024-02-22,60.8
2024-02-23,60.6
2024-02-24,
2024-02-25,
2024-02-26,60.67
2024-02-27,60.85
2024-02-28,60.38
2024-02-29,60.69
2024-03-01,61.35
2024-03-02,
2024-03-03,
2024-03-04,60.98
2024-03-05,60.82
2024-03-06,61.64
2024-03-07,62.09
2024-03-08,61.81
2024-03-09,
2024-03-10,
2024-03-11,61.81
2024-03-12,62.41
2024-03-13,62.34
2024-03-14,62.15
2024-03-15,62.13
2024-03-16,
2024-03-17,
2024-03-18,62.25
2024-03-19,62.28
2024-03-20,62.89
2024-03-21,62.93
2024-03-22,62.65
2024-03-23,
2024-03-24,
2024-03-25,62.51
2024-03-26,62.52
2024-03-27,63.03
2024-03-28,62.94
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,62.9
2024-04-02,62.74
2024-04-03,63.2
2024-04-04,62.76
2024-04-05,63.01
2024-04-06,
2024-04-07,
2024-04-08,63.24
2024-04-09,63.43
2024-04-10,62.73
2024-04-11,63.07
2024-04-12,63.07
2024-04-13,
2024-04-14,
2024-04-15,61.7
2024-04-16,61.07
2024-04-17,61.1
2024-04-18,61.21
2024-04-19,60.88
2024-04-20,
2024-04-21,
2024-04-22,61.26
2024-04-23,61.8
2024-04-24,61.73
2024-04-25,61.43
2024-04-26,62.0
2024-04-27,
2024-04-28,
2024-04-29,62.56
2024-04-30,61.86
2024-05-01,61.79
2024-05-02,62.79
2024-05-03,63.42
2024-05-04,
2024-05-05,
2024-05-06,63.94
2024-05-07,63.95
2024-05-08,63.7
2024-05-09,64.16
2024-05-10,64.16
2024-05-11,
2024-05-12,
2024-05-13,64.06
2024-05-14,64.49
2024-05-15,64.93
2024-05-16,64.96
2024-05-17,65.17
2024-05-18,
2024-05-19,
2024-05-20,65.75
2024-05-21,65.38
2024-05-22,64.76
2024-05-23,64.3
2024-05-24,64.76
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,64.97
2024-05-29,63.94
2024-05-30,64.42
2024-05-31,64.86
2024-06-01,
2024-06-02,
2024-06-03,64.84
2024-06-04,64.43
2024-06-05,64.79
2024-06-06,64.94
2024-06-07,64.26
2024-06-08,
2024-06-09,
2024-06-10,64.48
2024-06-11,63.87
2024-06-12,64.44
2024-06-13,63.65
2024-06-14,63.17
2024-06-15,
2024-06-16,
2024-06-17,63.25
2024-06-18,63.59
2024-06-19,
2024-06-20,63.25
2024-06-21,62.89
2024-06-22,
2024-06-23,
2024-06-24,63.25
2024-06-25,63.15
2024-06-26,62.84
2024-06-27,63.07
2024-06-28,63.06
2024-06-29,
2024-06-30,
2024-07-01,63.25
2024-07-02,63.3
2024-07-03,63.95
2024-07-04,
2024-07-05,64.53
2024-07-06,
2024-07-07,
2024-07-08,64.28
2024-07-09,64.14
2024-07-10,64.59
2024-07-11,65.11
2024-07-12,65.91
2024-07-13,
2024-07-14,
2024-07-15,65.49
2024-07-16,65.87
2024-07-17,65.37
2024-07-18,65.02
2024-07-19,64.44
2024-07-20,
2024-07-21,
2024-07-22,65.06
2024-07-23,64.71
2024-07-24,64.09
2024-07-25,63.71
2024-07-26,64.57
2024-07-27,
2024-07-28,
2024-07-29,64.34
2024-07-30,64.45
2024-07-31,65.63
2024-08-01,63.98
2024-08-02,63.03
2024-08-03,
2024-08-04,
2024-08-05,61.27
2024-08-06,61.89
2024-08-07,62.08
2024-08-08,62.77
