Date,Close
2024-01-01,
2024-01-02,70.59
2024-01-03,69.32
2024-01-04,68.4
2024-01-05,67.64
2024-01-06,
2024-01-07,
2024-01-08,68.99
2024-01-09,68.45
2024-01-10,68.48
2024-01-11,68.08
2024-01-12,66.96
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,63.76
2024-01-17,64.5
2024-01-18,65.05
2024-01-19,66.85
2024-01-20,
2024-01-21,
2024-01-22,69.39
2024-01-23,70.18
2024-01-24,69.65
2024-01-25,69.12
2024-01-26,68.01
2024-01-27,
2024-01-28,
2024-01-29,71.51
2024-01-30,69.28
2024-01-31,68.43
2024-02-01,67.21
2024-02-02,70.0
2024-02-03,
2024-02-04,
2024-02-05,67.5
2024-02-06,68.6
2024-02-07,69.6
2024-02-08,70.17
2024-02-09,71.31
2024-02-10,
2024-02-11,
2024-02-12,73.91
2024-02-13,72.94
2024-02-14,74.31
2024-02-15,75.71
2024-02-16,88.93
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,82.56
2024-02-21,82.08
2024-02-22,83.5
2024-02-23,81.44
2024-02-24,
2024-02-25,
2024-02-26,82.19
2024-02-27,85.6
2024-02-28,84.9
2024-02-29,85.43
2024-03-01,83.89
2024-03-02,
2024-03-03,
2024-03-04,83.45
2024-03-05,81.45
2024-03-06,82.18
2024-03-07,81.83
2024-03-08,81.59
2024-03-09,
2024-03-10,
2024-03-11,81.45
2024-03-12,80.43
2024-03-13,80.16
2024-03-14,77.53
2024-03-15,76.72
2024-03-16,
2024-03-17,
2024-03-18,78.35
2024-03-19,79.76
2024-03-20,83.47
2024-03-21,85.06
2024-03-22,85.06
2024-03-23,
2024-03-24,
2024-03-25,87.55
2024-03-26,87.05
2024-03-27,87.21
2024-03-28,87.42
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,87.31
2024-04-02,87.09
2024-04-03,86.94
2024-04-04,84.56
2024-04-05,85.83
2024-04-06,
2024-04-07,
2024-04-08,86.68
2024-04-09,86.84
2024-04-10,86.44
2024-04-11,87.7
2024-04-12,86.37
2024-04-13,
2024-04-14,
2024-04-15,80.99
2024-04-16,82.13
2024-04-17,80.13
2024-04-18,80.81
2024-04-19,77.3
2024-04-20,
2024-04-21,
2024-04-22,77.84
2024-04-23,81.07
2024-04-24,83.79
2024-04-25,83.34
2024-04-26,84.73
2024-04-27,
2024-04-28,
2024-04-29,84.5
2024-04-30,82.85
2024-05-01,85.41
2024-05-02,88.12
2024-05-03,88.59
2024-05-04,
2024-05-05,
2024-05-06,91.36
2024-05-07,89.64
2024-05-08,86.02
2024-05-09,88.67
2024-05-10,87.26
2024-05-11,
2024-05-12,
2024-05-13,87.53
2024-05-14,86.18
2024-05-15,90.25
2024-05-16,93.19
2024-05-17,94.78
2024-05-18,
2024-05-19,
2024-05-20,97.5
2024-05-21,95.65
2024-05-22,95.32
2024-05-23,92.51
2024-05-24,94.75
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,95.09
2024-05-29,95.45
2024-05-30,93.71
2024-05-31,92.78
2024-06-01,
2024-06-02,
2024-06-03,93.11
2024-06-04,94.48
2024-06-05,97.41
2024-06-06,97.19
2024-06-07,94.17
2024-06-08,
2024-06-09,
2024-06-10,92.65
2024-06-11,92.19
2024-06-12,97.46
2024-06-13,95.62
2024-06-14,95.66
2024-06-15,
2024-06-16,
2024-06-17,97.68
2024-06-18,99.25
2024-06-19,
2024-06-20,97.28
2024-06-21,97.71
2024-06-22,
2024-06-23,
2024-06-24,95.76
2024-06-25,97.73
2024-06-26,97.71
2024-06-27,98.22
2024-06-28,97.67
2024-06-29,
2024-06-30,
2024-07-01,97.97
2024-07-02,98.34
2024-07-03,99.47
2024-07-04,
2024-07-05,99.9
2024-07-06,
2024-07-07,
2024-07-08,99.08
2024-07-09,101.52
2024-07-10,99.82
2024-07-11,98.57
2024-07-12,99.48
2024-07-13,
2024-07-14,
2024-07-15,100.09
2024-07-16,100.95
2024-07-17,95.24
2024-07-18,95.72
2024-07-19,96.01
2024-07-20,
2024-07-21,
2024-07-22,100.44
2024-07-23,100.9
2024-07-24,89.32
2024-07-25,90.88
2024-07-26,92.43
2024-07-27,
2024-07-28,
2024-07-29,92.21
2024-07-30,89.84
2024-07-31,89.88
2024-08-01,87.75
2024-08-02,83.08
2024-08-03,
2024-08-04,
2024-08-05,83.22
2024-08-06,84.79
2024-08-07,84.91
2024-08-08,88.27
2024-08-09,99.3
2024-08-10,
2024-08-11,
2024-08-12,97.04
2024-08-13,98.32
2024-08-14,98.69
2024-08-15,100.5
2024-08-16,101.43
2024-08-17,
2024-08-18,
2024-08-19,102.64
2024-08-20,102.14
2024-08-21,104.36
2024-08-22,103.17
2024-08-23,105.0
2024-08-24,
2024-08-25,
2024-08-26,103.97
2024-08-27,103.92
2024-08-28,102.18
2024-08-29,103.51
2024-08-30,104.53
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,100.97
2024-09-04,101.35
2024-09-05,103.54
2024-09-06,100.31
2024-09-07,
2024-09-08,
2024-09-09,99.32
2024-09-10,99.71
2024-09-11,101.61
2024-09-12,104.5
2024-09-13,106.06
2024-09-14,
2024-09-15,
2024-09-16,105.37
2024-09-17,105.84
2024-09-18,108.02
2024-09-19,110.14
2024-09-20,109.51
2024-09-21,
2024-09-22,
2024-09-23,108.53
2024-09-24,110.79
2024-09-25,110.72
2024-09-26,109.36
2024-09-27,109.45
2024-09-28,
2024-09-29,
2024-09-30,109.65
2024-10-01,108.72
2024-10-02,108.71
2024-10-03,111.46
2024-10-04,113.0
2024-10-05,
2024-10-06,
2024-10-07,111.8
2024-10-08,114.53
2024-10-09,115.57
2024-10-10,115.71
2024-10-11,117.9
2024-10-12,
2024-10-13,
2024-10-14,117.97
2024-10-15,117.68
2024-10-16,117.94
2024-10-17,117.63
2024-10-18,118.76
2024-10-19,
2024-10-20,
2024-10-21,118.21
2024-10-22,118.94
2024-10-23,117.17
2024-10-24,118.21
2024-10-25,119.47
2024-10-26,
2024-10-27,
2024-10-28,118.98
2024-10-29,121.62
2024-10-30,121.98
2024-10-31,120.21
2024-11-01,119.19
2024-11-02,
2024-11-03,
2024-11-04,118.27
2024-11-05,119.94
2024-11-06,124.81
2024-11-07,132.53
2024-11-08,125.13
2024-11-09,
2024-11-10,
2024-11-11,129.34
2024-11-12,131.2
2024-11-13,127.25
2024-11-14,125.88
2024-11-15,118.15
2024-11-16,
2024-11-17,
2024-11-18,117.26
2024-11-19,119.42
2024-11-20,123.9
2024-11-21,127.35
2024-11-22,129.7
2024-11-23,
2024-11-24,
2024-11-25,129.35
2024-11-26,128.98
2024-11-27,128.15
2024-11-28,
2024-11-29,128.55
2024-11-30,
2024-12-01,
2024-12-02,135.16
2024-12-03,139.16
2024-12-04,139.51
2024-12-05,136.36
2024-12-06,139.11
2024-12-07,
2024-12-08,
2024-12-09,134.77
2024-12-10,132.66
2024-12-11,134.1
2024-12-12,133.57
2024-12-13,132.42
2024-12-14,
2024-12-15,
2024-12-16,132.65
2024-12-17,135.02
2024-12-18,127.93
2024-12-19,126.23
2024-12-20,125.01
2024-12-21,
2024-12-22,
2024-12-23,121.67
2024-12-24,123.96
2024-12-25,
2024-12-26,123.46
2024-12-27,121.39
2024-12-28,
2024-12-29,
2024-12-30,120.17
2024-12-31,117.53
2025-01-01,
2025-01-02,117.73
2025-01-03,121.84
2025-01-04,
2025-01-05,
2025-01-06,126.58
2025-01-07,121.41
2025-01-08,121.52
2025-01-09,
2025-01-10,118.8
2025-01-11,
2025-01-12,
2025-01-13,117.89
2025-01-14,116.76
2025-01-15,119.68
2025-01-16,120.84
2025-01-17,124.42
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,124.5
2025-01-22,120.69
2025-01-23,119.14
2025-01-24,119.96
2025-01-25,
2025-01-26,
2025-01-27,119.1
2025-01-28,120.56
2025-01-29,122.59
2025-01-30,118.94
2025-01-31,118.68
2025-02-01,
2025-02-02,
2025-02-03,117.94
2025-02-04,113.54
2025-02-05,114.34
2025-02-06,114.65
2025-02-07,117.29
2025-02-08,
2025-02-09,
2025-02-10,122.54
