Date,Close
2024-01-01,
2024-01-02,90.56
2024-01-03,89.7
2024-01-04,89.27
2024-01-05,89.32
2024-01-06,
2024-01-07,
2024-01-08,91.13
2024-01-09,91.33
2024-01-10,92.22
2024-01-11,92.4
2024-01-12,92.37
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,92.2
2024-01-17,91.62
2024-01-18,92.77
2024-01-19,94.16
2024-01-20,
2024-01-21,
2024-01-22,94.44
2024-01-23,94.72
2024-01-24,94.81
2024-01-25,94.84
2024-01-26,94.8
2024-01-27,
2024-01-28,
2024-01-29,95.89
2024-01-30,95.7
2024-01-31,93.55
2024-02-01,94.9
2024-02-02,96.56
2024-02-03,
2024-02-04,
2024-02-05,96.36
2024-02-06,96.52
2024-02-07,97.66
2024-02-08,97.75
2024-02-09,98.82
2024-02-10,
2024-02-11,
2024-02-12,98.38
2024-02-13,96.9
2024-02-14,97.95
2024-02-15,98.26
2024-02-16,97.43
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,96.47
2024-02-21,96.42
2024-02-22,99.23
2024-02-23,99.13
2024-02-24,
2024-02-25,
2024-02-26,98.79
2024-02-27,98.93
2024-02-28,98.56
2024-02-29,99.29
2024-03-01,100.2
2024-03-02,
2024-03-03,
2024-03-04,99.5
2024-03-05,97.91
2024-03-06,98.45
2024-03-07,99.81
2024-03-08,99.05
2024-03-09,
2024-03-10,
2024-03-11,98.83
2024-03-12,100.43
2024-03-13,100.03
2024-03-14,99.92
2024-03-15,98.8
2024-03-16,
2024-03-17,
2024-03-18,99.75
2024-03-19,100.28
2024-03-20,101.27
2024-03-21,101.27
2024-03-22,101.35
2024-03-23,
2024-03-24,
2024-03-25,100.86
2024-03-26,100.42
2024-03-27,100.81
2024-03-28,100.68
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,100.64
2024-04-02,99.81
2024-04-03,99.93
2024-04-04,98.49
2024-04-05,99.82
2024-04-06,
2024-04-07,
2024-04-08,99.85
2024-04-09,100.19
2024-04-10,99.44
2024-04-11,100.89
2024-04-12,99.44
2024-04-13,
2024-04-14,
2024-04-15,97.63
2024-04-16,97.67
2024-04-17,96.84
2024-04-18,96.55
2024-04-19,94.71
2024-04-20,
2024-04-21,
2024-04-22,95.52
2024-04-23,96.86
2024-04-24,96.92
2024-04-25,96.03
2024-04-26,97.9
2024-04-27,
2024-04-28,
2024-04-29,97.91
2024-04-30,96.05
2024-05-01,95.71
2024-05-02,97.1
2024-05-03,98.76
2024-05-04,
2024-05-05,
2024-05-06,100.02
2024-05-07,100.15
2024-05-08,99.93
2024-05-09,100.17
2024-05-10,100.29
2024-05-11,
2024-05-12,
2024-05-13,100.39
2024-05-14,100.95
2024-05-15,102.32
2024-05-16,102.06
2024-05-17,102.14
2024-05-18,
2024-05-19,
2024-05-20,102.57
2024-05-21,102.8
2024-05-22,102.63
2024-05-23,102.18
2024-05-24,103.02
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,103.62
2024-05-29,103.13
2024-05-30,101.55
2024-05-31,102.01
2024-06-01,
2024-06-02,
2024-06-03,102.72
2024-06-04,103.11
2024-06-05,104.92
2024-06-06,105.1
2024-06-07,104.96
2024-06-08,
2024-06-09,
2024-06-10,105.27
2024-06-11,106.24
2024-06-12,107.52
2024-06-13,107.53
2024-06-14,107.86
2024-06-15,
2024-06-16,
2024-06-17,108.53
2024-06-18,108.47
2024-06-19,
2024-06-20,107.98
2024-06-21,107.88
2024-06-22,
2024-06-23,
2024-06-24,107.01
2024-06-25,108.36
2024-06-26,108.93
2024-06-27,109.3
2024-06-28,108.42
2024-06-29,
2024-06-30,
2024-07-01,109.2
2024-07-02,110.2
2024-07-03,111.01
2024-07-04,
2024-07-05,112.4
2024-07-06,
2024-07-07,
2024-07-08,112.45
2024-07-09,112.61
2024-07-10,113.79
2024-07-11,111.46
2024-07-12,112.04
2024-07-13,
2024-07-14,
2024-07-15,112.23
2024-07-16,112.26
2024-07-17,109.45
2024-07-18,108.65
2024-07-19,107.66
2024-07-20,
2024-07-21,
2024-07-22,109.28
2024-07-23,109.25
2024-07-24,105.18
2024-07-25,104.17
2024-07-26,105.14
2024-07-27,
2024-07-28,
2024-07-29,105.29
2024-07-30,104.23
2024-07-31,106.87
2024-08-01,105.24
2024-08-02,102.79
2024-08-03,
2024-08-04,
2024-08-05,99.05
2024-08-06,100.09
2024-08-07,99.06
2024-08-08,101.91
2024-08-09,102.65
2024-08-10,
2024-08-11,
2024-08-12,102.89
2024-08-13,105.29
2024-08-14,105.41
2024-08-15,107.72
2024-08-16,107.86
2024-08-17,
2024-08-18,
2024-08-19,109.18
2024-08-20,108.99
2024-08-21,109.51
2024-08-22,107.9
2024-08-23,109.34
2024-08-24,
2024-08-25,
2024-08-26,108.7
2024-08-27,108.94
2024-08-28,107.85
2024-08-29,107.54
2024-08-30,108.56
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,105.37
2024-09-04,104.89
2024-09-05,105.01
2024-09-06,102.69
2024-09-07,
2024-09-08,
2024-09-09,103.82
2024-09-10,104.47
2024-09-11,106.58
2024-09-12,107.6
2024-09-13,107.85
2024-09-14,
2024-09-15,
2024-09-16,107.42
2024-09-17,107.45
2024-09-18,107.15
2024-09-19,109.95
2024-09-20,109.62
2024-09-21,
2024-09-22,
2024-09-23,109.76
2024-09-24,110.27
2024-09-25,110.41
2024-09-26,110.82
2024-09-27,110.36
2024-09-28,
2024-09-29,
2024-09-30,110.86
2024-10-01,109.45
2024-10-02,109.65
2024-10-03,109.68
2024-10-04,110.89
2024-10-05,
2024-10-06,
2024-10-07,109.58
2024-10-08,111.2
2024-10-09,111.78
2024-10-10,111.73
2024-10-11,112.08
2024-10-12,
2024-10-13,
2024-10-14,113.12
2024-10-15,111.88
2024-10-16,112.06
2024-10-17,112.09
2024-10-18,112.47
2024-10-19,
2024-10-20,
2024-10-21,112.86
2024-10-22,112.84
2024-10-23,111.03
2024-10-24,111.67
2024-10-25,112.33
2024-10-26,
2024-10-27,
2024-10-28,112.49
2024-10-29,113.25
2024-10-30,112.67
2024-10-31,109.56
2024-11-01,110.49
2024-11-02,
2024-11-03,
2024-11-04,110.11
2024-11-05,111.41
2024-11-06,114.02
2024-11-07,115.95
2024-11-08,116.07
2024-11-09,
2024-11-10,
2024-11-11,116.14
2024-11-12,116.38
2024-11-13,116.13
2024-11-14,115.37
2024-11-15,112.83
2024-11-16,
2024-11-17,
2024-11-18,113.29
2024-11-19,114.39
2024-11-20,114.17
2024-11-21,113.92
2024-11-22,113.96
2024-11-23,
2024-11-24,
2024-11-25,114.32
2024-11-26,115.27
2024-11-27,114.56
2024-11-28,
2024-11-29,115.46
2024-11-30,
2024-12-01,
