Date,Close
2024-01-01,
2024-01-02,110.0
2024-01-03,100.0
2024-01-04,100.0
2024-01-05,100.0
2024-01-06,
2024-01-07,
2024-01-08,110.0
2024-01-09,100.0
2024-01-10,100.0
2024-01-11,100.0
2024-01-12,100.0
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,100.0
2024-01-17,100.0
2024-01-18,90.0
2024-01-19,90.0
2024-01-20,
2024-01-21,
2024-01-22,80.0
2024-01-23,90.0
2024-01-24,90.0
2024-01-25,90.0
2024-01-26,90.0
2024-01-27,
2024-01-28,
2024-01-29,90.0
2024-01-30,80.0
2024-01-31,70.0
2024-02-01,70.0
2024-02-02,70.0
2024-02-03,
2024-02-04,
2024-02-05,70.0
2024-02-06,70.0
2024-02-07,70.0
2024-02-08,70.0
2024-02-09,66.0
2024-02-10,
2024-02-11,
2024-02-12,64.0
2024-02-13,59.0
2024-02-14,56.0
2024-02-15,73.0
2024-02-16,69.5
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,62.0
2024-02-21,64.0
2024-02-22,60.5
2024-02-23,57.5
2024-02-24,
2024-02-25,
2024-02-26,53.5
2024-02-27,53.0
2024-02-28,60.0
2024-02-29,64.5
2024-03-01,64.5
2024-03-02,
2024-03-03,
2024-03-04,60.5
2024-03-05,59.0
2024-03-06,59.5
2024-03-07,60.0
2024-03-08,55.5
2024-03-09,
2024-03-10,
2024-03-11,55.0
2024-03-12,53.5
2024-03-13,53.0
2024-03-14,50.0
2024-03-15,44.5
2024-03-16,
2024-03-17,
2024-03-18,45.5
2024-03-19,41.0
2024-03-20,39.0
2024-03-21,34.0
2024-03-22,34.0
2024-03-23,
2024-03-24,
2024-03-25,37.0
2024-03-26,35.5
2024-03-27,39.0
2024-03-28,39.5
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,37.0
2024-04-02,34.5
2024-04-03,31.5
2024-04-04,33.0
2024-04-05,34.0
2024-04-06,
2024-04-07,
2024-04-08,36.5
2024-04-09,39.5
2024-04-10,36.0
2024-04-11,34.5
2024-04-12,35.5
2024-04-13,
2024-04-14,
2024-04-15,36.0
2024-04-16,33.0
2024-04-17,32.0
2024-04-18,31.0
2024-04-19,32.0
2024-04-20,
2024-04-21,
2024-04-22,32.5
2024-04-23,37.0
2024-04-24,38.0
2024-04-25,36.0
2024-04-26,34.0
2024-04-27,
2024-04-28,
2024-04-29,35.0
2024-04-30,34.5
2024-05-01,33.0
2024-05-02,33.5
2024-05-03,33.5
2024-05-04,
2024-05-05,
2024-05-06,35.0
2024-05-07,34.0
2024-05-08,34.0
2024-05-09,34.0
2024-05-10,33.5
2024-05-11,
2024-05-12,
2024-05-13,35.5
2024-05-14,37.0
2024-05-15,35.0
2024-05-16,34.5
2024-05-17,33.5
2024-05-18,
2024-05-19,
2024-05-20,34.5
2024-05-21,34.5
2024-05-22,33.5
2024-05-23,31.5
2024-05-24,31.5
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,31.5
2024-05-29,32.0
2024-05-30,33.0
2024-05-31,35.0
2024-06-01,
2024-06-02,
2024-06-03,33.0
2024-06-04,32.0
2024-06-05,32.0
2024-06-06,32.0
2024-06-07,31.5
2024-06-08,
2024-06-09,
2024-06-10,31.5
2024-06-11,32.0
2024-06-12,33.0
2024-06-13,32.0
2024-06-14,31.0
2024-06-15,
2024-06-16,
2024-06-17,26.5
2024-06-18,26.0
2024-06-19,
2024-06-20,25.5
2024-06-21,25.0
2024-06-22,
2024-06-23,
2024-06-24,26.0
2024-06-25,25.5
2024-06-26,25.0
2024-06-27,24.5
2024-06-28,25.0
2024-06-29,
2024-06-30,
2024-07-01,24.5
2024-07-02,23.0
2024-07-03,23.0
2024-07-04,
2024-07-05,22.5
2024-07-06,
2024-07-07,
2024-07-08,22.0
2024-07-09,21.0
2024-07-10,21.0
2024-07-11,22.0
2024-07-12,24.0
2024-07-13,
2024-07-14,
2024-07-15,23.0
2024-07-16,24.0
2024-07-17,23.5
2024-07-18,21.5
2024-07-19,21.0
2024-07-20,
2024-07-21,
2024-07-22,23.0
2024-07-23,22.5
2024-07-24,22.0
2024-07-25,23.5
2024-07-26,22.5
2024-07-27,
2024-07-28,
2024-07-29,21.5
2024-07-30,20.5
2024-07-31,22.0
2024-08-01,21.0
2024-08-02,21.0
2024-08-03,
2024-08-04,
2024-08-05,20.0
2024-08-06,19.5
2024-08-07,18.5
2024-08-08,18.5
2024-08-09,18.0
2024-08-10,
2024-08-11,
2024-08-12,19.0
2024-08-13,20.0
2024-08-14,19.0
2024-08-15,19.0
2024-08-16,19.5
2024-08-17,
2024-08-18,
2024-08-19,20.5
2024-08-20,19.5
2024-08-21,20.5
2024-08-22,21.5
2024-08-23,24.0
2024-08-24,
2024-08-25,
2024-08-26,21.5
2024-08-27,20.0
2024-08-28,18.5
2024-08-29,19.0
2024-08-30,19.5
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,16.0
2024-09-04,14.5
2024-09-05,15.0
2024-09-06,14.0
2024-09-07,
2024-09-08,
2024-09-09,13.5
2024-09-10,13.0
2024-09-11,13.5
2024-09-12,14.5
2024-09-13,15.0
2024-09-14,
2024-09-15,
2024-09-16,15.0
2024-09-17,14.5
2024-09-18,14.0
2024-09-19,13.0
2024-09-20,14.0
2024-09-21,
2024-09-22,
2024-09-23,14.0
2024-09-24,13.0
2024-09-25,13.5
2024-09-26,12.0
2024-09-27,13.5
2024-09-28,
2024-09-29,
2024-09-30,4.5
2024-10-01,8.0
2024-10-02,6.5
2024-10-03,6.0
2024-10-04,5.0
2024-10-05,
2024-10-06,
2024-10-07,5.0
2024-10-08,5.0
2024-10-09,5.0
2024-10-10,5.0
2024-10-11,5.0
2024-10-12,
2024-10-13,
2024-10-14,5.0
2024-10-15,2.69
2024-10-16,2.51
2024-10-17,2.25
2024-10-18,2.28
2024-10-19,
2024-10-20,
2024-10-21,1.8
2024-10-22,1.68
2024-10-23,2.22
2024-10-24,1.72
2024-10-25,2.25
2024-10-26,
2024-10-27,
2024-10-28,2.69
2024-10-29,2.87
2024-10-30,2.72
2024-10-31,2.66
2024-11-01,2.58
2024-11-02,
2024-11-03,
2024-11-04,2.26
2024-11-05,2.31
2024-11-06,2.37
2024-11-07,2.25
2024-11-08,2.01
2024-11-09,
2024-11-10,
2024-11-11,1.9
2024-11-12,1.82
2024-11-13,1.61
2024-11-14,3.58
2024-11-15,2.9
2024-11-16,
2024-11-17,
2024-11-18,3.89
2024-11-19,4.0
2024-11-20,3.64
2024-11-21,3.2
2024-11-22,3.49
2024-11-23,
2024-11-24,
2024-11-25,5.97
2024-11-26,5.39
2024-11-27,6.12
2024-11-28,
2024-11-29,8.7
2024-11-30,
