Date,Close
2020-01-01,
2020-01-02,48.38
2020-01-03,48.14
2020-01-04,
2020-01-05,
2020-01-06,48.08
2020-01-07,47.83
2020-01-08,47.8
2020-01-09,47.76
2020-01-10,47.51
2020-01-11,
2020-01-12,
2020-01-13,47.73
2020-01-14,47.76
2020-01-15,47.75
2020-01-16,48.33
2020-01-17,48.25
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,47.81
2020-01-22,47.82
2020-01-23,47.8
2020-01-24,47.16
2020-01-25,
2020-01-26,
2020-01-27,46.49
2020-01-28,46.73
2020-01-29,46.37
2020-01-30,46.42
2020-01-31,45.63
2020-02-01,
2020-02-02,
2020-02-03,46.03
2020-02-04,46.39
2020-02-05,47.42
2020-02-06,46.91
2020-02-07,46.39
2020-02-08,
2020-02-09,
2020-02-10,46.39
2020-02-11,46.79
2020-02-12,47.15
2020-02-13,47.19
2020-02-14,46.84
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,46.29
2020-02-19,46.26
2020-02-20,46.51
2020-02-21,46.25
2020-02-22,
2020-02-23,
2020-02-24,44.79
2020-02-25,43.2
2020-02-26,42.44
2020-02-27,40.81
2020-02-28,40.81
2020-02-29,
2020-03-01,
2020-03-02,41.25
2020-03-03,40.14
2020-03-04,41.29
2020-03-05,39.71
2020-03-06,38.6
2020-03-07,
2020-03-08,
2020-03-09,38.6
2020-03-10,35.12
2020-03-11,32.74
2020-03-12,28.82
2020-03-13,31.67
2020-03-14,
2020-03-15,
2020-03-16,26.81
2020-03-17,27.67
2020-03-18,24.63
2020-03-19,26.61
2020-03-20,25.4
2020-03-21,
2020-03-22,
2020-03-23,24.18
2020-03-24,27.3
2020-03-25,28.14
2020-03-26,30.06
2020-03-27,28.52
2020-03-28,
2020-03-29,
2020-03-30,28.93
2020-03-31,28.67
2020-04-01,26.8
2020-04-02,27.22
2020-04-03,25.94
2020-04-04,
2020-04-05,
2020-04-06,28.16
2020-04-07,28.51
2020-04-08,30.15
2020-04-09,31.95
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,30.65
2020-04-14,30.6
2020-04-15,28.89
2020-04-16,28.15
2020-04-17,29.83
2020-04-18,
2020-04-19,
2020-04-20,29.12
2020-04-21,28.34
2020-04-22,28.42
2020-04-23,28.91
2020-04-24,29.17
2020-04-25,
2020-04-26,
2020-04-27,30.96
2020-04-28,32.04
2020-04-29,34.16
2020-04-30,32.78
2020-05-01,31.19
2020-05-02,
2020-05-03,
2020-05-04,30.82
2020-05-05,30.59
2020-05-06,29.61
2020-05-07,30.38
2020-05-08,31.99
2020-05-09,
2020-05-10,
2020-05-11,30.91
2020-05-12,29.49
