Date,Close
2024-01-01,
2024-01-02,76.09
2024-01-03,74.35
2024-01-04,74.44
2024-01-05,74.74
2024-01-06,
2024-01-07,
2024-01-08,75.43
2024-01-09,74.57
2024-01-10,74.63
2024-01-11,74.21
2024-01-12,73.83
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,73.1
2024-01-17,72.64
2024-01-18,72.91
2024-01-19,73.89
2024-01-20,
2024-01-21,
2024-01-22,75.08
2024-01-23,74.65
2024-01-24,74.45
2024-01-25,75.21
2024-01-26,75.5
2024-01-27,
2024-01-28,
2024-01-29,76.26
2024-01-30,76.08
2024-01-31,74.13
2024-02-01,74.4
2024-02-02,74.06
2024-02-03,
2024-02-04,
2024-02-05,72.83
2024-02-06,73.02
2024-02-07,72.75
2024-02-08,73.36
2024-02-09,73.99
2024-02-10,
2024-02-11,
2024-02-12,75.16
2024-02-13,72.9
2024-02-14,74.27
2024-02-15,76.03
2024-02-16,75.5
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,75.01
2024-02-21,75.35
2024-02-22,75.55
2024-02-23,75.43
2024-02-24,
2024-02-25,
2024-02-26,74.81
2024-02-27,75.47
2024-02-28,75.41
2024-02-29,75.97
2024-03-01,75.83
2024-03-02,
2024-03-03,
2024-03-04,76.04
2024-03-05,76.54
2024-03-06,76.97
2024-03-07,77.49
2024-03-08,77.5
2024-03-09,
2024-03-10,
2024-03-11,77.61
2024-03-12,77.5
2024-03-13,77.69
2024-03-14,76.67
2024-03-15,77.07
2024-03-16,
2024-03-17,
2024-03-18,76.71
2024-03-19,77.12
2024-03-20,78.22
2024-03-21,78.98
2024-03-22,78.17
2024-03-23,
2024-03-24,
2024-03-25,78.43
2024-03-26,78.4
2024-03-27,80.14
2024-03-28,80.54
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,79.72
2024-04-02,78.72
2024-04-03,78.82
2024-04-04,78.18
2024-04-05,78.46
2024-04-06,
2024-04-07,
2024-04-08,79.12
2024-04-09,79.49
2024-04-10,77.58
2024-04-11,77.33
2024-04-12,76.38
2024-04-13,
2024-04-14,
2024-04-15,75.76
2024-04-16,75.26
2024-04-17,75.06
2024-04-18,75.39
2024-04-19,76.45
2024-04-20,
2024-04-21,
2024-04-22,76.95
2024-04-23,77.65
2024-04-24,77.97
2024-04-25,77.52
2024-04-26,77.57
2024-04-27,
2024-04-28,
2024-04-29,77.83
2024-04-30,76.6
2024-05-01,76.92
2024-05-02,77.68
2024-05-03,78.11
2024-05-04,
2024-05-05,
