Date,Close
2020-01-01,
2020-01-02,35.87
2020-01-03,35.53
2020-01-04,
2020-01-05,
2020-01-06,35.48
2020-01-07,35.31
2020-01-08,35.42
2020-01-09,35.6
2020-01-10,35.37
2020-01-11,
2020-01-12,
2020-01-13,35.93
2020-01-14,36.11
2020-01-15,36.21
2020-01-16,37.05
2020-01-17,36.87
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,36.42
2020-01-22,36.4
2020-01-23,36.55
2020-01-24,35.78
2020-01-25,
2020-01-26,
2020-01-27,34.77
2020-01-28,35.46
2020-01-29,35.11
2020-01-30,35.17
2020-01-31,33.76
2020-02-01,
2020-02-02,
2020-02-03,34.49
2020-02-04,35.4
2020-02-05,36.24
2020-02-06,35.87
2020-02-07,35.17
2020-02-08,
2020-02-09,
2020-02-10,35.56
2020-02-11,36.1
2020-02-12,36.6
2020-02-13,36.82
2020-02-14,36.81
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,36.54
2020-02-19,36.85
2020-02-20,37.12
2020-02-21,36.35
2020-02-22,
2020-02-23,
2020-02-24,34.17
2020-02-25,31.79
2020-02-26,30.82
2020-02-27,28.57
2020-02-28,28.57
2020-02-29,
2020-03-01,
2020-03-02,29.27
2020-03-03,28.01
2020-03-04,29.96
2020-03-05,27.79
2020-03-06,26.82
2020-03-07,
2020-03-08,
2020-03-09,21.87
2020-03-10,23.58
2020-03-11,23.58
2020-03-12,16.3
2020-03-13,16.3
2020-03-14,
2020-03-15,
2020-03-16,13.87
2020-03-17,15.33
2020-03-18,12.15
2020-03-19,13.26
2020-03-20,12.1
2020-03-21,
2020-03-22,
2020-03-23,11.3
2020-03-24,13.74
2020-03-25,13.74
2020-03-26,16.28
2020-03-27,15.2
2020-03-28,
2020-03-29,
2020-03-30,16.01
2020-03-31,15.66
2020-04-01,13.85
2020-04-02,14.15
2020-04-03,13.38
2020-04-04,
2020-04-05,
2020-04-06,15.51
2020-04-07,15.91
2020-04-08,17.5
2020-04-09,18.65
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,17.5
2020-04-14,18.24
2020-04-15,16.82
2020-04-16,16.75
2020-04-17,17.98
2020-04-18,
2020-04-19,
2020-04-20,17.31
2020-04-21,16.36
2020-04-22,16.84
2020-04-23,17.22
2020-04-24,17.69
2020-04-25,
2020-04-26,
2020-04-27,19.13
2020-04-28,19.52
2020-04-29,21.17
2020-04-30,19.87
2020-05-01,18.52
2020-05-02,
2020-05-03,
2020-05-04,18.54
2020-05-05,18.9
2020-05-06,18.59
2020-05-07,19.21
2020-05-08,20.55
2020-05-09,
2020-05-10,
2020-05-11,20.23
2020-05-12,18.79
2020-05-13,17.51
2020-05-14,17.9
2020-05-15,18.17
2020-05-16,
2020-05-17,
2020-05-18,20.36
2020-05-19,19.84
2020-05-20,20.7
2020-05-21,20.85
2020-05-22,20.87
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,22.28
2020-05-27,23.45
2020-05-28,22.77
2020-05-29,22.54
2020-05-30,
2020-05-31,
2020-06-01,23.06
2020-06-02,23.49
2020-06-03,24.77
2020-06-04,24.82
2020-06-05,26.41
2020-06-06,
2020-06-07,
2020-06-08,27.37
2020-06-09,26.23
2020-06-10,24.92
2020-06-11,21.37
2020-06-12,22.24
2020-06-13,
2020-06-14,
2020-06-15,22.93
2020-06-16,23.87
2020-06-17,23.21
2020-06-18,23.08
2020-06-19,22.88
2020-06-20,
2020-06-21,
2020-06-22,23.01
2020-06-23,23.06
2020-06-24,21.49
2020-06-25,22.05
2020-06-26,21.16
2020-06-27,
2020-06-28,
2020-06-29,22.19
2020-06-30,22.77
2020-07-01,22.45
2020-07-02,22.66
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,23.13
2020-07-07,22.24
2020-07-08,22.53
2020-07-09,21.87
2020-07-10,22.49
2020-07-11,
2020-07-12,
2020-07-13,22.01
2020-07-14,22.72
2020-07-15,24.08
2020-07-16,23.88
2020-07-17,24.08
2020-07-18,
2020-07-19,
2020-07-20,23.79
2020-07-21,24.39
2020-07-22,24.75
2020-07-23,24.81
2020-07-24,24.42
2020-07-25,
2020-07-26,
2020-07-27,24.87
2020-07-28,24.37
2020-07-29,25.43
2020-07-30,25.1
2020-07-31,24.77
2020-08-01,
2020-08-02,
2020-08-03,25.32
2020-08-04,25.58
2020-08-05,26.28
2020-08-06,26.14
2020-08-07,26.77
2020-08-08,
2020-08-09,
2020-08-10,27.01
2020-08-11,26.95
2020-08-12,27.31
2020-08-13,27.17
2020-08-14,27.09
2020-08-15,
2020-08-16,
2020-08-17,27.2
2020-08-18,26.7
2020-08-19,26.48
2020-08-20,26.14
2020-08-21,26.0
2020-08-22,
2020-08-23,
2020-08-24,26.76
2020-08-25,26.68
2020-08-26,26.48
2020-08-27,26.69
2020-08-28,26.98
2020-08-29,
2020-08-30,
2020-08-31,26.42
2020-09-01,26.82
2020-09-02,27.51
2020-09-03,25.82
2020-09-04,25.6
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,24.44
2020-09-09,25.11
2020-09-10,24.5
2020-09-11,24.44
2020-09-12,
2020-09-13,
2020-09-14,25.41
2020-09-15,25.45
2020-09-16,25.6
2020-09-17,25.32
2020-09-18,24.73
2020-09-19,
2020-09-20,
2020-09-21,23.52
2020-09-22,23.85
2020-09-23,22.77
2020-09-24,22.77
2020-09-25,23.42
2020-09-26,
2020-09-27,
2020-09-28,24.52
2020-09-29,24.23
2020-09-30,24.55
2020-10-01,25.2
2020-10-02,25.66
2020-10-03,
2020-10-04,
2020-10-05,26.82
2020-10-06,26.57
2020-10-07,27.5
2020-10-08,28.08
2020-10-09,28.22
2020-10-10,
2020-10-11,
2020-10-12,28.57
2020-10-13,28.12
2020-10-14,27.86
2020-10-15,28.39
2020-10-16,28.23
2020-10-17,
2020-10-18,
2020-10-19,27.56
2020-10-20,27.85
2020-10-21,27.45
2020-10-22,28.37
2020-10-23,28.72
2020-10-24,
2020-10-25,
2020-10-26,27.52
2020-10-27,26.77
2020-10-28,25.36
2020-10-29,25.88
2020-10-30,25.48
2020-10-31,
2020-11-01,
2020-11-02,26.46
2020-11-03,27.64
2020-11-04,27.68
2020-11-05,29.24
2020-11-06,28.94
2020-11-07,
2020-11-08,
2020-11-09,30.56
2020-11-10,31.29
2020-11-11,31.23
2020-11-12,30.16
2020-11-13,31.43
2020-11-14,
2020-11-15,
2020-11-16,32.68
2020-11-17,32.81
2020-11-18,31.94
2020-11-19,32.48
2020-11-20,32.43
2020-11-21,
2020-11-22,
2020-11-23,33.44
2020-11-24,34.56
2020-11-25,34.06
2020-11-26,
2020-11-27,34.19
2020-11-28,
2020-11-29,
2020-11-30,33.03
2020-12-01,33.03
2020-12-02,33.73
2020-12-03,34.1
2020-12-04,35.37
2020-12-05,
2020-12-06,
2020-12-07,35.11
2020-12-08,35.5
2020-12-09,35.21
2020-12-10,35.4
2020-12-11,35.2
2020-12-12,
2020-12-13,
2020-12-14,35.03
2020-12-15,36.68
2020-12-16,36.42
2020-12-17,37.04
2020-12-18,36.68
2020-12-19,
2020-12-20,
2020-12-21,36.52
2020-12-22,36.83
2020-12-23,37.48
2020-12-24,37.6
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,37.37
2020-12-29,36.55
2020-12-30,37.18
2020-12-31,37.29
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,36.09
2021-01-05,37.15
2021-01-06,40.07
2021-01-07,41.0
2021-01-08,40.84
2021-01-09,
2021-01-10,
2021-01-11,41.0
2021-01-12,41.93
2021-01-13,41.14
2021-01-14,41.91
2021-01-15,41.06
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,41.74
2021-01-20,42.59
2021-01-21,42.04
2021-01-22,42.35
2021-01-23,
2021-01-24,
2021-01-25,42.03
2021-01-26,41.16
2021-01-27,39.09
2021-01-28,39.75
2021-01-29,38.16
2021-01-30,
2021-01-31,
2021-02-01,39.74
2021-02-02,40.71
2021-02-03,40.74
2021-02-04,41.88
2021-02-05,42.73
2021-02-06,
2021-02-07,
2021-02-08,44.1
2021-02-09,44.32
2021-02-10,44.2
2021-02-11,44.77
2021-02-12,45.08
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,44.89
2021-02-17,44.4
2021-02-18,43.41
2021-02-19,44.73
2021-02-20,
2021-02-21,
2021-02-22,44.42
2021-02-23,44.52
2021-02-24,46.18
2021-02-25,43.36
2021-02-26,43.28
2021-02-27,
2021-02-28,
2021-03-01,45.63
2021-03-02,44.38
2021-03-03,43.63
2021-03-04,41.74
2021-03-05,43.76
2021-03-06,
2021-03-07,
2021-03-08,44.39
2021-03-09,44.99
2021-03-10,46.24
2021-03-11,47.61
2021-03-12,48.53
2021-03-13,
2021-03-14,
2021-03-15,49.85
2021-03-16,48.54
2021-03-17,49.17
2021-03-18,47.28
2021-03-19,47.31
2021-03-20,
2021-03-21,
2021-03-22,46.75
2021-03-23,44.3
2021-03-24,43.75
2021-03-25,45.56
2021-03-26,47.66
2021-03-27,
2021-03-28,
2021-03-29,45.93
2021-03-30,47.03
2021-03-31,47.07
2021-04-01,48.43
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,49.05
2021-04-06,49.11
2021-04-07,48.41
2021-04-08,48.78
2021-04-09,49.23
2021-04-10,
2021-04-11,
2021-04-12,49.54
2021-04-13,49.11
2021-04-14,49.61
2021-04-15,50.33
2021-04-16,51.1
2021-04-17,
2021-04-18,
2021-04-19,50.46
2021-04-20,49.04
2021-04-21,50.71
2021-04-22,50.27
2021-04-23,51.95
2021-04-24,
2021-04-25,
2021-04-26,52.42
2021-04-27,52.57
2021-04-28,52.55
2021-04-29,52.57
2021-04-30,51.15
2021-05-01,
2021-05-02,
2021-05-03,51.72
2021-05-04,51.37
2021-05-05,51.2
2021-05-06,51.69
2021-05-07,52.85
2021-05-08,
2021-05-09,
2021-05-10,51.57
2021-05-11,50.65
2021-05-12,47.49
2021-05-13,49.25
2021-05-14,50.92
2021-05-15,
2021-05-16,
2021-05-17,50.79
2021-05-18,49.73
2021-05-19,49.08
2021-05-20,49.48
2021-05-21,49.7
2021-05-22,
2021-05-23,
2021-05-24,50.16
2021-05-25,49.43
2021-05-26,50.38
2021-05-27,51.03
2021-05-28,51.11
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,51.72
2021-06-02,51.11
2021-06-03,50.6
2021-06-04,51.13
2021-06-05,
2021-06-06,
2021-06-07,51.0
2021-06-08,51.92
2021-06-09,51.24
2021-06-10,51.19
2021-06-11,51.99
2021-06-12,
2021-06-13,
