Date,Close
2024-01-01,
2024-01-02,146.51
2024-01-03,145.77
2024-01-04,145.26
2024-01-05,146.86
2024-01-06,
2024-01-07,
2024-01-08,147.97
2024-01-09,147.99
2024-01-10,149.18
2024-01-11,147.35
2024-01-12,146.48
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,143.73
2024-01-17,143.01
2024-01-18,144.84
2024-01-19,145.17
2024-01-20,
2024-01-21,
2024-01-22,146.75
2024-01-23,148.1
2024-01-24,144.88
2024-01-25,147.78
2024-01-26,147.4
2024-01-27,
2024-01-28,
2024-01-29,146.22
2024-01-30,134.22
2024-01-31,131.3
2024-02-01,131.77
2024-02-02,131.25
2024-02-03,
2024-02-04,
2024-02-05,128.69
2024-02-06,135.02
2024-02-07,136.24
2024-02-08,136.87
2024-02-09,135.33
2024-02-10,
2024-02-11,
2024-02-12,136.44
2024-02-13,134.08
2024-02-14,133.45
2024-02-15,136.0
2024-02-16,138.86
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,139.08
2024-02-21,138.73
2024-02-22,140.1
2024-02-23,139.07
2024-02-24,
2024-02-25,
2024-02-26,138.01
2024-02-27,138.73
2024-02-28,138.27
2024-02-29,138.72
2024-03-01,138.54
2024-03-02,
2024-03-03,
2024-03-04,140.92
2024-03-05,140.03
2024-03-06,142.74
2024-03-07,143.54
2024-03-08,144.06
2024-03-09,
2024-03-10,
2024-03-11,144.8
2024-03-12,147.26
2024-03-13,144.81
2024-03-14,143.99
2024-03-15,143.5
2024-03-16,
2024-03-17,
2024-03-18,141.93
2024-03-19,143.35
2024-03-20,144.81
2024-03-21,145.33
2024-03-22,146.22
2024-03-23,
2024-03-24,
2024-03-25,146.5
2024-03-26,134.54
2024-03-27,137.85
2024-03-28,139.07
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,138.12
2024-04-02,139.56
2024-04-03,142.48
2024-04-04,140.35
2024-04-05,141.62
2024-04-06,
2024-04-07,
2024-04-08,140.45
2024-04-09,140.88
2024-04-10,137.79
2024-04-11,139.43
2024-04-12,135.59
2024-04-13,
2024-04-14,
2024-04-15,135.53
2024-04-16,133.7
2024-04-17,133.1
2024-04-18,133.56
2024-04-19,133.59
2024-04-20,
2024-04-21,
2024-04-22,136.01
2024-04-23,139.29
2024-04-24,137.19
2024-04-25,137.91
2024-04-26,138.1
2024-04-27,
2024-04-28,
2024-04-29,138.99
2024-04-30,137.99
2024-05-01,136.53
2024-05-02,137.75
2024-05-03,137.01
2024-05-04,
2024-05-05,
2024-05-06,137.24
2024-05-07,137.63
2024-05-08,138.27
2024-05-09,138.54
2024-05-10,139.43
2024-05-11,
2024-05-12,
2024-05-13,142.48
2024-05-14,139.96
2024-05-15,139.96
2024-05-16,141.59
2024-05-17,141.19
2024-05-18,
2024-05-19,
2024-05-20,139.63
2024-05-21,137.58
2024-05-22,136.02
2024-05-23,131.6
2024-05-24,131.19
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,130.16
2024-05-29,127.16
2024-05-30,129.48
2024-05-31,131.44
2024-06-01,
2024-06-02,
2024-06-03,130.96
2024-06-04,128.32
2024-06-05,130.15
2024-06-06,130.14
2024-06-07,130.22
2024-06-08,
2024-06-09,
2024-06-10,130.26
2024-06-11,129.95
2024-06-12,129.08
2024-06-13,127.62
2024-06-14,128.34
2024-06-15,
2024-06-16,
2024-06-17,128.53
2024-06-18,126.97
2024-06-19,
2024-06-20,129.49
2024-06-21,129.24
2024-06-22,
2024-06-23,
2024-06-24,131.13
2024-06-25,127.12
2024-06-26,130.7
2024-06-27,128.51
2024-06-28,129.47
2024-06-29,
2024-06-30,
2024-07-01,128.62
2024-07-02,127.64
2024-07-03,128.24
2024-07-04,
2024-07-05,129.0
2024-07-06,
2024-07-07,
2024-07-08,128.22
2024-07-09,127.04
2024-07-10,128.34
2024-07-11,130.79
2024-07-12,134.68
2024-07-13,
2024-07-14,
2024-07-15,136.38
2024-07-16,139.39
2024-07-17,139.44
2024-07-18,136.96
2024-07-19,137.35
2024-07-20,
2024-07-21,
2024-07-22,137.35
2024-07-23,120.8
2024-07-24,121.6
2024-07-25,120.23
2024-07-26,121.89
2024-07-27,
2024-07-28,
2024-07-29,121.68
2024-07-30,122.07
2024-07-31,123.34
2024-08-01,123.54
2024-08-02,121.16
2024-08-03,
2024-08-04,
2024-08-05,119.23
2024-08-06,117.79
2024-08-07,116.67
2024-08-08,119.41
2024-08-09,119.04
2024-08-10,
2024-08-11,
2024-08-12,118.13
2024-08-13,119.67
2024-08-14,119.61
2024-08-15,121.62
2024-08-16,122.66
2024-08-17,
2024-08-18,
2024-08-19,123.55
2024-08-20,123.48
2024-08-21,122.55
2024-08-22,121.53
2024-08-23,122.61
2024-08-24,
2024-08-25,
2024-08-26,123.85
2024-08-27,122.55
2024-08-28,121.87
2024-08-29,121.66
2024-08-30,123.17
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,122.16
2024-09-04,123.52
2024-09-05,122.07
2024-09-06,122.2
2024-09-07,
2024-09-08,
2024-09-09,123.48
2024-09-10,124.4
2024-09-11,123.12
2024-09-12,123.04
2024-09-13,121.91
2024-09-14,
2024-09-15,
2024-09-16,123.51
2024-09-17,125.18
2024-09-18,125.18
2024-09-19,126.6
2024-09-20,123.22
2024-09-21,
2024-09-22,
2024-09-23,123.35
2024-09-24,124.1
2024-09-25,126.0
2024-09-26,127.75
2024-09-27,128.64
2024-09-28,
2024-09-29,
2024-09-30,130.63
2024-10-01,127.69
2024-10-02,127.44
2024-10-03,125.25
2024-10-04,125.76
2024-10-05,
2024-10-06,
2024-10-07,125.71
2024-10-08,125.48
2024-10-09,127.43
2024-10-10,127.28
2024-10-11,128.97
2024-10-12,
2024-10-13,
2024-10-14,128.94
2024-10-15,128.2
2024-10-16,130.15
2024-10-17,129.74
2024-10-18,130.24
2024-10-19,
2024-10-20,
2024-10-21,125.83
2024-10-22,125.83
2024-10-23,125.91
2024-10-24,132.56
2024-10-25,131.68
2024-10-26,
2024-10-27,
2024-10-28,129.67
2024-10-29,128.69
2024-10-30,128.2
2024-10-31,128.45
2024-11-01,128.44
2024-11-02,
2024-11-03,
2024-11-04,127.43
2024-11-05,128.24
2024-11-06,128.31
2024-11-07,128.53
2024-11-08,126.9
2024-11-09,
2024-11-10,
2024-11-11,126.1
2024-11-12,124.69
2024-11-13,128.08
2024-11-14,127.09
