Date,Close
2024-01-01,
2024-01-02,41.56
2024-01-03,40.86
2024-01-04,40.84
2024-01-05,41.01
2024-01-06,
2024-01-07,
2024-01-08,41.32
2024-01-09,41.09
2024-01-10,41.1
2024-01-11,41.02
2024-01-12,41.01
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,40.86
2024-01-17,40.54
2024-01-18,40.88
2024-01-19,41.2
2024-01-20,
2024-01-21,
2024-01-22,41.56
2024-01-23,41.51
2024-01-24,41.38
2024-01-25,41.74
2024-01-26,41.72
2024-01-27,
2024-01-28,
2024-01-29,41.95
2024-01-30,41.98
2024-01-31,41.36
2024-02-01,41.79
2024-02-02,41.74
2024-02-03,
2024-02-04,
2024-02-05,41.34
2024-02-06,41.53
2024-02-07,41.65
2024-02-08,41.82
2024-02-09,42.02
2024-02-10,
2024-02-11,
2024-02-12,42.35
2024-02-13,41.64
2024-02-14,42.08
2024-02-15,42.58
2024-02-16,42.36
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,42.18
2024-02-21,42.51
2024-02-22,43.03
2024-02-23,43.12
2024-02-24,
2024-02-25,
2024-02-26,42.96
2024-02-27,43.04
2024-02-28,42.97
2024-02-29,43.11
2024-03-01,43.25
2024-03-02,
2024-03-03,
2024-03-04,43.56
2024-03-05,43.56
2024-03-06,43.83
2024-03-07,44.17
2024-03-08,44.02
2024-03-09,
2024-03-10,
2024-03-11,44.02
2024-03-12,44.14
2024-03-13,44.2
2024-03-14,43.85
2024-03-15,43.85
2024-03-16,
2024-03-17,
2024-03-18,43.78
2024-03-19,44.03
2024-03-20,44.42
2024-03-21,44.76
2024-03-22,44.46
2024-03-23,
2024-03-24,
2024-03-25,44.45
2024-03-26,44.39
2024-03-27,45.15
2024-03-28,45.43
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,45.08
2024-04-02,44.66
2024-04-03,44.75
2024-04-04,44.31
2024-04-05,44.54
2024-04-06,
2024-04-07,
2024-04-08,44.64
2024-04-09,44.88
2024-04-10,44.1
2024-04-11,44.04
2024-04-12,43.38
2024-04-13,
2024-04-14,
2024-04-15,43.03
2024-04-16,42.78
2024-04-17,42.46
2024-04-18,42.46
2024-04-19,42.75
2024-04-20,
2024-04-21,
2024-04-22,43.1
2024-04-23,43.43
2024-04-24,43.48
2024-04-25,43.29
2024-04-26,43.38
