Date,Close
2024-01-01,
2024-01-02,31.68
2024-01-03,31.07
2024-01-04,31.0
2024-01-05,30.99
2024-01-06,
2024-01-07,
2024-01-08,31.39
2024-01-09,31.18
2024-01-10,31.28
2024-01-11,31.09
2024-01-12,31.29
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,31.05
2024-01-17,30.43
2024-01-18,30.25
2024-01-19,30.53
2024-01-20,
2024-01-21,
2024-01-22,30.65
2024-01-23,30.46
2024-01-24,30.24
2024-01-25,30.38
2024-01-26,30.38
2024-01-27,
2024-01-28,
2024-01-29,30.59
2024-01-30,30.39
2024-01-31,30.19
2024-02-01,30.59
2024-02-02,30.29
2024-02-03,
2024-02-04,
2024-02-05,29.85
2024-02-06,30.11
2024-02-07,30.11
2024-02-08,30.21
2024-02-09,30.2
2024-02-10,
2024-02-11,
2024-02-12,30.17
2024-02-13,29.68
2024-02-14,29.82
2024-02-15,30.36
2024-02-16,30.23
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,30.13
2024-02-21,30.3
2024-02-22,30.4
2024-02-23,30.31
2024-02-24,
2024-02-25,
2024-02-26,30.06
2024-02-27,30.08
2024-02-28,30.16
2024-02-29,30.31
2024-03-01,30.6
2024-03-02,
2024-03-03,
2024-03-04,30.77
2024-03-05,30.48
2024-03-06,30.67
2024-03-07,30.8
2024-03-08,31.11
2024-03-09,
2024-03-10,
2024-03-11,30.99
2024-03-12,30.92
2024-03-13,30.92
2024-03-14,30.46
2024-03-15,30.35
2024-03-16,
2024-03-17,
2024-03-18,30.43
2024-03-19,30.51
2024-03-20,30.73
2024-03-21,30.91
2024-03-22,30.63
2024-03-23,
2024-03-24,
2024-03-25,30.47
2024-03-26,30.37
2024-03-27,30.96
2024-03-28,31.17
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,30.75
2024-04-02,30.38
2024-04-03,30.32
2024-04-04,30.17
2024-04-05,30.36
2024-04-06,
2024-04-07,
2024-04-08,30.81
2024-04-09,31.11
2024-04-10,30.16
2024-04-11,30.2
2024-04-12,30.2
2024-04-13,
2024-04-14,
2024-04-15,29.46
2024-04-16,29.13
2024-04-17,28.96
2024-04-18,29.04
2024-04-19,29.11
2024-04-20,
2024-04-21,
2024-04-22,29.35
2024-04-23,29.68
2024-04-24,29.57
2024-04-25,29.45
2024-04-26,29.53
2024-04-27,
2024-04-28,
2024-04-29,29.83
2024-04-30,29.42
2024-05-01,29.39
2024-05-02,29.98
2024-05-03,30.2
2024-05-04,
2024-05-05,
2024-05-06,30.27
2024-05-07,30.44
2024-05-08,30.2
2024-05-09,30.57
2024-05-10,30.51
2024-05-11,
2024-05-12,
2024-05-13,30.52
2024-05-14,30.66
2024-05-15,31.15
2024-05-16,31.18
2024-05-17,31.17
2024-05-18,
2024-05-19,
2024-05-20,31.02
2024-05-21,30.95
2024-05-22,30.76
2024-05-23,30.11
2024-05-24,30.2
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,30.16
2024-05-29,29.83
2024-05-30,30.25
2024-05-31,30.25
2024-06-01,
2024-06-02,
2024-06-03,30.78
2024-06-04,30.95
2024-06-05,30.99
2024-06-06,31.01
2024-06-07,30.62
2024-06-08,
2024-06-09,
2024-06-10,30.66
2024-06-11,30.43
2024-06-12,30.65
2024-06-13,30.72
2024-06-14,30.7
2024-06-15,
2024-06-16,
2024-06-17,30.58
2024-06-18,30.69
2024-06-19,
2024-06-20,30.57
2024-06-21,30.55
2024-06-22,
2024-06-23,
2024-06-24,30.81
2024-06-25,30.53
2024-06-26,30.36
2024-06-27,30.54
2024-06-28,30.84
2024-06-29,
2024-06-30,
2024-07-01,30.68
2024-07-02,30.86
2024-07-03,30.96
2024-07-04,
2024-07-05,31.15
2024-07-06,
2024-07-07,
2024-07-08,31.11
2024-07-09,31.13
2024-07-10,31.39
2024-07-11,31.96
2024-07-12,32.23
2024-07-13,
2024-07-14,
2024-07-15,32.34
2024-07-16,32.55
2024-07-17,32.72
2024-07-18,32.44
2024-07-19,32.37
2024-07-20,
2024-07-21,
2024-07-22,32.67
2024-07-23,32.63
2024-07-24,32.12
2024-07-25,31.89
2024-07-26,32.29
2024-07-27,
2024-07-28,
2024-07-29,32.58
2024-07-30,32.83
2024-07-31,32.85
2024-08-01,33.04
2024-08-02,32.99
2024-08-03,
2024-08-04,
2024-08-05,32.09
2024-08-06,32.8
2024-08-07,32.65
2024-08-08,33.1
2024-08-09,33.26
2024-08-10,
2024-08-11,
2024-08-12,33.03
2024-08-13,33.44
2024-08-14,33.57
2024-08-15,33.6
2024-08-16,33.61
2024-08-17,
2024-08-18,
2024-08-19,33.94
2024-08-20,33.97
2024-08-21,34.13
2024-08-22,34.27
2024-08-23,34.83
2024-08-24,
2024-08-25,
2024-08-26,34.94
2024-08-27,35.02
2024-08-28,34.89
2024-08-29,34.68
2024-08-30,35.01
2024-08-31,
2024-09-01,
2024-09-02,
