Date,Close
2024-01-01,
2024-01-02,28.51
2024-01-03,30.12
2024-01-04,29.48
2024-01-05,29.79
2024-01-06,
2024-01-07,
2024-01-08,30.43
2024-01-09,29.48
2024-01-10,29.31
2024-01-11,29.67
2024-01-12,30.9
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,30.54
2024-01-17,31.07
2024-01-18,31.06
2024-01-19,31.56
2024-01-20,
2024-01-21,
2024-01-22,31.59
2024-01-23,31.75
2024-01-24,32.17
2024-01-25,32.91
2024-01-26,33.18
2024-01-27,
2024-01-28,
2024-01-29,33.05
2024-01-30,32.94
2024-01-31,32.76
2024-02-01,32.89
2024-02-02,32.22
2024-02-03,
2024-02-04,
2024-02-05,31.43
2024-02-06,31.95
2024-02-07,32.24
2024-02-08,31.43
2024-02-09,30.93
2024-02-10,
2024-02-11,
2024-02-12,30.8
2024-02-13,30.8
2024-02-14,31.9
2024-02-15,32.97
2024-02-16,33.61
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,34.85
2024-02-21,36.03
2024-02-22,36.13
2024-02-23,35.69
2024-02-24,
2024-02-25,
2024-02-26,35.87
2024-02-27,35.61
2024-02-28,36.06
2024-02-29,36.8
2024-03-01,37.53
2024-03-02,
2024-03-03,
2024-03-04,36.6
2024-03-05,36.58
2024-03-06,37.66
2024-03-07,36.5
2024-03-08,36.59
2024-03-09,
2024-03-10,
2024-03-11,36.7
2024-03-12,38.58
2024-03-13,39.75
2024-03-14,39.33
2024-03-15,40.75
2024-03-16,
2024-03-17,
2024-03-18,41.86
2024-03-19,42.55
2024-03-20,42.99
2024-03-21,43.27
2024-03-22,43.46
2024-03-23,
2024-03-24,
2024-03-25,42.55
2024-03-26,41.97
2024-03-27,42.24
2024-03-28,41.38
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,41.31
2024-04-02,41.47
2024-04-03,41.92
2024-04-04,41.3
2024-04-05,42.46
2024-04-06,
2024-04-07,
2024-04-08,43.8
2024-04-09,43.1
2024-04-10,43.38
2024-04-11,43.34
2024-04-12,43.24
2024-04-13,
2024-04-14,
2024-04-15,41.67
2024-04-16,42.18
2024-04-17,41.31
2024-04-18,41.31
2024-04-19,41.93
2024-04-20,
2024-04-21,
2024-04-22,43.56
2024-04-23,44.17
2024-04-24,43.39
2024-04-25,42.73
2024-04-26,43.04
2024-04-27,
2024-04-28,
2024-04-29,43.56
2024-04-30,43.15
2024-05-01,42.81
2024-05-02,42.47
2024-05-03,43.2
2024-05-04,
2024-05-05,
2024-05-06,45.68
2024-05-07,46.53
2024-05-08,46.12
2024-05-09,46.24
2024-05-10,45.35
2024-05-11,
2024-05-12,
2024-05-13,45.0
2024-05-14,46.55
2024-05-15,47.61
2024-05-16,47.47
2024-05-17,47.49
2024-05-18,
2024-05-19,
2024-05-20,48.58
2024-05-21,49.01
2024-05-22,46.2
