Date,Close
2024-01-01,
2024-01-02,78.57
2024-01-03,77.77
2024-01-04,77.55
2024-01-05,77.68
2024-01-06,
2024-01-07,
2024-01-08,78.83
2024-01-09,78.67
2024-01-10,79.09
2024-01-11,79.0
2024-01-12,79.03
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,78.68
2024-01-17,78.22
2024-01-18,78.89
2024-01-19,79.85
2024-01-20,
2024-01-21,
2024-01-22,80.17
2024-01-23,80.33
2024-01-24,80.32
2024-01-25,80.74
2024-01-26,80.72
2024-01-27,
2024-01-28,
2024-01-29,81.42
2024-01-30,81.32
2024-01-31,79.96
2024-02-01,80.97
2024-02-02,81.73
2024-02-03,
2024-02-04,
2024-02-05,81.36
2024-02-06,81.62
2024-02-07,82.25
2024-02-08,82.44
2024-02-09,82.98
2024-02-10,
2024-02-11,
2024-02-12,83.0
2024-02-13,81.71
2024-02-14,82.64
2024-02-15,83.24
2024-02-16,82.81
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,82.26
2024-02-21,82.29
2024-02-22,83.94
2024-02-23,83.98
2024-02-24,
2024-02-25,
2024-02-26,83.75
2024-02-27,83.97
2024-02-28,83.82
2024-02-29,84.28
2024-03-01,84.95
2024-03-02,
2024-03-03,
2024-03-04,84.87
2024-03-05,83.98
2024-03-06,84.45
2024-03-07,85.31
2024-03-08,84.79
2024-03-09,
2024-03-10,
2024-03-11,84.64
2024-03-12,85.49
2024-03-13,85.38
2024-03-14,85.03
2024-03-15,84.55
2024-03-16,
2024-03-17,
2024-03-18,84.99
2024-03-19,85.47
2024-03-20,86.34
2024-03-21,86.69
2024-03-22,86.48
2024-03-23,
2024-03-24,
2024-03-25,86.26
2024-03-26,86.05
2024-03-27,86.88
2024-03-28,87.0
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,86.74
2024-04-02,86.04
2024-04-03,86.17
2024-04-04,85.14
2024-04-05,86.05
2024-04-06,
2024-04-07,
2024-04-08,86.08
2024-04-09,86.22
2024-04-10,85.3
2024-04-11,85.9
2024-04-12,84.62
2024-04-13,
2024-04-14,
2024-04-15,83.56
2024-04-16,83.35
2024-04-17,82.84
2024-04-18,82.67
2024-04-19,82.04
2024-04-20,
2024-04-21,
2024-04-22,82.77
2024-04-23,83.83
2024-04-24,83.82
2024-04-25,83.42
2024-04-26,84.24
2024-04-27,
2024-04-28,
2024-04-29,84.53
2024-04-30,83.16
2024-05-01,82.95
2024-05-02,83.78
2024-05-03,84.78
2024-05-04,
2024-05-05,
2024-05-06,85.7
2024-05-07,85.78
2024-05-08,85.74
2024-05-09,86.23
2024-05-10,86.32
2024-05-11,
2024-05-12,
2024-05-13,86.31
2024-05-14,86.8
2024-05-15,87.82
2024-05-16,87.61
2024-05-17,87.71
2024-05-18,
2024-05-19,
2024-05-20,87.82
2024-05-21,87.98
2024-05-22,87.7
2024-05-23,86.95
2024-05-24,87.58
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,87.53
2024-05-29,86.85
2024-05-30,86.45
2024-05-31,87.09
2024-06-01,
2024-06-02,
2024-06-03,87.13
2024-06-04,87.13
2024-06-05,88.19
2024-06-06,88.13
2024-06-07,87.96
2024-06-08,
2024-06-09,
2024-06-10,88.23
2024-06-11,88.42
2024-06-12,89.23
2024-06-13,89.32
2024-06-14,89.18
2024-06-15,
2024-06-16,
2024-06-17,89.88
2024-06-18,90.09
2024-06-19,
2024-06-20,89.86
2024-06-21,89.76
2024-06-22,
2024-06-23,
2024-06-24,89.59
2024-06-25,89.83
2024-06-26,89.93
2024-06-27,90.1
2024-06-28,89.83
2024-06-29,
2024-06-30,
2024-07-01,89.97
2024-07-02,90.5
2024-07-03,90.91
2024-07-04,
2024-07-05,91.34
2024-07-06,
2024-07-07,
2024-07-08,91.46
2024-07-09,91.45
2024-07-10,92.37
2024-07-11,91.93
2024-07-12,92.48
2024-07-13,
2024-07-14,
2024-07-15,92.86
2024-07-16,93.68
2024-07-17,92.36
2024-07-18,91.54
2024-07-19,90.95
2024-07-20,
2024-07-21,
2024-07-22,91.96
2024-07-23,91.9
2024-07-24,89.77
2024-07-25,89.49
2024-07-26,90.54
2024-07-27,
2024-07-28,
2024-07-29,90.54
2024-07-30,90.17
2024-07-31,91.48
2024-08-01,90.11
2024-08-02,88.29
2024-08-03,
2024-08-04,
2024-08-05,85.66
2024-08-06,86.56
2024-08-07,85.86
2024-08-08,87.87
2024-08-09,88.26
2024-08-10,
2024-08-11,
2024-08-12,88.18
2024-08-13,89.66
2024-08-14,89.96
2024-08-15,91.49
2024-08-16,91.69
2024-08-17,
2024-08-18,
2024-08-19,92.59
2024-08-20,92.33
2024-08-21,92.83
2024-08-22,92.01
2024-08-23,93.22
2024-08-24,
2024-08-25,
2024-08-26,92.94
2024-08-27,93.02
2024-08-28,92.45
2024-08-29,92.54
2024-08-30,93.46
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,91.43
2024-09-04,91.27
2024-09-05,90.97
2024-09-06,89.41
2024-09-07,
2024-09-08,
2024-09-09,90.4
2024-09-10,90.76
2024-09-11,91.67
2024-09-12,92.39
2024-09-13,93.04
2024-09-14,
2024-09-15,
2024-09-16,93.23
2024-09-17,93.32
2024-09-18,93.08
2024-09-19,94.7
2024-09-20,94.46
2024-09-21,
2024-09-22,
2024-09-23,94.71
2024-09-24,94.92
2024-09-25,94.65
2024-09-26,95.06
2024-09-27,95.0
2024-09-28,
2024-09-29,
2024-09-30,95.37
2024-10-01,94.47
2024-10-02,94.5
2024-10-03,94.31
2024-10-04,95.23
2024-10-05,
2024-10-06,
2024-10-07,94.33
2024-10-08,95.14
2024-10-09,95.81
2024-10-10,95.62
2024-10-11,96.35
2024-10-12,
2024-10-13,
2024-10-14,97.07
2024-10-15,96.41
2024-10-16,96.94
2024-10-17,96.91
2024-10-18,97.28
2024-10-19,
2024-10-20,
2024-10-21,96.97
2024-10-22,96.87
2024-10-23,96.01
2024-10-24,96.23
2024-10-25,96.14
2024-10-26,
2024-10-27,
2024-10-28,96.52
2024-10-29,96.67
2024-10-30,96.39
2024-10-31,94.66
2024-11-01,95.04
2024-11-02,
2024-11-03,
2024-11-04,94.84
2024-11-05,96.06
2024-11-06,98.76
2024-11-07,99.44
2024-11-08,99.87
2024-11-09,
2024-11-10,
2024-11-11,100.16
2024-11-12,99.79
2024-11-13,99.72
2024-11-14,99.04
2024-11-15,97.75
2024-11-16,
2024-11-17,
2024-11-18,98.15
2024-11-19,98.61
2024-11-20,98.67
2024-11-21,99.35
2024-11-22,99.88
2024-11-23,
2024-11-24,
2024-11-25,100.32
2024-11-26,100.75
2024-11-27,100.41
2024-11-28,
2024-11-29,100.93
2024-11-30,
2024-12-01,
2024-12-02,101.16
2024-12-03,101.18
2024-12-04,101.86
2024-12-05,101.56
2024-12-06,101.88
2024-12-07,
2024-12-08,
2024-12-09,101.19
2024-12-10,100.8
2024-12-11,101.63
2024-12-12,101.03
2024-12-13,100.99
2024-12-14,
2024-12-15,
2024-12-16,101.42
2024-12-17,100.92
2024-12-18,97.75
2024-12-19,97.64
2024-12-20,98.72
2024-12-21,
2024-12-22,
2024-12-23,99.32
2024-12-24,100.4
2024-12-25,
2024-12-26,100.44
2024-12-27,99.3
2024-12-28,
2024-12-29,
2024-12-30,98.24
2024-12-31,97.86
2025-01-01,
2025-01-02,97.7
2025-01-03,99.0
2025-01-04,
2025-01-05,
2025-01-06,99.53
2025-01-07,98.43
2025-01-08,98.55
2025-01-09,
2025-01-10,97.04
2025-01-11,
2025-01-12,
2025-01-13,97.21
2025-01-14,97.44
2025-01-15,99.21
2025-01-16,99.13
2025-01-17,100.06
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,101.04
2025-01-22,101.54
2025-01-23,102.06
2025-01-24,101.8
2025-01-25,
2025-01-26,
2025-01-27,100.34
2025-01-28,101.23
2025-01-29,100.79
2025-01-30,101.41
2025-01-31,100.89
2025-02-01,
2025-02-02,
2025-02-03,100.1
2025-02-04,100.84
2025-02-05,101.31
2025-02-06,101.6
2025-02-07,100.65
2025-02-08,
2025-02-09,
2025-02-10,101.3
2025-02-11,101.22
2025-02-12,100.91
