Date,Close
2024-01-01,
2024-01-02,28.0
2024-01-03,28.79
2024-01-04,28.62
2024-01-05,28.46
2024-01-06,
2024-01-07,
2024-01-08,28.27
2024-01-09,28.21
2024-01-10,28.35
2024-01-11,28.3
2024-01-12,28.37
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,27.79
2024-01-17,27.79
2024-01-18,27.63
2024-01-19,27.83
2024-01-20,
2024-01-21,
2024-01-22,27.83
2024-01-23,27.64
2024-01-24,27.8
2024-01-25,28.32
2024-01-26,28.36
2024-01-27,
2024-01-28,
2024-01-29,28.35
2024-01-30,28.55
2024-01-31,28.27
2024-02-01,28.26
2024-02-02,28.3
2024-02-03,
2024-02-04,
2024-02-05,28.21
2024-02-06,28.52
2024-02-07,28.66
2024-02-08,28.72
2024-02-09,28.71
2024-02-10,
2024-02-11,
2024-02-12,29.6
2024-02-13,29.67
2024-02-14,30.13
2024-02-15,31.24
2024-02-16,32.05
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,31.85
2024-02-21,32.34
2024-02-22,33.05
2024-02-23,32.62
2024-02-24,
2024-02-25,
2024-02-26,32.34
2024-02-27,32.4
2024-02-28,32.29
2024-02-29,32.72
2024-03-01,33.17
2024-03-02,
2024-03-03,
2024-03-04,34.23
2024-03-05,35.26
2024-03-06,32.37
2024-03-07,32.18
2024-03-08,32.35
2024-03-09,
2024-03-10,
2024-03-11,32.63
2024-03-12,32.72
2024-03-13,33.02
2024-03-14,33.2
2024-03-15,32.95
2024-03-16,
2024-03-17,
2024-03-18,33.66
2024-03-19,34.33
2024-03-20,34.27
2024-03-21,34.66
2024-03-22,34.57
2024-03-23,
2024-03-24,
2024-03-25,34.94
2024-03-26,34.46
2024-03-27,34.81
2024-03-28,35.37
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,35.03
2024-04-02,35.28
2024-04-03,35.15
2024-04-04,35.26
2024-04-05,36.08
2024-04-06,
2024-04-07,
2024-04-08,36.33
2024-04-09,36.91
2024-04-10,37.02
2024-04-11,37.52
2024-04-12,37.15
2024-04-13,
2024-04-14,
2024-04-15,36.74
2024-04-16,36.24
2024-04-17,35.79
2024-04-18,35.79
2024-04-19,35.9
2024-04-20,
2024-04-21,
2024-04-22,35.99
2024-04-23,36.76
2024-04-24,36.67
2024-04-25,36.37
2024-04-26,36.51
2024-04-27,
2024-04-28,
2024-04-29,36.4
2024-04-30,35.09
2024-05-01,34.14
2024-05-02,34.16
2024-05-03,34.59
2024-05-04,
2024-05-05,
2024-05-06,34.45
2024-05-07,34.43
2024-05-08,34.23
2024-05-09,34.78
2024-05-10,34.75
2024-05-11,
2024-05-12,
2024-05-13,34.25
2024-05-14,34.62
2024-05-15,34.68
2024-05-16,34.79
2024-05-17,35.2
2024-05-18,
2024-05-19,
2024-05-20,35.64
2024-05-21,35.73
2024-05-22,35.08
2024-05-23,34.97
2024-05-24,35.34
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,36.19
2024-05-29,35.92
2024-05-30,35.69
2024-05-31,35.93
2024-06-01,
2024-06-02,
2024-06-03,34.15
2024-06-04,33.86
2024-06-05,33.76
2024-06-06,34.07
2024-06-07,34.02
2024-06-08,
2024-06-09,
2024-06-10,35.05
2024-06-11,35.44
2024-06-12,35.68
2024-06-13,34.98
2024-06-14,33.57
2024-06-15,
2024-06-16,
2024-06-17,33.75
2024-06-18,33.91
2024-06-19,
2024-06-20,34.43
2024-06-21,33.62
2024-06-22,
2024-06-23,
2024-06-24,34.81
2024-06-25,34.66
2024-06-26,34.9
2024-06-27,35.36
2024-06-28,35.07
2024-06-29,
2024-06-30,
2024-07-01,35.64
2024-07-02,36.43
2024-07-03,36.96
2024-07-04,
2024-07-05,36.43
2024-07-06,
2024-07-07,
2024-07-08,36.63
2024-07-09,36.38
2024-07-10,36.97
2024-07-11,37.35
2024-07-12,37.03
2024-07-13,
2024-07-14,
2024-07-15,38.14
2024-07-16,38.54
2024-07-17,38.45
2024-07-18,39.57
2024-07-19,40.11
2024-07-20,
2024-07-21,
2024-07-22,40.02
2024-07-23,39.56
2024-07-24,39.04
2024-07-25,39.45
2024-07-26,39.52
2024-07-27,
2024-07-28,
2024-07-29,38.84
2024-07-30,39.2
2024-07-31,39.87
2024-08-01,39.17
2024-08-02,37.61
2024-08-03,
2024-08-04,
2024-08-05,36.69
2024-08-06,40.25
2024-08-07,41.28
2024-08-08,42.74
2024-08-09,42.44
2024-08-10,
2024-08-11,
2024-08-12,43.71
2024-08-13,43.24
2024-08-14,43.76
2024-08-15,45.17
2024-08-16,44.38
2024-08-17,
2024-08-18,
2024-08-19,44.84
2024-08-20,43.77
2024-08-21,44.17
2024-08-22,43.97
2024-08-23,44.91
2024-08-24,
2024-08-25,
2024-08-26,45.89
2024-08-27,45.38
2024-08-28,45.42
2024-08-29,45.72
2024-08-30,45.09
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,43.98
2024-09-04,43.91
2024-09-05,43.98
2024-09-06,43.2
2024-09-07,
2024-09-08,
2024-09-09,44.4
2024-09-10,42.43
2024-09-11,42.75
2024-09-12,41.06
2024-09-13,40.7
2024-09-14,
2024-09-15,
2024-09-16,41.04
2024-09-17,42.48
2024-09-18,42.67
2024-09-19,43.05
2024-09-20,43.25
2024-09-21,
2024-09-22,
2024-09-23,44.45
2024-09-24,45.02
2024-09-25,44.59
2024-09-26,41.68
2024-09-27,42.5
2024-09-28,
2024-09-29,
2024-09-30,42.73
2024-10-01,43.95
2024-10-02,44.48
2024-10-03,45.95
2024-10-04,47.57
2024-10-05,
2024-10-06,
2024-10-07,48.59
2024-10-08,47.82
2024-10-09,48.12
2024-10-10,47.79
2024-10-11,49.34
2024-10-12,
2024-10-13,
2024-10-14,49.23
2024-10-15,47.64
2024-10-16,48.65
2024-10-17,49.17
2024-10-18,48.59
2024-10-19,
2024-10-20,
2024-10-21,48.91
2024-10-22,49.96
2024-10-23,49.01
2024-10-24,49.69
2024-10-25,49.57
2024-10-26,
2024-10-27,
2024-10-28,48.65
2024-10-29,48.48
2024-10-30,49.15
2024-10-31,49.16
2024-11-01,49.41
2024-11-02,
2024-11-03,
2024-11-04,50.15
2024-11-05,49.86
2024-11-06,52.5
2024-11-07,51.89
2024-11-08,51.58
2024-11-09,
2024-11-10,
2024-11-11,50.85
2024-11-12,50.05
2024-11-13,49.71
2024-11-14,49.22
2024-11-15,48.73
2024-11-16,
2024-11-17,
2024-11-18,50.5
2024-11-19,51.02
2024-11-20,51.76
2024-11-21,52.42
2024-11-22,54.2
2024-11-23,
2024-11-24,
2024-11-25,51.95
2024-11-26,52.0
2024-11-27,51.7
2024-11-28,
2024-11-29,51.86
2024-11-30,
2024-12-01,
2024-12-02,52.0
2024-12-03,52.11
2024-12-04,49.89
2024-12-05,50.28
2024-12-06,48.89
2024-12-07,
2024-12-08,
2024-12-09,48.73
2024-12-10,48.31
2024-12-11,48.6
2024-12-12,49.09
2024-12-13,49.06
2024-12-14,
2024-12-15,
2024-12-16,49.03
2024-12-17,48.15
2024-12-18,46.25
2024-12-19,45.99
2024-12-20,45.66
2024-12-21,
2024-12-22,
2024-12-23,45.87
2024-12-24,46.29
2024-12-25,
2024-12-26,46.21
2024-12-27,46.05
2024-12-28,
2024-12-29,
2024-12-30,46.59
2024-12-31,47.03
2025-01-01,
2025-01-02,47.8
2025-01-03,48.95
2025-01-04,
2025-01-05,
2025-01-06,48.41
2025-01-07,47.99
2025-01-08,48.11
2025-01-09,
2025-01-10,47.59
2025-01-11,
2025-01-12,
2025-01-13,48.7
2025-01-14,48.28
2025-01-15,49.28
2025-01-16,48.82
2025-01-17,49.23
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,48.11
2025-01-22,47.63
2025-01-23,46.3
2025-01-24,45.68
2025-01-25,
2025-01-26,
2025-01-27,44.65
2025-01-28,44.46
2025-01-29,44.89
2025-01-30,44.32
2025-01-31,44.95
2025-02-01,
2025-02-02,
2025-02-03,45.86
2025-02-04,46.68
2025-02-05,47.93
2025-02-06,47.64
2025-02-07,47.33
2025-02-08,
2025-02-09,
2025-02-10,48.5
2025-02-11,49.01
2025-02-12,47.99
2025-02-13,47.92
2025-02-14,47.36
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,48.27
2025-02-19,48.37
2025-02-20,48.09
2025-02-21,46.32
2025-02-22,
2025-02-23,
2025-02-24,45.34
2025-02-25,43.17
2025-02-26,42.78
2025-02-27,43.65
2025-02-28,44.63
2025-03-01,
2025-03-02,
2025-03-03,43.47
2025-03-04,43.03
2025-03-05,41.18
2025-03-06,40.37
2025-03-07,40.25
2025-03-08,
2025-03-09,
2025-03-10,39.27
2025-03-11,40.03
2025-03-12,41.08
2025-03-13,40.35
2025-03-14,42.14
2025-03-15,
2025-03-16,
2025-03-17,42.56
2025-03-18,42.61
2025-03-19,43.99
2025-03-20,44.15
2025-03-21,43.04
2025-03-22,
2025-03-23,
2025-03-24,44.4
2025-03-25,43.96
2025-03-26,44.01
2025-03-27,43.21
2025-03-28,43.0
2025-03-29,
2025-03-30,
2025-03-31,43.94
2025-04-01,44.35
2025-04-02,44.71
2025-04-03,40.44
2025-04-04,36.63
2025-04-05,
2025-04-06,
2025-04-07,36.59
2025-04-08,35.61
2025-04-09,38.57
2025-04-10,35.52
2025-04-11,36.57
2025-04-12,
2025-04-13,
2025-04-14,36.53
2025-04-15,37.1
2025-04-16,38.03
2025-04-17,40.26
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,38.5
2025-04-22,39.58
2025-04-23,39.33
2025-04-24,39.9
2025-04-25,40.46
2025-04-26,
2025-04-27,
2025-04-28,40.99
2025-04-29,40.58
2025-04-30,39.25
2025-05-01,40.41
2025-05-02,40.95
2025-05-03,
2025-05-04,
2025-05-05,40.3
2025-05-06,38.9
2025-05-07,38.29
2025-05-08,39.79
2025-05-09,39.48
2025-05-10,
2025-05-11,
2025-05-12,41.06
2025-05-13,42.02
2025-05-14,41.6
2025-05-15,40.56
2025-05-16,40.79
2025-05-17,
2025-05-18,
2025-05-19,40.71
2025-05-20,40.79
2025-05-21,39.91
2025-05-22,39.46
2025-05-23,39.13
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,39.59
2025-05-28,39.79
2025-05-29,39.52
2025-05-30,39.15
2025-05-31,
2025-06-01,
2025-06-02,39.42
2025-06-03,40.86
2025-06-04,39.59
2025-06-05,39.64
2025-06-06,40.76
2025-06-07,
2025-06-08,
2025-06-09,40.74
2025-06-10,40.63
2025-06-11,41.32
2025-06-12,40.8
2025-06-13,41.94
2025-06-14,
2025-06-15,
2025-06-16,40.85
2025-06-17,41.16
2025-06-18,40.28
2025-06-19,
2025-06-20,40.16
2025-06-21,
2025-06-22,
2025-06-23,38.15
2025-06-24,38.06
2025-06-25,37.55
2025-06-26,38.02
2025-06-27,37.7
2025-06-28,
2025-06-29,
2025-06-30,37.61
2025-07-01,37.73
2025-07-02,38.23
2025-07-03,37.53
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,36.06
2025-07-08,37.31
2025-07-09,36.71
2025-07-10,36.61
2025-07-11,38.04
2025-07-12,
2025-07-13,
2025-07-14,37.04
2025-07-15,36.59
2025-07-16,36.03
2025-07-17,37.54
2025-07-18,38.18
2025-07-19,
2025-07-20,
2025-07-21,36.95
2025-07-22,37.07
2025-07-23,37.21
2025-07-24,37.45
2025-07-25,37.39
2025-07-26,
2025-07-27,
2025-07-28,37.57
2025-07-29,37.31
2025-07-30,37.02
2025-07-31,37.14
2025-08-01,36.1
2025-08-02,
2025-08-03,
2025-08-04,36.99
2025-08-05,36.93
2025-08-06,37.79
2025-08-07,37.21
2025-08-08,37.29
2025-08-09,
2025-08-10,
2025-08-11,36.78
2025-08-12,37.65
2025-08-13,38.15
2025-08-14,38.43
2025-08-15,37.79
2025-08-16,
2025-08-17,
