Date,Close
2020-01-01,
2020-01-02,168.91
2020-01-03,167.66
2020-01-04,
2020-01-05,
2020-01-06,168.55
2020-01-07,168.28
2020-01-08,169.43
2020-01-09,170.9
2020-01-10,170.5
2020-01-11,
2020-01-12,
2020-01-13,172.24
2020-01-14,171.61
2020-01-15,172.02
2020-01-16,173.69
2020-01-17,174.6
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,174.48
2020-01-22,174.49
2020-01-23,174.85
2020-01-24,173.29
2020-01-25,
2020-01-26,
2020-01-27,170.34
2020-01-28,172.6
2020-01-29,173.04
2020-01-30,173.56
2020-01-31,170.33
2020-02-01,
2020-02-02,
2020-02-03,172.21
2020-02-04,175.36
2020-02-05,176.32
2020-02-06,177.41
2020-02-07,176.58
2020-02-08,
2020-02-09,
2020-02-10,178.48
2020-02-11,178.5
2020-02-12,179.85
2020-02-13,179.69
2020-02-14,180.33
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,180.11
2020-02-19,181.28
2020-02-20,180.11
2020-02-21,177.26
2020-02-22,
2020-02-23,
2020-02-24,171.06
2020-02-25,166.08
2020-02-26,166.2
2020-02-27,158.46
2020-02-28,158.53
2020-02-29,
2020-03-01,
2020-03-02,165.87
2020-03-03,160.85
2020-03-04,167.77
2020-03-05,162.2
2020-03-06,159.39
2020-03-07,
2020-03-08,
2020-03-09,147.58
2020-03-10,155.99
2020-03-11,148.32
2020-03-12,134.51
2020-03-13,147.89
2020-03-14,
2020-03-15,
2020-03-16,130.29
2020-03-17,137.95
2020-03-18,131.91
2020-03-19,132.32
2020-03-20,126.61
2020-03-21,
2020-03-22,
2020-03-23,124.33
2020-03-24,135.78
2020-03-25,136.61
2020-03-26,144.44
2020-03-27,139.56
2020-03-28,
2020-03-29,
2020-03-30,144.59
2020-03-31,142.59
2020-04-01,136.4
2020-04-02,139.36
2020-04-03,137.29
2020-04-04,
2020-04-05,
2020-04-06,147.19
2020-04-07,146.84
2020-04-08,151.15
2020-04-09,152.41
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,152.18
2020-04-14,157.8
2020-04-15,155.21
2020-04-16,156.65
2020-04-17,159.77
2020-04-18,
2020-04-19,
2020-04-20,157.37
2020-04-21,152.12
2020-04-22,156.4
2020-04-23,156.23
2020-04-24,158.54
2020-04-25,
2020-04-26,
2020-04-27,160.08
2020-04-28,158.1
2020-04-29,163.22
2020-04-30,162.91
2020-05-01,158.61
2020-05-02,
2020-05-03,
2020-05-04,159.88
2020-05-05,161.7
2020-05-06,161.6
2020-05-07,163.75
2020-05-08,165.91
2020-05-09,
2020-05-10,
2020-05-11,166.83
2020-05-12,163.37
2020-05-13,161.24
2020-05-14,162.82
2020-05-15,163.96
2020-05-16,
2020-05-17,
2020-05-18,168.02
2020-05-19,166.93
2020-05-20,170.12
2020-05-21,168.73
2020-05-22,169.19
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,169.91
2020-05-27,171.38
2020-05-28,171.3
2020-05-29,172.48
2020-05-30,
2020-05-31,
2020-06-01,173.56
2020-06-02,174.67
2020-06-03,176.38
2020-06-04,174.81
2020-06-05,178.9
2020-06-06,
2020-06-07,
2020-06-08,180.13
2020-06-09,180.31
2020-06-10,181.31
2020-06-11,171.62
2020-06-12,173.31
2020-06-13,
2020-06-14,
2020-06-15,175.06
2020-06-16,178.58
2020-06-17,178.64
2020-06-18,178.83
2020-06-19,178.23
2020-06-20,
2020-06-21,
2020-06-22,180.33
2020-06-23,181.48
2020-06-24,177.13
2020-06-25,178.88
2020-06-26,174.31
2020-06-27,
2020-06-28,
2020-06-29,176.77
2020-06-30,179.58
2020-07-01,181.47
2020-07-02,182.45
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,186.0
2020-07-07,184.41
2020-07-08,186.55
2020-07-09,186.84
2020-07-10,187.76
2020-07-11,
2020-07-12,
2020-07-13,184.84
2020-07-14,187.04
2020-07-15,188.17
2020-07-16,186.99
2020-07-17,187.51
2020-07-18,
2020-07-19,
2020-07-20,191.08
2020-07-21,190.15
2020-07-22,191.32
2020-07-23,187.56
2020-07-24,186.58
2020-07-25,
2020-07-26,
2020-07-27,188.82
2020-07-28,186.98
2020-07-29,189.26
2020-07-30,189.68
2020-07-31,192.43
2020-08-01,
2020-08-02,
2020-08-03,194.19
2020-08-04,194.86
2020-08-05,196.2
2020-08-06,198.35
2020-08-07,196.98
2020-08-08,
2020-08-09,
2020-08-10,196.78
2020-08-11,194.46
2020-08-12,198.06
2020-08-13,198.47
2020-08-14,198.06
2020-08-15,
2020-08-16,
2020-08-17,199.43
2020-08-18,200.62
2020-08-19,199.73
2020-08-20,201.58
2020-08-21,202.65
2020-08-22,
2020-08-23,
2020-08-24,204.42
2020-08-25,205.72
2020-08-26,209.49
2020-08-27,209.25
2020-08-28,210.41
2020-08-29,
2020-08-30,
2020-08-31,210.62
2020-09-01,213.52
2020-09-02,216.37
2020-09-03,206.79
2020-09-04,204.08
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,197.23
2020-09-09,202.22
2020-09-10,198.4
2020-09-11,197.71
2020-09-12,
2020-09-13,
2020-09-14,200.39
2020-09-15,202.4
2020-09-16,200.0
2020-09-17,197.91
2020-09-18,194.99
2020-09-19,
2020-09-20,
2020-09-21,194.27
2020-09-22,197.57
2020-09-23,192.36
2020-09-24,193.11
2020-09-25,196.68
2020-09-26,
2020-09-27,
2020-09-28,200.19
