Date,Close
2024-01-01,
2024-01-02,585.85
2024-01-03,580.27
2024-01-04,577.85
2024-01-05,578.44
2024-01-06,
2024-01-07,
2024-01-08,590.39
2024-01-09,591.83
2024-01-10,597.82
2024-01-11,598.96
2024-01-12,599.57
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,598.73
2024-01-17,595.91
2024-01-18,603.81
2024-01-19,612.8
2024-01-20,
2024-01-21,
2024-01-22,614.42
2024-01-23,616.12
2024-01-24,618.25
2024-01-25,618.99
2024-01-26,618.19
2024-01-27,
2024-01-28,
2024-01-29,624.98
2024-01-30,622.36
2024-01-31,609.36
2024-02-01,618.29
2024-02-02,630.46
2024-02-03,
2024-02-04,
2024-02-05,630.45
2024-02-06,630.88
2024-02-07,639.0
2024-02-08,640.14
2024-02-09,646.71
2024-02-10,
2024-02-11,
2024-02-12,643.0
2024-02-13,634.17
2024-02-14,642.01
2024-02-15,642.85
2024-02-16,638.86
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,632.23
2024-02-21,630.71
2024-02-22,650.1
2024-02-23,649.43
2024-02-24,
2024-02-25,
2024-02-26,647.87
2024-02-27,648.7
2024-02-28,646.49
2024-02-29,650.9
2024-03-01,657.69
2024-03-02,
2024-03-03,
2024-03-04,654.84
2024-03-05,644.32
2024-03-06,647.59
2024-03-07,656.83
2024-03-08,649.35
2024-03-09,
2024-03-10,
2024-03-11,646.29
2024-03-12,657.44
2024-03-13,654.74
2024-03-14,655.07
2024-03-15,647.81
2024-03-16,
2024-03-17,
2024-03-18,653.63
2024-03-19,657.84
2024-03-20,664.93
2024-03-21,665.57
2024-03-22,666.26
2024-03-23,
2024-03-24,
2024-03-25,663.41
2024-03-26,660.97
2024-03-27,663.15
2024-03-28,662.32
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,661.97
2024-04-02,656.29
2024-04-03,657.77
2024-04-04,648.58
2024-04-05,657.85
2024-04-06,
2024-04-07,
2024-04-08,657.55
2024-04-09,658.38
2024-04-10,653.94
2024-04-11,663.13
2024-04-12,653.81
2024-04-13,
2024-04-14,
2024-04-15,642.53
2024-04-16,642.69
2024-04-17,636.91
2024-04-18,634.0
2024-04-19,621.57
2024-04-20,
2024-04-21,
2024-04-22,627.24
2024-04-23,636.97
2024-04-24,636.83
2024-04-25,632.92
2024-04-26,644.51
2024-04-27,
2024-04-28,
2024-04-29,645.69
2024-04-30,634.17
2024-05-01,631.96
2024-05-02,639.92
2024-05-03,651.09
2024-05-04,
2024-05-05,
2024-05-06,659.59
2024-05-07,659.67
2024-05-08,658.58
2024-05-09,660.58
2024-05-10,661.55
2024-05-11,
2024-05-12,
2024-05-13,661.62
2024-05-14,665.71
2024-05-15,675.98
2024-05-16,673.78
2024-05-17,673.72
2024-05-18,
2024-05-19,
2024-05-20,676.98
2024-05-21,678.86
2024-05-22,676.69
2024-05-23,674.59
2024-05-24,680.15
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,683.18
2024-05-29,679.95
2024-05-30,670.68
2024-05-31,672.09
2024-06-01,
2024-06-02,
2024-06-03,675.78
2024-06-04,678.45
2024-06-05,690.53
2024-06-06,691.02
2024-06-07,690.32
2024-06-08,
2024-06-09,
2024-06-10,692.87
2024-06-11,699.17
2024-06-12,708.77
2024-06-13,712.21
2024-06-14,714.3
2024-06-15,
2024-06-16,
2024-06-17,721.2
2024-06-18,722.25
2024-06-19,
2024-06-20,717.64
2024-06-21,716.1
2024-06-22,
2024-06-23,
2024-06-24,709.09
2024-06-25,716.92
2024-06-26,720.71
2024-06-27,722.34
2024-06-28,717.34
2024-06-29,
2024-06-30,
2024-07-01,724.08
2024-07-02,729.8
2024-07-03,736.24
2024-07-04,
2024-07-05,743.95
2024-07-06,
2024-07-07,
2024-07-08,744.67
2024-07-09,745.33
2024-07-10,752.89
2024-07-11,737.0
2024-07-12,741.05
2024-07-13,
2024-07-14,
2024-07-15,743.41
2024-07-16,742.61
2024-07-17,721.72
2024-07-18,716.17
2024-07-19,711.83
2024-07-20,
2024-07-21,
2024-07-22,722.81
2024-07-23,723.78
2024-07-24,696.18
2024-07-25,689.05
2024-07-26,694.99
2024-07-27,
2024-07-28,
2024-07-29,696.31
2024-07-30,686.62
2024-07-31,705.11
2024-08-01,692.28
2024-08-02,677.46
2024-08-03,
2024-08-04,
2024-08-05,653.98
2024-08-06,661.87
2024-08-07,654.99
2024-08-08,674.37
2024-08-09,679.94
2024-08-10,
2024-08-11,
2024-08-12,681.99
2024-08-13,698.08
2024-08-14,700.36
2024-08-15,714.94
2024-08-16,715.78
2024-08-17,
2024-08-18,
2024-08-19,724.29
2024-08-20,723.77
2024-08-21,727.08
2024-08-22,715.94
2024-08-23,724.72
2024-08-24,
2024-08-25,
2024-08-26,719.37
2024-08-27,721.24
2024-08-28,713.86
2024-08-29,711.69
2024-08-30,719.76
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,698.29
2024-09-04,696.09
2024-09-05,697.08
2024-09-06,680.9
2024-09-07,
2024-09-08,
2024-09-09,689.35
2024-09-10,695.97
2024-09-11,710.89
2024-09-12,718.63
2024-09-13,722.04
2024-09-14,
2024-09-15,
2024-09-16,719.59
2024-09-17,720.33
2024-09-18,717.94
2024-09-19,734.99
2024-09-20,733.78
2024-09-21,
2024-09-22,
2024-09-23,735.1
2024-09-24,738.05
2024-09-25,739.06
2024-09-26,740.55
2024-09-27,736.5
2024-09-28,
2024-09-29,
2024-09-30,740.11
2024-10-01,729.93
2024-10-02,730.45
2024-10-03,730.79
2024-10-04,738.84
2024-10-05,
2024-10-06,
2024-10-07,730.24
2024-10-08,742.3
2024-10-09,747.6
2024-10-10,747.38
2024-10-11,749.3
2024-10-12,
2024-10-13,
2024-10-14,755.86
2024-10-15,748.54
2024-10-16,749.92
2024-10-17,750.34
2024-10-18,754.79
2024-10-19,
2024-10-20,
2024-10-21,757.31
2024-10-22,758.04
2024-10-23,746.37
2024-10-24,751.35
2024-10-25,754.94
2024-10-26,
2024-10-27,
2024-10-28,755.91
2024-10-29,762.07
2024-10-30,758.57
2024-10-31,737.61
2024-11-01,742.9
2024-11-02,
2024-11-03,
2024-11-04,740.26
2024-11-05,750.88
2024-11-06,769.96
2024-11-07,782.84
2024-11-08,785.53
2024-11-09,
2024-11-10,
2024-11-11,785.39
2024-11-12,785.87
2024-11-13,785.23
2024-11-14,780.48
2024-11-15,764.06
2024-11-16,
2024-11-17,
2024-11-18,767.03
2024-11-19,775.6
2024-11-20,774.32
