Date,Close
2020-01-01,
2020-01-02,146.0
2020-01-03,147.42
2020-01-04,
2020-01-05,
2020-01-06,147.75
2020-01-07,148.99
2020-01-08,150.36
2020-01-09,151.81
2020-01-10,151.99
2020-01-11,
2020-01-12,
2020-01-13,152.66
2020-01-14,151.56
2020-01-15,153.27
2020-01-16,155.12
2020-01-17,155.11
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,155.83
2020-01-22,158.04
2020-01-23,159.5
2020-01-24,159.7
2020-01-25,
2020-01-26,
2020-01-27,158.39
2020-01-28,159.22
2020-01-29,158.61
2020-01-30,159.13
2020-01-31,156.96
2020-02-01,
2020-02-02,
2020-02-03,159.62
2020-02-04,162.43
2020-02-05,162.84
2020-02-06,163.22
2020-02-07,163.39
2020-02-08,
2020-02-09,
2020-02-10,164.18
2020-02-11,162.2
2020-02-12,163.54
2020-02-13,164.88
2020-02-14,165.57
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,165.74
2020-02-19,163.98
2020-02-20,163.65
2020-02-21,162.97
2020-02-22,
2020-02-23,
2020-02-24,161.9
2020-02-25,157.3
2020-02-26,157.99
2020-02-27,150.51
2020-02-28,149.85
2020-02-29,
2020-03-01,
2020-03-02,157.6
2020-03-03,154.96
2020-03-04,163.44
2020-03-05,159.38
2020-03-06,157.83
2020-03-07,
2020-03-08,
2020-03-09,142.9
2020-03-10,151.43
2020-03-11,146.54
2020-03-12,135.0
2020-03-13,140.92
2020-03-14,
2020-03-15,
2020-03-16,125.87
2020-03-17,140.05
2020-03-18,130.76
2020-03-19,132.09
2020-03-20,120.25
2020-03-21,
2020-03-22,
2020-03-23,117.28
2020-03-24,132.86
2020-03-25,129.98
2020-03-26,137.53
2020-03-27,133.34
2020-03-28,
2020-03-29,
2020-03-30,142.14
2020-03-31,134.89
2020-04-01,136.25
2020-04-02,138.39
2020-04-03,137.09
2020-04-04,
2020-04-05,
2020-04-06,142.99
2020-04-07,142.43
2020-04-08,143.91
2020-04-09,143.49
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,139.52
2020-04-14,145.46
2020-04-15,142.39
2020-04-16,144.31
2020-04-17,148.84
2020-04-18,
2020-04-19,
2020-04-20,144.51
2020-04-21,140.54
2020-04-22,146.33
2020-04-23,142.95
2020-04-24,143.76
2020-04-25,
2020-04-26,
2020-04-27,146.91
2020-04-28,146.91
2020-04-29,148.14
2020-04-30,147.91
2020-05-01,148.51
2020-05-02,
2020-05-03,
2020-05-04,149.49
2020-05-05,152.42
2020-05-06,150.19
2020-05-07,153.18
2020-05-08,154.43
2020-05-09,
2020-05-10,
2020-05-11,155.54
2020-05-12,151.56
2020-05-13,149.46
2020-05-14,148.95
2020-05-15,149.59
2020-05-16,
2020-05-17,
2020-05-18,153.22
2020-05-19,152.97
2020-05-20,154.41
2020-05-21,151.79
2020-05-22,152.22
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,155.3
2020-05-27,158.2
2020-05-28,162.92
2020-05-29,167.12
2020-05-30,
2020-05-31,
2020-06-01,163.93
2020-06-02,165.46
2020-06-03,165.26
2020-06-04,159.17
2020-06-05,160.78
2020-06-06,
2020-06-07,
2020-06-08,164.21
2020-06-09,163.88
2020-06-10,165.73
2020-06-11,157.45
2020-06-12,157.7
2020-06-13,
2020-06-14,
2020-06-15,160.34
2020-06-16,161.33
2020-06-17,161.94
2020-06-18,161.75
2020-06-19,159.17
2020-06-20,
2020-06-21,
2020-06-22,162.16
2020-06-23,161.71
2020-06-24,158.69
2020-06-25,161.13
2020-06-26,157.91
2020-06-27,
2020-06-28,
2020-06-29,159.32
2020-06-30,165.0
2020-07-01,167.15
2020-07-02,167.82
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,168.25
2020-07-07,167.64
2020-07-08,167.55
2020-07-09,167.9
2020-07-10,168.84
2020-07-11,
2020-07-12,
2020-07-13,167.57
2020-07-14,169.25
2020-07-15,170.04
2020-07-16,170.06
2020-07-17,172.95
2020-07-18,
2020-07-19,
2020-07-20,176.05
2020-07-21,175.16
2020-07-22,175.81
2020-07-23,175.11
2020-07-24,174.28
2020-07-25,
2020-07-26,
2020-07-27,177.61
2020-07-28,176.85
2020-07-29,181.91
2020-07-30,181.45
2020-07-31,182.94
2020-08-01,
2020-08-02,
2020-08-03,181.24
2020-08-04,181.98
2020-08-05,180.95
2020-08-06,183.76
2020-08-07,185.32
2020-08-08,
2020-08-09,
2020-08-10,183.85
2020-08-11,182.15
2020-08-12,184.61
2020-08-13,184.88
2020-08-14,183.37
2020-08-15,
2020-08-16,
2020-08-17,183.29
2020-08-18,183.35
2020-08-19,181.52
2020-08-20,180.18
2020-08-21,179.97
2020-08-22,
2020-08-23,
2020-08-24,179.45
2020-08-25,180.28
2020-08-26,180.71
2020-08-27,180.9
2020-08-28,181.62
2020-08-29,
2020-08-30,
2020-08-31,180.96
2020-09-01,181.95
2020-09-02,186.9
2020-09-03,181.55
2020-09-04,177.18
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,172.65
2020-09-09,177.37
2020-09-10,175.95
2020-09-11,176.09
2020-09-12,
2020-09-13,
2020-09-14,179.69
2020-09-15,182.37
2020-09-16,181.35
2020-09-17,179.41
2020-09-18,176.29
2020-09-19,
2020-09-20,
2020-09-21,173.47
2020-09-22,175.14
2020-09-23,171.92
2020-09-24,172.07
2020-09-25,176.06
2020-09-26,
2020-09-27,
2020-09-28,179.14
2020-09-29,179.01
2020-09-30,179.91
2020-10-01,180.23
2020-10-02,176.8
2020-10-03,
2020-10-04,
2020-10-05,176.49
2020-10-06,174.55
2020-10-07,177.7
2020-10-08,179.51
2020-10-09,181.73
2020-10-10,
2020-10-11,
2020-10-12,187.14
2020-10-13,188.01
2020-10-14,186.17
2020-10-15,186.43
2020-10-16,186.86
2020-10-17,
2020-10-18,
2020-10-19,183.01
2020-10-20,184.81
2020-10-21,183.67
2020-10-22,183.38
2020-10-23,183.74
2020-10-24,
2020-10-25,
2020-10-26,180.09
2020-10-27,179.76
2020-10-28,174.26
2020-10-29,174.0
2020-10-30,172.79
2020-10-31,
2020-11-01,
2020-11-02,176.84
2020-11-03,182.47
2020-11-04,190.67
2020-11-05,188.75
2020-11-06,191.6
2020-11-07,
2020-11-08,
2020-11-09,190.59
2020-11-10,189.42
2020-11-11,194.01
